Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5628.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5629.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5630.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5631.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5632.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5633.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5634.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5635.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5636.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5637.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5639.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5640.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5641.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5642.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5643.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5659.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5660.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5661.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5662.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5663.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-21-2024_Slot2-91_5664.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5665.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5666.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5667.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5668.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5644.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5645.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5646.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5647.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5648.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5649.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5650.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5651.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5652.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5653.d
P50453	P50453	SPB9_HUMAN	SERPINB9	Serpin B9													213.76			317.082														99.4617					
P50454	P50454	SERPH_HUMAN	SERPINH1	Serpin H1		124465		99625.9	149212	7557.96	5458.79	5944.06	6096.89	7464.18	4496.04	5033.56	4737.52	4618.91	4039.22	5055.4	5323.75	5290.22	5718.05	5141.65	5459.02	4781.6	5118.69	5981.04	4308.04	5536.46	4805.15	5700.98	5702.17	5367.8	3874.65	4110.96	4853.62	3480.3	4306.52
P50502	P50502;Q8IZP2	F10A1_HUMAN	ST13	Hsc70-interacting protein		62629.4	271487	187503	85433.8	7998.61	6146.75	5952.72	6248.86	6458.15	6712	5984.08	6499.34	7081.47	6057.89	6262.9	6226.23	7016.42	6850.21	6262.66	6047.86	5709.85	5426.07	5792.08	6260.14	6141.7	6875.56	5972.42	6810.31	5682.94	6460.98	6902.91	5769.5	6124.56	7284.92
P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein						861.641		2262.44	3730.84	2150.66	2348.2	1683.39	1779.02	2053.95	2255.91	2200.51	1816.38	1293.72	2085.46	1748.3	1890.3	2584.09	1686.75	1903.13	1709.78	1557.15	2053.95	1733.65	1875.65	1753.42	1542.71	2041.24	2039.43	1946.34	1626.5
P50570	P50570	DYN2_HUMAN	DNM2	Dynamin-2						1777.69		1940.89	1740.19	1277.21	2191.49	1719.78	1284.55	2255.73	1674.97	2200.52	1391.32	1696.09	3207.97	1953.53	1837.75	2220.27	1932.13	1672.11	2306.6	1915.82	2282.01	1665.28	1880.93	2565.7	1311.97	2063.5	2021.44	1772.4	2436.25
P50579	P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2														435.458	896.108	431.715					872.654				747.351			308.584							
P50583	P50583	AP4A_HUMAN	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]								800.981			1000.78	554.301	1090.13			498.61	964.901			790.419		689.335	545.175		529.446	785.846					862.927			645.579	
P50750	P50750	CDK9_HUMAN	CDK9	Cyclin-dependent kinase 9										527.084		481.005	1445.97	254.491		261.384						1768.26									489.147			1212.51	488.292
P50851	P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein						2014.72			322.245		1029.86	1140.18	603.416		1174.57	1995.5	704.229		819.17		910.002	868.19	1139.84	1355.37	1108.01	828.101		2632.84			946.97	862.564	1375.73	498.536	617.26
P50897	P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1						4189.2	2122.64	3412.96	4500.07	2969.64	2601.48	2280.95	3680.11	3058.03	1937.22	3479.36	3184.52	3481.92	3423.69	4309.81	2949.47	2872.78	3060.21	2865.24	2327.18	2913.19	2459.35	1936.44	2139.94	2714.8	2504.31	2549.53	2107.93	3813.33	2361.47
P50914	P50914	RL14_HUMAN	RPL14	60S ribosomal protein L14				748509	762286	16933.3	18887.4	13932.2	16884.2	14428.1	9568.7	12500.2	10630.7	13791.2	14444.7	15886.3	14927.2	15292.1	14906.5	15347.3	17146.3	16801.7	16510.9	16009.8	15463.7	15826.3	16738.2	15949.8	18383.6	14381.2	16622.8	20353.6	15904.5	17260.5	14970.9
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	382117	239188	581476	156904	244027	10334.4	8523.81	10233.5	10024	10002.8	9584.88	9513.83	9421.28	9423.73	8818.6	8747.7	9279.29	9821.67	9770.21	9281.22	9439.42	8863.88	9508.8	8667.88	8912.45	7857.29	8115.15	8117.76	7850.94	8270.08	8866.42	8807.38	8081.94	6477.45	9037.21
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta						8754.09	10223.8	10125.4	10278.5	8140.42	8148.17	10299.3	8973.53	8680.92	7771.66	10970.4	9786.63	10517	10467.8	9639.6	9478.65	9167.39	9511.91	9315.49	9558.62	10191	7700.85	9626.55	8806.08	8303.93	10053.3	8895.53	9239.46	8606.91	9454.72
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11						3333.57			2656.37		1557.97	1762.22	2090.31	1465.61	1819.79	2243.39	2121.09	1618.75	1757.75	2234.64	1691.43	2452.93	2526.85	2219.63	1782.19	1604.46	1300.98	2250.64	1615.03	1947.55	2492.39	1758.07	1695.15	1547.22	1837.67
P51003	P51003	PAPOA_HUMAN	PAPOLA	Poly(A) polymerase alpha							710.231								390.909	722.721				844.504	743.358	472.532											1430.7		
P51114	P51114	FXR1_HUMAN	FXR1	Fragile X mental retardation syndrome-related protein 1									337.633			417.682		466.197		495.361						375.557					448.906	398.953		303.478					
P51116	P51114;P51116	FXR2_HUMAN	FXR2	Fragile X mental retardation syndrome-related protein 2						2519.62	2957.04	3427.54	4587.52	2576.85	3358.26	3132.47	3549.84	2210.4	3192.1	3652.04	3416.54	2944.55	2059.42	3045.51	3292.34	2674.3	2823.63	2585.59	3363.63	2236.86	2708.52	2813.57	2054.93	2286.49	3271.59	3576.44	3566.92	2011.29	4347.41
P51148	P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C						3859.84	2575.02	4746.97	2206.18	2765.12	2826.7	2408.69	1945.74	2890.53	2704.24	2754.08	3757.98	2720.9	3132.95	2583.11	2500.32	2513.54	2466.64	2310.66	2826.06	2117.23	2859.79	2721.57	3054.03	2935.92	2298.25	2548.19	2345.18	2141.23	2266.06
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a						2260.28	2675.75	3728.12	3890.08	3617.53	4413.09	3278.77	4208.68	2708.39	3164.9	3947.41	3647.94	3477.85	4756.65	4195.15	3429.63	3198.73	3594.11	3033.42	3972.88	3706.5	3690.57	3141.94	3231.7	2974.47	3708.94	2679.83	4117.44	2984.42	3065.74
P51151	P51151;Q9NP90	RAB9A_HUMAN	RAB9A	Ras-related protein Rab-9A												1457.3		1061.96				930.079			797.735			1282.64		1532.83	598.172			1177.58					372.879
P51153	P51153	RAB13_HUMAN	RAB13	Ras-related protein Rab-13																475.13				567.761			468.704				600.952								
P51397	P51397	DAP1_HUMAN	DAP	Death-associated protein 1																					952.649		973.556		927.226						1269.41	1314.17	1741.59	1264.34	632.338
P51398	P51398	RT29_HUMAN	DAP3	28S ribosomal protein S29, mitochondrial						976.967		672.36	866.669	1202.36	673.559	880.455	473.328	1021.71	1046.42	1228.31	1286.48	1203.55	749.334	1116.51	1524.04	1077.2	621.955	579.648	695.7	1085.92	773.971	682.015	495.379	686.721	897.981	874.747	740.276		741.18
P51452	P51452	DUS3_HUMAN	DUSP3	Dual specificity protein phosphatase 3							1006.58	720.452			396.458	576.892		489.08		515.732	366.801	385.553			786.372	461.292	472.148			489.445		679.896			1511.87	278.368	284.713	408.772	
P51532	P51532;P51531	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1							995.637				635.078	699.695	840.215	783.138	1324.72	763.384	804.531	727.146	1015.57		765.117	878.607	1243.56	1245.1	495.59	1260.24	742.417	610.71	318.019	822.133	819.126	422.479	550.422	557.348	847.798
P51553	P51553	IDH3G_HUMAN	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial											898.164		1044.28																						
P51570	P51570	GALK1_HUMAN	GALK1	Galactokinase								2195.15		2137.66	1511.01		1648.91	1225.82	1129.23	797.882	1120.13	1436.81	1717.5	630.835	793.32	1182.38	2975.24	1303.46	1576.22	894.818	1137.11	987.584	989.909	1010.4		778.714	767.12		1894.79
P51571	P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta		95326.7	84493.8				2331.03	1453.64	1543.62	1106.44	2054.48	1580.02	1150.12	1792.18	2360.75	1715.11	1714.77	2551.36	1313.22	2276.09	1864	2064.14	1897.02	2347.88	1301.52	1724.84	2896.26	1889.16	1914.42	2853.94	1419.23	1268.15	1365.09	1747.68	1567.34
P51572	P51572	BAP31_HUMAN	BCAP31	B-cell receptor-associated protein 31							6982.98	6191.22			6028.71	5149.27	6708.75	5611.34	6563.41	4625.26	4981.35	4586.68	6114.71	5108.21	5653.68	5377.14	3938.24	4967.44	4185.73	4929.32	5906.13	3760.25	5990.13	3533.38	4929.68	4720.61	4439.81	5338.04	4324.73
P51580	P51580	TPMT_HUMAN	TPMT	Thiopurine S-methyltransferase												358.581		217.913		495.831																	746.54		
P51608	P51608	MECP2_HUMAN	MECP2	Methyl-CpG-binding protein 2																									479.376		345.664								
P51610	P51610	HCFC1_HUMAN	HCFC1	Host cell factor 1							1468.52		963.324	1931.5	1092.92	1584.19	1110.71	1297.85	978.708	1306.89	991.955	976.665	1391.26	1420.13	1124.86	1444.58	1421.88	964.855	1034.66	1820.29	1207.8	1150.74	1156.44	1426.52	1038.79	766.069	1254.06	1212.17	1302.05
P51648	P51648	AL3A2_HUMAN	ALDH3A2	Aldehyde dehydrogenase family 3 member A2						1201.93	1466.98	2188.68	1166.45	1742.05	1755.93	1614.58	1320.01	1537.55	1160.43	1416.42	1334.81	1562.27	1806.58	1553.73	1449.9	1603.98	1614.25	1317.09	1497.78	1440.9	1848.72	1535.14	1060.07	1599.27	1540.26	1456.3	1334.86	1630.44	1431.35
P51659	P51659	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2					56801.3	1461.39	1887.54	1937.13	1758.1	2085.78	2034.21	1772.03	1429.44	1864.86	1460.09	1816.25	1484.36	1569.03	1765.36	1679.77	1512.13	1653.77	1653.94	1787.54	1410.11	1454.71	1881.54	1775.64	2144.73	1412.11	1612.99	2020.3	1739.59	1527.18	2304.01
P51665	P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7							3665.87	1037.48		1364.7	2223.07	1879.15	1918.44	1920.94	2084.63	1144.6	2808.06	2192.27	1796.19	1161.32	2041.93	1851.9	2246.51	1777.76	1887.99	1318.91	1966.71	2293.93	1415.75	1836.11	2280.17	1681.83	1230.25	1266.13	1695.62
P51688	P51688	SPHM_HUMAN	SGSH	N-sulphoglucosamine sulphohydrolase							602.243		352.919	510.061	717.965			482.769		598.174				801.16			696.454				1725.09		2466.58	835.529	316.285				
P51692	P51692	STA5B_HUMAN	STAT5B	Signal transducer and activator of transcription 5B						1624.6	542.043	1298.58	1123.53	682.925			337.774	490.523	457.703	469.359	585.676		766.557	676.396	681.945	1168.6	263.067	494.988	627.147		429.689	1005.37	903.784	542.203	572.383	512.754	961.871		990.248
P51808	P51808	DYLT3_HUMAN	DYNLT3	Dynein light chain Tctex-type 3						823.762	1360.75		667.036	892.925	843.38	1154.59	306.819	826.577	882.187	899.358	1216.95	683.002	782.005	967.316	620.341	270.488	1534.74	815.609	377.333	969.341	568.882	845.06	683.636	764.784	1098.87	760.764	1447.08	579.869	
P51809	P51809	VAMP7_HUMAN	VAMP7	Vesicle-associated membrane protein 7																											476.05							709.978	
P51812	P51812	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3						2469.12	1258.88	2128.31	962.555	1453.82	1174.39	1070.14	753.749	808.592	645.806	590.97	914.007	1062.67		1547.14	913.285	999.744	936.086	750.696	953.476	568.887	435.14	953.18		747.17	842.294	848.188	547.708		
P51858	P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	215963	184596	180997	105627	265924	3743.68	3573.77	3213.21	4083.88	4495.58	4058.18	4222.51	4479.48	4298.09	4701.34	4199.8	5126.03	4006.79	4751.52	4504.91	4604.88	4152.01	4972.77	4974.32	4628.28	4408.05	4060.41	4407.67	4531.08	4909.4	4310.27	3802.75	4725.19	4272	4668.6
P51965	P51965	UB2E1_HUMAN	UBE2E1	Ubiquitin-conjugating enzyme E2 E1						1791.74	1356.21	1008.89	1609.37	1013.72	1250.5	1223.46	990.207	1282.56	677.406	1191.12	1463.29	1439.16	1297.7		1430.51	1272.32	1327.45	1214.97	1284.26	875.593	1472.54	1109.9	2026.98	1859.1	923.706	1322.98	1084.34	971.436	1746.9
P51970	P51970	NDUA8_HUMAN	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8						971.59	589.698	1435.65	1222.1	1312.5	1385.21	1353.04	900.548	1401.04	1895.36	1319.2	1169.55	1857.43	1992.04	1156.84	1262.73	706.141	1086.89	1294.84	1604.17	1224.24	1229.9	1317.02	1451.45	1528.25	1252.96	1048.22	1954.97		1391
P51991	P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3		90583.2	147294		73309.7	7525.85	6634.63	5807.14	8570.17	6332.09	5384.21	4576.73	5260.81	4609.37	5550.93	6250.58	4761.99	5375.83	4519.09	4786.62	4782.19	5076.48	5449.28	5357.73	5632.48	4051.89	4095.7	4755.82	4819.61	3654.22	3407.44	2960.48	3105.44	3355.68	4731.37
P52209	P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	291060	278507	350999	316230	225927	11707.9	10520.1	12278.6	10808.3	10952.4	12194.4	11831.8	12146.5	10858.1	11991.8	12306.5	12097.1	11444.9	12734.6	11656.8	12314.8	11217.3	11282.8	12569.1	12218.3	12320.1	12066.5	12350.1	12633.6	11998	11833.9	11032.6	11470.4	12238.6	11624.7
P52272	P52272	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	385328					12287.6	10894.3	14224.6	10450.5	12325.4	12502.6	12638.9	10844	12340.8	11871.9	11314.6	11573.1	12550.1	12080.3	10380.9	10384.8	11118.7	13302.5	10911.6	11396	9934.48	9170.08	11338.1	10471.6	10879.1	10728.8	12122.4	12553.6	8837.03	12556.8
P52292	P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1						5688.91	8002.21	6922.41	5947.71	8171	7174.38	6461.88	7664.08	7767.14	6187.72	5982.21	6414.57	7221.13	6905.69	7074.13	6148.93	6260.26	7161.7	7337.53	7358	6440.03	6289.56	7675.69	6651.05	6425.3	6948.76	6235.47	6057.43	6555.17	7297.41
P52294	P52294	IMA5_HUMAN	KPNA1	Importin subunit alpha-5												1797.64							543.745	887.424	1027.1			814.022		998.784	877.376		461.345	665.059		628.879	298.069	812.488	
P52298	P52298	NCBP2_HUMAN	NCBP2	Nuclear cap-binding protein subunit 2						1702.27		1725.05	1786.87	1278.52	1141.35	799.981	1051.75	951.344	1141.88	776.104	1300.68	1093.46	1598.69		996.872	1996.34	1070.16	1087.57	1121.29	912.78	1427.5	1011.92	1094.31	1446.22	1394.43	1230.41	1211.45	1062.1	
P52306	P52306	GDS1_HUMAN	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1						998.869	536.568		1163.99		1228.55	691.314	1081.51	723.16	846.251	1053.72	1390.85	567.578			654.05	668.776	1148.47	623.55	677.48	804.117	620.454		639.215	1037.26	1405.5	1201.75	617.918	628.779	
P52434	P52434	RPAB3_HUMAN	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3							868.172		663.046	670.98	708.414	583.26		562.287			679.167		677.72	725.082	892.281		681.514	414.423			688.326		772.575	411.125					
P52564	P52564	MP2K6_HUMAN	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6													635.797				311.041							508.344											
P52565	P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	168718	651567	180632			4791.13	2491.7	2276.69	6406.57	2328.33	5582.26	5175.67	5520.57	6446.18	3461.78	5912.25	5702.5	7133.37	6488.49	6166.55	6508.48	4819.58	6358.79	7145.2	6439.33	5683.05	6089.57	5874.06	4430.19	4548.44	4915.8	6040.9	7183.62	4815.07	7117.78
P52594	P52594	AGFG1_HUMAN	AGFG1	Arf-GAP domain and FG repeat-containing protein 1	99459.6					1279.88			1599.14			715.147	343.223	579.601	1096.31	502.749	1258.1	774.194	1169.07	934.556	720.717	500.665	903.251	625.352	829.578	966.951	799.899	860.397	427.609		727.453	905.238	2136.25	2591.11	981.764
P52597	P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	120599					5603.87	5030.88	4292.48	3567.9	3508.34	4142.95	4808.37	4440.03	4464.33	4178.66	5378.96	3999.79	5345.1	4350.45	5011.73	3553.82	4834.68	4919.81	4280.23	4308.9	4364.84	4863.53	4036.63	4474.67	4363.1	3974.47	4204.37	3547.08	3910.79	4918.41
P52701	P52701	MSH6_HUMAN	MSH6	DNA mismatch repair protein Msh6						1074.26	1466.72	1598.74	1232.6	2109.57	1569.09	908.618	1134.54	1548.44	1107.72	1393.7	1609.26	1169.3	1304.95	1821.62	1872.21	940.893	974.232	1241.38	1539.56	1018.38	744.266	1298.59	941.903	1108.23	1094.81	1365.09	720.73	1208.12	2014.19
P52732	P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11												581.12			781.663	597.534					234.48		756.616	375.1	236.248						429.181	664.61	300.784		336.484
P52758	P52758	RIDA_HUMAN	RIDA	2-iminobutanoate/2-iminopropanoate deaminase							580.447		801.911	467.994		401.415			1971.53		872.271	863.633		656.226	616.437				242.25	373.792	841.761	470.94		585.921				524.693	179.471
P52788	P52788	SPSY_HUMAN	SMS	Spermine synthase						1044.1					1502.18	1051.58	1899.4	1720.48	1278.24	912.835	1389.01	2330.62	1183.98	2141.24	1360.46	983.961	1444.03	890.817	649.015	1219.66	1405.46	1591.47	740.91	906.581	1174.94	1218.32	862.296	1301.62	1704.7
P52789	P52789	HXK2_HUMAN	HK2	Hexokinase-2						1155.95	416.813			1688.65	918.285	849.554	781.255	524.279	950.649	298.609	686.39	1149.7		895.886	1216.02	418.248	789.738	738.358	756.555	720.952	347.165	522.21	991.783	611.529			598.334	1438.68	
P52815	P52815	RM12_HUMAN	MRPL12	39S ribosomal protein L12, mitochondrial						4144.03	2870.08	2573.86	2593.8	3436.72	3976.64	3638.07	4149.81	3537.27	2827.17	3347.29	3458.02	3094.42	3657.14	3576.15	3751.03	3781.79	3998.58	3832.55	4380.13	4058.31	3017.58	3629.98	2866.25	2133.89	2907.63	3907.32	3105.71	2747.57	3922.04
P52888	P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase								960.178		1545.11	1283.21	1382.31	1139.43	663.329	1814.17	1370.48	1290.37	1365.42	1394.26	1162.29	1165.32	1130.39	1253.77	1025.97	1127.68	858.708	1625.43	1265.63	1547.32	1150.75	713.392	1145.14	1121.98	1509.91	1068.03
P52895	Q04828;P52895	AK1C2_HUMAN	AKR1C2	Aldo-keto reductase family 1 member C2				55023.9		1799.34	2970.03	1825.05	1800	2336.03	1614.58	1412.21	1725.35	1859.72	1955.45	1757.61	1646.24	2469.1	1852.47	1934.9	2326.86	1826.98	2238.51	1340.51	1828.92	2009.14	1906.97	1322.77	1594.49	1127.24	1837.04	1538.78	1572.11	799.349	1546.74
P52907	P47755;P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1			106243		196920	2205.11	2521.08	2502.66	3665.84	3440.27	5956.33	5536.49	5472.65	5700.87	4280.72	4743	5455.29	5282.44	6013.77	5905.87	5166.29	6200.13	6723.44	5282.21	5967.49	6279.29	3967.19	5164.28	4851.75	4256.4	4225.18	5815.66	4598.94	5783.63	6624.74
P52943	P52943	CRIP2_HUMAN	CRIP2	Cysteine-rich protein 2	68468.8	73535.4		44437.7	58417.2	5587.68	5710.75	4870.85	6085.02	4809.38	3792.49	4245.88	4642.48	4814.07	5613.78	4709.82	3167.16	4591.15	4935.66	5541.31	4192.16	5005.17	3986.98	4804.22	4366.84	4469.93	4468.64	4765.31	4255.37	4918.61	3255.41	6011.84	5292.58	4767.91	6412.94
P52948	P52948	NUP98_HUMAN	NUP98	Nuclear pore complex protein Nup98-Nup96							1485.06	969.54			1220.14	1166.35	1367.01	1091.25	1513.15	902.532	1417.19	1414.65	1659.36	1271.74	1427.32	1412.22	1167.02	1029.93	1140.16	1235.36	1143.95	1190.89	1293.25	1437.29	1277.44	1292.68	1639.64	1277.18	930.045
P53004	P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A		28549.1				1617.41	1731.06	1922.2	1649.67	2113.03	1343.72	1750.05	2375.67	2318.96	2164.54	1872.24	1811.35	1895.77	914.373	1533.02	1992.69	1354.51	1943.94	2228.54	2247.89	1460.28	1889.77	2248.74	1960.08	2312.42	1524.07	2166.19	2395.51	2213.43	2122.69
P53007	P53007	TXTP_HUMAN	SLC25A1	Tricarboxylate transport protein, mitochondrial						2262.87		1876.91	1577.96	3404.97	1667.36	1384.55	1820.94	1725.19	1456.52	2171.28	1470.45	1569.37	859.395	2417.25	2123.94	1374.67	2045.05	1754.39	1948.86	2030.15	1095.38	1425.21	2420.21	2182.66	659.941	1740.91	1664.32	2075.5	1896.69
P53041	P53041	PPP5_HUMAN	PPP5C	Serine/threonine-protein phosphatase 5	27149.6						667.259	1003.31		1012.96	706.198	599.828	986.597	1028.79	758.246	799.624	945.227	1060.54	1161.7			1150.96	832.254		919.868	1550.15	808.859	1446.58	1128.46	1586.03	924.598	599.24	1082.87	1326.73	753.956
P53365	P53365	ARFP2_HUMAN	ARFIP2	Arfaptin-2									1077.22	445.733		677.431	768.937			693.257	673.098		1054.47		735.394	792.023	589.686	1182.32	450.803	519.786	350.004	834.191	1115.45	305.222	886.575		743.808		383.65
P53367	P53367	ARFP1_HUMAN	ARFIP1	Arfaptin-1						930.214			728.493		836.704	401.275	944.511	1348.67	509.941	1033.75	397.99	622.369		392.7	482.082	967.469	372.249	694.901		500.197	465.861	887.998	898.276		768.294	594.096			
P53396	P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	562478	433553	661948	258247	292367	14674.9	13737.2	14028.9	15218.7	15488.3	15538.6	15882.7	14475.1	14777.2	15384.6	14416.1	15409.1	16082.2	15097	15189.6	15942.1	14710.6	14878	14714.8	15399.8	14415.5	14506.3	15076.8	14135.7	14654.2	15154.5	16181	14801.6	15106.6	14922.4
P53582	P53582	MAP11_HUMAN	METAP1	Methionine aminopeptidase 1		62128.6				918.694	1562.24		110.727	862.712	472.936		646.806	764.349		1207.67	310.509	683.76		714.211	388.224	487.813	292.719	582.5	891.708	467.603					1311.55	610.872	731.697	677.631	
P53597	P53597	SUCA_HUMAN	SUCLG1	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial						2515.66	1219.49	2662.16	1375.77	1852.43	2489.8	2278.99	1872.42	1467.56	1149.75	2326.02	1675.94	1989.15	1928.16	1662.45	1628.43	1603.45	1743.68	2191.47	1632.35	1282.08	981.892	1383.68	2074.48	1831.17	1590.42	1384.49	2283.14	1532.67	1963.27
P53611	P53611	PGTB2_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta							1257.36		1467.35		1497.62	1045.97	1060.76	588.55	1107.94		962.912	882.886	901.116	1262.63	1582.24	988.201	1289.49	1175.83	742.921	788.692	1254.1	752.755	2737.09	1522.13	642.577	1640.19	542.134		1370.7
