Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5680.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5681.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5682.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5683.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5684.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5675.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5676.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5677.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5678.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5679.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5670.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5671.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5672.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5673.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5674.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5685.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5686.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5687.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5688.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5689.d
Q13641	Q13641	TPBG_HUMAN	TPBG	Trophoblast glycoprotein					913.822	1241.99	654.765	504.969							705.142					823.21
Q13642	Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1	1068.61	900.402	1034.9	1215.28	835.168	947.858	1116.75	1055.68	1001.61	1244.61	1386.57	1215.96	1312.13	848.279	1109.43	1185.88	1350.9	1293.58	929.927	979.944
Q13643	Q13643	FHL3_HUMAN	FHL3	Four and a half LIM domains protein 3	2533.86	3284.43	2546.9	2839	2737.08	3068.24	2847.08	2592.35	1989.42	2536.77	2761.51	3068.11	2967.31	2379.65	3321.8	3061.87	2803.54	1644.87	2967.77	2452.55
Q13685	Q13685	AAMP_HUMAN	AAMP	Angio-associated migratory cell protein	451.783			646.691			1251.38			369.641		783.488					291.781	732.709		268.041
Q13724	Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase	1054.41	1623.57	1420.42	1774.59	754.157			2561.31		1736.27		1142.64	1856.44	1215.58	2141.91	1592.93	1154.57	970.72	1275.7	1454.34
Q13740	Q13740	CD166_HUMAN	ALCAM	CD166 antigen	2388.39	1540.54	798.337		1030.28		1447.77	1153.24	1137.51	1339.4	1166.94	976.234	1602.27	1650.14	1367.1	1036.82	1364.92	1044.55		1154.77
Q13769	Q13769	THOC5_HUMAN	THOC5	THO complex subunit 5 homolog		1181.32				562.632			1059			839.929					886.582	745.617	905.282	878.775
Q13813	Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	6633.43	6600.83	6509.5	6747.46	6401.24	6474.07	6462.57	6793.1	7101.77	6631.65	6719.83	6973.26	6656.81	6700.18	7002.21	6956.94	6922.92	6721.37	6823.94	6422.94
Q13823	Q13823	NOG2_HUMAN	GNL2	Nucleolar GTP-binding protein 2	1210.02			1249.32	1376.05		1399.13		1190.8		1037.68	1084.96	1315.53	1037.03	832.131	1226.48	1151.59	728.935	1202.63	1241.7
Q13838	Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	3171.47	2002.35	2007.79	3180.49	2483.75	1630.42	1907.9	2135.21	1672.61	2398.98	2499.74	1887.22	1996.77	2613.95	2700.42	1671.19	2203.34	2217.88	2313.48	1687.07
Q13867	Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	3460.07	3803.41	4814.9	2595.12	3127.2	3586.15	3254.83	3244.76	3773.78	2768.12	3737.16	3803.17	3364.98	2551.85	3069.79	3014.4	3333.93	3162.34	3107.67	2878.79
Q13868	Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4	954.899	1619.98		842.046	1978.36	1386.16	1422.78	1635.36	1735.35	1277.15		1683.8	1914.55		1557.22	1648.89	1608.77	1919.12	1213.18	2296.07
Q13885	Q9BVA1;Q13885	TBB2A_HUMAN	TUBB2A	Tubulin beta-2A chain		2855.92	2240.92	1774.43	3655.15	2602.04	2714.41	3110.68	2010.23	2080.33	3152.52	2648.9	1821.46	2496.21	2201.34	2750.56	2514.41	3335.28	3667.57	3141.04
Q13895	Q13895	BYST_HUMAN	BYSL	Bystin	530.807	2162.12	1317.4	1443.45	1301.77	1752.63	1431.73	1249.93	1941.06	1475.07	1570.48	1535.76	1843.97	1013.84	1343.2	1177.3	1776.27	1209.01	1154.8	1122.75
Q13907	Q13907	IDI1_HUMAN	IDI1	Isopentenyl-diphosphate Delta-isomerase 1	3468.64	4069.73	2995.74	3814.58	2890.85	3668.6	3652.26	3272.94	3214.03	3851.68	3472.12	4033.36	4389.37	4240.17	3814.92	3376.16	3559.62	3522.84	3642.46	3411.68
Q13951	Q13951	PEBB_HUMAN	CBFB	Core-binding factor subunit beta	1929.4		1701.63	1716	2348.7	1755.76		2324.98	2072.13	2374.78	1676.63		2117.74	1894.24	2148.96	1707.85	2130.96	2336.53	2344.41	2154.25
Q14008	Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	2166.13	2023.07	2515.7	2618.37	1706.75	2200.64	1905.51	1616.26	1819.23	2329.2	2027.2	2050.06	2033.3	2269.3	1893.81	2189.33	1780.06	1735.28	1844.32	2008.03
Q14011	Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1725.76	1861.55	2353.6	2246.55	2229.53	1434.09	1747.2	2547.52	2475.86	2175.73	2027.79	1763.72	1603.82	1826.42	1369.95	1912.08	2379.02	1808.11	1635.07	1753.43
Q14019	Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein	6713.68	6994.6	6688.18	7418.38	5964.52	7144.55	7011.45	6652.92	6778.27	6353.71	5662.49	7056.08	6492.66	5778.58	6159.91	6841.68	7010.27	6616.08	6423.41	5637.21
Q14061	Q14061	COX17_HUMAN	COX17	Cytochrome c oxidase copper chaperone	2409.37	3664.31	3129.17	3106.49	2581.02	1967.19	2513.77	2489.7	2541.17	3199.03	2227.38	2546.16	2009.52	2341.67	2043.49	2245.98	2614.43	1840.8	2007.27	1883.95
Q14103	Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	25147.2	27627.9	24947.7	24713.6	25673.3	22331.4	22475.6	22762.3	26170.6	24002.2	26019.8	23503.5	24802.2	26509.2	25011.2	24855.7	24600.1	24181.1	24825.8	25003.5
Q14108	Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	2002.63	2573	1858.94	1987.16	1897.8	2045.46	2755.84	1985.76	1846.68	1941.81	1434.29	2127.68	1625.72	2383.36	1597.29	1745	1719.17	2060.81	2235.95	1874.69
Q14116	Q14116	IL18_HUMAN	IL18	Interleukin-18	5690.2	4497.99	6698.79	6707.19	5229.96	6153.23	5474.81	5238.2	5628.44	8285.34	4930.64	4005.82	4444.17	5007.27	5898.25	5034.55	5029.87	3972.55	4875.33	5700.42
Q14118	Q14118	DAG1_HUMAN	DAG1	Dystroglycan 1	757.839			385.4	776.733					406.172	1472.01	600.458			821.524	691.578	507.804	960.021		
Q14126	Q14126	DSG2_HUMAN	DSG2	Desmoglein-2	3616.03	3505.4	2563.33	3005.32	3986.11	2717.28	3114.59	2978.66	2859.3	2696.32	3273.96	2875	3119.68	2713.06	2493.93	2861.13	2574.32	2990.63	2231.88	2706.11
Q14137	Q14137	BOP1_HUMAN	BOP1	Ribosome biogenesis protein BOP1	1501.9	1999.37	1750.35	1617.78	1440.97	1432.27	1370.19	1612.19	1873.1	1714.05	2081.45	1657.39	1563.51	1175.2	1407.75	1872.37	968.226	1551.8	1663.39	1168.28
Q14139	Q14139	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A					615.532									592.838						
Q14141	Q14141	SEPT6_HUMAN	SEPTIN6	Septin-6								489.966								195.893		448.68		
Q14146	Q14146	URB2_HUMAN	URB2	Unhealthy ribosome biogenesis protein 2 homolog							890.801	2930.37										754.212		463.683
Q14151	Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	1603.79	1809.77	1788.57	2787.48	1441.31	2016.64	2254.94		2193.95	2008.96	1538.41	2186.41	1660.44		2115.11	1819.22	1777.29	1927.53	1982.13	1730.57
Q14152	Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	4773.79	4656.76	4787.27	4387.21	4140.11	4267.74	4274.26	4114.52	4400.14	4512.74	4296.77	4533.14	4458.98	4641.34	4117.19	4338.78	4714.96	4449.72	3957.12	4585.4
Q14155	Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7			471.848				1138.52	277.189	682.649		1057.39	780.487	802.437							373.253
Q14157	Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	3078.34	2830.29	2801.45	2979.79	3276.08	3383.91	2949.96	3519.21	3850.61	3184.46	2863.16	3255.06	3380.05	2381.92	2998.6	3150.12	2936.29	2749.28	2574.48	3249.25
Q14160	Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	2765.54	2271.97	2598.78	2384.54	2266.34	2156.37	2506.46	1869.23	2110.77	2049.3	1868.1	2776.33	2209.93	2095.65	1913.97	1911.79	1750.47	2117.78	1845.14	2122.62
Q14165	Q14165	MLEC_HUMAN	MLEC	Malectin	2541.68	2174.08	2167.46	2159.73	2126.8	1971.61	2151.88	2315.89	2163.04		1823.16	1660.4	1749.22	2217.61	1519.03	2858.49	1649.56	1950.28	2748.46	1553.71
Q14166	Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	2984.38	3257.32	3271.47	3706.89	3779.63	2916.85	3054.19	2325.65	2993.1	3361.56	3540.44	2988.37	3301.29	3028.82	3634.81	2970.98	3558.51	2962.28	2904.56	3384.65
Q14181	Q14181	DPOA2_HUMAN	POLA2	DNA polymerase alpha subunit B	733.374	687.452		425.943		343.551	2367.44	1484.1	1353.87	600.612	911.445	839.187	860.36		895.146	1052.98	744.593	863.947	869.289	640.136
Q14192	Q14192	FHL2_HUMAN	FHL2	Four and a half LIM domains protein 2	6244.16	5407.74	6077.26	5821.8	5732.4	6033.93	5693.79	6134.22	6005.22	5379.45	6062.49	5862.59	6141.46	6257.58	5385.24	5744.96	5586.94	5182.52	5356.58	5479.24
Q14194	Q14194	DPYL1_HUMAN	CRMP1	Dihydropyrimidinase-related protein 1																	462.493	436.873	604.296	673.154
Q14195	Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	3500.92	4428.01	3855.96	3951.16	4563.57	2983.76	4443.89	3189.33	3659.5	2777.81	3722.65	3525.69	3475.58	3029.75	3398.27	3565.68	3246.52	3517.3	3323.06	3603.65
Q14197	Q14197	ICT1_HUMAN	MRPL58	Peptidyl-tRNA hydrolase ICT1, mitochondrial	1227.87		1666.35	1787.01		1772.33	1105.35	1021.67	1078.47	993.637	983.252	1196.63	1913.84	1686.59	2057.59	1492.28	1496.35	1430.29	1318.42	1566.14
Q14203	Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	2405.42	3114.24	3081.11	2621.97	2212.77	2422.98	3770.46	2569.35	2489.26	2396.29	2431.48	2781.05	2519.56	2703.91	2867.09	2234.1	2287.15	2514.55	1889.39	2279.1
Q14204	Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	5269.05	5034.49	5236.54	5485.81	5142.92	5079.43	5436.98	5328.38	5110.01	5093.55	5463.61	5165.58	5017.91	5197.83	5233.87	4932.27	5511.6	5169.85	5405.89	5236.43
Q14232	Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	1425.09	2222.31	1338.35	1320.03	1163.47	1777.36	1236.85	1211.29	1427.56	1150.29	1705.47	1051.54	993.147	1097.72	1027.42	855.786	1385.24	1099.68	1334.43	1145.91
Q14240	Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II	1464.28	1048.6		1433.16			1039.28		724.075	1815.21	1289.99	1329.58	1308.05	1495.38	796.594	1549.48	1531.78	902.981	1218.66	1399.3
Q14241	Q14241	ELOA1_HUMAN	ELOA	Elongin-A						935.921														672.069
Q14244	Q14244	MAP7_HUMAN	MAP7	Ensconsin	5845.48	5585.99	4993.99	5847.35	5333.44	5739.31	6103.12	5835.17	5393.29	5175.77	5638.57	5624.84	5770.71	5206	5858.28	6126	5763.16	5640.4	4316.28	5107.33
Q14247	Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	10595	11049.4	10270.9	12018.5	12112.8	10880.8	11317.4	10769.8	11720.8	10964	11384.8	10019.2	11138.8	10861.2	10314.5	11714.1	11496.5	11337.3	10704.6	12122.4
Q14254	Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	2654.01	2297.36	1918.41	1401.71	2429.56	1889.89	1821.05	2290.84	1533.75	1933	2190.61	2188.98	2667.97	2233.26	2059.11	1873.59	1829.07	1876.06	1950.93	1834.15
Q14257	Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	2547.17	3422.91	2153.35	2068.71	2354.92	2913.6	3030.67	2214.05	1252.69	1839.87	2229.41	2276.87	1901.81	2302.22	2753.16	2893.34	2538.22	3510.13	2916.78	2940.68
Q14258	Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	1601.89	1878.41	1884.71	2112.8	1763.17	1446.78	1727.26	1612.45	1186.92	1537.54	1893.94	1156.63	1278.32	1494.52	2148.4	2083.45	1649.74	1405.35	1512.9	1427.54
Q14315	Q14315	FLNC_HUMAN	FLNC	Filamin-C	3622.71	3733.96	4055.8	4063.39	4146.52	3390.88	3470.07	3707.25	3919.3	3395.08	3378.71	3113.08	3936.66	3765.31	3261.22	3569.93	3419.18	3523.04	3571.22	3764.05
Q14318	Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8		1325.28	2119.03	1914.85	1360.14		1872.2	1151.62	2224.62		2720.83	2531.39	2525.71			1519.14	1625.49	2014.27	1937.64	2466.55
Q14320	Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	1818.94	1347.54	1392.13	1144.71	1292.31	2381.91	433.403	551.048	1046.93	1348.58	1426.23	1437.73	722.438	1325.36	1171.8	1085.64	1394.9	1567.89	974.534	1199.83
Q14331	Q14331	FRG1_HUMAN	FRG1	Protein FRG1		1886.44						1771.09	2076.23	1968.77	851.23	1287.55	1175.98	1612.54		1463.38	2234.45	1433.62	1651.65	1664.65
Q14344	Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	534.079				918.049	1162.78	470.743		824.279			788.354			531.197	2522.42			1463.21	
Q14376	Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase	1401.93	1050.26	903.978	2141.61	1745.26	2087.43	1020.13	1580.09	1158.22			1799.87	1348.62	1692.95	1370.41		1707.5	2038.24		1972.96
Q14432	Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	2001	2741.94	2938.69	2063.32	3092.38	2314.58	2374.6	2290.97	2625.09	2529.37	2516.28	2361.42	3116.75	2224.19	2784.52	2607.27	2433.45	2468.24	3018.38	1949.62
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	6141.96	5341.3	5729.66	5963.16	6465.55	5995.73	6341.8	4960.4	5976.24	6062.37	5335.8	6398.19	5011.16	5338.43	6675.33	6576.85	5772.18	5509.76	6158.29	5899.51
Q14498	Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	4636.92	5869.97	5910.43	5136.54	4518.58	5518.23	4402.98	5171.36	6104.72	5517.83	4992.18	5558.71	4167.25	5804.74	5185.46	4580.9	5555.55	5188.88	5182.82	5817.58
Q14527	Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor			941.713		1227.53	1167.36		857.843				1207.19	1007.1		600.449	441.899	1732.77	1030.5	769.958	1313.03
Q14558	Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	2477.88			1199				1147.31	949.873		2038.52	1178.37		1499.93	1295.66	1201.35	1352.84	1425.25	1413.52	904.433
Q14562	Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8											504.877	717.411	805.155				724.79	290.343	450.481	419
Q14566	Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	6742.56	7007.78	7080.97	6339.62	6926.99	6479.97	6683.79	7146.91	6530.08	6570.61	6293.9	7166.84	6755.91	7092.77	7169.96	6729.15	6463.26	7068.46	6533.07	6829.17
Q14571	Q14571	ITPR2_HUMAN	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2			1331.29	596.834		524.471		940.245				287.637				505.623		710.844	627.631	829.64
Q14573	Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	1273.35	781.994	1086.45	956.093	1542.95	1341.31	1051.4	732.626	635.6	1655.69	673.32	1092.13	1187.9	1195.13	823.822	1211.43	832.518	950.816	664.941	1093.6
Q14643	Q14643	ITPR1_HUMAN	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	3333.91	3356.31	3351.05	3442.1	3034.43	3201.42	3261.59	3333.5	3288.09	2948.09	3247.45	3244.82	3322.38	3071.28	3083.35	3353.12	3047.65	3327.3	3236.05	3068.18
Q14651	Q14651	PLSI_HUMAN	PLS1	Plastin-1	2810.78	3481.23	3382.35	3975.87	2782	3253.16	3029.95	2907.6	3691.33	4377.72	4079.3	3108.73	2686.63	3131.84	3981.2	2810.99		3708.96	3526.17	3527.38
Q14669	Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12				736.539	529.231	922.781	1333.52	769.548	844.832			572.564						1142.99		
Q14671	Q8TB72;Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	2069.79	1673.83	1191.32	2417.25		1591.25	1490.85	1254.29	1584.66	1614.64		1590.08				1729.71	1379.94	1754.49	2324.89	1797.89
Q14676	Q14676	MDC1_HUMAN	MDC1	Mediator of DNA damage checkpoint protein 1	2431.41	1469.6	1329.6	857.859	1475.69	1353.85	915.66	1574.66	1408.01	2079.39	1140.19	1117.88	1094.21		1326.78	989.436	860.57	1067.4	914.207	1089.4
Q14677	Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1	1943.06	2099.94	1726.37	2313.18	1770.44	1910.49	1759.34	2237.54	2320.78	2147.41	1786.99	1694.48	1933.22	2258.4	1871.89	1566.75	2002.58	1650.01	1698.88	1982.95
Q14683	Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	3362.64	3667.78	3639.59	3337.69	4059.04	3983.12	4226.91	3589.97	3542.89	3599.41	4018.54	3982.45	3945.6	3844.99	3080.57	3467.51	3776.76	3657.3	3513.24	3543.9
Q14684	Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	1715.91	1475.19	1638.64	1663.39	1701.78	1780.14	1410.81	1733.33	1774.84	1631.92	1820.07	1705.39	1618.79	1600.28	1712.61	1838.44	1678.79	1432.16	2148.27	1721.89
Q14690	Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	1431.98	1742.55	1200.35	1444.98	1607.03	1149.46	1017.91	1080.62	1256.34	2080.09		818.234	948.586	573.068	735.423	1273.78	1123.86	1095.41	1113.65	1325.12
Q14691	Q14691	PSF1_HUMAN	GINS1	DNA replication complex GINS protein PSF1	574.358							518.83	411.781	696.067	743.476		581.799	643.546	967.769	864.072			905.024	645.515
Q14692	Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	998.974	788.936					477.876													655.115
Q14694	Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10		2344.15	2015.24	1748.83	1670.85	2871.39	1509.21		1457.47	1089.02	2022.45	1740.74	1231.38	1452.98	2079.19	1081.31	1355.34	1657.17	1791.08	1371.42
Q14696	Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	3940.88	4145.37	3979.53	3895.6	4208.99	3683.38	3424.08	4485.4	4341.6	4375.16	3575.93	3565.94	4034.26	3194.69	3230.24	3881.8	4295.7	3873.04	3882.71	3509.22
Q14697	Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	25083.1	26060.4	23769.6	24698	23459.4	23346.8	24572.6	24269.3	22783.5	23655.8	23879.8	26958.3	25617.1	24263.3	26000.2	26056.3	26879.8	24854.6	26411.8	25157.5
Q14699	Q14699	RFTN1_HUMAN	RFTN1	Raftlin	593.92				638.054	1024.31				1204.14		1275.74	976.442			549.842		490.755		
Q14738	Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	1287.75	1105.2	903.589	573.861	1432.48	1739.87	1474.76	999.494	774.743	1806.11	1314.27	1060.49	681.708	989.148	1072.75	1156.4	1082.83	789.4	850.786	976.048
Q14739	Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	2466.67	2102.31	2820.16	3192.62	2941.51	3135.44	2344.05	3207.28	2335.02	2912.81	2345.65	2363.79	3540.29	2287.82	2869.74	3005.04	2090.29	2531.61	3007.41	2671.56
Q14764	Q14764	MVP_HUMAN	MVP	Major vault protein	2163.09	2237.88	2280.04	1737.85	1804.21	2551.35	2093.42	2018.27	2470.53	2099.76	2187.57	1981.08	1669.36	1904.89	2119.29	2186.12	2352.73	2267	2031.32	1998.63
Q14789	Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	548.301		1020.5	1724.66	747.031	1842.62	1829.4	1319.82		1217.76		897.626	1019.92	2005.89	885.702	758.384	1075.67	1103.18	1075.07	918.037
Q14790	Q14790	CASP8_HUMAN	CASP8	Caspase-8	507.16		474.193		558.566	946.939	1039.14	1254.34		805.243		463.431		693.037			404.738			447.522
Q14807	Q14807	KIF22_HUMAN	KIF22	Kinesin-like protein KIF22									963.318	1003.72		714.396				515.75		577.603	428.048	
Q14839	Q14839	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	2420.67	2506.13	2335.13	1980.01	2424.03	1877.88	2220.14	2601.8	2488.81	2472	2472.02	2405.34	2297.75	2248.14	1539.98	2244.71	2577.91	2331.27	3003.96	2168.85
Q14847	Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	8747.22	8681.21	9458.42	11350.1	9339.26	8510.94	8654.43	9986.76	9871.19	8612.12	8512.48	8222	9434.06	8944.08	9109.09	11163.7	8710.61	9307.7	9651.85	9278.01
Q14914	Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1	2836.6	3395.47	3431.98	4357.85	3882.99	3953.9	2877.12	3335.92	3239.29	3187.77	3411.13	3293.75	3499.41	2383.65	2477.71	2544.01	2453.32	3635.18	3593.45	3521.48
Q14919	Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor	3202.41	3239.98	4187.95	4384.84	3638.65	3705.21	3575.45	3137.65	3503.42	3137.93	3842.56	2970.97	2915.71	2586.35	3350.92	2890.27	2734.09	3663.29	3678.72	2402.4
Q14966	Q14966	ZN638_HUMAN	ZNF638	Zinc finger protein 638												1018.48	745.633	586.758			631.923			873.004
Q14974	Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	11174.6	10342.4	10440.3	11465.6	12194.5	10475.3	11116.7	11773.1	11676.9	12184.8	11065.4	12256.3	11597.5	12063.8	11997.7	12671.8	10945.9	12723	11888.2	11690.2
Q14978	Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	5260.49	5416.97	5390.73	5503.63	5574.79	5575.66	5519.8	5620.43	5304.52	5361.67	5446.6	5422.06	5432.13	5472.02	5377.75	6163.19	6176.17	5517.8	5797.05	5635.22
Q14980	Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	3618.71	3780.5	3440.49	3821.75	3903.43	3753.23	3896.65	3783.89	3395.87	3854.14	3503.1	3989.23	3844.71	3667.09	3945.3	3717.85	3597.06	3867.83	3979.44	3699.3
Q14997	Q14997	PSME4_HUMAN	PSME4	Proteasome activator complex subunit 4													815.034			1637.96		368.379		663.534
Q14C86	Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	2305.36	1986.36	2323.37	2188.18	2339.68	2034.94	2222.13	1994.62	2737.73	1684.24	2391.22	2227.95	1911.23	2544.1	2365.46	2429.93	2209.05	2330.49	2203.14	2210.25
Q14CX7	Q14CX7	NAA25_HUMAN	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit	810.272		1058.01	1483.22		1635.01	992.027	1021.53			1151.35	1051.34		1047.6		1452.59	1007.76	1288.65	458.322	445.86
Q15003	Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2	1715.16	1278.1	1504.47	1408.62	2042.43	1116.72	2388.06	1433.91	1933.54	1741.61	1842.81	1970.04	1556.23	1706.67	1385.64	1254.13	1584.82	1703.74	1484.27	1556.34
Q15004	Q15004	PAF15_HUMAN	PCLAF	PCNA-associated factor									231.883				250.133	336.153		329.216	320.105			257.387
Q15005	Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	2149.48	3172.52	2156.25	2260.99	2938.07	2288	2770.21	2667.22	2856.03	2375.34	2878.97	2746.01	2741.41	2761.85	2119.09	2873.68	2475.96	3067.05	3063.66	2881.58
Q15006	Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	959.102	967.873	1077.86	1454.39	950.655	1051.67	786.501	1418.11		1066.86	691.699	804.47	646.016	1265.65	422.656	1309.12	702.32	1287.51	604.133	1031.02
Q15007	Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP	517.908			428.504						726.384	328.224	462.109		253.114		457.872	735.36	581.488	802.419	796.389
