Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5897.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5899.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5900.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5901.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5902.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5903.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5904.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5905.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5906.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5907.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5913.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5914.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5915.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5916.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5917.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5860.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5861.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5862.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5863.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5864.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5908.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5909.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5910.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5911.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5912.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5918.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5919.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5920.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5921.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5922.d
Q13243	Q13243	SRSF5_HUMAN	SRSF5	Serine/arginine-rich splicing factor 5							903.952		527.193		647.552	557.186	609.039	1011.77	736.122	441.963	677.113	667.155	769.648	599.991						569.741			1073.87	268.222						502.196	486.312	1196.55	706.922	776.919	304.03	702.296	729.974	855.037	1130.39
Q13247	Q08170;Q13247	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	9583.51	9004.58	7272.45	9963.87	8155.96	8821.37	7356.04	8913.82	8027.28	8645.78	7469.88	7905.3	6814.22	8383.95	7459.77	7429.91	7186.68	8095.25	7362.17	8223.87	10216.1	10648.7	9432.27	8880.2	8596.42	8338.22	9689.35	7876.38	8511.98	7602.6	10417.8					7711	7928.77	7349.04	8836.5	8585.93	7596.4	9030.36	7035.02	8885.99	7315
Q13263	Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta	4837.81	4591.68	4313.09	5146.52	4445.92	4496.1	3848.15	4708.69	4616.79	4543.96	4745.44	5153.45	5082.01	4642.84	4637.38	5562.04	5270.52	5093.54	5264	5177.56	5628.73	4489.33	4744.57	5413.9	4216.08	4935.67	4191.76	5081.13	4986.6	4694.88	4102.19					4915.94	4682.6	4723.96	4827.36	4717.7	4864.28	4511.86	4937.56	4648.38	4843.32
Q13283	Q13283	G3BP1_HUMAN	G3BP1	Ras GTPase-activating protein-binding protein 1	3611.25	3026.85	4382.81	3570.73	4211.63	3685.68	3030.75	3477.55	3203.72	2846.92	3608.35	3463.93	3326.77	3745.34	3473.29	3975.91	3750.09	3840.82	3761.98	3769.47	3912.61	3450.77	3700.03	3589.55	4108.29	3243.5	3414.38	4170.57	3358.49	3069.47	4167.91					4255.09	3237.86	3974.03	3578.47	3716.39	3926.75	4027.52	3944.54	3947.74	3850.48
Q13310	Q13310	PABP4_HUMAN	PABPC4	Polyadenylate-binding protein 4	2794.79	2429.57	2063.9	1791.31	3741.78	2203.15	2766.12	3252.4	1580.74	2314.35	1840.52	1848.6	2059.99	1852.92	2303.93	1852.24	2232.25	2181.92	2369.25	1962.39	2704.88	2483.22	1903.92	2079.86	2401.38	2468.92	2302.66	2502.85	1754.37	1879.33	1822.33					1878.21	2071.02	2048.78	2175.44	2348.86	2004.54	1710.7	1740.52	2053.71	2316.14
Q13330	Q13330	MTA1_HUMAN	MTA1	Metastasis-associated protein MTA1														555.401			342.14	594.143																		483.752			696.573	660.563				514.174	
Q13347	Q13347	EIF3I_HUMAN	EIF3I	Eukaryotic translation initiation factor 3 subunit I	2376.15	1684.23	2336.94	2174.56	1803.62	2090.46	1794.94	1841.93	1721.66	1507.6	1422.37	1655.61	1798.56	1403.3	1446.77	1363.59	1506.82	1522.2	1638.15	1629.92	2558.57	2760.83	2513.32	2398.53	2762.5	1961.96	1705.14	1775.89	1906.65	1748.71						1296.93	1633.79	1471.5	1682.23	1973.86	1691.48	1591.59	1201.77	1862.77	1197.19
Q13363	Q13363	CTBP1_HUMAN	CTBP1	C-terminal-binding protein 1				2921.87									383.698	375.299			255.135		277.911							735.048										577.372	451.336			321.803		391.211	693.809	607.966	
Q13371	Q13371	PHLP_HUMAN	PDCL	Phosducin-like protein								849.408									575.954									595.556																	1383.66	919.487	489.623
Q13404	Q13404	UB2V1_HUMAN	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1	7567.65	5951.71	6652.42	6231.2	5685.17	6678.87	6044.57	7074.62	7303.21	6666.78	7108.31	5785.48	5290.54	6868.16	6112.88	6954.2	6394.2	7110.42	6570.54	6559.7	7220.13	7751.6	7235.75	8684.78	6595.08	6007.39	6658.23	5970.45	6117.85	6902.57	7143.05					7271.81	6426.39	6733.78	5903.31	6369.9	7287.19	6607.77	6293.11	6221.85	6661.17
Q13405	Q13405	RM49_HUMAN	MRPL49	39S ribosomal protein L49, mitochondrial	634.953						670.588	312.376		500.746	245.775			426.13	404.073	478.789	284.945	213.82	361.176	435.885																277.893		278.488	143.979			394.685	446.681	530.882	348.732
Q13409	Q13409	DC1I2_HUMAN	DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2		1512.86	1518.67	1589.14	1411.27	869.348	1793.9	723.574		1108.75	1077.53	1261.86	955.995	1199.59	1070.58	1041.68	1038.4	1188.08	911.502	1047.24	1231.69	1447.61	848.132	1447.99	2112.31	1265.35	1303.81	955.919	1108.36	934.307						935.698	646.209	1156.69	2157.52	971.13	1515.38	645.733	872.257	975.719	1567.42
Q13416	Q13416	ORC2_HUMAN	ORC2	Origin recognition complex subunit 2	1956.78			2097.22		662.164	736.63	810.971			1018.87	1265.56	1297.77				581.59			1063.94		2413.15		1603.07						956.146						546.886	991.193	2062.01						608.003	531.236
Q13418	Q13418	ILK_HUMAN	ILK	Integrin-linked protein kinase	1477.01	1372.43	2158.41	1733.24	2252.5	1649.47	1093.48	1628.28	1789.22	1473.46	1659.67	1574.92	1690.67	1794.94	1691.62	1614.45	1665.27	1471.89	1772.03	1904.81	2386.96	1961.3	2489.23	1453.51		1793.88	2008.54	1330.22	1790.24	1236.4	2041.41					1930.05	1827.48	1878.25	2014.67	1734.2	1818.82	1757.72	1761.86	1619.4	1670.21
Q13423	Q13423	NNTM_HUMAN	NNT	NAD(P) transhydrogenase, mitochondrial	3233.76	2679.9	3217.69	2763.53	3269.89	2591.64	2849.91	2714.91	2937.03	2292.16	2152.94	2154.61	2159.92	2601.7	2469.95	2339.17	1982.6	2286.61	2154.9	2505.85	3296.59	3900.63	2871.18	3661.27	2942.27	2441.39	2968.27	2645.16	2679.88	3036.1						2318.67	2603.25	2643.39	2828.42	2550.97	2483.55	2629.7	2539.83	2440.33	2404
Q13427	Q13427	PPIG_HUMAN	PPIG	Peptidyl-prolyl cis-trans isomerase G								406.087	595.804			985.773	1041.51	1024.38	1032.38		1024.93	1017.72		534.494						1042.72		1140.16	1033.92								891.034		901.155	768.143	443.689	558.537	1085.83	507.811	1143.83
Q13428	Q13428	TCOF_HUMAN	TCOF1	Treacle protein	2055.97	1821.86	1383.12	2415.75	1348.51	2163.53	1604.99	1540.9	2093.79	1668.89	1563.28	1470.21	1887.96	1812.17	1734.56	1603.69	1851.87	1659.48	1335.59	1656.57	3048.07	2011.12	1563.36	2126.65	2590.95	1646.83	2668.75	1825.2	2069.59	1969.36						2092.78	1613.07	2009.83	1441.13	1844.25	1700.92	1821.64	1805.37	1715.64	1591.83
Q13435	Q13435	SF3B2_HUMAN	SF3B2	Splicing factor 3B subunit 2	3367.99	3135.34	2880.66	4016.96	3306.47	2940.15	3170.57	3341.89	3068.89	3539	2844.36	2686.84	3145.76	2654.56	2728.47	2976.92	2954.93	2426.4	2536.46	2645.66	3079.66	2932.48	3725.4	3123.74	2741.69	3498.36	3475.03	3179.32	2909.88	3114.23						2663.45	3472.15	2973.78	2749.16	2837.77	3188.5	2654.58	2731.96	2530.09	2775.87
Q13442	Q13442	HAP28_HUMAN	PDAP1	28 kDa heat- and acid-stable phosphoprotein	2589.49	3250.73	2025.81	2427.44	3339.57	3373.2	2578.91	2888.68	2836.6	3391.04	2653.52	3199.04	2296.71	2565.62	2682.02	3511.23	3155.08	2943.92	2924.9	2430.78	3257.91	3275.49	3034.6	3008.79	1689.04	2574.39	3972.39	4154.71	2881.57	3132.31	7657.13					3339.2	2560.41	3125.18	3432.79	3051.45	3424.37	2898.74	2759.2	2589.17	2588.4
Q13443	Q13443	ADAM9_HUMAN	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9						846.809					979.851			1243.55	937.452	1550.9	1218.96	952.382	1131.56	973.226						1349											493.467		899.127	857.422	1358.22	1221.54	1869.18	849.695	
Q13445	Q13445	TMED1_HUMAN	TMED1	Transmembrane emp24 domain-containing protein 1									513.667	870.738	502.855	657.217		612.508			391.024	405.791	872.972	657.695						314.756										370.336		587.873		801.679	419.605	528.221	479.282	582.832	
Q13454	Q13454	TUSC3_HUMAN	TUSC3	Tumor suppressor candidate 3						1113			835.277	859.33	645.254	697.254			545.914	818.447		810.453	448.461										915.256								946.207		378.062				525.275		
Q13492	Q13492	PICAL_HUMAN	PICALM	Phosphatidylinositol-binding clathrin assembly protein			817.267	692.926		1392.68	1006.43	936.16		1861.02	635.938	820.692	1242.6	550.046	1036.69	973.971	1060.93	1178.18	1172.77	882.436	1157.19	1610.63		1997.77	1066.67	2394.41			341.263	1208.17						1095.45	1753.2	1345.46	769.898	1155.04	1169.78	904.271	590.532	897.392	481.798
Q13501	Q13501	SQSTM_HUMAN	SQSTM1	Sequestosome-1	1172.66	1494	1380.1	1379.4	1440.48	1617.05	2212.27	1798.95	1487.7	1004.02	1369.98	1369.51	843.821	972.102	1632.66	1542.69	1151.94	1472.63	1480	1223.88	884.595	1248.17	1199.27	1416.28		2844.79	1150.68	1465.9	1179.89	1529.66	2216.36					687.735	1038.11	1029.56	1312.61	826.166	952.331	1427.77	1763.14	1360.26	1105.32
Q13505	Q13505	MTX1_HUMAN	MTX1	Metaxin-1									1158.34			717.853	793.022	549.931	785.513	928.906	559.227		1008.02	1055.19							1259.84			1245.89						1197.06		1357.8	812.933		964.899		695.783	1017.04	903.102
Q13509	Q13509	TBB3_HUMAN	TUBB3	Tubulin beta-3 chain	2650.87		2606.19	990.342	2459.15	1914.83					855.925	1028.61	943.003	814.851	936.482	362.074	537.574	567.717	809.806	971.777		944.979	890.64				1250.72			1007.01						1339.81	906.959	672.929	614.535	418.24	1173.79	873.287	861.164	3100.97	469.25
Q13510	Q13510	ASAH1_HUMAN	ASAH1	Acid ceramidase	503.986		1781.85	1294.69		2363.58	1327.37	1351.92	1739.52	1206.37	1159.16	1067.71	932.728	1142.32	788.288	991.305	933.529	708.96	1211.01	829.684	1805.54	1981.13	1133.97		2325.98	1199.92	1671.85	1485.46	1243.26	1802.73						1252.91	1302.51	1264.29	1139.62	1011.21	1086.67	1438.68	1104.28	1286.36	1633.35
Q13523	Q13523	PRP4B_HUMAN	PRPF4B	Serine/threonine-protein kinase PRP4 homolog	1034.42					653.57			563.586		742.923	461.836	720.156	776.571	659.226	439.035	597.046	455.22	610.142	502.785						707.114	476.387	637.284		557.4						682.556	503.332		1025.27	850.308	467.955	860.836	820.877	522.05	
Q13526	Q13526	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1		705.913	1285.25		790.397	458.807	443.087	760.274			871.318	776.105	323.546	634.916	794.444			733.453	622.605	500.541	737.788	994.236		616.781		1594.79	883.041	1112.06	872.851	592.356						690.128		518.793	750.782	691.918		663.487	725.062	863.065	674.744
Q13541	Q13541	4EBP1_HUMAN	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1	1364.42					884.309		1677.7	1373.49	1399.37	924.729	1095.16	845.428	727.707	1165.95	1096.37	1173.88	1129.43	667.906	936.905	1778.4	1675.26	1444.25	1131.45		1083.95	1096.11	1458.74	1278.97	1429.18						629.619	929.431	542.406	965.636	911.896	1012	1180.28	792.239	839.807	706.575
Q13547	Q13547	HDAC1_HUMAN	HDAC1	Histone deacetylase 1	3863.99	4376.42	5123.43	2704.8	3706.46	3390.11	4048.51	2742.97	2930.38	2588.89	2566	2613.68	2355.72	2013.73	3107.05	2661.91	3141.48	2498.13	2967.28	2965.5	2307.19	5952.2	3057.96	4033.96	2898.23	4008.96	2573.36	4006.15	3708.1	4012.29						3293.09	3361.94	3378.45	3954.31	3520.14	2886.73	3203.96	3649.26	3254.36	3495.83
Q13555	Q13554;Q13555	KCC2G_HUMAN	CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit gamma																	306.44																							655.631					
Q13557	Q13554;Q9UQM7;Q13557	KCC2D_HUMAN	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta		579.676				526.03		911.475		763.989		315.285	268.934	451.146	756.053	775	601.238	415.453	677.462	597.976		1731.44			541.016	1328.6			1090.09							515.006		341.456	888.4	710.858	526.037	720.679	445.283	397.533	463.338
Q13561	Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2	2065.85	2027.61	2514.69	1655.1	1984.82	1787.89	2496.56	2088	1989.85	1906.11	1870.77	2066.13	1589.46	1797.23	1738.93	1967.4	2117.11	2152.51	1810.72	1790.48	1827.92	2252.26	1690.06	2578.23	1862.33	2181.94	1496.7	1641.92	2097.99	2166.41						2241.08	1953.91	2231.1	1835.03	1281.5	835.105	1579.87	1781.94	1720.28	1393.32
Q13564	Q13564	ULA1_HUMAN	NAE1	NEDD8-activating enzyme E1 regulatory subunit		979.161	1037.43		814.613		1171.13	715.929			933.127	1021.5	822.787	908.339	685.861	795.905	792.819	689.377	684.356	777.246			1168.09		1046.44	582.386	1223.89	1192.88	1167.22	1394.55						1087.57	342.053	798.372	561.791	784.567	854.718	610.792	665.525	496.169	904.345
Q13573	Q13573	SNW1_HUMAN	SNW1	SNW domain-containing protein 1	1358.09	923.262	992.267	1660.26		947.36	1473.85		776.665	962.716	1156.5	808.546	974.776	1420.67	1029.52	925.16	847.721	1033.97	974.268	1140.2	1600.07		1865.47	2682.49	618.084	835.838			1504.29	1187.8						493.93	833.252	1530.21	606.109	1275.94	1067.46	876.553	1055.05	622.316	1388.09
Q13576	Q13576	IQGA2_HUMAN	IQGAP2	Ras GTPase-activating-like protein IQGAP2			1301.1	973.606	633.271	1223.83	494.665	638.88	627.358		484.929	900.103	466.817	510.643	476.845	448.355	604.245	733.476	624.886	485.32	412.77		1427.28	1337.79	1102.48	1252.25	1126.54	372.075	771.353	1392.68						671.089	553.885		884.74	719.681	660.405	597.656	704.013	975.23	753.633
Q13595	Q13595	TRA2A_HUMAN	TRA2A	Transformer-2 protein homolog alpha							262.449	298.42	759.818	478.953	370.137	623.094	527.623	302.719	546.247	788.348	346.674	496.372	842.755	981.498	805.831		1489.29		810.931	1231.17	799.565	522.435		793.548						748.19		201.015	355.412	723.965	765.703	785.566	691.092		517.877
Q13596	O60749;Q13596	SNX1_HUMAN	SNX1	Sorting nexin-1		1071.57		1626.17	2100.97	929.726	1338.99	1597.4	1497.52	1238.68	1275.13	1182.59	1412.26	1335.81	1218.39	1125.86	1140.64	1288.1	1110.12	1087.27	1168.04	1521.54		936.124	1370.77	1502.71	1006.78	1281.11	903.367	1251.57						1294.62	1111.95	1426.4	1352.5	1381.74	1267.31	1400.98	1374.62	1232.98	1382.11
Q13601	Q13601	KRR1_HUMAN	KRR1	KRR1 small subunit processome component homolog		1142.34							617.274			637.447	430.334	619.902	860.841	847.469	617.927	859.083		523.746								863.734	388.961	667.602						645.058			1071.3	778.409	741.288	1365.24	764.994	951.09	1012.2
Q13614	Q13614	MTMR2_HUMAN	MTMR2	Myotubularin-related protein 2							768.385	2175.37		694.053		959.743		762.606	1020.27		570.345	323.574		513.686							1348.8		1047.37	900.989						624.129	701.757	774.756	925.443	653.238	332.847	370.833	601.437	350.349	625.337
Q13616	Q13616	CUL1_HUMAN	CUL1	Cullin-1												253.272			210.142	278.533	647.094		735.197																	1895.62	574.263	461.099				645.508		346.553	
Q13617	Q13617	CUL2_HUMAN	CUL2	Cullin-2										726.104	624.559												429.892														767.694								881.831
Q13618	Q13618	CUL3_HUMAN	CUL3	Cullin-3							1098.54	428.193					1175.39	500.312	340.46	364.048			159.047								498.989		1056.91							670.459	1117.71	646.31	457.941	1749.3	530.809			552.5	589.272
Q13619	Q13619	CUL4A_HUMAN	CUL4A	Cullin-4A		774.739				895.507	938.023		837.263	1445.74	1348.31	817.73	806.697	898.283	655.2	1047.95	1362.16	995.337	1451.96	1112.77						1490.91	981.665	741.557	1434.97							1034.68	1027.53	921.011		779.398	1204.96	872.241	897.078	1153.39	672.6
Q13620	Q13620;Q13619	CUL4B_HUMAN	CUL4B	Cullin-4B	3259.03	1873.84	1555.4	2071.55	1886.19	1482.7	1746.97	2112.53	1747.97	2030.45	1851.23	1420.81	1412.66	1685.98	1561.45	1473.8	1408.42	1828.47	1755.03	1734.48	2902.42		2152.29	2152.31		1944.8	1905.41	1630.15	1788.91	1867.43	2011.49					1673.41	1430.56	1956.05	1891.68	1762.03	1627.03	1860.18	1632.68	1894.04	1611.34
Q13630	Q13630	FCL_HUMAN	GFUS	GDP-L-fucose synthase		1227.91		1496.23		1864.98	1761.15	1493.43	1258.5	1976.63	1878.15	1456.37	1052.55	1274.54	1285.76	1729.93	1449.18	1449.27	1298.25	919.633				2258.36		1493.93	1747.08	1619.18	2721.76	2034.81	1987.88					1276	1787.83	1181.24	1668.9	1637.43	1136.49	1718.46	1552.71	1622.12	1539.4
Q13636	Q13636	RAB31_HUMAN	RAB31	Ras-related protein Rab-31			1433.71	2255.27	1976.05	1264.94	1478.94	1403.29	1349.93	2125.23	1242.71	1442.6	1621.75	1682.51	1535.19	1232.62	1309.25	1422.14	1822.72	1624.36	1644.68					1394.65	1665.08	1998.46	1284.3	1630.03						1494.42	1285.56	1680.72	1608.95	1483.57	1857.16	1979.99	1526.39	1181.93	1398.32
Q13637	Q13637	RAB32_HUMAN	RAB32	Ras-related protein Rab-32	1320.74	3026.28	1410.5		1659.12	1438.32	1316.47	1819.07	1401.55	1178.65	640.484	1491.34	797.765	1134.5	1177.29	1808.44	951.181	1017.53	961.402	1157.73	2881.49	3368.13		1820.66	2427.83		1291.74		782.13	1658.43						1362.85	1256.58	1203.14	1088.24	1333.51	1002.11	1562.87	2250.86	1577.31	1332.38
Q13642	Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1	1016.1		839.293	1446.08	994.362		561.95	919.319	1217.22	817.002	502.043	656.094	909.574	1017.83	679.128	910.109	829.224	699.613	845.754	611.817	1107.58	503.288	785.169		757.895	1351.17	1126.12	855.312	1194.48	1139.04						511.027	1154.98	699.612	449.56	584.859	786.421	475.035	557.344	492.317	584.293
Q13643	Q13643	FHL3_HUMAN	FHL3	Four and a half LIM domains protein 3	3120.91	1670.94	2141.87		2134.12		1042.47		2154.84	1164.06	1227.7	2187.27	1204.01	1429.71		1156.16	1596.08	1206.83	1364.13	1710.98		897.473	2412.06	1934.58	2023.3	1774.17	1573.51	1505.7	1302.83	1322.89						1478.2	1449.02	1504.01	1764.55	1542.39	1216.99	1915.1	1271.62	1744.72	1419.42
Q13685	Q13685	AAMP_HUMAN	AAMP	Angio-associated migratory cell protein										1043.71							787.014																							631.326					
Q13724	Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase						1396.79	620.127	931.672	1061.75		769.581	1040.26	888.149	905.287		864.642	600.081	828.819	642.245	842.735	1396.48	1304.62	794.766	1502.05	1593.32	801.519	810.133	768.954		830.471						1140.12	925.509	592.57	1186.85		1076.5		1058.15	844.712	1218.4
Q13740	Q13740	CD166_HUMAN	ALCAM	CD166 antigen		824.843						995.45		1361.41	1030.99	630.094	920.294	818.482		846.711	1056.95		601.092	863.443						905.575	927.247	519.478	999.408	431.706								521.319	851.289	707.143	395.878	795.91	423.943	726.552	420.704
Q13813	Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	3677.74	3863.64	3810.41	3775.16	3558.93	3773.86	3662.14	3404.52	3802.96	3479.61	3672.5	3358.71	3601.98	3609.53	3624.96	3651.87	3357.44	3622.73	3405.02	3564.36	3913.39	3967.29	3552.28	3690.73	3620.57	3471.91	3509.38	3809.89	3757.12	3858.2	6060.79					3363.82	3664.81	3714.52	3550.76	3526.47	3526.72	3525.07	3625.24	3408.21	3598.23
Q13823	Q13823	NOG2_HUMAN	GNL2	Nucleolar GTP-binding protein 2	1636.05	563.465				541.668						252.284		975.996	358.077	431.19				343.188																	475.773	286.004				399.605		448.302	635.778
Q13838	Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	6920.87	6615.98	7028.64	7275.75	5960.1	5252.45	5620.05	5833.43	6184.12	5700.56	6359.31	6031.08	6499.13	5768.32	5691.92	6428.27	6628.76	6283.17	6427.45	6145.71	5395.19	6276.91	6109	6973.75	7066.89	6188.17	5457.76	6096.91	4462.47	6094.1	5811.48					6448.62	5876.41	6566.93	6191.99	6219.03	6413.89	6063.14	5731.97	6361.88	6728.65
Q13867	Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	2338.05	1956.24	1646.82	2127.64	1802.11	2086.31	1746.4	1496.03	1987.91	1725.27	1974.21	1620.67	2064.75	1456.96	2022.35	1815.61	1999.79	2054.86	1684.79	1709.65	1751.63	2556.24	2015.04	2231.08	1485.2	1814.01	1623.63	1329.84	2100.56	1908.57						1311.48	2319.66	1796.33	2272.58	2508.83	1820.96	1640.7	1871.46	1543	1667.9
Q13868	Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4				804.72		608.484			949.224			518.464	443.954				537.072	516.643	415.044	555.206				704.642		978.409		314.668		615.935						600.854	554.533	430.032	645.886	621.68		660.982			713.69
