Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
Q13601	Q13601	KRR1_HUMAN	KRR1	KRR1 small subunit processome component homolog		376.756		914.938	476.899	507.064
Q13610	Q13610	PWP1_HUMAN	PWP1	Periodic tryptophan protein 1 homolog			649.338			
Q13614	Q13614	MTMR2_HUMAN	MTMR2	Myotubularin-related protein 2	1064.83	1429.7	708.645	1225.39	893.255	604.07
Q13616	Q13616	CUL1_HUMAN	CUL1	Cullin-1	989.744				1282.52	921.74
Q13617	Q13617	CUL2_HUMAN	CUL2	Cullin-2			539.368			319.812
Q13618	Q13618	CUL3_HUMAN	CUL3	Cullin-3	690.558	942.402	765.628	5537.81	917.421	604.902
Q13619	Q13619	CUL4A_HUMAN	CUL4A	Cullin-4A	2089.07	1188.23	2169.67	1905.15	1519.19	1882.02
Q13620	Q13620;Q13619	CUL4B_HUMAN	CUL4B	Cullin-4B	2979.75	1707.46	2314.56	2289.63	2230.64	2389.99
Q13630	Q13630	FCL_HUMAN	GFUS	GDP-L-fucose synthase	1628.9	1444.85	2138.09	1620.5	2205.03	2232.42
Q13636	Q13636	RAB31_HUMAN	RAB31	Ras-related protein Rab-31	2064.91	2396.29	2398.62	2335.22	2580.96	2428.43
Q13637	Q13637	RAB32_HUMAN	RAB32	Ras-related protein Rab-32	1621.13	1535.81	1340.44	2003.7	1122.17	1088.26
Q13642	Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1	1503	783.24	951.406	798.251	1487.18	1128.47
Q13643	Q13643	FHL3_HUMAN	FHL3	Four and a half LIM domains protein 3	2278.5	1503.32	1600.75	1741.82		1974.24
Q13724	Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase				953.193	700.623	865.487
Q13740	Q13740	CD166_HUMAN	ALCAM	CD166 antigen	1133.66		810.232	945.042	1241.79	1286.52
Q13769	Q13769	THOC5_HUMAN	THOC5	THO complex subunit 5 homolog		905.729		723.495		
Q13813	Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	4975.31	5364.51	5245.61	5121.49	5313.84	4962.82
Q13823	Q13823	NOG2_HUMAN	GNL2	Nucleolar GTP-binding protein 2	705.015			883.846		
Q13838	Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	9065.15	10085.4	9336.04	9027.63	9208.84	8731.14
Q13867	Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	2598.11	2296.17	2732.06	2822.82	2923.41	2622.06
Q13868	Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4	523.506	383.844	756.931	433.88	548.182	354.018
Q13885	Q13885	TBB2A_HUMAN	TUBB2A	Tubulin beta-2A chain	1200.11	784.474	1172.14		1859.03	1359.37
Q13895	Q13895	BYST_HUMAN	BYSL	Bystin	830.757	1086.31	1046.88	1184.63		855.775
Q13907	Q13907	IDI1_HUMAN	IDI1	Isopentenyl-diphosphate Delta-isomerase 1	1920.4	2083.04	2190.34	2862.13	2535.1	2196.65
Q13951	Q13951	PEBB_HUMAN	CBFB	Core-binding factor subunit beta		1283.24	257.361	700.68	483.974	
Q14008	Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	1175.33	1243.09	1341.59	1072.83	1489.5	1546.08
Q14011	Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1397.67	983.792	1090.37	952.604	1135.43	1889.59
Q14019	Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein	4679.97	5539.49	4322.39	3923.65	4777.01	4430.17
Q14061	Q14061	COX17_HUMAN	COX17	Cytochrome c oxidase copper chaperone	1600.8	3288.68	2088.9	1646.18	1150.41	1384.67
Q14103	Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	17289.9	16910.3	17560	16071.2	16265.9	16256.2
Q14108	Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	1699.42	1662.34	1298.95	1382.65	1211.79	1166.47
Q14116	Q14116	IL18_HUMAN	IL18	Interleukin-18	4119.7	4572.27	4496.64	3745.98	4272.03	3819.58
Q14126	Q14126	DSG2_HUMAN	DSG2	Desmoglein-2	1725.23	1891.1	1672.26	1590.52	2780.88	1251.95
Q14137	Q14137	BOP1_HUMAN	BOP1	Ribosome biogenesis protein BOP1	1457.57	1226.2	1530.63	1080.12	1443.9	1752.4
Q14151	Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	1390.29	1239.43		1632.63	1456.19	1432.08
Q14152	Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	3944.21	3990.27	3788.05	4281.7	3856.77	4161.97
Q14155	Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7	982.671			1337.23	686.292	750.92
Q14157	Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	3279.12	2496.35	3032.03	2388.23	2239.62	2449.15
Q14160	Q9BTT6;Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	2103.53	2287.59	1638.3	1882.61	1656.64	2104.61
Q14165	Q14165	MLEC_HUMAN	MLEC	Malectin	1291.6	1493.33	1296.94	1625.59	1780.14	1561.39
Q14166	Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	1933.8	3047.94	1870.52	1971.04	1918.58	1833.54
Q14181	Q14181	DPOA2_HUMAN	POLA2	DNA polymerase alpha subunit B		404.904	596.096	815.372		468.819
Q14192	Q14192	FHL2_HUMAN	FHL2	Four and a half LIM domains protein 2	5633.91	4307.92	5672.19	5396.52	4924.43	5776.95
Q14195	Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	2607.84	2616.82	2971.23	2725.73	2530.47	3116.61
Q14197	Q14197	ICT1_HUMAN	MRPL58	Peptidyl-tRNA hydrolase ICT1, mitochondrial			738.274	731.568	1723	917.094
Q14203	Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	1357.9	1142.22	1080.84	1255.84	1571.66	1210.07
Q14204	Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	4116	4201.06	4402.65	4223.29	4068.88	4261.2
Q14232	Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	2207.91	2566.53	1285.48	2935.46	1653.36	1869.08
Q14240	Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II						1387.02
Q14244	Q14244	MAP7_HUMAN	MAP7	Ensconsin	4354.05	4294.82	4415.04	4850.4	3911.36	4644.62
Q14247	Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	8057.64	8394.42	8628.62	8208.92	7506.43	8203.13
Q14254	Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	1899.81	1544.39	1195.51	2058.07	1226.07	1234.84
Q14257	Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	767.786	1150.65	1069.76	1547.49	1785.57	1257.96
Q14258	Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	512.211	1207.65	1220.47	836.066	1308.63	1113.26
Q14315	Q14315	FLNC_HUMAN	FLNC	Filamin-C	4139.15	3373.83	3845.18	3559.25	3621.21	5922.11
Q14318	Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	956.26	631.772	495.24	1337.48		
Q14320	Q9Y247;Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	1531.15	1338.8	1796.97	1530.1	1701.79	1091.38
Q14331	Q14331	FRG1_HUMAN	FRG1	Protein FRG1	1063.53	780.474	868.986	1200.66	954.77	691.125
Q14344	Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13					1191.72	900.34
Q14353	Q14353	GAMT_HUMAN	GAMT	Guanidinoacetate N-methyltransferase	1340.84	1340.73	1710.7	1941.83		1228.64
Q14376	Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase		1212.62	1389.77	1418.67	1469.84	1629.76
Q14432	Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	1454.97	1928.87	2150.65	1825.47	1448.34	2174.6
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	5557.71	5027.1	4924.15	5422.75	5632.83	5216.74
Q14498	Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	4274.15	4979.32	4636.56	4831.21	4387.39	4259.12
Q14527	Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor			291.604	295.965	544.588	336.483
Q14558	Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	1792.95	1426.54	1197.01	2172.95	1920.51	970.811
Q14562	Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8		327.628	496.399	405.299	385.577	163.373
Q14566	Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	3636.76	3672.13	3844.26	3472.23	3905.74	3567.84
Q14573	Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	1002.28	1235.37		1764.2	1533.05	1186.52
Q14643	Q14643	ITPR1_HUMAN	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	2719.25	2884.82	2966.09	3048.65	2987.02	2670.24
Q14651	Q14651	PLSI_HUMAN	PLS1	Plastin-1	1808.11	2301.69	3060.76	2565.1	1907.95	1745.89
Q14671	Q8TB72;Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1		673.616	1143.12	873.721	807.827	1853.58
Q14676	Q14676	MDC1_HUMAN	MDC1	Mediator of DNA damage checkpoint protein 1			677.265		400.161	427.289
Q14677	Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1	1997.71	1243.49	1485.92	1870.68	2017.52	1293
Q14683	Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	3056.2	2773.72	2718.15	2825.55	3136.9	3201.8
Q14684	Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	914.143	1892.68	1190.09	1415.98	1308.98	2083.39
Q14690	Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	767.851	746.337	1054.72	1262.32		1102.86
Q14691	Q14691	PSF1_HUMAN	GINS1	DNA replication complex GINS protein PSF1	124.812	253.415				
Q14692	Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	337.722					
Q14694	Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	1093.83	1366.31	1015.77	1622.88	1240.54	1563.2
Q14696	Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	2106.73	2997.97	2980.19	3715.63	5009.53	2875.32
Q14697	Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	10885.1	10288.1	10165.5	9746.21	10757	10875.4
Q14699	Q14699	RFTN1_HUMAN	RFTN1	Raftlin	763.589					371.941
Q14738	Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	950.205	1231.55	1180.72	955.837	975.044	954.962
Q14739	Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	1739	1622.18	1874.78	2143.83	1494.69	2187.87
Q14764	Q14764	MVP_HUMAN	MVP	Major vault protein	2923.53	2975.52	2269.08	2744.64	2577.09	2056.5
Q14789	Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	1011.39		905.097	903.399		1216.11
Q14790	Q14790	CASP8_HUMAN	CASP8	Caspase-8	249.816				532.563	331.597
Q14839	Q14839	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	2403.76	2199.66	2034.22	1902.92	2198.63	2004.25
Q14847	Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	5533.11	5424.98	5323.3	6370.27	5586.53	5546.99
Q14914	Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1	2220.37	1989.93	1787.23	1909.85	1485.79	2713.26
Q14919	Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor	2422.97	2279.67	2385.65	2343.78	3337.47	2376.96
Q14974	Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	9480.26	9900.95	8838.15	9192.08	9442.64	8716.97
Q14978	Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	3944.27	4196.53	4100.21	3576.99	3841.46	3863.1
Q14980	Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	2640.41	2579.32	2747.81	3117.44	2457.45	2620.55
Q14C86	Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	1617.79	1525.11	1768.57	1622.94	1750.91	1463.48
Q14CX7	Q14CX7	NAA25_HUMAN	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit		675.963	1188.8		672.258	798.482
Q15003	Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2	1302.54	1281.55	1329.17	1102.54	1493.81	1371.06
Q15005	Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	1852.01	1630.35	1732.86	1495.16	1847.06	1687.84
Q15006	Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	757.656	357.796		633.708		713.514
Q15007	Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP	404.501		123.66		741.324	
Q15008	Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6	1685	2018.36	1748.56	1736.5	1998.16	2446.09
Q15014	Q15014	MO4L2_HUMAN	MORF4L2	Mortality factor 4-like protein 2	614.988		882.585	552.567	706.426	1465.81
Q15018	Q15018	ABRX2_HUMAN	ABRAXAS2	BRISC complex subunit Abraxas 2		495.314		615.111		
Q15019	Q15019	SEPT2_HUMAN	SEPTIN2	Septin-2	3012.36	2681.56	2734.6	3841.32	2959.49	2858.96
Q15020	Q15020	SART3_HUMAN	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	1408.46	1740.21	1230.24	2353.15	941.025	771.364
Q15021	Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1	1000.06	1208.36	1193.27	1363.42	1328.14	1433.6
Q15024	Q15024	EXOS7_HUMAN	EXOSC7	Exosome complex component RRP42	992.778	869.035	744.836	594.705	750.202	947.742
Q15029	Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	3786.41	3359.72	3448.56	3286.94	3022.27	3286.47
Q15031	Q15031	SYLM_HUMAN	LARS2	Leucine--tRNA ligase, mitochondrial	1074.47	723.393		1519.11	758.704	381.834
Q15041	Q15041	AR6P1_HUMAN	ARL6IP1	ADP-ribosylation factor-like protein 6-interacting protein 1	828.168	818.318	1284.13	1048.78	927.887	1182.46
Q15042	Q15042	RB3GP_HUMAN	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	955.059	575.512				
Q15043	Q15043	S39AE_HUMAN	SLC39A14	Metal cation symporter ZIP14						787.802
Q15046	Q15046	SYK_HUMAN	KARS1	Lysine--tRNA ligase	4308.76	4624.22	4288.31	4199.75	4286.7	4590.56
Q15050	Q15050	RRS1_HUMAN	RRS1	Ribosome biogenesis regulatory protein homolog	2190.58	1514.67	1579.27	1575.27	1162.17	1403.36
Q15054	Q15054	DPOD3_HUMAN	POLD3	DNA polymerase delta subunit 3	840.223	319.897	677.432			
Q15056	Q15056	IF4H_HUMAN	EIF4H	Eukaryotic translation initiation factor 4H	8341.75	7692.38	8002.82	7759.68	7416.63	9044.89
Q15059	O60885;P25440;Q15059	BRD3_HUMAN	BRD3	Bromodomain-containing protein 3	557.653	846.059	875.593	611.697	964.269	523.131
Q15061	Q15061	WDR43_HUMAN	WDR43	WD repeat-containing protein 43	1210.78	1401.14	806.599	809.404	1493.74	2126.11
Q15070	Q15070	OXA1L_HUMAN	OXA1L	Mitochondrial inner membrane protein OXA1L	1693.1	1631.71		1478.24	1255	2082.32
Q15075	Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1	832.665	596.404	2215.48	483.665		1861.77
Q15084	Q15084	PDIA6_HUMAN	PDIA6	Protein disulfide-isomerase A6	10325.3	10028.9	9916.64	10143.9	9367.5	10486.1
Q15102	Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1	2749.03	2013.05	2775.89	2639.62	3284.62	2426.23
Q15126	Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase	1529.72	2192.46	2206.66	2811.35	2296.98	1874.91
Q15149	Q15149	PLEC_HUMAN	PLEC	Plectin	38936.8	39450	38403.3	39198.3	38929.2	39019.4
Q15154	Q15154	PCM1_HUMAN	PCM1	Pericentriolar material 1 protein			863.384	432.16		
Q15165	Q15165	PON2_HUMAN	PON2	Serum paraoxonase/arylesterase 2	2634.18	3263.37	2776.11	2787.26	3192.11	4768.03
Q15181	Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	8126.68	7504.09	7473.28	8152.41	7826.54	7600.06
Q15185	Q15185	TEBP_HUMAN	PTGES3	Prostaglandin E synthase 3	20149	23519.4	19393	19925.6	19262.7	21198.4
Q15233	Q15233	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	8276.17	8195.88	8824.73	8289.36	8433.19	7900.46
Q15257	Q15257	PTPA_HUMAN	PTPA	Serine/threonine-protein phosphatase 2A activator	1803.96	2228.25	1881.17	2416.27	1965.25	1682.87
Q15269	Q15269	PWP2_HUMAN	PWP2	Periodic tryptophan protein 2 homolog	368.373	1018.41	721.114	1007.1	767.222	586.972
Q15286	Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	421.336	355.727	329.117	967.516	306.589	
Q15287	Q15287	RNPS1_HUMAN	RNPS1	RNA-binding protein with serine-rich domain 1	3036.97	3179.69	3284.78	2194.28	2629.19	3267.22
Q15293	Q15293	RCN1_HUMAN	RCN1	Reticulocalbin-1	2922.43	3320.96	3416.92	3917.44	3287.65	3290.85
Q15363	Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2	959.679	893.765	1298.1	1148.1	504.441	1042.54
Q15365	Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1	15205.2	13819.9	14895.2	15706	15777.4	15628.9
Q15366	Q15366	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	15218.7	18750.1	18217.7	17423.1	17998.6	18649
Q15369	Q15369	ELOC_HUMAN	ELOC	Elongin-C	2103.44	1657.81	2114.2	2142.19	2254.44	2009.57
Q15370	Q15370	ELOB_HUMAN	ELOB	Elongin-B	3893.02	3736.41	4587.93	3287.66	3199.82	3723.71
Q15382	Q15382	RHEB_HUMAN	RHEB	GTP-binding protein Rheb	1732.18	2112.51	2011.78	1855.79	1909.98	1505.76
Q15388	Q15388	TOM20_HUMAN	TOMM20	Mitochondrial import receptor subunit TOM20 homolog	4667.98	5925.24	4447.96	5066.83	5298.56	4894.93
Q15392	Q15392	DHC24_HUMAN	DHCR24	Delta(24)-sterol reductase	2032.69	2750.14	2337.29	2889.49	2170.83	2553.65
Q15393	Q15393	SF3B3_HUMAN	SF3B3	Splicing factor 3B subunit 3	3136.93	3351.68	2942.77	3304.84	3480.67	3529.62
Q15397	Q15397	PUM3_HUMAN	PUM3	Pumilio homolog 3	1449.41	1029.45	1716.78	693.956	742.758	1546.34
Q15404	Q15404	RSU1_HUMAN	RSU1	Ras suppressor protein 1	3471.76	3167.99	2746.13	2994.72	3000.75	2596.46
Q15417	Q15417	CNN3_HUMAN	CNN3	Calponin-3	3473.68	2814.42	3056.92	2926.74	3162.93	2813.94
Q15424	Q15424	SAFB1_HUMAN	SAFB	Scaffold attachment factor B1	2354.91	4684.07	2412.49	2805.04	2964.63	2904.18
Q15427	Q15427	SF3B4_HUMAN	SF3B4	Splicing factor 3B subunit 4		312.746		635.711		587.187
Q15428	Q15428	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2	3649.15	2263.86	2604.6	3981.26	3005.99	3359.21
Q15435	Q15435	PP1R7_HUMAN	PPP1R7	Protein phosphatase 1 regulatory subunit 7	1672.58				1450.26	1132.85
Q15436	Q15436	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	2218.91	2689.85	2655.03	2329.9	1991.53	1842.95
Q15437	Q15437	SC23B_HUMAN	SEC23B	Protein transport protein Sec23B	438.462		459.712			
Q15459	Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1	2391.28	2679.82	2955.92	2768.14	3206.22	2621.29
Q15477	Q15477	SKIV2_HUMAN	SKIV2L	Helicase SKI2W	961.509	1445.45	1471.16		703.101	600.987
Q15527	Q15527	SURF2_HUMAN	SURF2	Surfeit locus protein 2	1257.56		683.517	703.431	1069.47	769.061
Q15599	Q15599	NHRF2_HUMAN	SLC9A3R2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	440.655		1479.88		711.325	1262.26
Q15629	Q15629	TRAM1_HUMAN	TRAM1	Translocating chain-associated membrane protein 1	738.288	1101.77	1024.27		2305.68	
Q15631	Q15631	TSN_HUMAN	TSN	Translin	1990.34	1309.21	1017.89	1730.21	1522.51	1400.36
Q15637	Q15637	SF01_HUMAN	SF1	Splicing factor 1	1464.44	1638.04	1476.35	2101.18	1729.92	1451.22
Q15642	Q15642	CIP4_HUMAN	TRIP10	Cdc42-interacting protein 4	1830.14		1747.56	1008.12		910.791
Q15645	Q15645	PCH2_HUMAN	TRIP13	Pachytene checkpoint protein 2 homolog	5350.22	6021.03	5219.02	5845.85	5388.78	4914.75
Q15651	Q15651	HMGN3_HUMAN	HMGN3	High mobility group nucleosome-binding domain-containing protein 3	511.881	631.257	555.668	1392.6	640.393	327.595
Q15691	Q15691	MARE1_HUMAN	MAPRE1	Microtubule-associated protein RP/EB family member 1	3199.31	3044.14	3477.92	2915.26	3730.71	2964.49
Q15714	O75157;Q15714	T22D1_HUMAN	TSC22D1	TSC22 domain family protein 1			1007.41	877.914	1158.43	797.275
Q15717	Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	4105.38	4246.75	4467.52	4372.91	4117.39	4765.14
Q15738	Q15738	NSDHL_HUMAN	NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	1527.57	2000.41	2727.74	1057.95	1547.28	2075.77
Q15758	Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	2425.84	2775.61	2616.7	3003.56	2409.68	2446.79
Q15785	Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34	2126.99	2012	2038.36	2746.98	2330.83	3169.36
Q15796	Q15796	SMAD2_HUMAN	SMAD2	Mothers against decapentaplegic homolog 2	1210.5	1557.26	1455.31	1321.03	1004.11	1890.56
Q15813	Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E	414.817		654.676	375.558	363.911	415.457
Q15814	Q15814	TBCC_HUMAN	TBCC	Tubulin-specific chaperone C	649.726		435.042	506.502		
Q15819	Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	8869.99	11902.3	9968.24	11135.4	10173.2	10651
Q15836	Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3	780.809	881.022	1529.24	1137.26	904.676	1261.18
Q15843	Q15843	NEDD8_HUMAN	NEDD8	NEDD8	3315.87	2323.06	3004.81	2722.1	2568.03	2859.65
Q15904	Q15904	VAS1_HUMAN	ATP6AP1	V-type proton ATPase subunit S1		414.64	632.672		413.893	507.56
Q15907	P62491;Q15907	RB11B_HUMAN	RAB11B	Ras-related protein Rab-11B	6715.8	8171.28	7282.54	8167.96	8106.08	7785.73
Q15942	Q15942	ZYX_HUMAN	ZYX	Zyxin	2947.47	3002.74	2852.33	3401.92	3185.1	4006.29
Q16181	Q16181;Q6ZU15	SEPT7_HUMAN	SEPTIN7	Septin-7	3502.73	3503.38	3422.27	3503.42	3733.03	3814.3
Q16186	Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	1499.68	2181.58	1343.79	1856.71	1632.3	1700.45
Q16204	Q16204	CCDC6_HUMAN	CCDC6	Coiled-coil domain-containing protein 6			1198.22			846.404
Q16222	Q16222;Q3KQV9	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	1386.31	1231.14	1611.15	1261.36	1327.76	829.751
Q16270	Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	1926.56	2105.56	1540.6	2059.24	2053.07	2021.5
Q16401	Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	3327.11	3408.36	3253.39	3161.36	3585.5	3163.62
Q16513	Q16513	PKN2_HUMAN	PKN2	Serine/threonine-protein kinase N2	1166.92	1298.88	1335.61	999.318	1209.44	1055.38
Q16527	Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	1694.38	2309.41	2242.07	1731.3	1764.08	1989.46
Q16531	Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	5136.82	4830.26	5143.49	5625.68	5546.85	5063.9
Q16537	Q16537	2A5E_HUMAN	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	736.084	678.552	786.394	1009.28	667.858	
Q16540	Q16540	RM23_HUMAN	MRPL23	39S ribosomal protein L23, mitochondrial	1756.78	1047.79	602.631	1242.82		769.137
Q16543	Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37	3744.99	3547.76	4162.07	4388.33	3788.75	3965.81
Q16555	Q16555	DPYL2_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	5610.54	5892.77	6617.32	5729.56	6246.59	5408.8
Q16563	Q16563	SYPL1_HUMAN	SYPL1	Synaptophysin-like protein 1	3019.09	2129.64	4160.2	2417.66	2117.24	2645.19
Q16576	Q16576	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	10306	9621.23	9693.02	11049.1	9281.46	10379.3
Q16595	Q16595	FRDA_HUMAN	FXN	Frataxin, mitochondrial	580.746		547.605			
Q16629	Q16629	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	7676.21	10288.7	8845.4	9220.93	8727.96	8928.4
Q16630	Q16630	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	2566.59	2211.38	2080.87	2845.07	2350.46	1927.93
Q16643	Q16643	DREB_HUMAN	DBN1	Drebrin	3983.59	3853.89	4378.42	3664.99	4446.43	3967.61
Q16658	Q16658	FSCN1_HUMAN	FSCN1	Fascin	9951.66	10811	10391.6	9780.54	10336.8	9446.51
