Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5563.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5564.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5565.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5566.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5567.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5569.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5570.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5571.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5572.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5573.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5575.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5576.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5577.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5578.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5579.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5581.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5582.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5583.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5584.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5585.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5587.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5588.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5589.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5590.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5591.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5592.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5593.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5594.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5595.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5596.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5597.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5598.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5599.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5600.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5601.d
Q16637	Q16637	SMN_HUMAN	SMN1	Survival motor neuron protein											776.983					532.339			297.547	655.742	458.069				1135.63	572.463							351.439		
Q16643	Q16643	DREB_HUMAN	DBN1	Drebrin						1677.8	2860.73	1891.38	1596.32	1300.76	2359.79	1822.81	1971.14	1874.73	2280.36	1330.06	1391.8	1890.28	1449.09	1185.9	1530.64	1875.31	1359.81	1810.41	1865.65	1459.75	1294.8	1635.09	1452.76	1923.6	1382.76	1263.24	2039.15	1369.07	2217.15
Q16658	Q16658	FSCN1_HUMAN	FSCN1	Fascin		1.01E+06		1.21E+06	512444	7409.92	7563.06	7987	8550.43	6722.27	7701.39	8240.89	8041.18	8154.19	8183.29	8433.81	7541.46	7619.6	7327.68	8406.51	8165.79	7388.74	8133.25	8229	7648	8046.57	7923.59	7147.22	7574.89	7204.41	7752.35	8343.63	8280.38	7634.89	7604.76
Q16698	Q16698	DECR_HUMAN	DECR1	"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial"					368681	2161.2	1907.42	2527.44	1633.52	1497.55	1332.06	1599.9	2224.81	1392.51	1629.64	1423.72	1420.74	1388.23	1822.81	1670.29	1456.15	1851.66	1783.8	1769.06	1818.7	1759.75	1260.08	1427.32	1448.76	1877.61	1655.38	1292.07	1694.37	1657.15	1161.31
Q16718	Q16718	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5						656.136					171.437	789.501	401.323	524.338	253.445	530.711	633.542	595.213	685.978	596.904	520.105	676.66	985.104	455.997	334.165	555.648	837.207	973.399	448.176	494.84	643.78	658.692	767.833	430.728	487.027
Q16719	Q16719	KYNU_HUMAN	KYNU	Kynureninase				299474		1470.66	998.969	2008.87	1287.28	2694.07	2002.8	2274.83	1841.1	2131.01	1907.3	1949.96	1666.69	1892.99	1605.55	1891.8	1904.96	1670.81	2224	1982.47	2228.57	2174.24	1599.67	2344.26	2501.65	1802.62	1426.44	2368.29	2397.39	2141.25	2052.4
Q16740	Q16740	CLPP_HUMAN	CLPP	"ATP-dependent Clp protease proteolytic subunit, mitochondrial"												366.603						329.975						429.468			330.495		596.394						
Q16762	Q16762	THTR_HUMAN	TST	Thiosulfate sulfurtransferase																				355.723	134.931		121.298		355.612					288.512			454.341		
Q16763	Q16763	UBE2S_HUMAN	UBE2S	Ubiquitin-conjugating enzyme E2 S						676.628		669.327			1281.67	909.057	445.684	616.316	793.997	813.265	1133.09	409.787	665.458	816.821		363.065	660.354	327.609	570.078	285.739	324.676		288.631	675.577		432.005	278.425		
Q16773	Q16773	KAT1_HUMAN	KYAT1	Kynurenine--oxoglutarate transaminase 1									619.735		240		407.48	386.041		386.392											403.358	454.823		365.369					
Q16774	Q16774	KGUA_HUMAN	GUK1	Guanylate kinase										465.219	379.323	599.848	214.084					809.321		422.59	411.243	661.018	585.604		485.174		124.393	458.934			761.878	466.196	466.139		619.003
Q16775	Q16775	GLO2_HUMAN	HAGH	"Hydroxyacylglutathione hydrolase, mitochondrial"											683.696	885.103	696.828	562.005		1611.06			839.803	1149.23	922.777	1026	449.208	728.541	1065.96	826.58	618.841			1149.51	774.748	919.743	903.262	701.687	912.784
Q16795	Q16795	NDUA9_HUMAN	NDUFA9	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial"							645.797		1475.61	1630.09	725.623	595.156	474.346	1000.09	552.934	300.729	316.79	1246.53	415.847	624.226	902.458	518.945	517.345	804.111			541.353	565.055	116.24	650.148		1510.06	1057.89	919.859	1049.5
Q16822	Q16822	PCKGM_HUMAN	PCK2	"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"						1105.15			833.093	732.872	416.038		429.448	634.891		398.427	649.688	516.017	557.602	526.414	688.346	733.217	466.739	943.035	463.934	711.154	598.597	869.817		669.186	942.564	559.45	676.564	368.194	694.209
Q16836	Q16836	HCDH_HUMAN	HADH	"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"						3448.54	4248.38	3715.29	3624.51	3436.97	2572.02	3510.03	3501.62	3853.36	3116.04	4606.54	4451.2	3404.6	2520.11	2167.77	2922.28	3581.62	3748.27	3506.46	3095.91	4795.42	2797.42	4153.78	2744.39	3860.77	3114.99	3351.96	3172.86	3404.87	3942.03
Q16850	Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase											572.407			830.725	987.548	1024.49	3175.72	676.731	810.628	778.143	1086.11	441.175	649.073	660.258	1021.88	1513.49	555.827	940.94		952.125	746.366	962.842		453.693	315.78
Q16851	Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase						979.036	1055.06	1181.96	2461.2	2581.97	1522	1650.82	1532.82	1673.38	1328.82	1350.29	1373.71	1460.6	1343.55	1672.51	2042.86	1438.75	1378.88	1362.07	1452.8	1367.58	1748.81	1097.29	1476.07	1511.14	1407.33	1590.74	1521.2	1425.28	1456.42
Q16864	Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F						454.15				494.871			367.067	158.267				336.472			235.552	475.063	511.379	507.584	609.871	476.495			376.315	249.773	603.102			349.955	483.062
Q16880	Q16880	CGT_HUMAN	UGT8	2-hydroxyacylsphingosine 1-beta-galactosyltransferase						198.787							604.049													459.05					560.947				
Q16881	Q16881	TRXR1_HUMAN	TXNRD1	"Thioredoxin reductase 1, cytoplasmic"						6425.18	6816.06	7202.72	5803.34	7057.77	6795.85	5512.42	5706.94	5926.51	6589.05	6777.45	6401.63	6199.19	6537.98	6121.93	7001.43	6403.08	6067.28	6458.38	6071.12	6794.73	6146.07	6923.04	6928.92	6215.55	5752.17	7197.99	6817.85	6543.89	6797.65
Q16890	Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53						1127.62	723.005	964.46	667.912		997.068	1023.17	728.03	595.389	1071.49	803.052			1313.45	753.419	781.248	769.786		510.097	883.42	787.185	926.522	422.13	765.809	311.1	571.959	710.769	482.967	926.084	938.43
Q16891	Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60						2406.96	2485.28	2793.62	2346	2926.7	1795.19	1723.98	1735.1	2374.97	2967.68	2600.19	1958.38	2263.68	2371.24	2072.38	2230.94	2544.21	2525.74	2142.83	2079.24	2276.94	2404.75	2533.71	2100.71	2419.73	2346.44	2022.94	2340.65	2020.5	2528.96
Q17RY6	Q17RY6	LY6K_HUMAN	LY6K	Lymphocyte antigen 6K																	550.388					99.997	467.833		279.055		628.866		410.189			941.095		598.06	
Q1KMD3	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2						3381.46	2915.16	3567.06	4049.53	4203.22	3060.45	2607.78	3441.41	3460.84	3229.92	3850.9	3384.49	3367.36	3257.57	3798.7	3179.69	3273.25	3084.58	3442.22	2994.14	3195.51	2967.31	3073.73	2926.96	2981.38	2426.18	3500.61	2964.63	3562.73	2987.1
Q27J81	Q27J81	INF2_HUMAN	INF2	Inverted formin-2								244.541			187.567		316.204	399.803		182.748	175.078	92.4339		181.786	556.552	838.01	658.676	1044.94	767.431	589.89		441.426	257.923	835.924	574.581	646.575	741.516	340.29	
Q29RF7	Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A						1197.85	967.367	1027.63	1149.03		1067.57	944.873	634.58	1024.77	926.629	1048.43	707.599	817.952	696.171	1044.84	824.314	841.27	588.714	1030.75	986.007	755.242	637.523	652.028	703.733	1027.6	827.183	1037.34	551.569	1012.45	491.25
Q2M389	Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4											411.279	608.016		344.597			578.875			363.766											304.116				
Q2MV58	Q2MV58	TECT1_HUMAN	TCTN1	Tectonic-1																											1593.5		2077.89	1464.63	1897.39	1382.77	1922.1	2356	
Q2NL82	Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog								609.653			426.87	337.596		316.71		289.678	214.025	470.953	633.31	532.813	467.3	353.906	657.232	693.338	395.335	649.277	448.063	513.107	477.658	294.176	355.427	645.244	507.416	587.656	578.488
Q2TAL8	Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1						452.086			346.985	448.155														276.486			243.867				446.562			468.839	
Q2TAY7	Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1						1671.71		1575.68	856.013	631.496	1187.25	913.892	864.081	1137.47	559.218	908.921	1378.36	896.74	1219.88	1173.04	872.762	647.176	897.633	1030.51	873.758	1028.63	626.364	795.081	466.107	821.174	823.132	982.343	1535.25	612.668	889.086
Q32MZ4	Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1									870.491	1479.8	1110.17	1089.17	1281.92	1148.57		3082.49	2261.31	2090.76	2480.03	1159.77	1084.27	1516.75	1085.24	1173.58	1000.41	847.362	886.75	625.463	906.974	871.063	1041.67	797.283	809.636	602.828	1021.99
Q32P28	Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1							2787.93				1086.22	1526.84	1532.6	1398.76	1801.85	1521.75	1430.45	1862.52	1474.82	1452.71	1645.42	1461.12	1531.53	1284.51	1391.78	1554.89	1318.21	1817.61	592.489	1090.14	1070.47	1477.42	1343.19	1119.4	1164.79
Q3KQU3	Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1						993.239							579.752					1166.58				479.736								214.386	409.705	279.049	227.618		
Q3LXA3	Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase										444.986		571.029			598.352		209.336	893.811		1079.84	702.743	443.429	524.046	357.024	809.727	539.336		362.166	964.646	625.938	213.628			396.237	332.488
Q3MHD2	Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12 homolog								906.384			302.975	75.867	589.237		422.748	290.239	311.981	539.867	859.957	529.742	74.0916	179.556	387.703	162.627	542.772	258.743	252.538	76.534	691.183	317.184	207.583	514.784	454.572	169.879	272.358
Q3ZAQ7	Q3ZAQ7	VMA21_HUMAN	VMA21	Vacuolar ATPase assembly integral membrane protein VMA21											1306.45	863.654	1578.6	1023.48							640.956	1173.53					853.825	819.008		777.526	817.676				
Q3ZCQ8	Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50								1201.24		1061.09		714.63		830.669	750.106	694.842	720.021	640.633	618.181	419.978		808.992			1142.6	579.544	809.854	680.073	359.304	691.715	525.534	591.459		549.295	747.557
Q49A26	Q49A26	GLYR1_HUMAN	GLYR1	Putative oxidoreductase GLYR1												166.008	291.443		609.028				523.313		299.421	312.54	699.107	396.373	227.205	325.993	314.922		608.819	207.415	362.983		321.835	160.558	
Q4G0J3	Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7						117.067		889.351							592.907		718.86			191.003		330.959				494.261	576.318			284.479	575.804			407.501	
Q4G0N4	Q4G0N4	NAKD2_HUMAN	NADK2	"NAD kinase 2, mitochondrial"								380.544					336.544					230.374			293.662			322.19		272.789	285.326		214.311	213.25	158.303	402.538	199.688	289.374	233.64
Q4J6C6	Q4J6C6	PPCEL_HUMAN	PREPL	Prolyl endopeptidase-like										398.66	540.965	441.336	781.888				653.93	858.802		585.214	1052.48		988.208	610.612							994.377	646.655			
Q4VC31	Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23						939.351	1161.55			733.03	685.23	1034.07	861.793	1355.26	1206.05	836.888	1474.66	1149.08	874.506	895.298	834.421	988.831	1546.12	1298.94	502.897	1175.51	1192.33	868.203	1360.6	1093.33	1041.35	796.418	507.073	1361.99	1198.56
Q52LJ0	Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B						787.742	1169.05	1008.83		177.945	840.564	631.477	1045.59	1315.59	363.885	576.238	402.286	997.091	842.6	548.232	672.651	792.836	545.331	841.686	1088.88	318.205	730.648	728.476	454.831	624.094	1450.5	217.192	825.717	574.025	498.843
Q53EL6	Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4						1132.33	1115.07	1674.61	1655.46	856.086	1398.19	1775.68	1746.46	1628.45	1698.87	1973.02	616.768	2216.88	1886.74	1664.61	1945.33	1556.37	2336.89	2052.26	2025.38	1830.78	1327.22	673.319	2026.09	1757.74	1485.92	2024.12	1931.57	1706.84	1558.42
Q53EP0	Q53EP0	FND3B_HUMAN	FNDC3B	Fibronectin type III domain-containing protein 3B																		457.357			112.159						440.372								
Q53F19	Q53F19	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3																334.652	159.858								442.48	216.951	141.174						174.195		584.321
Q53FT3	Q53FT3	HIKES_HUMAN	HIKESHI	Protein Hikeshi															631.179		174.235												225.992					458.466	
Q53GS9	Q53GS9	SNUT2_HUMAN	USP39	U4/U6.U5 tri-snRNP-associated protein 2								220.645			616.437			329.786	501.634	799.748	934.288	968.016	404.89	226.998	858.291	928.281	924.103	474.971	422.807	309.061	661.244		343.01	366.313		375.636	864.309	541.141	896.827
Q53H12	Q53H12	AGK_HUMAN	AGK	"Acylglycerol kinase, mitochondrial"												446.697					384.339									513.659	511.12			527.077	860.774	927.452		595.328	
Q56VL3	Q56VL3	OCAD2_HUMAN	OCIAD2	OCIA domain-containing protein 2								657.743		436.696	497.49												680.787												
Q5BJF2	Q5BJF2	SGMR2_HUMAN	TMEM97	Sigma intracellular receptor 2						2194.54	1994.23	2898.34		2090.73	2423.42	1027.19	1652.06		1138.61	2055.4	1293.47	2062.99	1583.51		2115.51	1557.63	1772.62	1888.71	1735.61	1971.6	2420.2	1684.42	2150.81	1293.88	2142.1	1993.92	2298.62	1417.2	1606.18
Q5BKZ1	Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326												605.846				391.392	852.567	549.587	396.003			437.746	993.295	86.1614	653.377	373.223	241.759								
Q5EBL8	Q5EBL8	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11											539.995		414.324				543.855		429.097		279.557		401.673	194.725		230.862						397.841		567.414	
Q5F1R6	Q5F1R6	DJC21_HUMAN	DNAJC21	DnaJ homolog subfamily C member 21											498.516	1225.55	773.227		249.923	590.101	346.929	567.474	881.341		671.733	183.784		417.766	492.452	210.516	359.372	179.415	326.423	276.961	568.33	661.377			355.641
Q5H9R7	Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3							739.555	794.681		264.383		640.302	1043.58	782.714	311.269	1019.53	452.794	279.772	642.321	535.219	412.455	590.306	711.247	755.697	427.545	676.063	437.038	680.823	494.397		740.967	395.411		766.645	926.183
Q5HYC2	Q5HYC2	K2026_HUMAN	KIAA2026	Uncharacterized protein KIAA2026																35424.8			60300.4			2309.22		1774.49	3252.18		3118.52	3243.59	1973.43			4363.64	3501.4	2718.2	2750.87
Q5J8M3	Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4							595.402		413.821			167.716		684.39		489.911	559.603		397.363		180.138	197.832		298.971	473.033	559.376		404.37	296.444			548.377			
Q5JPH6	Q5JPH6	SYEM_HUMAN	EARS2	"Probable glutamate--tRNA ligase, mitochondrial"									901.754			417.422					609.752			552.177														801.365	
Q5JRA6	Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog							361.048	463.7	538.372	495.431	349.925	253.814		642.446	662.148	440.723	477.622	558.789	309.283		366.804		953.368	926.425	211.346	387.015		490.389	86.846		271.301	463.658	278.479	520.967	
Q5JRX3	Q5JRX3	PREP_HUMAN	PITRM1	"Presequence protease, mitochondrial"						582.475	561.288	482.802		677.915		881.69	608.112	679.077	400.479	623.978	472.199	400.703	607.211	719.384	507.527	364.595	610.667	487.154	484.745	697.246	420.708	985.488	789.177	809.061			227.212	513.648	
Q5JSH3	Q5JSH3	WDR44_HUMAN	WDR44	WD repeat-containing protein 44							498.512	582.241	328.725	357.87	413.707	493.255	377.175	291.937		278.792		777.828	630.446		364.983	489.091	615.823	423.742	360.02	527.77	690.403	386.656	570.237	474.117	489.732	626.763		400.632	309.975
Q5JTH9	Q5JTH9	RRP12_HUMAN	RRP12	RRP12-like protein						509.61		515.138	572.088	1044.22	1594.21	1673.91	2864.5	1165.81	918.738		1602.24	959.649	692.732		616.612	590.942	1421.43	963.881	931.987	645.959	937.855	1343.54	569.211	1030.28	409.491	741.135	1076.42	551.033	852.404
Q5JTJ3	Q5JTJ3	COA6_HUMAN	COA6	Cytochrome c oxidase assembly factor 6 homolog		433126				825.923	488.126	410.668	665.073	394.901	1118.22	1150.62	1028.81	969.132	430.915	957.137	713.899	978.97	1143.95	336.704	894.119	1170.18	990.795	778.971	954.796	911.485	1045.79	980.899	687.19	965.476	586.306	968.73	897.665	436.119	322.12
Q5JTV8	Q5JTV8	TOIP1_HUMAN	TOR1AIP1	Torsin-1A-interacting protein 1						1230.19	1514.36	1073.71	1145.16	1024.66	1229.77	1332.63	1135.12	937.564	783.801	839.978	992.012	1455.65	1269.11	1777.86	911.085	1469.39	1094.55	901.825	1031.13	1386.62	1021.76	924.706	807.669	1163.56	1073.05	592.676	963.269	904.778	1006.27
Q5JTZ9	Q5JTZ9	SYAM_HUMAN	AARS2	"Alanine--tRNA ligase, mitochondrial"												362.367	334.353	669.216									394.877	175.836	407.103	369.128	235.266	145.182			618.317	358.613			
Q5JVF3	Q5JVF3	PCID2_HUMAN	PCID2	PCI domain-containing protein 2								647.465	255.184		470.818	533.366	315.829	361.922					384.738	434.045					586.816	278.519		166.048		516.402	240.178			531.12	
Q5M775	Q5M775	CYTSB_HUMAN	SPECC1	Cytospin-B						563.803					779.848	402.205		478.256	285.186		352.559	473.755	413.372		493.301	346.747	210.938			259.433			227.408	351.846				201.208	410.589
Q5MY95	Q5MY95	ENTP8_HUMAN	ENTPD8	Ectonucleoside triphosphate diphosphohydrolase 8							788.357			1836.66	1198.15	2201.24	1945.15	1541.41	1198.9	1305.02	1720.47		1066.59	1547.31		1823.07	1598.84	1085.98	1623.12		2112.57	1256.78	1547.31	1866.89	1722.1				1600
Q5QJE6	Q5QJE6	TDIF2_HUMAN	DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2							298.505	280.681	500.63			322.095	400.544		483.469					361.925	390.715	419.285	234.841	492.739	424.407	569.874	448.723	282.078		483.926		195.013		291.586	166.404
Q5R3I4	Q5R3I4	TTC38_HUMAN	TTC38	Tetratricopeptide repeat protein 38											779.813	1054.89		247.1		455.188	839.172		1327.33		933.209	892.183	370.6	908.776	277.818	513.414		799.742	602.137		484.033	695.705	445.492	456.429	248.57
Q5RI15	Q5RI15	COX20_HUMAN	COX20	"Cytochrome c oxidase assembly protein COX20, mitochondrial"														854.412			869.065					957.271									606.218	394.322	412.171	195.655	380.376
Q5RKV6	Q5RKV6	EXOS6_HUMAN	EXOSC6	Exosome complex component MTR3											453.764	1369.57	696.875	913.73	867.896	697.584	586.67	914.421	342.812	1011.77	351.228	762.776	266.613	734.677	548.089	837.362	947.533	1019.73	792.536	961.985	467.841	683.867	639.459	818.17	731.834
Q5SRE5	Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188													697.699	651.532	626.462		432.493		367.344	423.831	325.671	419.957	299.124			313.164	524.98	350.551		1006.29		597.468		304.84	425.329
Q5SSJ5	Q5SSJ5	HP1B3_HUMAN	HP1BP3	Heterochromatin protein 1-binding protein 3		588512			300814	2914.4	1301.86	1369.4	1799.74	1332.55	1682.64	2056.4	2148.96	2003.58	1625.91	1712.19	1501.99	2054.53	2113.39	1851.19	2005.71	1534.17	1401.02	1684.12	1303.94	1402.7	1720.33	2011.61	1770.39	2075.58	1962.01	2061.91	1528.04	1753.17	1666.8
Q5SY16	Q5SY16	NOL9_HUMAN	NOL9	Polynucleotide 5'-hydroxyl-kinase NOL9																									200.583								337.234		331.864
Q5T280	Q5T280	CI114_HUMAN	SPOUT1	Putative methyltransferase C9orf114																		605.922	214.017				377.027	192.378		172.167	186.621		256.955						
Q5T4S7	Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4						960.243	6742.75	2516.13	1571.95	1258.03	1129.98	999.57	987.855	1447.65	856.26	818.919	1102.05	2611.59	1412.04	1504.06	1231.42	1189.7	1015.99	1172.26	965.355	1061.25	1253.85	1032.11	1275.53	929.201	946.246	1072.69	714.598	920.175	1060.48
Q5T653	Q5T653	RM02_HUMAN	MRPL2	"39S ribosomal protein L2, mitochondrial"												401.861	376.165			618.074	685.117	315.378	296.484		421.039		212.722	615.698	594.849	510.725		458.693	395.359	828.075		746.349	592.171	481.769	
Q5T6F2	Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2						938.147		647.566			432.871	492.841		504.167		653.175	295.725		746.314	515.841	359.279	409.738	647.241	716.071	564.095	324.161	445.683	278.779	620.1	416.705	435.103	382.579	672.491	534.723	336.435
Q5T6V5	Q5T6V5	QSPP_HUMAN	C9orf64	Queuosine salvage protein						655.869				742.663	556.76	726.321		729.898				611.841		387.626	495.679	1020.85		411.309	685.421	844.744	688.681		1224.5	413.131	429.724	1096.56	511.142	834.354	596.873
Q5T8P6	Q5T8P6	RBM26_HUMAN	RBM26	RNA-binding protein 26						742.477		403.536	179.841	276.798	505.648	698.113	708.564		388.76		668.433	416.774	139.874	263.906	617.012	474.702	449.749	276.365	168.384			654.909		997.195	431.736	491.153	518.911	615.809	209.305
Q5T9A4	Q5T9A4	ATD3B_HUMAN	ATAD3B	ATPase family AAA domain-containing protein 3B										1113.79	1575.9	997.5	765.449	1672.77				1293.94	1786.16	3145.98		1272.25	1705.27	1092.86		1512.64	1118.97	1541.8	847.439		534.599			890.375	935.922
Q5TDH0	Q5TDH0	DDI2_HUMAN	DDI2	Protein DDI1 homolog 2										187.729		570.585																			484.515			198.874	358.506
Q5TEC6	Q16695;Q6NXT2;P68431;Q71DI3;Q5TEC6;P84243	H37_HUMAN	H3-7	Histone H3-7	9.28E+07	1.30E+08	1.28E+08	2.30E+07	3.51E+07	211338	225969	238143	249349	246889	292989	286800	311970	296039	301971	246055	246686	251166	254906	218357	280014	263971	271669	255366	263840	265281	265956	286449	287988	291819	300130	309806	294164	296055	292090
Q5TFE4	Q5TFE4	NT5D1_HUMAN	NT5DC1	5'-nucleotidase domain-containing protein 1												209.371		323.415			379.869	302.236	501.353	205.118	252.603	345.427		357.999	353.634			622.708	237.35		241.142	294.736		363.53	426.116
