Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Unique Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Unique Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Unique Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Unique Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Unique Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Unique Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Unique Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Unique Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Total Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Total Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Total Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Total Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Total Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Total Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Total Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Intensity	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 MaxLFQ Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 MaxLFQ Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 MaxLFQ Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 MaxLFQ Intensity	Indistinguishable Proteins
sp|P62256|UBE2H_HUMAN	P62256	UBE2H_HUMAN	UBE2H	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 H	1	0.999	4	8	8	8	2	2	3	1	0	0	0	0	2	2	3	1	0	0	0	0	2	2	3	1	0	0	0	0	36792.42	33620.914	82057.27	44703.145	0	0	0	0	30711.121	48742.957	37400.66	0	0	0	0	0	
sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein epsilon	1	0.999	20	195	195	233	38	58	53	28	0	6	12	0	38	58	53	28	0	6	12	0	46	66	62	36	2	7	14	0	1200772.8	2184282.5	2095088.9	1267524.6	0	594601.9	776765.75	0	287561.34	342582.84	349010.6	315367.12	0	292731.53	299674.34	0	
sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S14	1	0.999	6	63	63	63	16	18	13	9	0	2	5	0	16	18	13	9	0	2	5	0	16	18	13	9	0	2	5	0	632637.3	831459.4	830795.94	457653.8	0	337050.75	446402.94	0	286960.88	387589.4	427864.62	190701.3	0	208884.75	282828.78	0	
sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S23	1	0.999	5	62	62	62	8	24	23	7	0	0	0	0	8	24	23	7	0	0	0	0	8	24	23	7	0	0	0	0	45056.38	397464.34	446265.94	131894.33	0	0	0	0	28969.535	99790.06	119838.734	96949.234	0	0	0	0	
sp|P62269|RS18_HUMAN	P62269	RS18_HUMAN	RPS18	152	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S18	1	0.999	15	175	175	175	36	42	41	30	3	10	13	0	36	42	41	30	3	10	13	0	36	42	41	30	3	10	13	0	1020730.3	1479546.2	1513054.2	1232460.5	0	632662.4	856360.06	0	198306.39	187942.98	208528.69	206898.8	0	179017.36	195708.3	0	
sp|P62273|RS29_HUMAN	P62273	RS29_HUMAN	RPS29	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S29	1	0.999	3	38	38	38	6	8	14	6	0	2	2	0	6	8	14	6	0	2	2	0	6	8	14	6	0	2	2	0	108681.99	244149.28	335709	176508	0	78605.51	107303.055	0	66355.555	87663.46	108422.37	80522.02	0	0	93530.305	0	
sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S13	1	0.999	10	70	70	70	15	18	21	13	0	1	2	0	15	18	21	13	0	1	2	0	15	18	21	13	0	1	2	0	413473.2	753146	683527.75	702968.06	0	125020.58	190911.47	0	139859.77	234305.53	225712.47	158173.94	0	0	97856.32	0	
sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S11	1	0.999	17	144	144	144	25	39	39	23	0	7	11	0	25	39	39	23	0	7	11	0	25	39	39	23	0	7	11	0	964568.5	1317632.1	1289871.4	1197190.1	0	653197.56	756922.1	0	142724.69	142156.05	144428.66	151878.08	0	160523.22	136026.97	0	
sp|P62304|RUXE_HUMAN	P62304	RUXE_HUMAN	SNRPE	92	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein E	1	0.999	2	12	12	12	1	4	4	3	0	0	0	0	1	4	4	3	0	0	0	0	1	4	4	3	0	0	0	0	10011.386	51209.79	30514.361	0	0	0	0	0	0	37270.17	20047.752	0	0	0	0	0	
sp|P62306|RUXF_HUMAN	P62306	RUXF_HUMAN	SNRPF	86	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein F	1	0.999	4	31	31	31	9	10	11	1	0	0	0	0	9	10	11	1	0	0	0	0	9	10	11	1	0	0	0	0	90521.695	104201.47	87865.734	28613.818	0	0	0	0	43077.227	43018.312	43362.645	0	0	0	0	0	
sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm3	1	0.999	2	12	12	12	1	5	4	2	0	0	0	0	1	5	4	2	0	0	0	0	1	5	4	2	0	0	0	0	11166.21	57882.746	58042.035	13507.4	0	0	0	0	0	37066.055	39962.7	0	0	0	0	0	
sp|P62312|LSM6_HUMAN	P62312	LSM6_HUMAN	LSM6	80	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm6	1	0.999	4	16	16	16	5	5	4	2	0	0	0	0	5	5	4	2	0	0	0	0	5	5	4	2	0	0	0	0	65724.19	63492.24	61905.156	31637.691	0	0	0	0	19202.527	18510.102	17535.307	18225.016	0	0	0	0	
sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D1	1	0.999	4	19	19	19	0	9	8	2	0	0	0	0	0	9	8	2	0	0	0	0	0	9	8	2	0	0	0	0	0	161882.94	164726.19	11693.648	0	0	0	0	0	79140.45	81660.42	0	0	0	0	0	
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D2	1	0.999	7	90	90	90	24	23	20	16	0	4	3	0	24	23	20	16	0	4	3	0	24	23	20	16	0	4	3	0	532168.5	561866.75	611295.25	578695.5	0	311004.1	295479.7	0	120113.57	99297.42	109880.2	113938.26	0	163496.19	149370.33	0	
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D3	1	0.999	3	12	12	12	0	5	5	2	0	0	0	0	0	5	5	2	0	0	0	0	0	5	5	2	0	0	0	0	19415.617	119015.72	90608.945	35642.785	0	0	0	0	0	98872.836	56120.95	0	0	0	0	0	
sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thymosin beta-4	1	0.999	8	200	200	200	39	53	55	33	1	7	12	0	39	53	55	33	1	7	12	0	39	53	55	33	1	7	12	0	1872791.8	3323582.5	3432989.8	2085828.2	0	1145015.6	1420470.5	0	680801.44	856951.94	979267.9	682752.94	0	431612.94	595105.2	0	
sp|P62330|ARF6_HUMAN	P62330	ARF6_HUMAN	ARF6	175	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor 6	1	0.999	3	9	9	9	0	5	4	0	0	0	0	0	0	5	4	0	0	0	0	0	0	5	4	0	0	0	0	0	0	65428.5	68101.66	0	0	0	0	0	0	23767.582	24620.908	0	0	0	0	0	
sp|P62333|PRS10_HUMAN	P62333	PRS10_HUMAN	PSMC6	389	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome regulatory subunit 10B	1	0.999	16	69	69	69	13	20	25	9	0	1	1	0	13	20	25	9	0	1	1	0	13	20	25	9	0	1	1	0	200971.05	416665.5	433148.38	191310.31	0	0	40277.61	0	44783.316	59130.902	50993.57	42419.156	0	0	0	0	
sp|P62380|TBPL1_HUMAN	P62380	TBPL1_HUMAN	TBPL1	186	Homo sapiens OX=9606	1:Experimental evidence at protein level	TATA box-binding protein-like 1	1	0.999	2	5	5	5	2	2	1	0	0	0	0	0	2	2	1	0	0	0	0	0	2	2	1	0	0	0	0	0	6191.9814	3977.8164	4654.339	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L7a	1	0.999	15	167	167	167	31	45	49	26	0	6	10	0	31	45	49	26	0	6	10	0	31	45	49	26	0	6	10	0	607912.06	1804477.9	1863512.9	1230256	239173.33	691504.44	694404.06	0	127812.945	330806.97	349359.7	214316.25	0	211237.56	217017.11	0	
sp|P62487|RPB7_HUMAN	P62487	RPB7_HUMAN	POLR2G	172	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB7	1	0.999	5	11	11	11	2	6	3	0	0	0	0	0	2	6	3	0	0	0	0	0	2	6	3	0	0	0	0	0	10516.911	37630.703	24357.104	0	0	0	0	0	6066.6	10707.353	11520.141	0	0	0	0	0	
sp|P62495|ERF1_HUMAN	P62495	ERF1_HUMAN	ETF1	437	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic peptide chain release factor subunit 1	1	0.999	14	72	72	72	14	22	24	12	0	0	0	0	14	22	24	12	0	0	0	0	14	22	24	12	0	0	0	0	153085.62	343876.16	308154.3	143841.38	0	0	0	0	30731.057	46896.418	47165.684	29492.844	0	0	0	0	
sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCHC-type zinc finger nucleic acid binding protein	1	0.999	7	40	40	40	9	13	11	5	0	1	1	0	9	13	11	5	0	1	1	0	9	13	11	5	0	1	1	0	100407.24	195162.19	164157.62	100119.27	0	0	44308.27	0	33794.15	60200.008	52817.09	49996.316	0	0	0	0	
sp|P62699|YPEL5_HUMAN	P62699	YPEL5_HUMAN	YPEL5	121	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein yippee-like 5	0.9633	0.9981	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2300.2969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P62701|RS4X_HUMAN	P62701	RS4X_HUMAN	RPS4X	263	Homo sapiens OX=9606	1:Experimental evidence at protein level	"40S ribosomal protein S4, X isoform"	1	0.999	18	174	50	174	27	45	45	33	2	9	13	0	3	16	16	9	2	2	2	0	27	45	45	33	2	9	13	0	1155824.5	1755464.4	2232536.8	1509161.4	0	870047.4	923286.9	0	223527.55	241432.81	255590.28	215066.36	0	204584.47	200766.02	0	
sp|P62714|PP2AB_HUMAN	P62714	PP2AB_HUMAN	PPP2CB	309	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	0.9991	0.9984	9	4	4	25	3	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	5	9	9	2	0	0	0	0	18810.227	0	15412.014	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P62745|RHOB_HUMAN	P62745	RHOB_HUMAN	RHOB	196	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoB	1	0.999	5	12	12	14	2	4	5	1	0	0	0	0	2	4	5	1	0	0	0	0	2	5	6	1	0	0	0	0	12261.235	44885.047	47774.414	20947.596	0	0	0	0	0	21295.434	18247.83	0	0	0	0	0	
sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L23a	1	0.999	7	104	104	104	22	27	22	17	2	5	9	0	22	27	22	17	2	5	9	0	22	27	22	17	2	5	9	0	965536.44	1367302.1	1265242.6	1067325.5	0	351633.25	641015.2	0	188912.28	228283.53	244039.55	211302.6	0	139755.28	161042.97	0	
sp|P62753|RS6_HUMAN	P62753	RS6_HUMAN	RPS6	249	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S6	1	0.999	7	67	67	67	10	19	20	10	1	3	4	0	10	19	20	10	1	3	4	0	10	19	20	10	1	3	4	0	413330.16	977548.56	933615.1	496779.2	230725.38	346378.34	364491.53	0	203686.14	298552.6	311811.53	261602.78	0	255428.73	226560.33	0	
sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C16	103	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H4	1	0.999	12	296	296	296	43	77	81	47	12	15	19	2	43	77	81	47	12	15	19	2	43	77	81	47	12	15	19	2	4417883.5	9156141	9040919	8113713	6486638	5202349	5079243.5	9491.837	960612.06	2302458.5	2148808.5	1896945.4	2717366.5	1177009.5	1144718.8	7715.182	
sp|P62820|RAB1A_HUMAN	P62820	RAB1A_HUMAN	RAB1A	205	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-1A	1	0.999	11	60	40	76	14	19	13	11	0	0	3	0	9	13	7	8	0	0	3	0	17	23	18	14	0	0	4	0	394733.22	522932.84	534479.4	229291.89	0	0	123080.59	0	112161.87	116270.875	131789.52	129383.99	0	0	121417.45	0	
sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding nuclear protein Ran	1	0.999	12	122	122	122	24	30	37	14	6	5	6	0	24	30	37	14	6	5	6	0	24	30	37	14	6	5	6	0	1378360	1789227	1792895.8	1092476	0	822157.56	896597.4	0	349908.56	462839.7	511230.28	367710.34	0	285135.4	313767.16	0	
sp|P62829|RL23_HUMAN	P62829	RL23_HUMAN	RPL23	140	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L23	1	0.999	7	93	93	93	14	31	25	15	0	4	4	0	14	31	25	15	0	4	4	0	14	31	25	15	0	4	4	0	370044.47	694963.4	714414.3	574764.94	0	199715.64	369055.62	0	193557	224227.45	245557.67	261961.56	0	0	195411.3	0	
sp|P62834|RAP1A_HUMAN	P62834	RAP1A_HUMAN	RAP1A	184	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rap-1A	1	0.999	7	6	6	35	0	2	4	0	0	0	0	0	0	2	4	0	0	0	0	0	7	9	13	5	0	0	1	0	0	33211.203	35797.7	0	0	0	0	0	0	18221.012	17443.775	0	0	0	0	0	
sp|P62837|UB2D2_HUMAN	P62837	UB2D2_HUMAN	UBE2D2	147	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 D2	0.9999	0.999	2	7	2	7	2	1	1	3	0	0	0	0	1	0	0	1	0	0	0	0	2	1	1	3	0	0	0	0	48605.344	134420.6	150266.45	141799.27	0	0	0	0	29541.125	0	0	84145.76	0	0	0	0	
sp|P62841|RS15_HUMAN	P62841	RS15_HUMAN	RPS15	145	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S15	1	0.999	2	31	31	31	6	7	11	5	0	0	2	0	6	7	11	5	0	0	2	0	6	7	11	5	0	0	2	0	171700.81	264099.25	375444.1	240704.4	0	0	91228.36	0	110243.586	146057.11	168952.73	156650.36	0	0	76245.42	0	
sp|P62847|RS24_HUMAN	P62847	RS24_HUMAN	RPS24	133	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S24	1	0.999	5	34	34	34	4	12	13	4	0	0	1	0	4	12	13	4	0	0	1	0	4	12	13	4	0	0	1	0	90886.83	339361.72	342007.66	116829.53	0	0	38903.688	0	90569.305	96808.64	108150.98	90062.87	0	0	0	0	
sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S25	1	0.999	6	49	49	49	9	13	10	8	0	4	5	0	9	13	10	8	0	4	5	0	9	13	10	8	0	4	5	0	575981.6	1134498.1	1062268.4	903271.2	0	398382.8	479116.56	0	199032.3	473090.62	484608.94	368119.62	0	181093.94	184527.6	0	
sp|P62854|RS26_HUMAN	P62854	RS26_HUMAN	RPS26	115	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S26	1	0.999	2	29	0	29	4	9	7	7	0	1	1	0	0	0	0	0	0	0	0	0	4	9	7	7	0	1	1	0	220987.14	312198.47	332975.7	327462.53	0	210686.67	181330.92	0	0	209085.42	282751.34	176924.9	0	0	0	0	sp|Q5JNZ5|RS26L_HUMAN
sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S28	1	0.999	2	26	26	26	5	6	6	5	1	1	2	0	5	6	6	5	1	1	2	0	5	6	6	5	1	1	2	0	177683.58	211165.44	197273.34	193509.88	0	77579.92	143456.75	0	133457.14	109071.49	112867.59	126290.09	0	0	135663.4	0	
sp|P62861|RS30_HUMAN	P62861	RS30_HUMAN	FAU	133	Homo sapiens OX=9606	1:Experimental evidence at protein level	FAU ubiquitin-like and ribosomal protein S30	1	0.999	2	22	22	22	3	8	7	3	0	0	1	0	3	8	7	3	0	0	1	0	3	8	7	3	0	0	1	0	20632.97	143167.58	178318.4	49125.4	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P62873|GBB1_HUMAN	P62873	GBB1_HUMAN	GNB1	340	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	1	0.999	6	35	16	35	5	12	11	6	0	0	1	0	2	6	5	3	0	0	0	0	5	12	11	6	0	0	1	0	121201.875	232603.08	240143.4	160423.12	0	0	85872.56	0	58689.426	64451.56	72995.44	61509.15	0	0	0	0	
sp|P62875|RPAB5_HUMAN	P62875	RPAB5_HUMAN	POLR2L	67	Homo sapiens OX=9606	1:Experimental evidence at protein level	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	0.9801	0.999	1	3	3	3	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	6988.6333	11703.614	9910.972	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|P62877|RBX1_HUMAN	P62877	RBX1_HUMAN	RBX1	108	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RBX1	1	0.999	3	21	21	21	10	4	5	2	0	0	0	0	10	4	5	2	0	0	0	0	10	4	5	2	0	0	0	0	79369.89	61289.25	57746.438	23231.777	0	0	0	0	31999.28	42521.832	31527.592	0	0	0	0	0	
sp|P62879|GBB2_HUMAN	P62879	GBB2_HUMAN	GNB2	340	Homo sapiens OX=9606	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	0.9982	0.999	6	9	7	28	2	4	2	1	0	0	0	0	2	3	1	1	0	0	0	0	5	10	8	4	0	0	1	0	27391.707	83393.59	70401.8	28704.13	0	0	0	0	0	43886.035	37249.03	0	0	0	0	0	
sp|P62888|RL30_HUMAN	P62888	RL30_HUMAN	RPL30	115	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L30	1	0.999	6	33	33	33	1	13	13	4	0	1	1	0	1	13	13	4	0	1	1	0	1	13	13	4	0	1	1	0	367770.66	371440.56	310460.34	176058.06	0	158641.2	109535.12	0	72383.47	185757.86	358182.03	116623.16	0	0	0	0	
sp|P62891|RL39_HUMAN	P62891	RL39_HUMAN	RPL39	51	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L39	0.9929	0.999	1	9	0	9	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	0	0	0	0	152016.4	134361.19	59727.21	0	0	0	0	0	130988.22	118083.414	0	0	0	0	0	sp|Q59GN2|R39L5_HUMAN
sp|P62899|RL31_HUMAN	P62899	RL31_HUMAN	RPL31	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L31	1	0.999	7	79	79	79	18	15	17	12	0	8	9	0	18	15	17	12	0	8	9	0	18	15	17	12	0	8	9	0	665344.7	614172.8	696248.75	763859.94	0	592518.4	619502.4	0	200672.12	197846	209200.75	226866.12	0	210259.14	224638.94	0	
sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L10a	1	0.999	9	77	77	77	4	28	30	10	0	2	3	0	4	28	30	10	0	2	3	0	4	28	30	10	0	2	3	0	447350.88	1050315.1	998024.06	480229.88	0	384625.5	370640.25	0	235383.36	227795.05	265069.16	128988.15	0	203012.55	195414.08	0	
sp|P62910|RL32_HUMAN	P62910	RL32_HUMAN	RPL32	135	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L32	1	0.999	10	105	105	105	18	25	32	20	0	4	6	0	18	25	32	20	0	4	6	0	18	25	32	20	0	4	6	0	429674.25	990690.5	1079710.5	813944.4	0	207727.05	395791.53	0	99431.805	150054.17	201868.28	172037.61	0	129893.23	128440.4	0	
sp|P62913|RL11_HUMAN	P62913	RL11_HUMAN	RPL11	178	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L11	1	0.999	9	100	100	100	24	24	25	14	2	4	7	0	24	24	25	14	2	4	7	0	24	24	25	14	2	4	7	0	725996.1	857186.3	927577.06	670055.9	0	354554.72	449702.78	0	172847.72	162604.4	169919.4	164149.55	0	160671.6	157807.66	0	
sp|P62917|RL8_HUMAN	P62917	RL8_HUMAN	RPL8	257	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L8	1	0.999	10	95	95	95	19	22	21	16	0	6	11	0	19	22	21	16	0	6	11	0	19	22	21	16	0	6	11	0	946991.6	930333.75	1293344.5	1288684.1	0	725134.1	899198.9	0	215146.4	195374.69	226320.56	255554.55	0	203877.78	235188.36	0	
sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A	1	0.999	12	253	187	253	35	83	69	36	10	8	12	0	26	61	51	28	6	6	9	0	35	83	69	36	10	8	12	0	1179668.1	5256987	4970009.5	1960607.8	4261803.5	1062893.5	1346026.6	0	330773.78	1077114.8	840643.94	516283.97	2914675	438693.44	462417.2	0	
sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP1A	1	0.999	6	32	32	32	3	17	9	2	0	0	1	0	3	17	9	2	0	0	1	0	3	17	9	2	0	0	1	0	130417.086	276774.6	204941.23	112613.57	0	0	102730.87	0	0	146028	127756.984	0	0	0	0	0	
sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1	0.999	7	230	8	230	53	60	53	34	1	16	13	0	0	4	3	1	0	0	0	0	53	60	53	34	1	16	13	0	2128331	3063150	3261936.8	3421820.5	948789	1976845.2	2137027.2	0	805955.94	1208419.6	1329043.5	1479564.2	868065.6	763043.2	789903.7	0	
sp|P62993|GRB2_HUMAN	P62993	GRB2_HUMAN	GRB2	217	Homo sapiens OX=9606	1:Experimental evidence at protein level	Growth factor receptor-bound protein 2	1	0.999	11	39	39	39	6	14	14	5	0	0	0	0	6	14	14	5	0	0	0	0	6	14	14	5	0	0	0	0	95527.45	192687.5	204857.22	124001.9	0	0	0	0	29455.875	28292.432	28545.73	31335.377	0	0	0	0	
sp|P62995|TRA2B_HUMAN	P62995	TRA2B_HUMAN	TRA2B	288	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transformer-2 protein homolog beta	1	0.999	6	39	33	39	10	11	8	7	0	1	2	0	7	10	7	6	0	1	2	0	10	11	8	7	0	1	2	0	154985.88	190005.77	187205.22	169985.97	0	40689.59	28768.162	0	69610.76	67794.625	80832.53	81023.06	0	0	0	0	
sp|P63000|RAC1_HUMAN	P63000	RAC1_HUMAN	RAC1	192	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related C3 botulinum toxin substrate 1	1	0.999	8	44	18	48	7	13	15	8	0	0	1	0	1	6	7	4	0	0	0	0	7	14	16	8	0	1	2	0	263699.94	516186.12	544660.56	291480.53	0	0	78851.484	0	67017.9	130487.54	107834.52	76668.37	0	0	0	0	
