Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d		
Q14145	Q14145	KEAP1_HUMAN	KEAP1	Kelch-like ECH-associated protein 1	4041.97			2195.69	5441.94		2168.2	1613.3	2089.45		12632	2519.02		4913.8	1812.46		6076.03	8843.74	1570.93	3201.08	1450.3			10817.5	4895.88					1218.21	2652.26	3240.71					
Q14149	Q14149	MORC3_HUMAN	MORC3	MORC family CW-type zinc finger protein 3				1586.55	2166.42	2090.23								1651.9																					3283.88		
Q14151	Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	2079.73			4568.32	5353.6	3760.32		1394.37		6047.58					4331.42						4039.94	6121.74	5370.44	3018.44			4145.06		3524.18		4674.22	5235.63	1470.9	4717.05	3890.44		
Q14152	Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	14762.6	13424.4	9217.22	16794.5	14680.3	13978.3	7168.89	12577.7	8221.29	19839.3	13142.7	13243.9	20311.1	11041.3	15309.4	2959.02	8319.46	16854.1	8696.51	17079.2	17336.4	12140.9		17476.3	14608.6	13792	15935.5	11821.7	10737.3	14771.7	12316	13091	16177.5		15557.2		
Q14155	Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7	3260.51		2460.36				5490.4	6077.82		3407.98	9397.88	2690.66			5271.25					3533.81		5612.23		3629.3			2170.98	5306.47				3371.19	7440.41		5963.23		
Q14157	Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	5815.52	7114.55	3158.05	6466.39	6499.31	6799.26	4031.66	5161.51	3847.64	7309.56		2667.77		4989.91	5252.36		5148.79		3957.07	6834.59	5705.66			9406.24	5906.06	2200.57	5965.24	5063.67	3729.8	3154.07	6564.95	4963.67	4045.08		4034.38		
Q14160	Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	12570.8				7333.27				5721.56	13846.2	2179.74																		9616.78	19095			5454.39		13467		
Q14161	Q14161	GIT2_HUMAN	GIT2	ARF GTPase-activating protein GIT2	2502.43			2666.26	5766.13															3201.13						11715.1					2005.13	1584.49	1270.09				
Q14165	Q14165	MLEC_HUMAN	MLEC	Malectin	11551.2	6927.59	17532.2	7939.26	11102.4	9198.35	13635.9	9118.84	11616	11645.7	10516.5	6184.99	32190.7	14195	10612.9	17214.2	13952.5	18536.1	9010.23	5306.24	8750.88	11892.7	14820.8	11838.7	14043.6	15175.4	4943.6	14518.4	10483.8	12646.8	12232.6	9691.55	11043.1	16218.1	15666.9		
Q14166	Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	5531.5	4366.7	5069.06	6121.24	4888.88	4321.09	3705.18	4880.57	5630.02	5710.82	6106.84	15419.3	6696.29	7265.78	4825.02		8424.73	7040.19	5014.79	6429.14	3780.78	4125.13		5196.96	5261.62			13544.1	4717.16	7665.65	4363.91	5440.94	8948.81		4801.11		
Q14185	Q14185	DOCK1_HUMAN	DOCK1	Dedicator of cytokinesis protein 1				5858.67	3036.34	1692.19			1847.08		5275.22				2685.01										6486.96	10637.2	2977.09		5765.89								
Q14192	Q14192	FHL2_HUMAN	FHL2	Four and a half LIM domains protein 2				7670.28	10313.5	14284.3			8759.25	7867.41					5057.76					11517.5				12228.3		18463		8937.23	11139.3	9290.89	13604.8	5167.95					
Q14194	Q14194	DPYL1_HUMAN	CRMP1	Dihydropyrimidinase-related protein 1	27534.4					5580.68	6605.44	7642.71	7211.65	71055.7			68590.2	2785.3	1908.06				1907.69			7179					41280.3				38509.8	14220	33685.5				
Q14195	Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	31420.8	27823.9	27020	29627	30240.9	23493.6	39165.6	29655.9	37796.7	26101.4	19800.3	21254.3	27394.7	25484	26124.4		21810.9	19248.4	19197.6	18490	23533.2	25665.2		24528.7	20918.5	26130.4	20009.3	25066.3	31819.2	26765.6	13816.8	25066.4	27799.5	4158.99	24889.1		
Q14197	Q14197	ICT1_HUMAN	MRPL58	"Peptidyl-tRNA hydrolase ICT1, mitochondrial"	4535.77			3225.66	4762.31	6440.75	6231.77		6623.79	3082.72	3953.04	3377.26		9018.59	3115.78	6323.37	4926.17	7802.96	2685.01				6285.12		4893.45	2045.61	6208.17	3956.26		2805.19	3389.53	2745.08		3541.28	6081.58		
Q14203	Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	6660.95	7396.2	11172.2	4913.78	6001.53	6564.88	3713.53	8014.31	6902.87	9494.98	7112.37		6659.32	10721.7	3912.46		10981.1	8552.12	5813.22	8136.15	5700.25			7893.39	5881.93	7328.22	9708.01	5277.02	7489.57	7431.11	5535.85	6554.04	3560.99		6787.37		
Q14204	Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	30392.4	29719.7	26857	24756.9	28304.6	30955.5	29841.2	24363.9	28878.8	21991.5	23904.8	24750.5	18632.6	23886.9	30982.2	11281.2	28751.3	22582.9	30898	25436.9	23313	24549.9	11509.1	25422.8	27802	27017	29741.3	23464.3	23140.1	24635.9	27115.6	28794.4	24253.6	3241.49	24746.6		
Q14232	Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	8419.97		3060.83	5302.35	7447.44		2708.15	4642.1	3878.02	9199.4	2020.28				2586.38			4280.05	2481.6	3314.82	2604.06			5761.1		2258.1	1733.17		4352.41		6426.71	5803.3			4375.6		
Q14240	Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II				4254.68	7968.75				2650.66						6442.2																						
Q14241	Q14241	ELOA1_HUMAN	ELOA	Elongin-A																										5698.81											
Q14244	Q14244	MAP7_HUMAN	MAP7	Ensconsin								5690.95																													
Q14247	Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	20279.2	18757.8	22543.4	19076	19679.1	16188	25806.6	28514.2	11837.9	15242.3	21698.8	21650.7	16141.7	29457	22495.3	10853.8	7184.44	21585.3	15652.9	22721	16741.7	23248.5	6425.54	22229	30738	19219.5	25875.3	11749	16126.7	27873.1	21143.5	22286.9	18283.1	7587.16	24592.4		
Q14249	Q14249	NUCG_HUMAN	ENDOG	"Endonuclease G, mitochondrial"						4223.91				1951.25																											
Q14254	Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2				5855.54	4132.09			4187.24	12097.9																	7210.53			25346.4				5786.65				
Q14257	Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2		11730.3			4780.19	4271.74	2720.99	7529.43	9681.68	26820.5					10742.4	15026.1			5735.25		2752.07	2865.4	4882.76					3414.02						8042.32			
Q14258	Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	5090.01		3427.38	4131.52	4901.85	3335.83	6111.32	3271.28	5189.09	8624.54		2498.51	9818.35		2683.26		3391.55	5145.52	2786.7	3675.99	6926.07	4034.79			4851.87	3140.27	5763.94	3546.5		3000.94		2639.94			1070.77		
Q14315	Q14315	FLNC_HUMAN	FLNC	Filamin-C	33191.4	14511.6	15492.5	35101.7	30981.9	29874.3		21831.3	22879	47437.8	33868.3	24755.5	16552.5	36348.7	10012.3	7668.65	17028.2	18981	7325.47	29120.1	50283	17394.1	3645	32123.7	18799.7	14566.1	18151.5	19572.2	10566.6	27921.4	37371.4	43183.7	9203.36		23426.7		
Q14318	Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	4020.96			5207.21	4840.34	10592.9	8862.26		9175.06			3043.27		1656.42	2689			3175.31	6164.12		2017.74		4718.46		5711.18	5091.18				6049.91	3343.11		11446.7	7657.83	4536.35		
Q14320	Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	4793.36				2440.8		1969.92	9365.42	3111.45	2746.45		3529.75			2595.66			2663.74	5347.78	4779.76		4354.45		4323.13		5383.89	2927.36				3332.2	1735.55					
Q14331	Q14331	FRG1_HUMAN	FRG1	Protein FRG1					1832.17			2491.29							731.218		3311.85			2944.83												3213.55	7425.15				
Q14344	Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	6873.33	3937.34	8315.21	7735.48	6099.38	8314.81	8027.44	10494.4	7842.13	7343.37	4697.59	4541.27	2979.26	6257.72	6219.16	3685.52	5776.56	10246.6	9414.62	6731.97	9757.29	6373.84	6352.45	6575.6	5991.22	10030.8	9499.2	6436.04	6975.6	6104.55	5429.47	9608.93	7946.03	5026.17	7939.07		
Q14353	Q14353	GAMT_HUMAN	GAMT	Guanidinoacetate N-methyltransferase			20831.7												24166.7						28734.8																
Q14376	Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase									5810																												
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	15392.9	18981.8	12520.9	15710.6	14165.9	11577.9	14675.7	19464.6	13631.9	13344.1	14285.4	16939.6	15930.6	13180.2	19048.8	3129.11	5376.69	11271.7	12361	14157.5	13554.6	11112.9		15071.8	11137.8	10613.8	13226.8	8964.58	12004.7	14838.3	19074.5	12905.6	10959.5		13129.7		
Q14498	Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	6107.15		3970.71	4469.71	7052.78	5087.95	4672.93	4738.12	5323.92	9867.79	4686.21	6323.61	9773.02	7572.76	3368.96	3432.19	5530.96	7109.47	8120.75	5457.94	4667	5494.71	5106.27	5688.93	6914.71	8013.4	4158.91	7770.22	10725	5500.01	6607.88	7425.79	5717.35		7241.54		
Q14517	Q14517	FAT1_HUMAN	FAT1	Protocadherin Fat 1	3978.48				6219.66		15563.8														10305.8					11066.5											
Q14527	Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor			3016.96	4169.99		4568.53		3375.37																													
Q14534	Q14534	ERG1_HUMAN	SQLE	Squalene monooxygenase								1941.28															1492.28														
Q14554	Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	10128.6			2475.84		5327.31			4412.95						3754.27						5760.9		10612.9	6862.73		6339.67		7235.54									
Q14558	Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1					787.394		1641.45														2098.41																
Q14562	Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8					1116.87				1979.22		4987.25	2067.17			769.95												3850.75		2698.91								
Q14566	Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	2187.23		3291.27	2643.8	4888.66	4096.3	5400.84	3149.88	4499.4	7533.35	7366.03	5392.64	4207.95		5092.07		8904.2	6413.21	19004.5	9479.82	3413.12	8428.45		3479.16	6708.17	4267.98	2917.02	6013.89	4832.84	5022.43		5615.55			6790.78		
Q14573	Q14573	ITPR3_HUMAN	ITPR3	"Inositol 1,4,5-trisphosphate receptor type 3"																			6671.4																		
Q14574	Q14574	DSC3_HUMAN	DSC3	Desmocollin-3								4396.25	995.271	3761.38		4668.56			3070.7		2317.38					5134.75		3139.4		3267.38	1178.74										
Q14653	Q14653	IRF3_HUMAN	IRF3	Interferon regulatory factor 3																		3238.77						6861.62													
Q14669	Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12				3739.98	1992.49	2313.99	4240.62	4572.83	1258.73	2909.95			3717.23		3082.74				6576.62								4553.1		4666.09			4757.89		3217.14	7290.01		
Q14671	Q8TB72;Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	4353.18		4232.32	3451.09	6556.61	2168.97	4235.28		3731.23	4269.74			32651		6042.44		2525.13		2854.37	4619.56		5437.6			2246.59	2880.35	4507.82			4777.08		1507.76	4997.11		4826.65		
Q14676	Q14676	MDC1_HUMAN	MDC1	Mediator of DNA damage checkpoint protein 1	9944.45		6047.43			7024.79		7769.26	10902.8	7744.86	12538.9	8453.13	7831.03		4370.88					18380.9				8588.82			9275.27					7834.18			9446.54		
Q14677	Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1			4968.76	3161.11	14151.9		3105.46		6296.56		3173.06	8341.95	5687.17		4714.23		4237.53	12125.3	7682.99	11422.3	4260.02				6523.49	2240.14		4845.54	3067.69	4136.09			4632.97		3920.58		
Q14678	Q14678	KANK1_HUMAN	KANK1	KN motif and ankyrin repeat domain-containing protein 1	3145.73		3602.97	2719.22	4265.02	4514.32	3163.26		5631.12											5731.63	4478.26				5321.34	6274.59		2877.09		3973.04	3049.46	4594.78	2878.63				
Q14683	Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	5910.68	5775.31	12249.2	13502.1	6503.71	7077.28	8124.56	4909.81	7836.86	9674.24	9262.27	8832.72	7058.35		4718.24	8460.47	9826.1	6945.06	8787.34	5851.55	10002.1	7051.63		7801.47	2360.99	4967.22	5898.29	7048.31	8739.7	6339.01	4968.31	6044.87	4901.61	1895.36	5083.95		
Q14684	Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	5817.35			3717.18	973.414			17910.9	2221.91						5706.66			7569.77			2951.58					5219.36		5511.95				6771.74	5026.57		2687.97		
Q14690	Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog				1871.57	5207.69				2014.66													1073.67						3794.67		5997.72		24593.5					
Q14692	Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	2886.5			3378.88	2305.39				5828.8	16686									9756.81																		
Q14694	Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	7226.99		16869.7	5424.7	7898.8	13305.1	4921.81	5520.21	7925.69	8179.9	6788.54	22617.8		14165.7	6184.04	3841.87		12042.5	5340.57	7925.12	6249.53			5983.39	8843.6	8262.93	6399.56	5980.42	4352.83	5191.44	8703.22	5485.54	8681.46		4934.82		
Q14696	Q14696	MESD_HUMAN	MESD	LRP chaperone MESD			9986.63	11695.6	9032.44			7494.64	4451.71	13810.5				2014.4	8336.43	7580.58	9060.99		5452.64	7468.45	9879.73	7894.67	12305.7	3114.02	10903.8	5583.76	5575.8		5464.37	4167.23	6328.01	14597.2	14465.8	12191.2	7537.14		
Q14697	Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	81950.3	72536.8	86724.2	94667.6	97823	88091	92599.7	87495.9	99971.7	77375.3	65947.5	95312.2	80455.1	65451.1	117112	131247	109015	63836.9	76317.7	81979.8	97804.5	102556	96125.6	74647.6	76109.3	96787.8	72225.3	90640	78611.2	55603.5	94396.6	79942.5	77788	115772	68403.7		
Q14699	Q14699	RFTN1_HUMAN	RFTN1	Raftlin																								3972.58						1614.81		3215.03					
Q14728	Q14728	MFS10_HUMAN	MFSD10	Major facilitator superfamily domain-containing protein 10																							8111.47														
Q14738	Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform		3583.06	4927.1	5179.75	3251.06	13988.4			6553.77		3408.68						3996.96	10968.4	4434.46	4097.88	4587.92	5645.54		5970.08	4814.02				3806.86			2972.14	6193.92		5295.73		
Q14739	Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	4914.83	4208.18	9292.42	5685.93	7616.92	11739.6	13762.3		9341.6	6940.95	6635.93		6605.95	6545.39	7292.95	5605.66	6442.29		10169.9	8020.52		4713.44	4487.98	4875.62	8710.73	16930.1	15304.5	6983.71	5979.15	3958.53	6831.3	6197.64	8279.42	7222.75	7237.44		
Q14746	Q14746	COG2_HUMAN	COG2	Conserved oligomeric Golgi complex subunit 2									2243.97											5320.73																	
Q14764	Q14764	MVP_HUMAN	MVP	Major vault protein	21273.4	20526.8	19349.5	13815.6	21029.5	21452.6	15601	7528.06	20193.1	8156.15	12829.8	24400.1	17659.4	18836.9	9211.43	6635.93	13986.5	15322.1	10232	14451.6	13677.6	12293.2		14277.5	20317.3	15269	11250.8	13075.2	10941.9	18109.6	12302.4	14844.7	13992.3	5394.03	16427.6		
Q14789	Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	5443.1	5396.58	7754.7	6131.03	7708.74	4424.3	4529.33	3552.99	4514.41	10543.9		7449.2			2863.26	10678.8					8981.06					12566.9						2827.05		3647.73			
Q147X3	Q147X3	NAA30_HUMAN	NAA30	N-alpha-acetyltransferase 30	7522.84					2449.41	1924.79												1545.23		10717.2											3643.81					
Q14807	Q14807	KIF22_HUMAN	KIF22	Kinesin-like protein KIF22			10172.2		8270.96				6089.65										4501.37	22926.5	3095.38																
Q14839	Q14839;Q8TDI0	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	6716	7342.83	5587.9	8391.66	6504.6	6081.85	8573.85	5472.39	5898.1	4150.41	5719.3	4660.64	6002.01	4409.74	5364.97	6581.03	7155.31	5162.8	5920.9	5408.14	6154.91		4760.83		5868.14	3113.98	6613.19	6062.7	6088.75	4189.63	3427.81	5494.51	8228.5		8094.71		
Q14847	Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	24148.6	19083.2	20709.5	15029.2	16443.7	16893.8	24682.8	24940.6	16559.2	14854.1	14872.3	19125.9	19415.5	17797.7	17755		2841.6	11183	17993.8	14447.7	14237.2	16896		15833.7	18964.5	18638.3	14321.8	13584	10096.2	18924	21315.9	11509.2	15066.4	4746.74	21350.1		
Q14914	Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1	14117	12810.3	18336.9	7615.77	10969.7	13639.3	7672	12284.3	10504.6	8673.25	8837.6	6983.92	18006.8	14901.2	8080.35	3738.85		19102.3	9943.27	13463	17395.1	22398.4		11159.5	8708.33	13850.5	14447.5	8895.13		14929.4	16247.5	7018.39	13313.6		10248.9		
Q14919	Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor						1683.09				2482.74					3091.8												4565.18		4033.24	3396.55	997.825		3276.19				
Q14956	Q14956	GPNMB_HUMAN	GPNMB	Transmembrane glycoprotein NMB																					3439.76														4876.02		
Q14966	Q14966	ZN638_HUMAN	ZNF638	Zinc finger protein 638	5853.29			8058.78	9205.47				2767.28		3842.56			8325.91		2751.69			7210.4							4835.55	5947.97				22083			2910.96			
Q14974	Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	29025.5	24834.4	33062.2	34721.6	37087.9	33069.9	37366.2	30910.6	28015.7	29431.4	30892.9	29572.1	31793.2	33473.4	43088.3	10949.9	22832.5	30011.9	38641.8	29868.4	33753.4	28277.7	9096.86	31904.3	34977.4	24023.6	36101.9	30731.1	30162	31265.5	33740.6	38432	27712.4	8024.95	42239.5		
Q14978	Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	9572.81	11518.9	5460.37	7609.22	6462.92	7061.92		5306.2	9739.69	12570.4	8760.88	8189.16	4482.48	14150.7	4345.55	6921.51		11309.7		15040.4	11067	7442.58	10036	10303.4	7389.77	18441.6	8566.47	17371.4	20492.2	10080.2	15529.5	8804.51	17259.7	4475.9	22871.7		
Q14980	Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	10067.8	4802.39	12102	5668.95	10391.2	11554.9	14250.4	7410.1	11665.6	10389.4	13206.8	11803.7	17115.6	6050.9	6434.51	10804.3	15194.4		7228.15	4760.53	8460.17	4498.36	13922.2	5949.77	14920.8		7265.32	11680.9	4765.25	10092.4	10271	12638.2	7111.61	6720.16	10335.5		
Q14993	Q14993	COJA1_HUMAN	COL19A1	Collagen alpha-1(XIX) chain																	4603.4				3923.71							4515.69			6174.36						
Q14997	Q14997	PSME4_HUMAN	PSME4	Proteasome activator complex subunit 4	2477.87						2203.26																														
Q14999	Q14999	CUL7_HUMAN	CUL7	Cullin-7							3012.68																														
Q14C86	Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	7479.03			4574.77	5048.92	5669.29	4215.81	3821.12	6310.49	5308.15	5097.13	6384.98	4137.62	5891.71	4335.81		8257.44	1421.82		3207.76	2303.36	2277.09		6807.21		8289.81	6024.45		5433.64	2612.32		5102.4	7527.6		12756.7		
Q14CX7	Q14CX7	NAA25_HUMAN	NAA25	"N-alpha-acetyltransferase 25, NatB auxiliary subunit"	4957.99	1846.32		2123.48		5226.97			13540.8			7935.74		2660.06	5160.95			5959.73		2873.57	2422.57			2700.67		5850.33				4887.14	1882.49	2465.68	2031.21				
Q15003	Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2				4775.22	12381.6	4795.32	4571.28	2969.98	5948.71	3694.3		7622.56			6514.15				5837.11			7174.54			6116.7			6373.74	7563.77		6634.18						
Q15005	Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	7207.59		8427.27	3586.98	9698.2	7283.95	9420.95	5943.3	7382.44	3544.05	3837.78		6551.49		8000.82	9064.41		6836.96	1268.94	2847.84	10521.7	3919.11		3205.77		4971.26		6976.96	5252.94			9581.67		6742.85	6313.57		
Q15006	Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	5227.81		3021.03	2377.59	3848.27	6511.52	4516.92	4032.3	7357.78	1663.59	3628.17	4009.41			7011.66	5232.8	5761.6	7804.8	3985.3		13952.9		1833.8	4718.1	6111.7	6424.12	2187.63	1793.32	2129.73	3914.58		4471.08	4085.08	7821.41	4139.99		
Q15007	Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP			5129.67	4267.08	935.377	3702.22									2725.08									1569.32	1043.5			3175.84		3426.18			2398.59				
Q15008	Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6	2806.78		5435.27	3031.48	5941.21	9004.24	4706.14	6177.85	6147.32	9078.97				5149.47	8540.19		1933.98	3476.76	8197.16	3704.34	6169.72	6022.89	2744.92	5656.6	3729.17	5710.81	7559.88	6472.47	5146.85	6721.1	2623.56	6940.44	6245.37				
Q15018	Q15018	ABRX2_HUMAN	ABRAXAS2	BRISC complex subunit Abraxas 2				1835.35	1895.35			3009.23	3100.6					3320.05	7866.12		14989.1								3315.52	2895.09	10769.8	3098.86			4586.3		3230.08				
Q15019	Q15019	SEPT2_HUMAN	SEPTIN2	Septin-2	19041.2	19943.1	16888.9	20141.8	15321.4	29360.1	24061.8	19712.7	15700.8	21451.1	13480.3	13446.9	21293.5	21041.2	18966.8	6303.5	23094.8	20697.7	27108.7	14608	17030.1	16206.8		20290.8	15719.5	22597.4	14763.7	15708.6	14072.9	25922.5	23438.9	21042	20331.3	1537.02	24709.9		
Q15020	Q15020	SART3_HUMAN	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	2120.46	3017.13		3019.74	7404.15	4234.8	1466.48	2167.04	3167.82	6413.77	3958.65		3958.3	3924.61	4946.46		9822.81		4700.93		4020.88	6879.07		4399.64	1468.28	2609.34	4137.58	3846.6	5405.04	3880.64	2908.01	5037	3227.28		3226.96		
Q15021	Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1				5619.85					3661.74					7174.31	6270.31		6272.14		3563.92												6159.16	4961.96			20225		
Q15029	Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	7051.28	11611.4	7845.55	6676.94	8579.37	9094.35	7514.98	10054.9	8716.71	7166.34	9898.81	9104.25	10201.4	8770.55	7477.59	8553.16	10344.3	4888.3	11304.2	9619.36	8205.51	8335.88	6106.03	8377.91	8358.49	7178.72	10508.1	8530.65	7751.39	11443.4	11170.3	7253.03	10816.3	7290.41	7462.15		
Q15031	Q15031	SYLM_HUMAN	LARS2	"Leucine--tRNA ligase, mitochondrial"				6901.08			2975.52		5910.57					2995.53	6867.34																			5008.5			
