Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-53_3748.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-66_3767.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-83_3774.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
Q8IVL5	Q8IVL5	P3H2_HUMAN	P3H2	Prolyl 3-hydroxylase 2																																								731.825	857.171	1150.41	1301.41	1068	1250.99
Q8IVL6	Q8IVL6	P3H3_HUMAN	P3H3	Prolyl 3-hydroxylase 3	13317.3			3842.95	4365.86		3731.81	14335.5	5336.13	6053.38	918.186	15942.8			11219.2		7263.14			8667.68	5505.17		5217.68	3528.56		4804.61		2741.73					4826.45		3723.85	7744.68	848.073	5369.77	7579.23	2563.55	2001.26	1699.6	1527.19	2056.73	1412.73
Q8IVM0	Q8IVM0	CCD50_HUMAN	CCDC50	Coiled-coil domain-containing protein 50	2300.46		6232.65	2954.95	1057.92	3226.55	5967.46	1911.31	3777.43	2451.76	4058.88		2394.39	4412.57	1481.68				9312.15			3069.7	1008.87		8810.3	2872.28	4726.06	3082.17			2225.17	6700.91			2403		8891.41		3325.77	3709.03	3634.14	5162.43	4207.87	3495.19	4521.75
Q8IVS2	Q8IVS2	FABD_HUMAN	MCAT	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial				1261.54		527.853											633.386									2273.89														657.487	724.912	946.256	832.413	838.133	816.601
Q8IVT5	Q8IVT5	KSR1_HUMAN	KSR1	Kinase suppressor of Ras 1									23997.9																															1169.96	1476.31	1433.3	1193.85	1004.12	1195.06
Q8IW35	Q8IW35	CEP97_HUMAN	CEP97	Centrosomal protein of 97 kDa					4056.88										1562.04																									605.727	701.05	1066.58	1149.73	941.111	1562.55
Q8IW45	Q8IW45	NNRD_HUMAN	NAXD	ATP-dependent (S)-NAD(P)H-hydrate dehydratase																																						2247.05		1489.87	1557.47	1729.32	1719.68	1805.61	1638.57
Q8IWA0	Q8IWA0	WDR75_HUMAN	WDR75	WD repeat-containing protein 75		4084.39			2071.54						3232.26		4028.65					1970.43										3447.83							9362.28			1205.08		1407.75	1068.31	1532.58	1161.73	1330.66	1143.79
Q8IWA4	Q8IWA4	MFN1_HUMAN	MFN1	Mitofusin-1						7805.1		3791.71																									3953.03		1887.64					963.509	675.462	1094.6	990.282	1047.48	1053.17
Q8IWA5	Q8IWA5	CTL2_HUMAN	SLC44A2	Choline transporter-like protein 2	6677.55	38089.6													1034.26																									5967.42	6280.14	6899.09	5622.99	5252.81	6327.19
Q8IWB1	Q8IWB1	IPRI_HUMAN	ITPRIP	Inositol 1,4,5-trisphosphate receptor-interacting protein																																								939.954	989.417	1528.78	1106.59	1213.16	1068.28
Q8IWB7	Q8IWB7	WDFY1_HUMAN	WDFY1	WD repeat and FYVE domain-containing protein 1																																								1837.58	1476.53	2897.93	2314.29	2109.78	2731.18
Q8IWB9	Q8IWB9	TEX2_HUMAN	TEX2	Testis-expressed protein 2																							2271.14																	838.411	867.678	1190.09	1006.2	1146.44	1219.1
Q8IWC1	Q8IWC1	MA7D3_HUMAN	MAP7D3	MAP7 domain-containing protein 3	1771.83																										1896.18								818.484				1459.4	697.539	722.045	870.2	740.893	616.346	827.822
Q8IWE2	Q8IWE2	NXP20_HUMAN	FAM114A1	Protein NOXP20	15286.3	15465.4	12411.1	11768	9110.88	12033.5	8169.86	6916.35	15810.1	8995.94	7141.25	15084.6	13612.3	5627.94	9465.02				10155.2	6954.08		9979.88	9556.21		10571.4	10175.9	10027.8	7790.18		8305.69	5792.23	15393	8485.8		4701.3		4652.48	2322.97	7444.37	3905.11	4174.48	3422.05	3574.32	4662.52	5039.95
Q8IWE4	Q8IWE4	DCNL3_HUMAN	DCUN1D3	DCN1-like protein 3																																								791.804	1021.21	654.596	1408.26	1109.84	1649.69
Q8IWE5	Q8IWE5	PKHM2_HUMAN	PLEKHM2	Pleckstrin homology domain-containing family M member 2																																								327.239	365.646	606.993	282.178	175.697	381.327
Q8IWF6	Q8IWF6	DEN6A_HUMAN	DENND6A	Protein DENND6A																																								432.198	441.938	375.452	317.99	441.68	378.087
Q8IWI9	Q8IWI9	MGAP_HUMAN	MGA	MAX gene-associated protein																																								192.3	197.899	302.38	287.642	248.052	362.918
Q8IWJ2	Q8IWJ2	GCC2_HUMAN	GCC2	GRIP and coiled-coil domain-containing protein 2									1117.59											1109.26																			1058.06	603.17	758.805	734.813	804.663	725.947	970.257
Q8IWK6	Q8IWK6	AGRA3_HUMAN	ADGRA3	Adhesion G protein-coupled receptor A3																																								629.246	422.871	607.487	547.28	594.808	618.42
Q8IWL3	Q8IWL3	HSC20_HUMAN	HSCB	Iron-sulfur cluster co-chaperone protein HscB																																								363.518	445.19	492.795	525.973	496.85	568.283
Q8IWP9	Q8IWP9	CC28A_HUMAN	CCDC28A	Coiled-coil domain-containing protein 28A																																								353.879	523.106	527.616	712.726	560.94	832.524
Q8IWR0	Q8IWR0	Z3H7A_HUMAN	ZC3H7A	Zinc finger CCCH domain-containing protein 7A															4074.46																				6767.83					801.628	558.82	999.44	732.925	713.841	738.147
Q8IWS0	Q8IWS0	PHF6_HUMAN	PHF6	PHD finger protein 6					1912.79																																			2366.21	1979.31	2794.61	2092.37	1985.5	2103.37
Q8IWT3	Q8IWT3	CUL9_HUMAN	CUL9	Cullin-9																																								185.472	410.618	355.597	367.819	321.855	429.459
Q8IWT6	Q8IWT6	LRC8A_HUMAN	LRRC8A	Volume-regulated anion channel subunit LRRC8A	2323.18														1054.76		13192.8		20598.7			6588.79					1266.11	11054.9			24529.3	12602.5						7135.02	1151.34	933.677	924.98	1303.99	1230.63	1238.68	1229.51
Q8IWU5	Q8IWU5	SULF2_HUMAN	SULF2	Extracellular sulfatase Sulf-2	3220.7		5721.14		2837.76	2118.27	6258.39					5330.08		5196.1	4767.77				4923.75	4888.3				5183.87	4880.38		7870.21					6541.16	3024.84							2857.51	3380.24	3623.44	3383.89	3606.06	3030.75
Q8IWV7	Q8IWV7	UBR1_HUMAN	UBR1	E3 ubiquitin-protein ligase UBR1																							6207.81																	1318.45	1190	1863.69	1431.7	1431.36	1671.64
Q8IWV8	Q8IWV8	UBR2_HUMAN	UBR2	E3 ubiquitin-protein ligase UBR2																																								429.03	719.953	532.02	891.819	733.712	994.79
Q8IWW6	Q8IWW6	RHG12_HUMAN	ARHGAP12	Rho GTPase-activating protein 12								6709.52													1746.01														17361.2		1208.78			1868.36	1931.62	2709.64	2155.88	1755.49	2027.63
Q8IWX8	Q8IWX8	CHERP_HUMAN	CHERP	Calcium homeostasis endoplasmic reticulum protein					2881.59	5954.65																2671.18	34555.3					3202.32		2265.29		9610.66			1908.68					2243.63	2768.61	2869.19	3231.83	2721.6	3672.04
Q8IWY9	Q8IWY9	CDAN1_HUMAN	CDAN1	Codanin-1																																					1451.01			606.608	543.817	911.945	595.631	574.326	558.404
Q8IWZ3	Q8IWZ3	ANKH1_HUMAN	ANKHD1	Ankyrin repeat and KH domain-containing protein 1					2388.32				1349.7		13584.9				738.891						12418.1												3273.13							610.929	619.302	853.833	755.817	545.817	768.421
Q8IWZ6	Q8IWZ6	BBS7_HUMAN	BBS7	Bardet-Biedl syndrome 7 protein																																								550.16	505.86	532.961	526.422	403.317	339.367
Q8IWZ8	Q8IWZ8	SUGP1_HUMAN	SUGP1	SURP and G-patch domain-containing protein 1																				2305.3															7053.54					660.971	663.292	706.645	627.341	520.464	582.774
Q8IX01	Q8IX01	SUGP2_HUMAN	SUGP2	SURP and G-patch domain-containing protein 2					7343.58		28251.1				5865.09				5698.54		5995.21			4807.17			3308.92									12919.2	11607.7							3264.21	2875.22	4285.36	3365.35	3759.74	3662.14
Q8IX04	Q8IX04	UEVLD_HUMAN	UEVLD	Ubiquitin-conjugating enzyme E2 variant 3																								1013.67											954.47				1507.69	473.188	397.755	661.131	583.325	547.687	558.214
Q8IX12	Q8IX12	CCAR1_HUMAN	CCAR1	Cell division cycle and apoptosis regulator protein 1	4475.97		1542.64	6300.78	3298.8	3986.3	5242.8	2971.35	8082.1	13129.5	7746.35	3981.52	2859.64	11994.5	1385.81	21715.7		5825.05		5254.1	5083.67	3445.02		2596.28	3334.14	4178.9	11639.3	3050.14		19453.5	25359	4247.6	11275.6	6804.4	3536.5		22928.5		18475.9	3041.31	2784.14	3135.58	2824.76	3074.76	2883.17
Q8IX18	Q8IX18	DHX40_HUMAN	DHX40	Probable ATP-dependent RNA helicase DHX40																																								246.96	295.622	822.063	175.27	186.281	249.45
Q8IX90	Q8IX90	SKA3_HUMAN	SKA3	Spindle and kinetochore-associated protein 3					1517.89				1236.67											2667.6																				78.3995	159.434	262.849	341.758	249.311	377.293
Q8IXB1	Q8IXB1	DJC10_HUMAN	DNAJC10	DnaJ homolog subfamily C member 10										4605.69										2804.67					3428.4			3050.62										2059.79		2690.98	2319.62	3129.4	2927.6	3210.07	2808.51
Q8IXH7	Q8IXH7	NELFD_HUMAN	NELFCD	Negative elongation factor C/D																																								332.547	885.456	417.87	1061.17	770.048	1091.93
Q8IXI1	Q8IXI1	MIRO2_HUMAN	RHOT2	Mitochondrial Rho GTPase 2			13891.7	3646.73	5998.99	6277.33			1157.36	3038.09	5155.64				3818.66		2469.13		7526.41			2585.91	11625.2		1728.73	7052.4		1380.46							4089.57		6049.25	2515.72	3160.03	2666.56	1355.4	2525.26	1635.63	2063.63	1733.48
Q8IXI2	Q8IXI2	MIRO1_HUMAN	RHOT1	Mitochondrial Rho GTPase 1	2160.63						2918.52								3662.97																									3588.7	2110.96	3760.67	2960.23	4140.83	3466.31
Q8IXJ6	Q8IXJ6	SIR2_HUMAN	SIRT2	NAD-dependent protein deacetylase sirtuin-2				2573.66	5121.47	4511.04		7506.07	8808.94			4875.76										1452.08			4765.24	5407.62		2797.64							6279.03				8688.93	650.435	645.791	1036.5	664.999	723.943	701.008
Q8IXK0	Q8IXK0	PHC2_HUMAN	PHC2	Polyhomeotic-like protein 2				2334.96																																				423.967	751.589	526.866	807.959	793.408	1030.13
Q8IXL6	Q8IXL6	FA20C_HUMAN	FAM20C	Extracellular serine/threonine protein kinase FAM20C																																								704.508	721.86	1622.42	826.232	955.121	961.91
Q8IXL7	Q8IXL7	MSRB3_HUMAN	MSRB3	Methionine-R-sulfoxide reductase B3						6333.72																																		942.33	1164.96	1266.65	1053.88	819.867	1157.39
Q8IXM2	Q8IXM2	BAP18_HUMAN	BAP18	Chromatin complexes subunit BAP18					2598.51		4820.53	3221.64	3399.64	1949.82					2313.7		3180.89					1478.64	5126.55	2011.29	1667.19										5050.85		5959.37			1213.39	3069.44	3059.55	2619.7	2000.83	2813.57
Q8IXM3	Q8IXM3	RM41_HUMAN	MRPL41	39S ribosomal protein L41, mitochondrial					2587.92	4574.27	4486.22	2272.21	4169.08	4292.51					3776.46			3784.44	4558.75	3805.72	4390.24		4660.46	5485.79	5267.13	6010.38				1494.4						8293.76		2673.8		6357.86	6294.48	6648.43	7842.17	8981.56	8343.65
Q8IXM6	Q8IXM6	NRM_HUMAN	NRM	Nurim					3707.07		1350.26	1741.84																																1793.11	1425.3	2804.28	2047.83	3209.76	1849.6
Q8IXQ4	Q8IXQ4	GPAM1_HUMAN	GPALPP1	GPALPP motifs-containing protein 1																																								721.226	1100.31	767.142	1248.35	785.512	1036.97
Q8IXQ5	Q8IXQ5	KLHL7_HUMAN	KLHL7	Kelch-like protein 7																																								450.492	625.544	783.295	541.896	851.058	714.951
Q8IXQ6	Q8IXQ6	PARP9_HUMAN	PARP9	Protein mono-ADP-ribosyltransferase PARP9																																								802.584	654.733	1160.04	927.219	931.539	807.331
Q8IXS6	Q8IXS6	PALM2_HUMAN	PALM2	Paralemmin-2																																								1348.89	1652.73	1866.19	1934.01	1509.45	2089.8
Q8IXT5	Q8IXT5	RB12B_HUMAN	RBM12B	RNA-binding protein 12B	6649.25			3467.02	4626.38		9763.07			8647.67					1276.11																				2288.94					1971.84	1572.16	2190.96	1645.85	1900.35	1926.2
Q8IXU6	Q8IXU6	S35F2_HUMAN	SLC35F2	Solute carrier family 35 member F2																																								356.324	438.552	434.739	472.126	401.275	564.382
Q8IXW5	Q8IXW5	RPAP2_HUMAN	RPAP2	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2																							4416.52																	482.902	583.273	806.306	597.805	606.706	651.735
Q8IY17	Q8IY17	PLPL6_HUMAN	PNPLA6	Patatin-like phospholipase domain-containing protein 6			2311.93	3193.37	3169.79				2476.88													3532.67	15980.3	4041.76							8411.47	3701.39						3476.37	9133.7	1168.83	1051.01	1629.48	1079.34	1493.31	1172.51
Q8IY18	Q8IY18	SMC5_HUMAN	SMC5	Structural maintenance of chromosomes protein 5										2548.34																														202.016	184.572	379.567	325.243	341.821	381.23
Q8IY21	Q8IY21	DDX60_HUMAN	DDX60	Probable ATP-dependent RNA helicase DDX60																																								269.908	249.812	369.778	218.976	240.895	297.17
Q8IY22	Q8IY22	CMIP_HUMAN	CMIP	C-Maf-inducing protein																																								906.304	817.094	944.648	995.743	736.429	765.179
Q8IY31	Q8IY31	IFT20_HUMAN	IFT20	Intraflagellar transport protein 20 homolog																																								106.648	396.5	277.535	355.847	298.454	412.679
Q8IY33	Q8IY33	MILK2_HUMAN	MICALL2	MICAL-like protein 2																																								990.843	1000.19	1577.61	992.914	1031.84	1192.54
Q8IY37	Q8IY37	DHX37_HUMAN	DHX37	Probable ATP-dependent RNA helicase DHX37																																								707.908	574.321	1007.88	552.25	712.263	568.158
Q8IY47	Q8IY47	KBTB2_HUMAN	KBTBD2	Kelch repeat and BTB domain-containing protein 2																																								640.078	738.959	1269.97	924.778	646.852	643.97
Q8IY63	Q8IY63	AMOL1_HUMAN	AMOTL1	Angiomotin-like protein 1																																								286.675	346.734	313.393	282.992	202.828	296.892
Q8IY67	Q8IY67	RAVR1_HUMAN	RAVER1	Ribonucleoprotein PTB-binding 1				1863.63	5073.18				992.557		5183.09				3894.39							3608.85			4115.72							2913.18			1837.54		4878.14		2198.06	1605.57	1727.66	2290.64	1682.29	1892.38	2549.93
Q8IY81	Q8IY81	SPB1_HUMAN	FTSJ3	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3	2124.47			3247.59		3146.49	4868.22	2330.46		7642.11	9344.7				1696.44				12312.5			37361.7	2247.26	4436.21	1648.06			2672.99				4962.23				7776.71	6161.77		4923.6	4015.83	3681.76	4901.99	3536.71	3988.33	3423.32
Q8IY95	Q8IY95	TM192_HUMAN	TMEM192	Transmembrane protein 192																																					2447.4			708.798	646.797	1028.51	967.082	1086.3	1104.67
Q8IYB1	Q8IYB1	M21D2_HUMAN	MB21D2	Nucleotidyltransferase MB21D2																																								784.626	749.126	848.305	1308.62	1029.79	1181.55
Q8IYB3	Q8IYB3	SRRM1_HUMAN	SRRM1	Serine/arginine repetitive matrix protein 1	4054.09				3167.22	6951.34	4017.42	3751.55	8438.31	12805		5699.14		23209.9	7596.98	18172.4				4049.94		6079.15	1733.19	6865.4	7422.11		17349.7			35753.2	19239.5	4638.43	14902.4	22127.4			15464.2		14316.5	2152.68	2052.32	2623.64	1308.53	1962.75	2221.48
Q8IYB5	Q8IYB5	SMAP1_HUMAN	SMAP1	Stromal membrane-associated protein 1		4086.44													3044.06					3351.08		7539.78			5357.11	5757.18		4577.45									3702.5		3685.53	2034.02	2721.29	3935.92	2794.84	2334.62	2302.18
Q8IYB7	Q8IYB7	DI3L2_HUMAN	DIS3L2	DIS3-like exonuclease 2					10504.1		6262.95								2664.92					1116.65			4248.9														9499.23			2130.1	1739.7	1820.89	1808.24	1727.67	1832.91
Q8IYB8	Q8IYB8	SUV3_HUMAN	SUPV3L1	ATP-dependent RNA helicase SUPV3L1, mitochondrial	4466.44				2576.75	2608.47	7901.53								4243.67		3359.13	1064.7																			1699.39		4236.39	1174.83	1398.16	2545.15	1534.55	1570.48	1565.07
Q8IYD1	Q8IYD1	ERF3B_HUMAN	GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B																																							5935.91	2840.55	1811.53	1951.17	1692.54	1552.46	1694.13
Q8IYI6	Q8IYI6	EXOC8_HUMAN	EXOC8	Exocyst complex component 8	1765.88	3605.13		7255.33	4762.05		3162.82	12023.9	3440.19	3305.16		1693.7	10271.1		4195.33					3326.11		2625.16					1687.07						6866.54		3007.37				41626.4	3077.3	3565.91	3920.43	4440.59	3573.1	4338.59
Q8IYK4	Q8IYK4	GT252_HUMAN	COLGALT2	Procollagen galactosyltransferase 2																																								3656.4	3591.69	5051.9	3731.05	3723.57	3639.99
Q8IYL3	Q8IYL3	CA174_HUMAN	C1orf174	UPF0688 protein C1orf174				2210.11	2133.46				1487.84																			8265.63				1367.34					3420.66			2433.57	2403.34	3527.86	2433.32	2505.88	2367.18
Q8IYM9	Q8IYM9	TRI22_HUMAN	TRIM22	E3 ubiquitin-protein ligase TRIM22	4979.04				4563.55	5751.91	3342.76		3765.57	3155.39					4299.12					3652.92							3834.67								3203.04		3526.36			1354.14	1500.71	2518.26	1891.39	1672.75	2259.77
Q8IYQ7	Q8IYQ7	THNS1_HUMAN	THNSL1	Threonine synthase-like 1																																								973.934	1108.72	1583.53	1808.27	2008.59	2155.28
Q8IYS1	Q8IYS1	P20D2_HUMAN	PM20D2	Xaa-Arg dipeptidase																																								1019.4	961.559	1195.15	1294.54	1039.28	1065.83
Q8IYS2	Q8IYS2	K2013_HUMAN	KIAA2013	Uncharacterized protein KIAA2013			2351.15		3269.5			11046.4	1367.79																													6372.2		2194.83	1810.77	2488.5	2178.54	2382.97	2313.39
Q8IYT4	Q8IYT4	KATL2_HUMAN	KATNAL2	Katanin p60 ATPase-containing subunit A-like 2	70555.1	55240.9	73370.6	55548.8	71596.5	61980.6	44897.5	71705.4	75895.4	48210.9	60190.1	54441.9	55718.4	32602.6	61253.9	1988.08	14134.3	72438	42231.7	54754.8	68459.6	57601.3	66214.7	14651	59427.8	92408.4	63764.6	49879.9	13980.3	61808.1	52205.5	82570.1	65099.1	5636.28	52020.1	13718.6	27940.4	18685.3	48131.1	102327	85218.9	43280.7	78499.3	78161.5	77810.2
Q8IYU2	Q8IYU2	HACE1_HUMAN	HACE1	E3 ubiquitin-protein ligase HACE1																																								517.731	314.191	738.936	378.274	490.59	497.666
Q8IYU8	Q8IYU8	MICU2_HUMAN	MICU2	Calcium uptake protein 2, mitochondrial																																								546.109	710.621	1080.13	886.214	953.709	1014.41
Q8IZ07	Q8IZ07	AN13A_HUMAN	ANKRD13A	Ankyrin repeat domain-containing protein 13A				1113.81		3816.78	3443.77	3232.8	1374.18		2750.82			4295.79													4840.43	3437.83				4568.38			1533.29				3520.55	755.478	1006.62	1241.89	1446.74	1257.44	1635.26
Q8IZ21	Q8IZ21	PHAR4_HUMAN	PHACTR4	Phosphatase and actin regulator 4																												12260.7												1102.21	1112.93	1530.7	1352.21	1061.58	1529.87
Q8IZ26	Q8IZ26	ZNF34_HUMAN	ZNF34	Zinc finger protein 34			8245	7176.39																	2949.62							6833.11											2083.6	816.615	644.862	320.75	463.754	715.554	526.728
Q8IZ52	Q8IZ52	CHSS2_HUMAN	CHPF	Chondroitin sulfate synthase 2																						25264.2										14219.8						18228	1879.65	1652.26	1692.06	2426.26	1688.17	1658.69	1786.17
Q8IZ69	Q8IZ69	TRM2A_HUMAN	TRMT2A	tRNA (uracil-5-)-methyltransferase homolog A																																								888.515	513.645	674.049	1032.74	693.802	524.649
Q8IZ81	Q8IZ81	ELMD2_HUMAN	ELMOD2	ELMO domain-containing protein 2																																					5415.44			3225.07	2184.56	3812.66	2631.48	3448.6	3296.23
Q8IZ83	Q8IZ83	A16A1_HUMAN	ALDH16A1	Aldehyde dehydrogenase family 16 member A1	1934.55				3244.12	3477.73	7446.76	7746.76	8831.06						2430.77			6305.1		7443.9	10190	9892.17	5923				2904.61	2059.45		5556.85	7849.66	8517.22					4346.46		2851.67	1569.17	1415.69	2243.88	2399.05	2187.99	2458.88
Q8IZA0	Q8IZA0	K319L_HUMAN	KIAA0319L	Dyslexia-associated protein KIAA0319-like protein			14994.6										9835.62		4861.41															8038.02										1849.55	2440.5	1451.32	2639.93	2235.32	2656.01
Q8IZH2	Q8IZH2	XRN1_HUMAN	XRN1	5'-3' exoribonuclease 1	3067.2						3605.1								1633.75																				2772.53					1384.9	1252.87	1906.32	1449.71	1360.1	1414.64
Q8IZJ3	Q8IZJ3	CPMD8_HUMAN	CPAMD8	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8																																								340.646	1388.37	3131.18	2393.44	1841.31	2728.89
Q8IZL8	Q8IZL8	PELP1_HUMAN	PELP1	Proline-, glutamic acid- and leucine-rich protein 1									6749.58						4468.15								9881.85												14339.9					6672.91	6030.98	8648.84	6636.37	7052.97	6796.83
Q8IZP0	Q8IZP0;Q9NYB9	ABI1_HUMAN	ABI1	Abl interactor 1	4293.75	2135.82		3630.41	5783.48	3437.7	4590.19		2059.77				5271.25		5876.33					3566.34		4885.22			1988.01	2932.9	2909.45	4450.24		4559.37		2941.84	5685.47		3337.04					3698.01	4755.13	5723.41	5215.54	3894.04	5298.19
Q8IZQ1	Q8IZQ1	WDFY3_HUMAN	WDFY3	WD repeat and FYVE domain-containing protein 3																																								747.238	772.112	957.993	869.514	897.779	907.325
Q8IZQ5	Q8IZQ5	SELH_HUMAN	SELENOH	Selenoprotein H																						2152.73						2090.91							3188.88					1657.13	1618.63	1811.7	1475.75	1718.14	1537.82
Q8IZR5	Q8IZR5	CKLF4_HUMAN	CMTM4	CKLF-like MARVEL transmembrane domain-containing protein 4				1368.41																																			2847.26	239.483	310.405	409.374	493.622	570.297	379.485
Q8IZV5	Q8IZV5	RDH10_HUMAN	RDH10	Retinol dehydrogenase 10																											3913.02													1826.52	1358.1	1749.59	726.42	714.992	624.213
Q8N0T1	Q8N0T1	RBIS_HUMAN	RBIS	Ribosomal biogenesis factor																																								605.903	676.294	847.242	771.001	826.516	811.175
Q8N0U8	Q8N0U8	VKORL_HUMAN	VKORC1L1	Vitamin K epoxide reductase complex subunit 1-like protein 1								1294.9	3436.16						3890.92				2296.36																5180.49			2985.85		1921.08	1737.26	1859.66	1821.76	2325.8	1856.4
Q8N0W3	Q8N0W3	FCSK_HUMAN	FCSK	L-fucose kinase																																								227.241	594.561	852.134	579.512	656.643	649.065
Q8N0W4	Q8N0W4;Q8NFZ3	NLGNX_HUMAN	NLGN4X	Neuroligin-4, X-linked																					3211.62																			561.945	806.434	1477.2	1162.53	1041.8	1558.38
