Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Spectral Count	96_Lucy_astrolysis_M_60ng Spectral Count	97_Lucy_astrolysis_F_60ng Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Unique Spectral Count	96_Lucy_astrolysis_M_60ng Unique Spectral Count	97_Lucy_astrolysis_F_60ng Unique Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Total Spectral Count	96_Lucy_astrolysis_M_60ng Total Spectral Count	97_Lucy_astrolysis_F_60ng Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Intensity	96_Lucy_astrolysis_M_60ng Intensity	97_Lucy_astrolysis_F_60ng Intensity	102_Lucy_astrolysis_FT_60ng_reinject Unique Intensity	96_Lucy_astrolysis_M_60ng Unique Intensity	97_Lucy_astrolysis_F_60ng Unique Intensity	102_Lucy_astrolysis_FT_60ng_reinject Total Intensity	96_Lucy_astrolysis_M_60ng Total Intensity	97_Lucy_astrolysis_F_60ng Total Intensity	Indistinguishable Proteins
sp|Q9UJY4|GGA2_HUMAN	Q9UJY4	GGA2_HUMAN	GGA2	613	6.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor-binding protein GGA2	1.0000	0.9990	3	7	7	7	2	3	2	2	3	2	2	3	2	5.338176E7	4.2894804E7	4.7592128E7	5.338176E7	4.2894804E7	4.7592128E7	5.338176E7	4.2894804E7	4.7592128E7	
sp|Q9UJY5|GGA1_HUMAN	Q9UJY5	GGA1_HUMAN	GGA1	639	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor-binding protein GGA1	1.0000	0.9990	5	12	12	12	3	6	3	3	6	3	3	6	3	6.099984E7	7.0857968E7	4.7599272E7	6.099984E7	7.0857968E7	4.7599272E7	6.099984E7	7.0857968E7	4.7599272E7	
sp|Q9UJZ1|STML2_HUMAN	Q9UJZ1	STML2_HUMAN	STOML2	356	18.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stomatin-like protein 2, mitochondrial	1.0000	0.9990	9	28	28	28	8	10	10	8	10	10	8	10	10	3.1763776E8	4.49124928E8	4.1903648E8	3.1763776E8	4.49124928E8	4.1903648E8	3.1763776E8	4.49124928E8	4.1903648E8	
sp|Q9UK23|NAGPA_HUMAN	Q9UK23	NAGPA_HUMAN	NAGPA	515	4.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	1.0000	0.9990	2	3	3	3	2	0	1	2	0	1	2	0	1	2.8971004E7	2.0824936E7	3.5580152E7	2.8971004E7	2.0824936E7	3.5580152E7	2.8971004E7	2.0824936E7	3.5580152E7	
sp|Q9UK41|VPS28_HUMAN	Q9UK41	VPS28_HUMAN	VPS28	221	28.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 28 homolog	1.0000	0.9990	5	8	8	8	4	2	2	4	2	2	4	2	2	5.0490096E7	5.8576044E7	6.2388212E7	5.0490096E7	5.8576044E7	6.2388212E7	5.0490096E7	5.8576044E7	6.2388212E7	
sp|Q9UK45|LSM7_HUMAN	Q9UK45	LSM7_HUMAN	LSM7	103	16.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm7	1.0000	0.9987	3	7	7	7	3	2	2	3	2	2	3	2	2	1.87934192E8	2.0620944E8	1.39415744E8	1.87934192E8	2.0620944E8	1.39415744E8	1.87934192E8	2.0620944E8	1.39415744E8	
sp|Q9UK59|DBR1_HUMAN	Q9UK59	DBR1_HUMAN	DBR1	544	7.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lariat debranching enzyme	1.0000	0.9990	2	2	2	2	0	1	1	0	1	1	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9UK76|JUPI1_HUMAN	Q9UK76	JUPI1_HUMAN	JPT1	154	26.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Jupiter microtubule associated homolog 1	1.0000	0.9990	4	22	22	22	9	5	8	9	5	8	9	5	8	7.0838163E8	7.5293798E8	5.7598816E8	7.0838163E8	7.5293798E8	5.7598816E8	7.0838163E8	7.5293798E8	5.7598816E8	
sp|Q9UKD2|MRT4_HUMAN	Q9UKD2	MRT4_HUMAN	MRTO4	239	33.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	mRNA turnover protein 4 homolog	1.0000	0.9990	7	20	20	20	8	5	7	8	5	7	8	5	7	8.214976E7	5.9586404E7	1.11875456E8	8.214976E7	5.9586404E7	1.11875456E8	8.214976E7	5.9586404E7	1.11875456E8	
sp|Q9UKG1|DP13A_HUMAN	Q9UKG1	DP13A_HUMAN	APPL1	709	16.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	DCC-interacting protein 13-alpha	1.0000	0.9990	9	17	17	17	6	7	4	6	7	4	6	7	4	9.509112E7	3.2399352E7	7.3584024E7	9.509112E7	3.2399352E7	7.3584024E7	9.509112E7	3.2399352E7	7.3584024E7	
sp|Q9UKI2|BORG2_HUMAN	Q9UKI2	BORG2_HUMAN	CDC42EP3	254	11.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cdc42 effector protein 3	1.0000	0.9990	2	7	7	7	3	1	3	3	1	3	3	1	3	5.2607424E7	3.431878E7	3.468192E7	5.2607424E7	3.431878E7	3.468192E7	5.2607424E7	3.431878E7	3.468192E7	
sp|Q9UKJ3|GPTC8_HUMAN	Q9UKJ3	GPTC8_HUMAN	GPATCH8	1502	5.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	G patch domain-containing protein 8	1.0000	0.9990	5	8	8	8	1	3	4	1	3	4	1	3	4	7759798.0	1.0603736E7	8566896.0	7759798.0	1.0603736E7	8566896.0	7759798.0	1.0603736E7	8566896.0	
sp|Q9UKK3|PARP4_HUMAN	Q9UKK3	PARP4_HUMAN	PARP4	1724	11.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein mono-ADP-ribosyltransferase PARP4	1.0000	0.9990	19	38	38	38	14	6	18	14	6	18	14	6	18	1.04279224E8	4.9840108E7	1.06726232E8	1.04279224E8	4.9840108E7	1.06726232E8	1.04279224E8	4.9840108E7	1.06726232E8	
sp|Q9UKK9|NUDT5_HUMAN	Q9UKK9	NUDT5_HUMAN	NUDT5	219	39.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-sugar pyrophosphatase	1.0000	0.9990	7	12	12	12	5	4	3	5	4	3	5	4	3	2.01942336E8	2.45823776E8	1.40486992E8	2.01942336E8	2.45823776E8	1.40486992E8	2.01942336E8	2.45823776E8	1.40486992E8	
sp|Q9UKM7|MA1B1_HUMAN	Q9UKM7	MA1B1_HUMAN	MAN1B1	699	7.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1.0000	0.9990	4	6	6	6	1	2	3	1	2	3	1	2	3	0.0	4.9364432E7	2.0269196E7	0.0	4.9364432E7	2.0269196E7	0.0	4.9364432E7	2.0269196E7	
sp|Q9UKM9|RALY_HUMAN	Q9UKM9	RALY_HUMAN	RALY	306	36.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein Raly	1.0000	0.9990	12	32	32	32	12	8	12	12	8	12	12	8	12	5.4227744E8	4.7577232E8	5.923049E8	5.4227744E8	4.7577232E8	5.923049E8	5.4227744E8	4.7577232E8	5.923049E8	
sp|Q9UKN8|TF3C4_HUMAN	Q9UKN8	TF3C4_HUMAN	GTF3C4	822	3.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor 3C polypeptide 4	1.0000	0.9988	2	3	3	3	1	0	2	1	0	2	1	0	2	5400057.0	7525207.5	8473972.0	5400057.0	7525207.5	8473972.0	5400057.0	7525207.5	8473972.0	
sp|Q9UKS6|PACN3_HUMAN	Q9UKS6	PACN3_HUMAN	PACSIN3	424	16.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein kinase C and casein kinase substrate in neurons protein 3	1.0000	0.9990	4	11	11	11	4	3	4	4	3	4	4	3	4	1.08071736E8	2.19827E7	1.3429296E8	1.08071736E8	2.19827E7	1.3429296E8	1.08071736E8	2.19827E7	1.3429296E8	
sp|Q9UKU7|ACAD8_HUMAN	Q9UKU7	ACAD8_HUMAN	ACAD8	415	12.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Isobutyryl-CoA dehydrogenase, mitochondrial	1.0000	0.9990	3	6	6	6	3	2	1	3	2	1	3	2	1	2733770.0	9276171.0	2274649.5	2733770.0	9276171.0	2274649.5	2733770.0	9276171.0	2274649.5	
sp|Q9UKV3|ACINU_HUMAN	Q9UKV3	ACINU_HUMAN	ACIN1	1341	16.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apoptotic chromatin condensation inducer in the nucleus	1.0000	0.9990	21	51	51	51	16	16	19	16	16	19	16	16	19	2.2101512E8	2.05685584E8	2.11422496E8	2.2101512E8	2.05685584E8	2.11422496E8	2.2101512E8	2.05685584E8	2.11422496E8	
sp|Q9UKV8|AGO2_HUMAN	Q9UKV8	AGO2_HUMAN	AGO2	859	8.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein argonaute-2	1.0000	0.9990	7	20	14	20	6	7	7	4	5	5	6	7	7	6.118952E7	4.0925464E7	5.1199932E7	2.4238E7	1.0294548E7	2.3967324E7	6.118952E7	4.0925464E7	5.1199932E7	
sp|Q9UKX5|ITA11_HUMAN	Q9UKX5	ITA11_HUMAN	ITGA11	1188	17.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin alpha-11	1.0000	0.9990	20	44	44	44	15	16	13	15	16	13	15	16	13	3.64661376E8	3.404768E8	3.05782848E8	3.64661376E8	3.404768E8	3.05782848E8	3.64661376E8	3.404768E8	3.05782848E8	
sp|Q9UKX7|NUP50_HUMAN	Q9UKX7	NUP50_HUMAN	NUP50	468	22.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear pore complex protein Nup50	1.0000	0.9990	8	22	22	22	10	7	5	10	7	5	10	7	5	1.1167556E8	1.1420944E8	6.4838776E7	1.1167556E8	1.1420944E8	6.4838776E7	1.1167556E8	1.1420944E8	6.4838776E7	
sp|Q9UKY7|CDV3_HUMAN	Q9UKY7	CDV3_HUMAN	CDV3	258	50.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein CDV3 homolog	1.0000	0.9990	12	42	42	42	15	16	11	15	16	11	15	16	11	8.345792E8	8.5099091E8	6.4047066E8	8.345792E8	8.5099091E8	6.4047066E8	8.345792E8	8.5099091E8	6.4047066E8	
sp|Q9UL15|BAG5_HUMAN	Q9UL15	BAG5_HUMAN	BAG5	447	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 5	1.0000	0.9990	5	12	12	12	5	4	3	5	4	3	5	4	3	2.3060542E7	2.833515E7	1767992.0	2.3060542E7	2.833515E7	1767992.0	2.3060542E7	2.833515E7	1767992.0	
sp|Q9UL25|RAB21_HUMAN	Q9UL25	RAB21_HUMAN	RAB21	225	11.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-21	1.0000	0.9990	3	7	7	7	2	2	3	2	2	3	2	2	3	1.82954928E8	1.10329128E8	1.18835376E8	1.82954928E8	1.10329128E8	1.18835376E8	1.82954928E8	1.10329128E8	1.18835376E8	
sp|Q9UL33|TPC2L_HUMAN	Q9UL33	TPC2L_HUMAN	TRAPPC2L	140	18.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 2-like protein	1.0000	0.9985	3	4	4	4	2	0	2	2	0	2	2	0	2	2.6125746E7	0.0	1.8292078E7	2.6125746E7	0.0	1.8292078E7	2.6125746E7	0.0	1.8292078E7	
sp|Q9UL40|ZN346_HUMAN	Q9UL40	ZN346_HUMAN	ZNF346	294	11.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 346	1.0000	0.9990	2	5	5	5	2	2	1	2	2	1	2	2	1	2.6855834E7	2.1949034E7	2.3700676E7	2.6855834E7	2.1949034E7	2.3700676E7	2.6855834E7	2.1949034E7	2.3700676E7	
sp|Q9UL46|PSME2_HUMAN	Q9UL46	PSME2_HUMAN	PSME2	239	45.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome activator complex subunit 2	1.0000	0.9990	11	28	28	28	9	11	8	9	11	8	9	11	8	3.00564832E8	4.4851152E8	4.00556544E8	3.00564832E8	4.4851152E8	4.00556544E8	3.00564832E8	4.4851152E8	4.00556544E8	
sp|Q9UL54|TAOK2_HUMAN	Q9UL54	TAOK2_HUMAN	TAOK2	1235	5.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase TAO2	1.0000	0.9990	3	5	5	5	2	1	2	2	1	2	2	1	2	4.9852768E7	5.0053096E7	5.947044E7	4.9852768E7	5.0053096E7	5.947044E7	4.9852768E7	5.0053096E7	5.947044E7	
sp|Q9ULA0|DNPEP_HUMAN	Q9ULA0	DNPEP_HUMAN	DNPEP	485	16.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aspartyl aminopeptidase	1.0000	0.9990	5	11	11	11	4	4	3	4	4	3	4	4	3	1.28172688E8	9.4044736E7	8.2487632E7	1.28172688E8	9.4044736E7	8.2487632E7	1.28172688E8	9.4044736E7	8.2487632E7	
sp|Q9ULC3|RAB23_HUMAN	Q9ULC3	RAB23_HUMAN	RAB23	237	20.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-23	1.0000	0.9990	5	7	7	7	2	3	2	2	3	2	2	3	2	8.0468528E7	5.57994E7	9.7054352E7	8.0468528E7	5.57994E7	9.7054352E7	8.0468528E7	5.57994E7	9.7054352E7	
sp|Q9ULE3|DEN2A_HUMAN	Q9ULE3	DEN2A_HUMAN	DENND2A	1009	5.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 2A	1.0000	0.9989	3	4	4	4	3	0	1	3	0	1	3	0	1	1.131077E7	0.0	9894308.0	1.131077E7	0.0	9894308.0	1.131077E7	0.0	9894308.0	
sp|Q9ULF5|S39AA_HUMAN	Q9ULF5	S39AA_HUMAN	SLC39A10	831	6.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc transporter ZIP10	1.0000	0.9990	5	5	5	5	3	0	2	3	0	2	3	0	2	2.2836768E7	5.2191568E7	4.0810456E7	2.2836768E7	5.2191568E7	4.0810456E7	2.2836768E7	5.2191568E7	4.0810456E7	
sp|Q9ULH0|KDIS_HUMAN	Q9ULH0	KDIS_HUMAN	KIDINS220	1771	3.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinase D-interacting substrate of 220 kDa	1.0000	0.9990	3	4	4	4	0	3	1	0	3	1	0	3	1	0.0	1.48117E7	8316803.0	0.0	1.48117E7	8316803.0	0.0	1.48117E7	8316803.0	
sp|Q9ULH1|ASAP1_HUMAN	Q9ULH1	ASAP1_HUMAN	ASAP1	1129	15.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	1.0000	0.9990	11	22	20	22	7	7	8	6	6	8	7	7	8	7.8495552E7	4.7042984E7	7.684176E7	7.8495552E7	4.7042984E7	7.684176E7	7.8495552E7	4.7042984E7	7.684176E7	
sp|Q9ULI3|HEG1_HUMAN	Q9ULI3	HEG1_HUMAN	HEG1	1381	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein HEG homolog 1	1.0000	0.9990	2	4	4	4	3	0	1	3	0	1	3	0	1	8832046.0	0.0	0.0	8832046.0	0.0	0.0	8832046.0	0.0	0.0	
sp|Q9ULP9|TBC24_HUMAN	Q9ULP9	TBC24_HUMAN	TBC1D24	559	7.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 24	1.0000	0.9990	4	9	9	9	2	3	4	2	3	4	2	3	4	9508194.0	1.6677778E7	9772500.0	9508194.0	1.6677778E7	9772500.0	9508194.0	1.6677778E7	9772500.0	
sp|Q9ULR0|ISY1_HUMAN	Q9ULR0	ISY1_HUMAN	ISY1	285	13.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor ISY1 homolog	1.0000	0.9990	4	10	10	10	4	4	2	4	4	2	4	4	2	5.0286288E7	6.299356E7	5.8806408E7	5.0286288E7	6.299356E7	5.8806408E7	5.0286288E7	6.299356E7	5.8806408E7	
sp|Q9ULT8|HECD1_HUMAN	Q9ULT8	HECD1_HUMAN	HECTD1	2610	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase HECTD1	1.0000	0.9990	20	44	44	44	16	11	17	16	11	17	16	11	17	1.92139856E8	6.9843592E7	1.90791488E8	1.92139856E8	6.9843592E7	1.90791488E8	1.92139856E8	6.9843592E7	1.90791488E8	
sp|Q9ULU4|PKCB1_HUMAN	Q9ULU4	PKCB1_HUMAN	ZMYND8	1186	5.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein kinase C-binding protein 1	1.0000	0.9990	3	5	5	5	3	1	1	3	1	1	3	1	1	1.1170117E7	9460551.0	0.0	1.1170117E7	9460551.0	0.0	1.1170117E7	9460551.0	0.0	
sp|Q9ULV3|CIZ1_HUMAN	Q9ULV3	CIZ1_HUMAN	CIZ1	898	7.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cip1-interacting zinc finger protein	1.0000	0.9990	2	4	4	4	3	0	1	3	0	1	3	0	1	5633290.0	0.0	0.0	5633290.0	0.0	0.0	5633290.0	0.0	0.0	
sp|Q9ULW0|TPX2_HUMAN	Q9ULW0	TPX2_HUMAN	TPX2	747	10.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Targeting protein for Xklp2	1.0000	0.9984	4	4	4	4	0	0	4	0	0	4	0	0	4	1.6778834E7	0.0	2.7669478E7	1.6778834E7	0.0	2.7669478E7	1.6778834E7	0.0	2.7669478E7	
sp|Q9ULX3|NOB1_HUMAN	Q9ULX3	NOB1_HUMAN	NOB1	412	11.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein NOB1	1.0000	0.9990	6	11	11	11	4	5	2	4	5	2	4	5	2	5.49196E7	5.8967184E7	4.5638744E7	5.49196E7	5.8967184E7	4.5638744E7	5.49196E7	5.8967184E7	4.5638744E7	
sp|Q9ULX6|AKP8L_HUMAN	Q9ULX6	AKP8L_HUMAN	AKAP8L	646	9.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	A-kinase anchor protein 8-like	1.0000	0.9990	5	13	13	13	4	7	2	4	7	2	4	7	2	4.1288512E7	8.4515216E7	7.12388E7	4.1288512E7	8.4515216E7	7.12388E7	4.1288512E7	8.4515216E7	7.12388E7	
sp|Q9UM00|TMCO1_HUMAN	Q9UM00	TMCO1_HUMAN	TMCO1	239	16.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium load-activated calcium channel	1.0000	0.9990	4	13	13	13	4	3	6	4	3	6	4	3	6	1.22707496E8	1.6628146E7	1.05605152E8	1.22707496E8	1.6628146E7	1.05605152E8	1.22707496E8	1.6628146E7	1.05605152E8	
sp|Q9UM22|EPDR1_HUMAN	Q9UM22	EPDR1_HUMAN	EPDR1	224	14.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mammalian ependymin-related protein 1	1.0000	0.9990	3	7	7	7	3	3	1	3	3	1	3	3	1	7.728876E7	1.32064576E8	5.725158E7	7.728876E7	1.32064576E8	5.725158E7	7.728876E7	1.32064576E8	5.725158E7	
sp|Q9UM47|NOTC3_HUMAN	Q9UM47	NOTC3_HUMAN	NOTCH3	2321	3.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neurogenic locus notch homolog protein 3	1.0000	0.9990	5	5	4	5	0	5	0	0	4	0	0	5	0	0.0	1.20575776E8	0.0	0.0	5.7538104E7	0.0	0.0	1.20575776E8	0.0	
sp|Q9UM54|MYO6_HUMAN	Q9UM54	MYO6_HUMAN	MYO6	1294	20.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-VI	1.0000	0.9990	25	52	52	52	15	17	20	15	17	20	15	17	20	9.2098912E7	2.60578064E8	2.4181952E8	9.2098912E7	2.60578064E8	2.4181952E8	9.2098912E7	2.60578064E8	2.4181952E8	
sp|Q9UMS0|NFU1_HUMAN	Q9UMS0	NFU1_HUMAN	NFU1	254	16.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	1.0000	0.9990	3	7	7	7	3	2	2	3	2	2	3	2	2	4.5837892E7	3.777516E7	4.725458E7	4.5837892E7	3.777516E7	4.725458E7	4.5837892E7	3.777516E7	4.725458E7	
sp|Q9UMS4|PRP19_HUMAN	Q9UMS4	PRP19_HUMAN	PRPF19	504	18.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-processing factor 19	1.0000	0.9990	10	24	24	24	7	9	8	7	9	8	7	9	8	2.18090061E9	1.89573184E9	2.26987418E9	2.18090061E9	1.89573184E9	2.26987418E9	2.18090061E9	1.89573184E9	2.26987418E9	
sp|Q9UMX0|UBQL1_HUMAN	Q9UMX0	UBQL1_HUMAN	UBQLN1	589	18.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquilin-1	1.0000	0.9990	8	28	11	28	15	7	6	5	4	2	15	7	6	7.2237056E8	6.2614784E8	3.71388512E8	8.606672E7	1.09133536E8	4.6084996E7	7.2237056E8	6.2614784E8	3.71388512E8	
sp|Q9UMX5|NENF_HUMAN	Q9UMX5	NENF_HUMAN	NENF	172	16.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neudesin	1.0000	0.9990	2	3	3	3	2	1	0	2	1	0	2	1	0	1.41578432E8	1.42921216E8	1.19380832E8	1.41578432E8	1.42921216E8	1.19380832E8	1.41578432E8	1.42921216E8	1.19380832E8	
sp|Q9UMY1|NOL7_HUMAN	Q9UMY1	NOL7_HUMAN	NOL7	257	22.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 7	1.0000	0.9990	2	6	6	6	2	1	3	2	1	3	2	1	3	2.8524796E7	4.4224556E7	2.5654482E7	2.8524796E7	4.4224556E7	2.5654482E7	2.8524796E7	4.4224556E7	2.5654482E7	
sp|Q9UMY4|SNX12_HUMAN	Q9UMY4	SNX12_HUMAN	SNX12	162	38.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting nexin-12	1.0000	0.9990	9	19	19	26	7	6	6	7	6	6	9	9	8	5.9550874E8	5.14056288E8	4.78496576E8	5.9550874E8	5.14056288E8	4.78496576E8	9.3147418E8	7.7955098E8	7.515328E8	
sp|Q9UMZ2|SYNRG_HUMAN	Q9UMZ2	SYNRG_HUMAN	SYNRG	1314	4.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synergin gamma	1.0000	0.9990	5	8	8	8	3	4	1	3	4	1	3	4	1	3781798.0	8408184.0	0.0	3781798.0	8408184.0	0.0	3781798.0	8408184.0	0.0	
sp|Q9UN86|G3BP2_HUMAN	Q9UN86	G3BP2_HUMAN	G3BP2	482	32.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras GTPase-activating protein-binding protein 2	1.0000	0.9990	15	38	38	49	16	11	11	16	11	11	21	14	14	9.063751E8	7.1660774E8	7.4906912E8	9.063751E8	7.1660774E8	7.4906912E8	1.27949658E9	9.9764294E8	1.1903063E9	
sp|Q9UNE7|CHIP_HUMAN	Q9UNE7	CHIP_HUMAN	STUB1	303	44.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase CHIP	1.0000	0.9990	16	29	29	29	11	9	9	11	9	9	11	9	9	1.33046752E8	8.2763384E7	9.3068544E7	1.33046752E8	8.2763384E7	9.3068544E7	1.33046752E8	8.2763384E7	9.3068544E7	
sp|Q9UNF0|PACN2_HUMAN	Q9UNF0	PACN2_HUMAN	PACSIN2	486	32.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein kinase C and casein kinase substrate in neurons protein 2	1.0000	0.9990	14	39	39	39	15	12	12	15	12	12	15	12	12	2.89367648E8	3.24169728E8	2.66410592E8	2.89367648E8	3.24169728E8	2.66410592E8	2.89367648E8	3.24169728E8	2.66410592E8	
sp|Q9UNF1|MAGD2_HUMAN	Q9UNF1	MAGD2_HUMAN	MAGED2	606	32.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Melanoma-associated antigen D2	1.0000	0.9990	21	63	56	63	21	25	17	19	22	15	21	25	17	2.08510688E8	2.8064512E8	5.03377568E8	2.08510688E8	2.8064512E8	5.03377568E8	2.08510688E8	2.8064512E8	5.03377568E8	
sp|Q9UNH6|SNX7_HUMAN	Q9UNH6	SNX7_HUMAN	SNX7	387	10.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting nexin-7	1.0000	0.9990	3	3	3	3	1	1	1	1	1	1	1	1	1	1.1076213E7	0.0	0.0	1.1076213E7	0.0	0.0	1.1076213E7	0.0	0.0	
sp|Q9UNH7|SNX6_HUMAN	Q9UNH7	SNX6_HUMAN	SNX6	406	34.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting nexin-6	1.0000	0.9990	13	28	25	28	10	11	7	9	10	6	10	11	7	3.4634304E8	2.50893984E8	3.84698272E8	3.4297568E8	2.4924808E8	3.65799776E8	3.4634304E8	2.50893984E8	3.84698272E8	
sp|Q9UNI6|DUS12_HUMAN	Q9UNI6	DUS12_HUMAN	DUSP12	340	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dual specificity protein phosphatase 12	1.0000	0.9990	2	6	6	6	1	3	2	1	3	2	1	3	2	1.7186376E7	3.2422612E7	1.7329048E7	1.7186376E7	3.2422612E7	1.7329048E7	1.7186376E7	3.2422612E7	1.7329048E7	
sp|Q9UNK0|STX8_HUMAN	Q9UNK0	STX8_HUMAN	STX8	236	11.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-8	1.0000	0.9987	3	4	4	4	2	1	1	2	1	1	2	1	1	1.7790688E7	3.197538E7	1.5066547E7	1.7790688E7	3.197538E7	1.5066547E7	1.7790688E7	3.197538E7	1.5066547E7	
sp|Q9UNM6|PSD13_HUMAN	Q9UNM6	PSD13_HUMAN	PSMD13	376	31.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 13	1.0000	0.9990	14	49	49	49	20	13	16	20	13	16	20	13	16	6.0109293E8	4.73074752E8	5.00677088E8	6.0109293E8	4.73074752E8	5.00677088E8	6.0109293E8	4.73074752E8	5.00677088E8	
sp|Q9UNN5|FAF1_HUMAN	Q9UNN5	FAF1_HUMAN	FAF1	650	12.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	FAS-associated factor 1	1.0000	0.9990	8	21	21	21	8	8	5	8	8	5	8	8	5	8.4921456E7	9.9406416E7	6.9871888E7	8.4921456E7	9.9406416E7	6.9871888E7	8.4921456E7	9.9406416E7	6.9871888E7	
