Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-31_4280.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_18ng_3-12-2024_Slot2-32_4281.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_18ng_3-12-2024_Slot2-33_4282.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_18ng_3-12-2024_Slot2-34_4283.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_18ng_3-12-2024_Slot2-35_4284.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_18ng_3-12-2024_Slot2-36_4285.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-25_4274.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_18ng_3-11-2024_Slot2-26_4275.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_18ng_3-11-2024_Slot2-27_4276.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_18ng_3-11-2024_Slot2-28_4277.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_18ng_3-11-2024_Slot2-29_4278.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_18ng_3-11-2024_Slot2-30_4279.d
Q8NBN3	Q8NBN3	TM87A_HUMAN	TMEM87A	Transmembrane protein 87A	23021.8	22267.2	21449.2	17804	24170.6	21879.5	23197.3	22907.1	22900.9	18110.5	18624.1	25411.4
Q8NBN7	Q8NBN7	RDH13_HUMAN	RDH13	Retinol dehydrogenase 13	11987.2	12235.7	12303.1	14175.6	11514.9	8981.23	7363.59	8662.39	10290.6	9886.95	8463.28	6342.45
Q8NBP0	Q8NBP0	TTC13_HUMAN	TTC13	Tetratricopeptide repeat protein 13	13416.9	11371.6	13339.7	10583.5	10875.2	10950.6	10464.3	10334.2	10001.7	8617.89	8924.15	9936.67
Q8NBQ5	Q8NBQ5	DHB11_HUMAN	HSD17B11	Estradiol 17-beta-dehydrogenase 11	26979.4	24565	21646.5	20644.1	20551	20752	21416.3	23447	21720.6	17485.8	18080.2	16212.8
Q8NBR6	Q8NBR6	MINY2_HUMAN	MINDY2	Ubiquitin carboxyl-terminal hydrolase MINDY-2	4078.77	5804.43	4794.61	4827.4	3554.72	4079.11	2763.52	2474.4	2520.47		2354.77	4422.94
Q8NBS9	Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5	410250	427272	433445	414481	478873	491531	306701	328679	321780	246733	279847	480919
Q8NBT2	Q8NBT2	SPC24_HUMAN	SPC24	Kinetochore protein Spc24	11555.2	10844.3	9224.22	20137.5	18755.7	18625.9	37304	38583.9	39330.5	49925.6	41748.7	54125
Q8NBU5	Q8NBU5	ATAD1_HUMAN	ATAD1	Outer mitochondrial transmembrane helix translocase	46347.9	49382.7	51320.6	65204.6	55155.6	51783.9	38573.9	31032.6	44319	50701.7	69537.8	55452.9
Q8NBW4	Q8NBW4	S38A9_HUMAN	SLC38A9	Sodium-coupled neutral amino acid transporter 9	6634.17			3421.71			6006.4	5019.19	5247.87		2168.04	4607.95
Q8NBX0	Q8NBX0	SCPDL_HUMAN	SCCPDH	Saccharopine dehydrogenase-like oxidoreductase	185141	180829	172414	199767	155878	148251	183718	158206	168744	167679	152507	148142
Q8NBZ0	Q8NBZ0	IN80E_HUMAN	INO80E	INO80 complex subunit E	2438.62	3338.88	1684.75	2844.07		2106.11	4785.9	3383.23	3324.65	3064.02	3877.46	5079.11
Q8NBZ7	Q8NBZ7	UXS1_HUMAN	UXS1	UDP-glucuronic acid decarboxylase 1	18098.4	14455.7	16443.7	12832.4	12265	11122.7	13076.7	13594.4	11794	12924.1	13341.6	14807.7
Q8NC42	Q8NC42	RN149_HUMAN	RNF149	E3 ubiquitin-protein ligase RNF149	10594.3	10011.6	12322.3	15661.8	20369.8	22076.9	17524.5	21652.5	19645.2	17177.9	17007.2	29916.8
Q8NC44	Q8NC44	RETR2_HUMAN	RETREG2	Reticulophagy regulator 2	15971.8	23811.8	24346.2	20672.3	17044.1	10616.4	14385.1	12851.9	12659.1	9661.5	8706.03	16618.6
Q8NC51	Q8NC51	PAIRB_HUMAN	SERBP1	Plasminogen activator inhibitor 1 RNA-binding protein	36182.5	36687.3	38572.4	152422	130680	134198	39101.7	39352.1	36943.6	120357	178437	289709
Q8NC54	Q8NC54	KCT2_HUMAN	KCT2	Keratinocyte-associated transmembrane protein 2	18825.1	14941.6	13219	11397.6	8927.9	11800.6	18518.9	22207.4	23088.2	15831.6	19186.3	26988.6
Q8NC56	Q8NC56	LEMD2_HUMAN	LEMD2	LEM domain-containing protein 2	59911.9	51508.7	54064	57557.8	46521.7	45094.2	49108.5	50195.4	53802.8	53204.8	49777.4	42454.1
Q8NC60	Q8NC60	NOA1_HUMAN	NOA1	Nitric oxide-associated protein 1	7660.16	7119.2	8423.43	10676.9	9452.49	12168.5	15332.5	14416.8	15778.2	13263.8	12481.2	11796.8
Q8NC69	Q8NC69	KCTD6_HUMAN	KCTD6	BTB/POZ domain-containing protein KCTD6	4657.68	5732.27	5889.29	5803.96	5645.67		4792.75	5207.91	6414.94	7272.33	6001.5	8321.07
Q8NC96	Q8NC96	NECP1_HUMAN	NECAP1	Adaptin ear-binding coat-associated protein 1	21815.3	7894.72	10633.7	36205.6	43252.3	48016.8	13275.9	16861.6	18336	34145.6	37897.8	37448.6
Q8NCA5	Q8NCA5	FA98A_HUMAN	FAM98A	Protein FAM98A	83883	87060.8	84355.8	51611.9	41178.6	39608.9	67357.2	66033.1	60844.4	31187	32683.3	30763.8
Q8NCC3	Q8NCC3	PAG15_HUMAN	PLA2G15	Phospholipase A2 group XV	36467.8	27895.4	33595.6	63095.4	56855.7	52521.6	20142.1	17131	19420.1	23736.4	22632.7	30298.9
Q8NCD3	Q8NCD3	HJURP_HUMAN	HJURP	Holliday junction recognition protein		904.152					3459.17	2755.99	2783.59	998.563	1897.33	1330.34
Q8NCE0	Q8NCE0	SEN2_HUMAN	TSEN2	tRNA-splicing endonuclease subunit Sen2	4221.3	4098.41	4312.91	4123.54	2571.65	3849.57	5638.79	5374.2	5682.19	4523.31	4544.92	4037.45
Q8NCE2	Q8NCE2	MTMRE_HUMAN	MTMR14	Myotubularin-related protein 14	11710.1	12512.4	12783.4	10392	11871.9	11354	11736.4	12248	11562.8	7791.65	8598.6	10265.6
Q8NCF5	Q8NCF5	NF2IP_HUMAN	NFATC2IP	NFATC2-interacting protein	3436.96	2272.52	3217.45	8926.15	6981.62	7313.52	5154.39	4183.24	4241.66	9562.98	7985.8	7026.7
Q8NCG7	Q8NCG7	DGLB_HUMAN	DAGLB	Diacylglycerol lipase-beta	19324.7	19084.4	19941.9	16546.8	13513.2	15750.3	18599.4	19416.1	19119.3	13757.5	14932.9	16175.1
Q8NCH0	Q8NCH0	CHSTE_HUMAN	CHST14	Carbohydrate sulfotransferase 14	18651.3	19368.7	22798.2	17492.5	18862.7	18455.8	22413	24115	25879	18840.1	21148.6	20841
Q8NCJ5	Q8NCJ5	SPRY3_HUMAN	SPRYD3	SPRY domain-containing protein 3	10943.7	10253.1	11081.9	8985.16	5214.04	6342.22	12146.7	11819.5	10221.4	8060.59	7055.63	8068.29
Q8NCL4	Q8NCL4	GALT6_HUMAN	GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	2103.15	1968.01	1706.41	1455.89			1838.59	1852.65	1973.28	1968.71		1207.03
Q8NCL9	Q8NCL9	APCDL_HUMAN	APCDD1L	Protein APCDD1-like	4508.37	5573.02	3921.27						1241.82	1702.8	6199.2	5186
Q8NCM8	Q8NCM8	DYHC2_HUMAN	DYNC2H1	Cytoplasmic dynein 2 heavy chain 1	15344.8	13722.7	14358	14593.4	11120.2	12740.2	15967.6	16796.5	16254.2	11672.7	12743.1	11529.4
Q8NCN4	Q8NCN4	RN169_HUMAN	RNF169	E3 ubiquitin-protein ligase RNF169	3104.56		3293.69	3856.25			6966.38	5486.43	5684.31	3740.99	5310.72	4434.59
Q8NCN5	Q8NCN5	PDPR_HUMAN	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	26244.2	20876.1	24594.1	31564.5	31600.6	31616.6	26896.7	29197.1	31178.8	42816.4	43594.8	35384.5
Q8NCR0	Q8NCR0	B3GL2_HUMAN	B3GALNT2	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2	4591.01	2899.41	3501.84	4576.5		3512.54	2720.8	4356.77	4498.35	4219.88	4955.7	5179.28
Q8NCS4	Q8NCS4	TM35B_HUMAN	TMEM35B	Transmembrane protein 35B	11006	8673.85	10470.2	5821.98	8124.48		8280.3	8194.66	7296.86	4871.41	4980.94	6026.65
Q8NCS7	Q8NCS7	CTL5_HUMAN	SLC44A5	Choline transporter-like protein 5	5347.53	4335.33	5869.42	4828.2	7533.19	6579.12	1386.35		1978.45	2433.14	4014.33	5778.36
Q8NCW5	Q8NCW5	NNRE_HUMAN	NAXE	NAD(P)H-hydrate epimerase	49415.7	45447.8	46944.8	43644.1	31322.2	34883.9	34739.1	35042.5	35567.1	34671	28481.4	27996
Q8ND04	Q8ND04	SMG8_HUMAN	SMG8	Nonsense-mediated mRNA decay factor SMG8	23045.7	24383.4	23561.8	24230.3	19178.5	22341.4	23028.6	20622.2	19516.5	18244.9	17744.6	16191.1
Q8ND24	Q8ND24	RN214_HUMAN	RNF214	RING finger protein 214	12569.3	9953.58	12906	18665	18348	18590.7	13569.9	14368.3	14365.1	17810.6	17366	21616.7
Q8ND56	Q8ND56	LS14A_HUMAN	LSM14A	Protein LSM14 homolog A	17230	16460.7	9487.42	42375.9	44022	42549.1	17895.3	25611	28032.9	44315.3	47653.6	60226.6
Q8ND61	Q8ND61	CC020_HUMAN	C3orf20	Uncharacterized protein C3orf20	5022.86	7676.12		15638.1	13678.4	11371.2	8380.96	10038.6	7873.29	16259.7	17746	11916.2
Q8ND76	Q8ND76	CCNY_HUMAN	CCNY	Cyclin-Y	45175.3	33617.4	48485.8	52324.7	61467.5	51038.3	27306.8	31080.2	27921.8	25542.9	21335.4	25617.2
Q8ND82	Q8ND82	Z280C_HUMAN	ZNF280C	Zinc finger protein 280C	3607.04	2734.14	3584.4	4550.21	5722.92	5946.85	6933.1	5701.73	6532.78	5410.72	4856.74	3599.83
Q8ND83	Q8ND83	SLAI1_HUMAN	SLAIN1	SLAIN motif-containing protein 1	3521.24	1607.29	1865.77	1854.74	1248.42		1026	1611.25	1231.34		1498.38	
Q8ND90	Q8ND90	PNMA1_HUMAN	PNMA1	Paraneoplastic antigen Ma1	20107.3	18249.8	18452.7	12752.3	13531.7	13765.5	14899.4	14229.6	14157	14939.1	15292.5	19596.9
Q8NDA8	Q8NDA8	MROH1_HUMAN	MROH1	Maestro heat-like repeat-containing protein family member 1	16234.7	17806.8	16987.5	17041.6	11774.4	12082.7	11169	11693.8	12845.5	16520.9	15423.9	12844
Q8NDD1	Q8NDD1	CA131_HUMAN	C1orf131	Uncharacterized protein C1orf131	1932.93	1597.87		4433.99	3473.41	7241.47	3981.53	4150.43	2394.17	5502.17	5100.07	3138.73
Q8NDF8	Q8NDF8	PAPD5_HUMAN	TENT4B	Terminal nucleotidyltransferase 4B	3226.62	5649.89	3584.85	8559.47	18279.7		8090.12	6932.58	7449.8	12338.1	8950.67	7535.65
Q8NDH3	Q8NDH3	PEPL1_HUMAN	NPEPL1	Probable aminopeptidase NPEPL1	7390.8	5468.01	5405.49	39969.5	44639.7	47083.9	5589.66	3733.28	4193.26	18255.8	22886.4	30341.9
Q8NDI1	Q8NDI1	EHBP1_HUMAN	EHBP1	EH domain-binding protein 1	30255.6	27535.6	29487	36087.8	33643.5	30887.9	32561.9	29076.8	28250.2	31751.7	31282.1	35333
Q8NDT2	Q8NDT2	RB15B_HUMAN	RBM15B	Putative RNA-binding protein 15B	14425.2	10823.6	13974.2	19478.1	14164.2	17779	21033.6	18830.1	18314	21131	19089.6	14662.6
Q8NDV7	Q8NDV7	TNR6A_HUMAN	TNRC6A	Trinucleotide repeat-containing gene 6A protein	7122.94	7333.91	8945.33	5397.25	7951.89	7445.77	12879.6	14215.5	14166.1	8530.71	8201.77	10001.5
Q8NDX5	Q8NDX5	PHC3_HUMAN	PHC3	Polyhomeotic-like protein 3	3836.71	6010.12	5798.18	3793.91	3507.24		3562.95	4322.79	3010.89	3884.93	4194.57	4787.03
Q8NDZ4	Q8NDZ4	DIK2A_HUMAN	DIPK2A	Divergent protein kinase domain 2A	9744.74	9557.24	10165.7	9780.67	10116.9	12667.5	13763	12100.3	11606.8	9909.86	12950	18496.7
Q8NE00	Q8NE00	TM104_HUMAN	TMEM104	Transmembrane protein 104	27579	14091.4	18927.1	29244.6	23307	22744.8	20777.6	28054.3	27944.9	17999.9	17371.7	31492.9
Q8NE01	Q8NE01	CNNM3_HUMAN	CNNM3	Metal transporter CNNM3	22578.2	20485.3	22683.5	21314.5	17489.9	19604.7	16299.4	19207.3	15685.3	17104.3	14383.6	21199.3
Q8NE09	Q8NE09	RGS22_HUMAN	RGS22	Regulator of G-protein signaling 22	10150.9	9698.23	14178.8	28176.6	28221.3	29708.4	21618	26040.1	33947	32450.9	32710.2	37582.5
Q8NE22	Q8NE22	SETD9_HUMAN	SETD9	SET domain-containing protein 9	2182.9	3704.07	1988.63	5158.63			2719.6	2376.7	2082.52	3846.73	2073.62	2080.31
Q8NE71	Q8NE71	ABCF1_HUMAN	ABCF1	ATP-binding cassette sub-family F member 1	102274	101507	100908	108431	87550.3	91731.3	108997	102217	107017	85801.1	90238.6	83377.8
Q8NE86	Q8NE86	MCU_HUMAN	MCU	Calcium uniporter protein, mitochondrial	44094.5	45284.6	50474.4	47040.9	38437	40030	39792.3	41718.6	42713.6	31214.3	33955.4	32565.2
Q8NEB9	Q8NEB9	PK3C3_HUMAN	PIK3C3	Phosphatidylinositol 3-kinase catalytic subunit type 3	45642	43325.1	46154.3	38360.8	27701.2	29501	44550	44760.1	44114.9	37722.8	34142.1	28752.4
Q8NEC7	Q8NEC7	GSTCD_HUMAN	GSTCD	Glutathione S-transferase C-terminal domain-containing protein	11738.8	12969.5	15024.4	14869.8	10800.7	12057.5	12867.7	12394	12907.5	13598.5	14997.9	10744.6
Q8NEF9	Q8NEF9	SRFB1_HUMAN	SRFBP1	Serum response factor-binding protein 1	3231.39	4193.93	2800.55	12197.6	11170.5	12892.5	6716.24	5781.36	6091.37	10372.3	10861.8	8149.02
Q8NEJ9	Q8NEJ9	NGDN_HUMAN	NGDN	Neuroguidin	6525.22	6170.03	4847.05	14240.7	11446.4	10477.3	9261.23	7590.32	7822.88	11389.7	10200.1	7316.1
Q8NEL9	Q8NEL9	DDHD1_HUMAN	DDHD1	Phospholipase DDHD1	57930.4	52711.8	70741.4	50298.3	81460.3	52713.4	49796.8	36776.5	42553.4	38036.1	35290.6	48972.3
Q8NEM2	Q8NEM2	SHCBP_HUMAN	SHCBP1	SHC SH2 domain-binding protein 1	10805.3	9147.19	8337.99	13888.2	10961	15567.8	21675.1	22556.5	21013.5	15304	17405.1	19740.3
Q8NEM7	Q8NEM7	SP20H_HUMAN	SUPT20H	Transcription factor SPT20 homolog	2668.7	3679.53	2624.9	2448.05	3994.36		4152.77	4723.4	2862.12	3521.29	2684.08	1534.84
Q8NEN9	Q8NEN9	PDZD8_HUMAN	PDZD8	PDZ domain-containing protein 8	14953.9	15960.9	15487.3	15206.7	12561.3	11391.7	9494.75	9954.99	8790.55	8585.79	8507.15	8228.64
Q8NEU8	Q8NEU8	DP13B_HUMAN	APPL2	DCC-interacting protein 13-beta	28293.7	25479.4	26322.1	20463.3	18818.7	17031.5	37068.3	35408.2	34186.1	16102.9	16563.9	18967.2
Q8NEW0	Q8NEW0	ZNT7_HUMAN	SLC30A7	Zinc transporter 7	92748.3	40593.2	54775.8	66571.7	73835.2	69419.8	61347	78543.3	64931	44548.4	55067.2	58676.6
Q8NEY1	Q8NEY1	NAV1_HUMAN	NAV1	Neuron navigator 1	26618.3	26457.2	27813.1	18389.1	14982.7	14728.4	25253.7	23862.6	24829.6	16385	16195.7	16412.8
Q8NEY8	Q8NEY8	PPHLN_HUMAN	PPHLN1	Periphilin-1	9496.92	8947.2	10479.3	13222.4	19830.6	19856.3	10024.3	11091.8	14191.2	13820	14938.5	18439.9
Q8NEZ2	Q8NEZ2	VP37A_HUMAN	VPS37A	Vacuolar protein sorting-associated protein 37A	32839.1	24333.3	25642.9	27105	26309.5	26847.9	23408.8	25347.8	23999.2	23795.3	19585.1	22876.8
Q8NEZ3	Q8NEZ3	WDR19_HUMAN	WDR19	WD repeat-containing protein 19	5357.31	5315.29	5485.91	5039.27	3835.27	6986.38	5185.87	5517.52	5600.49	4458.62	5077.47	4045.29
Q8NEZ4	Q8NEZ4	KMT2C_HUMAN	KMT2C	Histone-lysine N-methyltransferase 2C	18962.7	10461.8	11032.1	12491.2	13883.6	13878.8	10443.8	10296.3	13792.3	11169.2	9936.34	14995.6
Q8NEZ5	Q8NEZ5	FBX22_HUMAN	FBXO22	F-box only protein 22	25609.4	9708.76	11930.8	19905.1	20572.6	16990.7	19366.8	19321.7	22486.5	21184.9	22003.7	24668.7
Q8NF37	Q8NF37	PCAT1_HUMAN	LPCAT1	Lysophosphatidylcholine acyltransferase 1	76853.1	68791.4	76509.1	83932.5	71825.3	71370.8	46900.4	49326.3	45340	62705.6	75669.1	71461.4
Q8NF64	Q8NF64	ZMIZ2_HUMAN	ZMIZ2	Zinc finger MIZ domain-containing protein 2	16131.2	11261.2	11125.9	15911.6	14639.7	15302	18148.2	15389.7	16981.3	18007.5	15841.5	15152.9
Q8NF86	Q8NF86	PRS33_HUMAN	PRSS33	Serine protease 33	49042.7	46710.3	39761.7	40549.3	57001.4	57662.6	40680.8	38169.8	39950.1	84298.3	74549.1	136545
Q8NF91	Q8NF91	SYNE1_HUMAN	SYNE1	Nesprin-1	27924.5	25970.5	27048.9	21388.4	18849.4	17924.4	17021.6	16854.4	16376.3	14438.7	14597.7	11703.5
Q8NFA0	Q8NFA0	UBP32_HUMAN	USP32	Ubiquitin carboxyl-terminal hydrolase 32	11006	9254.39	10420.5	9286.67	6594.16	8896.08	12628.7	13914.6	12389.8	8562.12	8778.36	7591.66
Q8NFC6	Q8NFC6	BD1L1_HUMAN	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1	10744.9	12134.6	10047.2	15420.8	13446.4	15870.1	15795.6	15050.4	14732.3	14605.1	15132	16198.3
Q8NFD5	Q8NFD5	ARI1B_HUMAN	ARID1B	AT-rich interactive domain-containing protein 1B	23225.2	20883.2	20821.4	21676.8	23769.6	22755.4	28869.8	28460.1	27898.4	26510.5	27372.8	31674.1
Q8NFF5	Q8NFF5	FAD1_HUMAN	FLAD1	FAD synthase	61807.5	42574.2	49661.2	68211.6	67634.9	57089.4	47959.5	55093.5	57457.9	61957.5	52384.4	62754.4
Q8NFG4	Q8NFG4	FLCN_HUMAN	FLCN	Folliculin	12336.3	11877.4	11951.9	11707.4	10218.7	8693.32	14018.8	13704.2	15423.3	11510.9	10526.2	13679.6
Q8NFH3	Q8NFH3	NUP43_HUMAN	NUP43	Nucleoporin Nup43	23392.1	18168.4	22527	30758.9	30119	29652.8	25146.1	23644.5	23688.5	22982.8	23679.5	30559
Q8NFH4	Q8NFH4	NUP37_HUMAN	NUP37	Nucleoporin Nup37	10555.5	19669	10395.7	11920.2	12997.8	15210.2	14836.5	12208.8	11704.4	13581.1	14195.3	20542.7
Q8NFH5	Q8NFH5	NUP35_HUMAN	NUP35	Nucleoporin NUP35	36451.9	30444.6	39505.6	45145.7	35016.8	30136.8	44532.8	41490.8	44292.2	46643.7	51385.7	42364.5
Q8NFI3	Q8NFI3	ENASE_HUMAN	ENGASE	Cytosolic endo-beta-N-acetylglucosaminidase	6399.89	4714.02	5517.15	5329.73			5915.85	4268.66	2905.06	4915.84	4063.47	4347.56
Q8NFI4	Q8NFI4	F10A5_HUMAN	ST13P5	Putative protein FAM10A5		2795.39	4005.72				2281.76	2544.56	3879.76		3555.17	
Q8NFJ5	Q8NFJ5	RAI3_HUMAN	GPRC5A	Retinoic acid-induced protein 3	6882.73	6401.04	6369.75	4725.57	8226.99	10426	3632.77	2572.04	3661.1			
Q8NFJ9	Q8NFJ9	BBS1_HUMAN	BBS1	Bardet-Biedl syndrome 1 protein	15493.2	14106.4	13808.5	11182.2	9810.47	10483.7	10072.7	8108.75	7876.98	9025.8	7086.23	5409.67
Q8NFM7	Q8NFM7	I17RD_HUMAN	IL17RD	Interleukin-17 receptor D	10486.5	11750	11323	2979.05			7069.87	6890.41	7221.09	2040.85	5297.61	2653.3
Q8NFP4	Q8NFP4	MDGA1_HUMAN	MDGA1	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	2038.36	2442.22	1714.91	3577.63	4551.28	5351.33				2481.71	2324.62	4979.78
Q8NFP9	Q8NFP9	NBEA_HUMAN	NBEA	Neurobeachin	4631.9	4165.8	4721.95	6170.62		5717.8	3842.46	3425.84	2472.16	4577.09	3317.7	4348.76
Q8NFQ8	Q8NFQ8	TOIP2_HUMAN	TOR1AIP2	Torsin-1A-interacting protein 2	76678	92935.7	94350.7	82373.3	59788.7	56971.7	67355.1	64790	69143.9	45525.9	54934.1	100775
Q8NFU3	Q8NFU3	TSTD1_HUMAN	TSTD1	Thiosulfate:glutathione sulfurtransferase	13238.3			32399.9	56211.9	58154.6	7377.98	10236	7694.9	27177	32656.7	47421.1
Q8NFV4	Q8NFV4	ABHDB_HUMAN	ABHD11	Protein ABHD11	23953.9	21318.3	23248	26026.2	22274.4	21567.3	26080.9	28036	26659.5	35500.5	30578.6	31538.3
Q8NFW8	Q8NFW8	NEUA_HUMAN	CMAS	N-acylneuraminate cytidylyltransferase	32095.4	23741.5	28244.1	41085.6	38982.5	32751.3	23854.1	23817.6	23118.7	29397	35530.3	21762.2
Q8NFX7	Q8NFX7	STXB6_HUMAN	STXBP6	Syntaxin-binding protein 6	8907.26	12434.9	9364.14	8427.64	8576.78	13059	9905.76	7408.18	5228.29	7652.59	7500.97	7786.79
Q8NFZ0	Q8NFZ0	FBH1_HUMAN	FBH1	F-box DNA helicase 1	5581.85	4417.65	5142.88				5786.05	6687.24	6064.14	5089.71	3997.84	4876.52
Q8NFZ4	Q8NFZ4	NLGN2_HUMAN	NLGN2	Neuroligin-2	3571.57	3985.31	5563.68	4593.16	5457.83		3519.52	4439.19	4896.12	4087.76	4658.67	7464.24
Q8NFZ8	Q8NFZ8	CADM4_HUMAN	CADM4	Cell adhesion molecule 4	18458.5	14784.6	19562.4	32623.8	55895.6	61206.8	9808.27	10409.1	8857.98	41606.4	41949.8	62600.8
Q8NG11	Q8NG11	TSN14_HUMAN	TSPAN14	Tetraspanin-14	8497.01	9519.86	6065.9	11381.7	7445.09	12833	8006.21	13336	11929.2	14058.9	16400.9	16895.5
Q8NG31	Q8NG31	KNL1_HUMAN	KNL1	Kinetochore scaffold 1							3715.67	3743	2813.81	2443.23	2150.25	2980.91
Q8NG68	Q8NG68	TTL_HUMAN	TTL	Tubulin--tyrosine ligase	24962.4	23025	26767	27207.6	24433.2	24528.2	19697.2	19092.9	21583.6	20686.8	26154.7	26541.6
Q8NHC8	Q8NHC8	OR2T6_HUMAN	OR2T6	Olfactory receptor 2T6								4795.52	3087.76			
Q8NHG7	Q8NHG7	SVIP_HUMAN	SVIP	Small VCP/p97-interacting protein	5546.62	6452.47	6161.82	14836.4	19004.6	15468.8	6111.6	4099.1	3450.71	10421.6	10923.6	21663.3
Q8NHH9	Q8NHH9	ATLA2_HUMAN	ATL2	Atlastin-2	26903.8	25225.4	23683.2	30778.4	24309.9	17767.5	26511	31458	28128.7	15127	17602	23420.4
Q8NHM5	Q8NHM5	KDM2B_HUMAN	KDM2B	Lysine-specific demethylase 2B		1808.72	2360.97				3544.85	4820.54	4349.32	2079.73	6151.86	
Q8NHP6	Q8NHP6	MSPD2_HUMAN	MOSPD2	Motile sperm domain-containing protein 2	14606.7	13989.5	15599.1	15113.8	10390.6	10509	13484.7	13490.8	13423.9	11258.8	10827.2	11209.4
Q8NHP8	Q8NHP8	PLBL2_HUMAN	PLBD2	Putative phospholipase B-like 2	15144.3	13724.5	13188.6	176742	462349	483088	10605.3	8768.68	9947.53	126767	150516	223339
Q8NHQ8	Q8NHQ8	RASF8_HUMAN	RASSF8	Ras association domain-containing protein 8	8953.59	8563.63	9444	9369.77	8146.53	9045.31	9814.87	8751.6	8192.25	7607.76	7271.8	8085.97
Q8NHQ9	Q8NHQ9	DDX55_HUMAN	DDX55	ATP-dependent RNA helicase DDX55	7756.71	5698.42	7221.06	10929.1	8873.96	10811.6	9045.38	9022.54	8881.08	8733.42	8715.54	7401.21
Q8NHS3	Q8NHS3	MFSD8_HUMAN	MFSD8	Major facilitator superfamily domain-containing protein 8	4475.19	3703.2	4091.36	2915.33	4811.26	3349.98	4657.44	4399.59	5543.91	3259.52	3330.28	5312.22
Q8NHU3	Q8NHU3	SMS2_HUMAN	SGMS2	Phosphatidylcholine:ceramide cholinephosphotransferase 2	2959.76	4840.85	4549.85	3784.73	3863.79	2487.85	4677.23	2674.38	3447.13			
Q8NHU6	Q8NHU6	TDRD7_HUMAN	TDRD7	Tudor domain-containing protein 7	7270.65	6759.42	6754.2	9541.15	9959.16	8126.48	6314.01	6557.21	5996.67	12743.6	10807.8	7974.59
Q8NHV4	Q8NHV4	NEDD1_HUMAN	NEDD1	Protein NEDD1	12391.7	14529.4	12918.2	10852.4	11369.4	12114.5	18764.2	18321	18397.5	18615.2	14336.3	17299.6
Q8NHY2	Q8NHY2	COP1_HUMAN	COP1	E3 ubiquitin-protein ligase COP1									504.671			
Q8NHZ8	Q8NHZ8	CDC26_HUMAN	CDC26	Anaphase-promoting complex subunit CDC26				19474.6	41054.9	33663.6				17057.8	18664.1	25646
Q8NI08	Q8NI08	NCOA7_HUMAN	NCOA7	Nuclear receptor coactivator 7	6336.74	7673.83	7760.79	7020.53	6308.55	7627.38	6351.1	5868.64	5996.38	3295.04	2990.57	3889.02
Q8NI22	Q8NI22	MCFD2_HUMAN	MCFD2	Multiple coagulation factor deficiency protein 2	9753.79	5350.38	6482.27	62748.3	139958	151677	5505.9	3012.42	2999.68	32753	48579.2	100478
Q8NI27	Q8NI27	THOC2_HUMAN	THOC2	THO complex subunit 2	22432.4	22295.1	19293.8	23065.4	20560.8	22935.9	27104.6	28898.7	28322.6	26614.3	25361.7	13905.8
Q8NI35	Q8NI35	INADL_HUMAN	PATJ	InaD-like protein	643.438	1720.65	1667.94				974.97		590.151	1594.7	1136.5	1742.63
Q8NI36	Q8NI36	WDR36_HUMAN	WDR36	WD repeat-containing protein 36	26710.8	24353.5	23799.7	30316.8	27404.2	28236.8	32539.2	35145.3	35448	28379.4	28793.4	20048
Q8NI37	Q8NI37	PPTC7_HUMAN	PPTC7	Protein phosphatase PTC7 homolog				1724.08	3042.43	3216.63	1774.24	797.542	874.23	3952.04	4131.7	2886.51
