Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q587I9|SFT2C_HUMAN	Q587I9	SFT2C_HUMAN	SFT2D3	215	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Vesicle transport protein SFT2C	0.9613	0.999	1	2	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58E+07	0	0	0	0	2.02E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q58DX5|NADL2_HUMAN	Q58DX5	NADL2_HUMAN	NAALADL2	795	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2	1	0.999	5	13	13	13	0	1	0	1	1	0	0	0	1	0	2	0	0	0	1	1	0	1	0	1	0	0	1	2	0	1	0	1	1	0	0	0	1	0	2	0	0	0	1	1	0	1	0	1	0	0	1	2	0	1	0	1	1	0	0	0	1	0	2	0	0	0	1	1	0	1	0	1	0	0	1	2	0	0	0	0	2.48E+07	0	0	0	0	0	9889887	0	9947928	0	0	0	0	0	0	5446715	0	6076236.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q58FF6|H90B4_HUMAN	Q58FF6	H90B4_HUMAN	HSP90AB4P	505	Homo sapiens OX=9606	5:Protein uncertain	Putative heat shock protein HSP 90-beta 4	1	0.999	11	7	7	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	1	16	15	11	7	12	19	10	9	12	7	14	11	12	12	10	7	9	12	10	10	11	11	11	10	0	0	0	0	0	0	0	0	0	0	0	0	2.78E+07	0	3.58E+07	0	0	0	2.71E+07	1.93E+07	1.61E+07	2.61E+07	0	2.46E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q58WW2|DCAF6_HUMAN	Q58WW2	DCAF6_HUMAN	DCAF6	860	Homo sapiens OX=9606	1:Experimental evidence at protein level	DDB1- and CUL4-associated factor 6	0.9983	0.999	3	3	3	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25E+07	2.48E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5BJD5|TM41B_HUMAN	Q5BJD5	TM41B_HUMAN	TMEM41B	291	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 41B	1	0.999	4	51	51	51	5	1	3	2	0	2	2	1	2	4	1	1	3	2	1	2	2	3	2	6	2	2	2	0	5	1	3	2	0	2	2	1	2	4	1	1	3	2	1	2	2	3	2	6	2	2	2	0	5	1	3	2	0	2	2	1	2	4	1	1	3	2	1	2	2	3	2	6	2	2	2	0	7.41E+07	3.86E+07	3.54E+07	1.94E+07	0	1.50E+07	4.66E+07	3.69E+07	2.43E+07	2.86E+07	7523807	2.25E+07	1.02E+07	1.73E+07	2.30E+07	1.75E+07	1.91E+07	1.71E+07	1.98E+07	3.88E+07	3.44E+07	5600750	8655019	1.05E+07	3.77E+07	2.14E+07	2.88E+07	0	0	0	0	0	0	2.59E+07	0	0	0	0	0	0	0	0	0	1.70E+07	3.34E+07	0	0	0	
sp|Q5BJF2|SGMR2_HUMAN	Q5BJF2	SGMR2_HUMAN	TMEM97	176	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sigma intracellular receptor 2	0.9117	0.9969	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5BJH7|YIF1B_HUMAN	Q5BJH7	YIF1B_HUMAN	YIF1B	314	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein YIF1B	1	0.999	4	74	74	74	4	5	3	4	3	5	4	3	2	2	5	3	3	2	4	3	3	4	2	3	2	1	1	3	4	5	3	4	3	5	4	3	2	2	5	3	3	2	4	3	3	4	2	3	2	1	1	3	4	5	3	4	3	5	4	3	2	2	5	3	3	2	4	3	3	4	2	3	2	1	1	3	1.56E+08	1.78E+08	1.81E+08	1.47E+08	1.33E+08	1.12E+08	9.84E+07	4.03E+07	1.01E+08	1.09E+08	1.33E+08	1.43E+08	2.81E+07	3.22E+07	1.33E+08	6.95E+07	2.84E+07	2.50E+07	7.45E+07	4.19E+07	7.87E+07	2.86E+07	1.49E+07	7.08E+07	8.79E+07	7.90E+07	8.41E+07	6.39E+07	6.40E+07	5.48E+07	5.94E+07	0	5.82E+07	6.07E+07	6.94E+07	7.70E+07	3.75E+07	4.29E+07	6.45E+07	2.60E+07	0	3.34E+07	4.72E+07	4.99E+07	4.30E+07	3.82E+07	0	4.18E+07	
sp|Q5BKU9|OXLD1_HUMAN	Q5BKU9	OXLD1_HUMAN	OXLD1	147	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Oxidoreductase-like domain-containing protein 1	0.9613	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5BKZ1|ZN326_HUMAN	Q5BKZ1	ZN326_HUMAN	ZNF326	582	Homo sapiens OX=9606	1:Experimental evidence at protein level	DBIRD complex subunit ZNF326	1	0.999	11	172	172	172	7	8	4	6	5	8	10	8	7	6	6	4	10	6	7	5	8	7	8	10	7	10	7	8	7	8	4	6	5	8	10	8	7	6	6	4	10	6	7	5	8	7	8	10	7	10	7	8	7	8	4	6	5	8	10	8	7	6	6	4	10	6	7	5	8	7	8	10	7	10	7	8	1.06E+08	1.07E+08	6.92E+07	8.42E+07	1.22E+08	1.41E+08	1.48E+08	1.13E+08	9.42E+07	6.52E+07	7.66E+07	9.77E+07	1.35E+08	9.07E+07	1.61E+08	6.98E+07	9.64E+07	1.52E+08	1.14E+08	1.54E+08	1.36E+08	9.98E+07	1.27E+08	1.02E+08	3.18E+07	3.30E+07	3.78E+07	2.55E+07	3.43E+07	2.63E+07	3.72E+07	3.43E+07	2.85E+07	3.16E+07	3.08E+07	3.06E+07	3.06E+07	2.74E+07	3.37E+07	2.63E+07	2.88E+07	3.02E+07	3.47E+07	3.43E+07	2.72E+07	3.02E+07	2.67E+07	3.00E+07	
sp|Q5C9Z4|NOM1_HUMAN	Q5C9Z4	NOM1_HUMAN	NOM1	860	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar MIF4G domain-containing protein 1	1	0.999	4	10	10	10	0	0	1	1	0	0	1	2	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4648231.5	0	0	0	0	0	0	0	1615896.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5D862|FILA2_HUMAN	Q5D862	FILA2_HUMAN	FLG2	2391	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filaggrin-2	1	0.999	9	33	33	33	0	0	0	2	1	1	2	2	1	3	2	0	1	2	1	1	1	2	0	0	0	7	2	2	0	0	0	2	1	1	2	2	1	3	2	0	1	2	1	1	1	2	0	0	0	7	2	2	0	0	0	2	1	1	2	2	1	3	2	0	1	2	1	1	1	2	0	0	0	7	2	2	0	0	0	1.20E+07	0	5048407	4039441.5	7132745	1.03E+07	1.72E+07	2.06E+07	0	0	7048776	0	3003400	4697797	1.35E+07	0	0	0	3.08E+07	1.89E+07	8846848	0	0	0	8280566	0	0	0	0	0	8318662	8305687	0	0	0	0	0	0	8352589	0	0	0	1.36E+07	1.46E+07	1.18E+07	
sp|Q5EB52|MEST_HUMAN	Q5EB52	MEST_HUMAN	MEST	335	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mesoderm-specific transcript homolog protein	1	0.999	5	44	44	44	0	2	1	1	2	2	1	2	3	2	4	1	1	1	1	3	1	3	2	3	1	3	2	2	0	2	1	1	2	2	1	2	3	2	4	1	1	1	1	3	1	3	2	3	1	3	2	2	0	2	1	1	2	2	1	2	3	2	4	1	1	1	1	3	1	3	2	3	1	3	2	2	1.58E+07	3.69E+07	0	2.68E+07	1.59E+07	2.34E+07	1.94E+07	4.90E+07	3.02E+07	5.28E+07	4.33E+07	2.37E+07	3.27E+07	1.56E+07	1.56E+07	7.34E+07	1.53E+07	6.71E+07	6.18E+07	3.68E+07	2.08E+07	5.45E+07	0	4.26E+07	0	2.02E+07	0	2.29E+07	0	0	0	2.49E+07	2.08E+07	2.76E+07	2.42E+07	0	2.23E+07	0	0	2.70E+07	0	2.64E+07	2.46E+07	2.08E+07	0	2.36E+07	0	2.83E+07	
sp|Q5EBL4|RIPL1_HUMAN	Q5EBL4	RIPL1_HUMAN	RILPL1	403	Homo sapiens OX=9606	1:Experimental evidence at protein level	RILP-like protein 1	1	0.999	13	127	118	127	4	6	3	3	6	5	9	6	6	4	3	6	4	8	6	7	7	3	6	5	4	4	7	5	4	6	3	2	5	5	8	5	5	4	3	6	4	8	6	6	7	3	6	4	4	4	6	4	4	6	3	3	6	5	9	6	6	4	3	6	4	8	6	7	7	3	6	5	4	4	7	5	2.87E+07	2.55E+07	1.65E+07	3.61E+07	6.89E+07	5.66E+07	1.22E+08	6.32E+07	1.00E+08	5.58E+07	1.77E+07	5.09E+07	5.04E+07	5.49E+07	2.47E+07	7.34E+07	4.43E+07	1.15E+07	3.03E+07	5.05E+07	4.80E+07	5.73E+07	4.27E+07	8.21E+07	1.87E+07	1.84E+07	1.23E+07	2.02E+07	2.13E+07	1.75E+07	2.30E+07	2.26E+07	2.97E+07	2.14E+07	0	3.49E+07	1.94E+07	2.10E+07	1.01E+07	1.95E+07	2.02E+07	0	2.71E+07	1.62E+07	2.50E+07	1.88E+07	1.98E+07	2.20E+07	
sp|Q5EBL8|PDZ11_HUMAN	Q5EBL8	PDZ11_HUMAN	PDZD11	140	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ domain-containing protein 11	1	0.999	4	25	25	25	0	0	1	2	1	1	0	0	0	2	0	2	0	3	2	0	0	3	2	1	1	2	1	1	0	0	1	2	1	1	0	0	0	2	0	2	0	3	2	0	0	3	2	1	1	2	1	1	0	0	1	2	1	1	0	0	0	2	0	2	0	3	2	0	0	3	2	1	1	2	1	1	9169646	0	0	2.92E+07	1.96E+07	0	0	0	0	0	0	0	0	0	1.46E+07	0	0	0	0	1.42E+07	0	0	0	1.33E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5F1R6|DJC21_HUMAN	Q5F1R6	DJC21_HUMAN	DNAJC21	531	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 21	1	0.999	3	23	23	23	0	0	1	2	0	0	0	1	0	0	1	0	2	1	1	3	1	1	1	2	2	1	1	2	0	0	1	2	0	0	0	1	0	0	1	0	2	1	1	3	1	1	1	2	2	1	1	2	0	0	1	2	0	0	0	1	0	0	1	0	2	1	1	3	1	1	1	2	2	1	1	2	0	0	0	4737677.5	0	0	0	4075896.5	0	0	0	0	9902375	3145494.5	0	4013486	0	4091156.5	0	3562021	3068723	0	5254485	1888787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5GLZ8|HERC4_HUMAN	Q5GLZ8	HERC4_HUMAN	HERC4	1057	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable E3 ubiquitin-protein ligase HERC4	1	0.999	21	216	216	216	11	14	9	9	10	13	11	10	12	8	11	11	7	3	9	11	9	8	5	6	8	7	9	5	11	14	9	9	10	13	11	10	12	8	11	11	7	3	9	11	9	8	5	6	8	7	9	5	11	14	9	9	10	13	11	10	12	8	11	11	7	3	9	11	9	8	5	6	8	7	9	5	3.27E+08	4.75E+08	2.78E+08	3.31E+08	2.86E+08	4.49E+08	3.65E+08	4.13E+08	4.35E+08	4.18E+08	3.54E+08	2.76E+08	1.83E+08	1.14E+08	2.04E+08	1.76E+08	1.61E+08	1.86E+08	1.53E+08	1.41E+08	1.75E+08	1.93E+08	1.96E+08	2.06E+08	1.16E+08	1.27E+08	1.25E+08	1.09E+08	1.00E+08	1.18E+08	1.16E+08	1.23E+08	1.21E+08	1.13E+08	1.15E+08	1.04E+08	6.40E+07	6.53E+07	8.39E+07	6.26E+07	5.42E+07	5.75E+07	5.60E+07	6.40E+07	5.44E+07	6.33E+07	6.36E+07	6.40E+07	
sp|Q5H8A4|PIGG_HUMAN	Q5H8A4	PIGG_HUMAN	PIGG	983	Homo sapiens OX=9606	1:Experimental evidence at protein level	GPI ethanolamine phosphate transferase 2	1	0.999	4	21	21	21	0	2	3	1	1	1	1	1	1	1	2	2	0	1	1	0	0	1	0	1	1	0	0	0	0	2	3	1	1	1	1	1	1	1	2	2	0	1	1	0	0	1	0	1	1	0	0	0	0	2	3	1	1	1	1	1	1	1	2	2	0	1	1	0	0	1	0	1	1	0	0	0	0	1.13E+07	1.73E+07	0	5899883	0	3130756.8	0	0	4634088.5	3565795	0	0	0	3623537.8	0	0	0	0	0	2519260.2	0	0	0	0	6170677.5	8767729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5H9R7|PP6R3_HUMAN	Q5H9R7	PP6R3_HUMAN	PPP6R3	873	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 6 regulatory subunit 3	1	0.999	10	54	54	54	2	1	0	1	0	4	3	1	3	0	2	2	5	2	6	1	1	2	3	2	4	3	3	3	2	1	0	1	0	4	3	1	3	0	2	2	5	2	6	1	1	2	3	2	4	3	3	3	2	1	0	1	0	4	3	1	3	0	2	2	5	2	6	1	1	2	3	2	4	3	3	3	0	1.15E+07	0	5481414.5	0	3.32E+07	2.69E+07	0	1.89E+07	1.16E+07	0	3.06E+07	2.67E+07	2.15E+07	3.31E+07	0	0	4118325.8	3.81E+07	6354643.5	1.38E+07	2.85E+07	4.24E+07	3.45E+07	0	0	0	0	0	1.75E+07	1.54E+07	0	1.28E+07	0	0	1.47E+07	0	0	1.61E+07	0	0	0	2.25E+07	0	0	2.48E+07	2.50E+07	2.03E+07	
sp|Q5HYI7|MTX3_HUMAN	Q5HYI7	MTX3_HUMAN	MTX3	312	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metaxin-3	0.9935	0.999	2	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	4573276.5	0	0	0	0	0	4282298	0	0	5634707	4217368	0	0	0	0	4414464.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5HYI8|RABL3_HUMAN	Q5HYI8	RABL3_HUMAN	RABL3	236	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab-like protein 3	1	0.999	7	58	58	58	0	1	0	3	2	3	3	3	3	4	4	3	3	3	2	3	3	2	2	1	2	3	3	2	0	1	0	3	2	3	3	3	3	4	4	3	3	3	2	3	3	2	2	1	2	3	3	2	0	1	0	3	2	3	3	3	3	4	4	3	3	3	2	3	3	2	2	1	2	3	3	2	0	0	0	2.39E+07	0	7830413	5.36E+07	2.59E+07	1.34E+07	1.92E+07	2.09E+07	1.56E+07	3.40E+07	2.51E+07	4002109.2	1.80E+08	3.73E+07	2.22E+07	3.92E+07	1.57E+07	3.63E+07	9.61E+07	1.09E+08	4.16E+07	0	0	0	2.00E+07	0	0	0	2.15E+07	1.07E+07	9351869	9806243	8506136	2.94E+07	1.41E+07	0	2.13E+07	3.04E+07	2.55E+07	3.40E+07	0	3.00E+07	3.69E+07	4.00E+07	3.63E+07	
sp|Q5HYJ3|FA76B_HUMAN	Q5HYJ3	FA76B_HUMAN	FAM76B	339	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM76B	0.9961	0.9989	2	8	8	8	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	263113.78	6293112.5	0	0	0	388489.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5HYK3|COQ5_HUMAN	Q5HYK3	COQ5_HUMAN	COQ5	327	Homo sapiens OX=9606	1:Experimental evidence at protein level	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	0.9554	0.9988	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5J8M3|EMC4_HUMAN	Q5J8M3	EMC4_HUMAN	EMC4	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	ER membrane protein complex subunit 4	1	0.999	5	47	47	47	1	1	3	2	1	2	3	2	2	1	1	1	3	4	2	0	3	3	3	1	1	1	2	4	1	1	3	2	1	2	3	2	2	1	1	1	3	4	2	0	3	3	3	1	1	1	2	4	1	1	3	2	1	2	3	2	2	1	1	1	3	4	2	0	3	3	3	1	1	1	2	4	0	1.09E+07	2.36E+07	1.39E+08	8.05E+07	1.67E+07	1.47E+07	2.16E+07	2.07E+07	1.77E+07	1.48E+07	2.27E+07	2.00E+07	3.18E+07	1.04E+08	0	8.30E+07	7.55E+07	2.04E+07	1.51E+07	3775610.2	1.26E+07	7.21E+07	1.18E+08	0	0	0	4.02E+07	0	0	0	3.85E+07	3.55E+07	0	0	0	3.82E+07	3.85E+07	3.17E+07	0	2.91E+07	0	3.84E+07	0	0	0	0	3.66E+07	
sp|Q5JPH6|SYEM_HUMAN	Q5JPH6	SYEM_HUMAN	EARS2	523	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Probable glutamate--tRNA ligase, mitochondrial"	1	0.999	10	105	105	105	4	6	3	4	3	8	5	4	3	4	3	3	5	4	2	4	6	6	5	5	6	6	3	3	4	6	3	4	3	8	5	4	3	4	3	3	5	4	2	4	6	6	5	5	6	6	3	3	4	6	3	4	3	8	5	4	3	4	3	3	5	4	2	4	6	6	5	5	6	6	3	3	2.07E+07	3.61E+07	2.15E+07	3.10E+07	9104784	3.70E+07	1.23E+07	6.93E+07	2.39E+07	3.36E+07	2.66E+07	1.37E+07	2.57E+07	2.69E+07	1948729.1	2.73E+07	8728382	3.74E+07	1.14E+07	3.04E+07	3.14E+07	3.74E+07	4993423	2.35E+07	1.38E+07	1.95E+07	1.33E+07	1.47E+07	5989562.5	1.64E+07	9591251	9981878	1.03E+07	1.46E+07	1.32E+07	1.07E+07	1.06E+07	1.76E+07	0	9192411	6642310.5	9314745	8914949	1.34E+07	1.02E+07	1.72E+07	0	1.02E+07	
sp|Q5JQC4|CT47A_HUMAN	Q5JQC4	CT47A_HUMAN	CT47A12	288	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Cancer/testis antigen 47A	0.9259	0.998	1	4	4	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q5JRA6|TGO1_HUMAN	Q5JRA6	TGO1_HUMAN	MIA3	1907	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transport and Golgi organization protein 1 homolog	1	0.999	31	332	332	332	14	6	10	13	11	11	13	18	15	16	13	11	15	19	13	8	12	16	14	16	13	17	19	19	14	6	10	13	11	11	13	18	15	16	13	11	15	19	13	8	12	16	14	16	13	17	19	19	14	6	10	13	11	11	13	18	15	16	13	11	15	19	13	8	12	16	14	16	13	17	19	19	2.05E+08	1.11E+08	9.70E+07	1.69E+08	1.04E+08	1.72E+08	2.14E+08	2.97E+08	2.42E+08	1.77E+08	2.63E+08	2.36E+08	2.22E+08	3.24E+08	2.10E+08	1.35E+08	1.05E+08	2.00E+08	2.94E+08	2.87E+08	3.07E+08	2.00E+08	3.06E+08	2.15E+08	3.92E+07	3.69E+07	3.53E+07	4.17E+07	4.20E+07	3.96E+07	4.41E+07	4.48E+07	4.72E+07	4.18E+07	4.52E+07	4.31E+07	4.28E+07	4.96E+07	4.15E+07	3.37E+07	3.84E+07	3.83E+07	4.62E+07	4.18E+07	4.86E+07	4.95E+07	5.00E+07	4.34E+07	
