Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_1 Spectral Count	female_2 Spectral Count	female_3 Spectral Count	male_1 Spectral Count	male_2 Spectral Count	male_3 Spectral Count	female_1 Unique Spectral Count	female_2 Unique Spectral Count	female_3 Unique Spectral Count	male_1 Unique Spectral Count	male_2 Unique Spectral Count	male_3 Unique Spectral Count	female_1 Total Spectral Count	female_2 Total Spectral Count	female_3 Total Spectral Count	male_1 Total Spectral Count	male_2 Total Spectral Count	male_3 Total Spectral Count	female_1 Intensity	female_2 Intensity	female_3 Intensity	male_1 Intensity	male_2 Intensity	male_3 Intensity	female_1 MaxLFQ Intensity	female_2 MaxLFQ Intensity	female_3 MaxLFQ Intensity	male_1 MaxLFQ Intensity	male_2 MaxLFQ Intensity	male_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q12769|NU160_HUMAN	Q12769	NU160_HUMAN	NUP160	1436	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear pore complex protein Nup160	1.0	0.999	6	20	20	20	2	2	3	4	5	4	2	2	3	4	5	4	2	2	3	4	5	4	1.5611146E7	1.4767506E7	1.1157589E7	2.5649514E7	1.7503866E7	2.3708568E7	1.1271122E7	8874439.0	8112393.0	9648203.0	7000353.5	9762005.0	
sp|Q12788|TBL3_HUMAN	Q12788	TBL3_HUMAN	TBL3	808	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transducin beta-like protein 3	1.0	0.999	4	16	16	16	1	2	3	5	2	3	1	2	3	5	2	3	1	2	3	5	2	3	1.0563036E7	3.120601E7	1.3231563E7	4790639.5	1.4856844E7	1.3204707E7	0.0	1.6509206E7	7519694.5	0.0	8517438.0	8894130.0	
sp|Q12789|TF3C1_HUMAN	Q12789	TF3C1_HUMAN	GTF3C1	2109	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor 3C polypeptide 1	1.0	0.999	3	3	3	3	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0.0	0.0	0.0	0.0	5908244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12791|KCMA1_HUMAN	Q12791	KCMA1_HUMAN	KCNMA1	1236	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-activated potassium channel subunit alpha-1	1.0	0.999	3	6	6	6	1	0	0	1	1	3	1	0	0	1	1	3	1	0	0	1	1	3	0.0	0.0	7004799.0	1.5266765E7	9511332.0	2.3546608E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12792|TWF1_HUMAN	Q12792	TWF1_HUMAN	TWF1	350	Homo sapiens OX=9606	1:Experimental evidence at protein level	Twinfilin-1	1.0	0.999	12	46	35	46	6	9	6	8	5	12	5	6	4	5	4	11	6	9	6	8	5	12	3.20360288E8	2.439988E8	3.02008416E8	3.22895808E8	2.5296944E8	3.8138928E8	9.8913984E7	8.9336216E7	9.2264784E7	9.4804496E7	9.05778E7	9.926904E7	
sp|Q12797|ASPH_HUMAN	Q12797	ASPH_HUMAN	ASPH	758	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aspartyl/asparaginyl beta-hydroxylase	1.0	0.999	31	137	137	137	27	24	23	20	21	22	27	24	23	20	21	22	27	24	23	20	21	22	1.4004279E9	1.03899782E9	9.3839322E8	8.2998605E8	1.21470899E9	1.15373248E9	2.16406624E8	2.05915888E8	1.82982448E8	1.66558128E8	1.87078016E8	2.0248048E8	
sp|Q12800|TFCP2_HUMAN	Q12800	TFCP2_HUMAN	TFCP2	502	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-globin transcription factor CP2	0.9999	0.999	2	6	1	6	1	1	0	1	2	1	0	0	0	0	1	0	1	1	0	1	2	1	0.0	7642919.0	0.0	5846493.0	1.6282736E7	1.327831E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12802|AKP13_HUMAN	Q12802	AKP13_HUMAN	AKAP13	2813	Homo sapiens OX=9606	1:Experimental evidence at protein level	A-kinase anchor protein 13	1.0	0.999	4	6	6	6	1	0	2	3	0	0	1	0	2	3	0	0	1	0	2	3	0	0	2.5553604E7	0.0	1.6642642E7	1.8534032E7	0.0	0.0	2.0617296E7	0.0	0.0	1.6586394E7	0.0	0.0	
sp|Q12805|FBLN3_HUMAN	Q12805	FBLN3_HUMAN	EFEMP1	493	Homo sapiens OX=9606	1:Experimental evidence at protein level	EGF-containing fibulin-like extracellular matrix protein 1	1.0	0.999	3	8	8	8	3	3	2	0	0	0	3	3	2	0	0	0	3	3	2	0	0	0	4.1566788E7	2.1918196E7	3.4515104E7	0.0	0.0	0.0	1.773602E7	1.7738218E7	1.770761E7	0.0	0.0	0.0	
sp|Q12824|SNF5_HUMAN	Q12824	SNF5_HUMAN	SMARCB1	385	Homo sapiens OX=9606	1:Experimental evidence at protein level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	0.9999	0.9988	2	8	8	8	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	5556683.0	0.0	3642107.2	3096430.2	4795807.0	4144001.8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12841|FSTL1_HUMAN	Q12841	FSTL1_HUMAN	FSTL1	308	Homo sapiens OX=9606	1:Experimental evidence at protein level	Follistatin-related protein 1	1.0	0.999	19	106	106	106	19	18	21	14	21	13	19	18	21	14	21	13	19	18	21	14	21	13	1.36899776E9	1.72149709E9	1.49409933E9	1.5735191E9	1.5730441E9	1.32868518E9	2.67696848E8	3.11036512E8	3.16255392E8	3.52801216E8	3.38850976E8	2.6172512E8	
sp|Q12846|STX4_HUMAN	Q12846	STX4_HUMAN	STX4	297	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-4	1.0	0.999	8	37	37	37	9	6	6	4	6	6	9	6	6	4	6	6	9	6	6	4	6	6	2.15995088E8	2.06762272E8	2.26313696E8	2.48471504E8	2.37369184E8	2.02298496E8	5.8746352E7	5.3890816E7	6.1344184E7	6.0621968E7	6.313428E7	5.4326628E7	
sp|Q12849|GRSF1_HUMAN	Q12849	GRSF1_HUMAN	GRSF1	480	Homo sapiens OX=9606	1:Experimental evidence at protein level	G-rich sequence factor 1	1.0	0.999	7	22	22	22	3	3	2	4	7	3	3	3	2	4	7	3	3	3	2	4	7	3	4.35709728E8	4.69373504E8	4.0888176E8	5.2446224E8	5.8424205E8	5.28139328E8	3.7542848E8	3.60271552E8	3.70943488E8	3.28438528E8	3.15857856E8	3.00683136E8	
sp|Q12874|SF3A3_HUMAN	Q12874	SF3A3_HUMAN	SF3A3	501	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor 3A subunit 3	1.0	0.999	13	58	58	58	8	13	10	7	9	11	8	13	10	7	9	11	8	13	10	7	9	11	4.95849888E8	4.36878912E8	2.2326928E8	2.81921952E8	1.77981504E8	2.19424736E8	9.63878E7	9.6977856E7	1.10052128E8	9.3930768E7	9.0022608E7	8.478904E7	
sp|Q12884|SEPR_HUMAN	Q12884	SEPR_HUMAN	FAP	760	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prolyl endopeptidase FAP	1.0	0.999	28	171	171	171	35	31	32	31	21	21	35	31	32	31	21	21	35	31	32	31	21	21	1.66695232E9	1.72663437E9	1.70382592E9	9.3496678E8	1.05199693E9	1.17549798E9	4.08547968E8	4.23398368E8	4.34651488E8	2.7037184E8	3.2655776E8	3.09019936E8	
sp|Q12888|TP53B_HUMAN	Q12888	TP53B_HUMAN	TP53BP1	1972	Homo sapiens OX=9606	1:Experimental evidence at protein level	TP53-binding protein 1	1.0	0.999	33	104	104	104	19	17	15	18	15	20	19	17	15	18	15	20	19	17	15	18	15	20	2.138244E8	2.52658304E8	2.25890384E8	1.22977568E8	1.46599648E8	1.73616784E8	4.6983476E7	4.3820416E7	4.0300232E7	4.032988E7	3.7591004E7	4.3958576E7	
sp|Q12893|TM115_HUMAN	Q12893	TM115_HUMAN	TMEM115	351	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 115	0.9735	0.9989	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12899|TRI26_HUMAN	Q12899	TRI26_HUMAN	TRIM26	539	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tripartite motif-containing protein 26	1.0	0.999	2	2	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12904|AIMP1_HUMAN	Q12904	AIMP1_HUMAN	AIMP1	312	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	1.0	0.999	17	80	80	80	16	13	14	12	12	13	16	13	14	12	12	13	16	13	14	12	12	13	8.6314893E8	7.8889632E8	7.7932134E8	7.4558246E8	6.8512845E8	7.0294669E8	1.69033856E8	1.84834288E8	1.87341056E8	1.5912328E8	1.47166E8	1.3676256E8	
sp|Q12905|ILF2_HUMAN	Q12905	ILF2_HUMAN	ILF2	390	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interleukin enhancer-binding factor 2	1.0	0.999	14	77	77	77	12	13	11	11	15	15	12	13	11	11	15	15	12	13	11	11	15	15	1.31521075E9	1.15263027E9	1.27286336E9	8.9315066E8	8.7584851E8	1.23491789E9	2.41432016E8	2.50667376E8	2.23066064E8	1.85167536E8	1.9824976E8	2.28133616E8	
sp|Q12906|ILF3_HUMAN	Q12906	ILF3_HUMAN	ILF3	894	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interleukin enhancer-binding factor 3	1.0	0.999	40	212	185	212	30	28	36	39	37	42	27	23	32	34	33	36	30	28	36	39	37	42	3.22428595E9	2.54434202E9	2.69476736E9	2.18755098E9	2.96766515E9	3.29236454E9	3.2726896E8	2.89261344E8	2.9025984E8	2.7235632E8	3.00725184E8	3.22181952E8	
sp|Q12907|LMAN2_HUMAN	Q12907	LMAN2_HUMAN	LMAN2	356	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vesicular integral-membrane protein VIP36	1.0	0.999	12	57	57	57	6	11	7	13	8	12	6	11	7	13	8	12	6	11	7	13	8	12	5.7936358E8	6.6182611E8	6.6134406E8	1.22239078E9	1.35610227E9	6.3871283E8	2.7712576E8	2.99246272E8	2.5279928E8	2.4500512E8	2.86719328E8	2.33965616E8	
sp|Q12913|PTPRJ_HUMAN	Q12913	PTPRJ_HUMAN	PTPRJ	1337	Homo sapiens OX=9606	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase eta	1.0	0.999	8	19	19	19	4	4	4	3	1	3	4	4	4	3	1	3	4	4	4	3	1	3	3.215292E7	1.5035062E7	3.3289528E7	1.1715658E7	0.0	4766400.5	1.1253178E7	7755865.5	1.1575835E7	6395112.5	0.0	0.0	
sp|Q12929|EPS8_HUMAN	Q12929	EPS8_HUMAN	EPS8	822	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epidermal growth factor receptor kinase substrate 8	1.0	0.999	10	21	21	21	4	5	6	1	3	2	4	5	6	1	3	2	4	5	6	1	3	2	6.0165624E7	1.6456641E7	3.8756068E7	0.0	1.6777268E7	8467847.0	1.5738573E7	1.447073E7	1.7322928E7	0.0	1.0728627E7	0.0	
sp|Q12931|TRAP1_HUMAN	Q12931	TRAP1_HUMAN	TRAP1	704	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock protein 75 kDa, mitochondrial	1.0	0.999	30	149	149	156	25	26	21	26	26	25	25	26	21	26	26	25	27	27	22	27	27	26	1.24000973E9	9.148169E8	7.9635808E8	1.02581984E9	1.10929907E9	1.25610394E9	1.344768E8	1.1173268E8	1.12575368E8	1.22063648E8	1.33528736E8	1.45707696E8	
sp|Q12955|ANK3_HUMAN	Q12955	ANK3_HUMAN	ANK3	4377	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ankyrin-3	1.0	0.999	7	6	6	10	1	1	4	0	0	0	1	1	4	0	0	0	3	2	4	0	0	1	0.0	0.0	6675870.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12959|DLG1_HUMAN	Q12959	DLG1_HUMAN	DLG1	904	Homo sapiens OX=9606	1:Experimental evidence at protein level	Disks large homolog 1	1.0	0.999	27	115	94	115	22	21	22	14	17	19	16	17	16	13	16	16	22	21	22	14	17	19	7.1101126E8	7.5778182E8	7.6870534E8	4.7016496E8	4.17389728E8	3.90627552E8	9.3140608E7	9.5145536E7	9.7674848E7	6.9285888E7	6.3744628E7	6.0941868E7	
sp|Q12965|MYO1E_HUMAN	Q12965	MYO1E_HUMAN	MYO1E	1108	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ie	1.0	0.999	18	63	51	63	12	5	8	11	14	13	10	4	7	9	11	10	12	5	8	11	14	13	1.02555936E8	5.7113624E7	6.9336176E7	6.24022E7	7.1324624E7	1.12632408E8	2.3754204E7	2.719114E7	1.9510778E7	1.7095596E7	1.9205516E7	2.5986024E7	
sp|Q12972|PP1R8_HUMAN	Q12972	PP1R8_HUMAN	PPP1R8	351	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear inhibitor of protein phosphatase 1	0.9752	0.999	1	8	8	8	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	2.4838772E7	2.2325558E7	2.2517006E7	1.537402E7	1.6038672E7	1.6658618E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q12974|TP4A2_HUMAN	Q12974	TP4A2_HUMAN	PTP4A2	167	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein tyrosine phosphatase type IVA 2	0.9995	0.999	4	12	4	12	2	2	1	2	2	3	1	0	0	1	1	1	2	2	1	2	2	3	4.573666E7	3.445124E7	0.0	2.4719582E7	5.1617024E7	6.5266752E7	2.1284844E7	2.0755652E7	0.0	2.8066658E7	2.412454E7	2.9164884E7	
sp|Q12979|ABR_HUMAN	Q12979	ABR_HUMAN	ABR	859	Homo sapiens OX=9606	1:Experimental evidence at protein level	Active breakpoint cluster region-related protein	1.0	0.999	6	17	14	17	2	1	2	7	2	3	2	0	2	6	2	2	2	1	2	7	2	3	2.011099E7	0.0	8063764.5	2.6495E7	1.3799698E7	1.4686214E7	1.0163221E7	0.0	0.0	1.6658348E7	0.0	1.1563763E7	
sp|Q12981|SEC20_HUMAN	Q12981	SEC20_HUMAN	BNIP1	228	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vesicle transport protein SEC20	1.0	0.999	6	22	22	22	3	3	3	4	4	5	3	3	3	4	4	5	3	3	3	4	4	5	2.7976568E7	1.7454882E7	0.0	4.0930312E7	1.9950328E7	1.6214122E7	2.6929088E7	0.0	0.0	1.3663747E7	0.0	0.0	
sp|Q12983|BNIP3_HUMAN	Q12983	BNIP3_HUMAN	BNIP3	194	Homo sapiens OX=9606	1:Experimental evidence at protein level	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	1.0	0.999	5	18	17	18	3	4	2	3	3	3	3	3	2	3	3	3	3	4	2	3	3	3	5.5533352E7	7.758548E7	4.9627692E7	8.5655008E7	5.6154924E7	4.4651044E7	3.6589984E7	4.2154216E7	3.5572392E7	5.0517388E7	3.714784E7	0.0	
sp|Q12996|CSTF3_HUMAN	Q12996	CSTF3_HUMAN	CSTF3	717	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleavage stimulation factor subunit 3	1.0	0.999	6	14	14	14	3	2	1	1	4	3	3	2	1	1	4	3	3	2	1	1	4	3	2.1869998E7	1.2474676E7	7075964.5	0.0	4.3761164E7	1.9555686E7	1.4132019E7	0.0	0.0	0.0	1.4047905E7	1.2765321E7	
sp|Q13011|ECH1_HUMAN	Q13011	ECH1_HUMAN	ECH1	328	Homo sapiens OX=9606	1:Experimental evidence at protein level	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	1.0	0.999	14	86	86	86	12	15	12	14	18	15	12	15	12	14	18	15	12	15	12	14	18	15	9.002297E8	1.094576E9	1.03845523E9	1.13626445E9	1.35693901E9	1.11159526E9	1.5191432E8	1.6961896E8	1.64629648E8	2.0015784E8	2.03215824E8	1.85482592E8	
sp|Q13015|AF1Q_HUMAN	Q13015	AF1Q_HUMAN	MLLT11	90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein AF1q	0.9752	0.999	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1720695.9	4993404.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13017|RHG05_HUMAN	Q13017	RHG05_HUMAN	ARHGAP5	1502	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho GTPase-activating protein 5	0.8202	0.9914	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13033|STRN3_HUMAN	Q13033	STRN3_HUMAN	STRN3	797	Homo sapiens OX=9606	1:Experimental evidence at protein level	Striatin-3	1.0	0.999	14	49	40	49	6	8	6	11	9	9	4	7	5	9	7	8	6	8	6	11	9	9	2.02264144E8	2.12779648E8	2.73366624E8	2.79291232E8	2.57810912E8	1.59120512E8	5.3707728E7	5.0690368E7	6.0737992E7	6.0248828E7	5.727346E7	5.5031336E7	
sp|Q13045|FLII_HUMAN	Q13045	FLII_HUMAN	FLII	1269	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein flightless-1 homolog	1.0	0.999	25	95	95	95	14	16	14	14	21	16	14	16	14	14	21	16	14	16	14	14	21	16	4.44262336E8	3.23548416E8	3.70364128E8	2.93771968E8	3.3304032E8	4.9178048E8	6.1558216E7	4.6968868E7	5.362836E7	5.617046E7	5.2965324E7	7.0475624E7	
sp|Q13049|TRI32_HUMAN	Q13049	TRI32_HUMAN	TRIM32	653	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TRIM32	1.0	0.999	6	20	20	20	3	3	1	4	5	4	3	3	1	4	5	4	3	3	1	4	5	4	2.3202148E7	6601228.5	5309621.5	3.0028486E7	1.7127624E7	3.0265884E7	1.124575E7	0.0	0.0	1.3118627E7	1.2740776E7	0.0	
sp|Q13057|COASY_HUMAN	Q13057	COASY_HUMAN	COASY	564	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional coenzyme A synthase	1.0	0.999	7	25	25	25	4	4	3	5	4	5	4	4	3	5	4	5	4	4	3	5	4	5	2.6588596E7	1.5163783E7	1.9223356E7	2.0352832E7	1.4392164E7	2.8010556E7	6444077.0	9122112.0	8700399.0	6258748.5	6376099.5	8751073.0	
sp|Q13084|RM28_HUMAN	Q13084	RM28_HUMAN	MRPL28	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	39S ribosomal protein L28, mitochondrial	1.0	0.999	6	19	19	19	3	2	2	4	4	4	3	2	2	4	4	4	3	2	2	4	4	4	1.4254144E8	1.04905208E8	1.16862152E8	1.58814688E8	1.7403512E8	1.59830848E8	1.06416376E8	8.983152E7	8.5525264E7	1.21386688E8	1.03702784E8	1.13668032E8	
sp|Q13085|ACACA_HUMAN	Q13085	ACACA_HUMAN	ACACA	2346	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acetyl-CoA carboxylase 1	1.0	0.999	4	8	8	8	1	0	2	1	2	2	1	0	2	1	2	2	1	0	2	1	2	2	5210825.0	0.0	1.4541516E7	1.1664809E7	1.0934852E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13093|PAFA_HUMAN	Q13093	PAFA_HUMAN	PLA2G7	441	Homo sapiens OX=9606	1:Experimental evidence at protein level	Platelet-activating factor acetylhydrolase	0.973	0.9989	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	1.030804E7	0.0	6402080.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13098|CSN1_HUMAN	Q13098	CSN1_HUMAN	GPS1	491	Homo sapiens OX=9606	1:Experimental evidence at protein level	COP9 signalosome complex subunit 1	1.0	0.999	11	46	46	46	6	10	8	5	7	10	6	10	8	5	7	10	6	10	8	5	7	10	1.27030016E8	2.92987264E8	1.34403168E8	1.08269776E8	1.00208232E8	1.74372784E8	3.3998124E7	3.8987676E7	3.421102E7	3.781792E7	3.646864E7	3.7519772E7	
sp|Q13103|SPP24_HUMAN	Q13103	SPP24_HUMAN	SPP2	211	Homo sapiens OX=9606	1:Experimental evidence at protein level	Secreted phosphoprotein 24	0.9752	0.999	1	5	5	5	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	3.8255688E7	0.0	1.8267642E7	4.0691876E7	3.5015224E7	3.6997444E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13123|RED_HUMAN	Q13123	RED_HUMAN	IK	557	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein Red	1.0	0.999	10	34	34	34	6	8	6	4	5	5	6	8	6	4	5	5	6	8	6	4	5	5	6.3286372E7	5.2645828E7	4.6144676E7	6.1424368E7	5.3617472E7	6.077408E7	1.9774648E7	1.6848188E7	2.0369702E7	1.8801934E7	1.8130838E7	1.630685E7	
sp|Q13126|MTAP_HUMAN	Q13126	MTAP_HUMAN	MTAP	283	Homo sapiens OX=9606	1:Experimental evidence at protein level	S-methyl-5'-thioadenosine phosphorylase	1.0	0.999	7	22	22	22	3	4	3	3	5	4	3	4	3	3	5	4	3	4	3	3	5	4	4.8586384E7	1.19112976E8	5.3489224E7	4.70406E7	5.52334E7	5.30826E7	4.1577208E7	4.374984E7	4.337736E7	3.2261648E7	4.1544552E7	4.5225516E7	
sp|Q13131|AAPK1_HUMAN	Q13131	AAPK1_HUMAN	PRKAA1	559	Homo sapiens OX=9606	1:Experimental evidence at protein level	5'-AMP-activated protein kinase catalytic subunit alpha-1	1.0	0.999	6	21	15	21	3	5	1	4	2	6	2	4	1	4	1	3	3	5	1	4	2	6	5.202618E7	8.0797832E7	8.8755528E7	7.50628E7	1.02437616E8	1.50953152E8	3.5573928E7	2.9164462E7	3.4984736E7	3.0304148E7	3.186356E7	4.2935208E7	
sp|Q13136|LIPA1_HUMAN	Q13136	LIPA1_HUMAN	PPFIA1	1202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Liprin-alpha-1	1.0	0.999	18	42	35	42	10	10	10	4	5	3	9	8	9	3	4	2	10	10	10	4	5	3	6.5398292E7	9.515708E7	1.12139624E8	1.782011E7	1.005735E7	1.526551E7	1.8726836E7	1.9567058E7	2.0339376E7	1.171914E7	0.0	8153792.0	
sp|Q13137|CACO2_HUMAN	Q13137	CACO2_HUMAN	CALCOCO2	446	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-binding and coiled-coil domain-containing protein 2	0.9999	0.999	3	3	3	3	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13144|EI2BE_HUMAN	Q13144	EI2BE_HUMAN	EIF2B5	721	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translation initiation factor eIF-2B subunit epsilon	1.0	0.999	7	25	25	25	3	3	4	5	6	4	3	3	4	5	6	4	3	3	4	5	6	4	1.719621E7	5618786.5	2.3231064E7	4.607252E7	3.3924856E7	3.0551264E7	1.3081134E7	0.0	1.2435193E7	1.6712174E7	1.6438893E7	1.7647182E7	
sp|Q13148|TADBP_HUMAN	Q13148	TADBP_HUMAN	TARDBP	414	Homo sapiens OX=9606	1:Experimental evidence at protein level	TAR DNA-binding protein 43	1.0	0.999	8	46	46	46	8	8	9	6	7	8	8	8	9	6	7	8	8	8	9	6	7	8	3.97014592E8	3.91958976E8	3.29146624E8	3.95872736E8	3.04128448E8	2.46133728E8	1.10081872E8	1.12477256E8	1.15741232E8	1.05440992E8	1.165438E8	1.00905368E8	
sp|Q13151|ROA0_HUMAN	Q13151	ROA0_HUMAN	HNRNPA0	305	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A0	1.0	0.999	10	39	39	49	8	5	6	8	7	5	8	5	6	8	7	5	10	7	8	9	8	7	2.36039712E8	2.4897792E8	2.04341824E8	1.90301808E8	2.12211216E8	1.83684496E8	1.10579296E8	1.09094736E8	9.2976744E7	9.11066E7	9.5257728E7	8.1860712E7	
sp|Q13155|AIMP2_HUMAN	Q13155	AIMP2_HUMAN	AIMP2	320	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	1.0	0.999	10	59	59	59	8	11	12	8	11	9	8	11	12	8	11	9	8	11	12	8	11	9	2.8256304E8	3.42157088E8	2.59210656E8	2.07264992E8	2.20727888E8	2.9279824E8	7.8869904E7	8.5557952E7	7.6897248E7	6.5730212E7	5.4854424E7	7.2040248E7	
sp|Q13162|PRDX4_HUMAN	Q13162	PRDX4_HUMAN	PRDX4	271	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-4	1.0	0.999	17	85	85	110	12	20	16	11	10	16	12	20	16	11	10	16	18	24	20	17	13	18	2.21239859E9	2.31232461E9	2.59404493E9	1.76946829E9	1.96371315E9	2.0623552E9	5.7711123E8	6.3621453E8	6.1002701E8	4.67710368E8	5.06952448E8	4.74619456E8	
sp|Q13177|PAK2_HUMAN	Q13177	PAK2_HUMAN	PAK2	524	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase PAK 2	1.0	0.999	18	85	51	85	10	12	12	17	18	16	7	8	7	9	12	8	10	12	12	17	18	16	2.9048496E8	3.03297664E8	3.51058304E8	4.14387264E8	3.79646336E8	4.28814272E8	6.5212624E7	6.61393E7	6.951132E7	7.16222E7	7.1879168E7	8.3098848E7	
sp|Q13185|CBX3_HUMAN	Q13185	CBX3_HUMAN	CBX3	183	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromobox protein homolog 3	1.0	0.999	5	29	27	29	5	6	4	4	6	4	5	5	3	4	6	4	5	6	4	4	6	4	5.095342E7	2.35714128E8	1.94804912E8	1.71250128E8	1.68842352E8	1.10698912E8	1.08897384E8	1.03657288E8	1.1299088E8	1.07775696E8	1.06215504E8	6.27729E7	
sp|Q13188|STK3_HUMAN	Q13188	STK3_HUMAN	STK3	491	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase 3	1.0	0.999	4	6	1	6	0	1	0	1	3	1	0	0	0	0	1	0	0	1	0	1	3	1	0.0	0.0	6653224.5	0.0	2.174105E7	1.062407E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13190|STX5_HUMAN	Q13190	STX5_HUMAN	STX5	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-5	1.0	0.999	8	12	12	12	1	1	1	2	3	4	1	1	1	2	3	4	1	1	1	2	3	4	6779234.5	0.0	0.0	5416429.0	2.0184224E7	1.1659961E7	0.0	0.0	0.0	0.0	0.0	0.0	
