Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-07_9785.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-08_9786.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-09_9787.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-10_9788.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-11_9789.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-12_9790.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-13_9795.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-14_9796.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-15_9797.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-16_9798.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-17_9799.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-18_9800.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-19_9805.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-20_9806.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-21_9807.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-22_9808.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-23_9809.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-24_9810.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-25_9815.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-26_9816.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-27_9817.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-28_9818.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-29_9819.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-30_9820.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-01_9780.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-02_9775.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-03_9776.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-04_9777.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-05_9778.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-06_9779.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-31_9825.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-32_9826.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-33_9827.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-34_9828.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-35_9829.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-36_9830.d
F1M842	F1M842	F1M842_RAT	Tp53bp1	Tumor protein p53 binding protein 1	18189.6	18787.2	19387.5	18697.5	18977.9	17839.7	15898.3	15048.8	16031.4	14983.9	15414.6	14751.6	16963.5	15661.2	16691.3	16318	16253.8	17365.7	16226.8	16720.4	16296.1	15124.8	16187.4	14995.3	16990.1	17788.6	15718.6	17074.6	15366.7	15028.9	12454.2	12801.8	12889.7	13600.1	11593.2	13933
F1M853	F1M853	F1M853_RAT	Rrbp1	Ribosome binding protein 1	34183.4	33470.8	35041.4	34593	34803.3	33520.1	31548.8	30398.9	30845.7	31681.8	33502.2	33199.3	40275.4	40569.8	40973.2	40240.9	39577.9	40384	39798.9	41910.8	40313.2	41674.4	41672.5	40876.4	29478.5	31610.9	30903.9	31715.8	31405.7	30923.2	47904.6	47735.4	46987.9	48633.4	46005.2	49175.2
F1M858	F1M858	F1M858_RAT	Brd8	Bromodomain containing 8	2385.43	2431.42	2464.07	2219.01	2105.41	2161.1	2026.58	1711.32	1998.56	1709.86	1964.33	1731.93	1711.29	1919.13	1502.7	1593.24	2171.16	1817.18	2031.01	2156.99	2069.64	1909.79	2117.18	1657.69	2107.11	1714.14	2176.27	2417.57	2174.79	2103.98	1348.33	1639.1	1390.42	1407.07	1423.95	1590.73
F1M8B7	F1M8B7	F1M8B7_RAT	Chmp2b	Charged multivesicular body protein 2B	10393.8	9978.21	9641.81	9570.35	9279.69	9846.8	6839.8	7202.26	7715.42	7542.41	11072.3	5865.87	10389	11840.5	10601	10136.4	9406.67	9106.02	13841.9	14445	13018.8	15970.1	13562.1	12267.8	12525.9	11986.6	10332.7	12260.2	12853.7	12433.1	11843.2	12146.8	11733.2	11429.9	12343.9	12140.6
F1M8D7	F1M8D7	F1M8D7_RAT	Ints1	Integrator complex subunit 1-like	6154.5	6376.23	5369.21	6706.6	5373.07	6454.55	6150.45	6357.69	6393.79	6556.14	6632.28	6366.72	6632.51	6276.2	5720.86	6356.25	5294.56	5926.75	6655.58	6424.52	5821.1	6467.11	6217.69	6478.87	7416.46	7563.88	7514.88	6954.78	7253.47	6965.98	5498.07	5141.53	5032.25	5445.02	4639.62	5319.19
F1M8G9	F1M8G9	F1M8G9_RAT	Ncam2	Neural cell adhesion molecule 2	5106.34	5401.83	5750.58	5069.15	5211.43	4936.95	7598.01	7637.91	7736.11	7059.24	7574.68	7686.23	10866.6	10676.9	10703.9	9936.12	9970.33	10733.6	9504.46	9778.27	10054	9475.12	8968.38	9367.57	6039.81	4845.67	6785.26	6431.06	6630.92	6286.3	1578.72	1835.41	1340.13		1211.41	1842.91
F1M8H2	F1M8H2	F1M8H2_RAT	Wars2	tryptophan--tRNA ligase	4457.91	4314.64	4990.76	4616.62	4558.42	4474.43	5615.26	4893.37	5522.98	6332.99	5956.52	5111.09	4015.55	4163.59	3828.35	3889.69	3437.85	3971.88	4265.95	4183.64	4325.52	4483.71	4189.45	3881.86	6380.39	6731.16	6021.63	6109.14	7084.78	7353.86	11937.3	10724.4	11849.5	11805.4	10519.2	11529
F1M8J5	F1M8J5	F1M8J5_RAT	Siglec8	Sialic acid binding Ig-like lectin 8	6232.07																			3715.61	5280.9	6837.47				2989.86			2646.59	3386.95		3663.54				
F1M8K0	F1M8K0	F1M8K0_RAT	Dag1	Dystroglycan 1	3823.96	3889.15	4094.01	3618.09	3675.67	3617.65	4292.21	4574.5	4726.23	4636.42	3666.52	3958.47	3150.79	3140.83	3295.25	3131.86	3196.81	3395.79	3514.25	3159.11	3474.41	3277.92	3515.27	3791.75	3450.79	4237.02	3383.19	3486.07	3252.43	3345.95	2596.96	1912.6	2157.72	2651.55	2566.5	2617.87
F1M8L9	F1M8L9	F1M8L9_RAT	Rapgef1	Rap guanine nucleotide exchange factor 1	1817.79	1775.37	1203.68	1323.07	1554.82	1751.91	1451.57	1209.19	1470.61	1457.16	1389.34	1738.72	2025.57	1480.79	1901.18	1554.3	1796.22	1737.77	1817.31	2321.94	1876.61	1393.16	1748.34	1916.19		928.401		1727.09	1335.44	604.739	1090.22		1538.12	1881.51	349.178	
F1M8M1	F1M8M1	F1M8M1_RAT	Tmem108	Transmembrane protein 108	369.485		450.634		554.098	638.622								281.088		482.002		284.458	592.186		268.163	585.418			373.201	467.142	501.18	715.874		624.755		519.517				
F1M8N8	F1M8N8	F1M8N8_RAT	Mroh2a	Maestro heat-like repeat family member 2A	5267.46	4746.07	5008.88	4586.95	4764.59	5270.75	3466.45	3303.52	4154.89	3793.88	3886	3887.6	4802.88	4156.42	4599.53	4163.11	4153.79	4682.69	4427.53	4680.27	4777.25	5328.65	4659.33	5142.39	4170.33	3436.37	3667.86	3807.59	3848.86	3202.46	5659.13	5112.53	5657.69	5708.21	5267.43	6055.23
F1M8V2	F1M8V2	F1M8V2_RAT	Ube4b	Ubiquitin conjugation factor E4	10006	9111.07	9449.23	9544.28	9561.54	9928.12	8386.5	8254.71	8371.92	7497.87	8261.32	8301.53	8991.01	9092.02	9609.99	9422.56	9023.44	9659.96	7856.39	8098.98	7915.43	8551.97	8588.25	8285.39	6257.2	6669.84	7012.97	6974.64	6146.05	5875.12	5741.6	5958.8	5548.82	5503.97	5835.82	6064.59
F1M8X9	F1M8X9	F1M8X9_RAT	Gbf1	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	9829.9	10044.9	10167.8	9516.94	9977.39	9738.23	7508.87	7593.08	7664.21	7485.6	6917.68	7748.3	8829.58	8489.47	8725.69	8426.2	8870.83	8776.64	8322.54	7827.84	7757.34	7654.26	7800.81	7663.71	7313.89	7653.37	7151.71	7035.31	7241.85	7418.77	7390.41	7481.68	7320.19	7566.87	7213.2	8353.31
F1M8Y4	F1M8Y4	F1M8Y4_RAT	Deptor	DEP domain containing MTOR-interacting protein							4316.34	5297.35	4687.38	5052.92	5005.43	5012.54	8620.03	8302.13	8157.23	9349.5	8212.88	10003	8611.14	8803.61	8567.28	8131.26	8645.84	8263.9		554.934						920.386	809.769	1360.75	1207.97	748.11
F1M943	F1M943	F1M943_RAT	Armc8	Armadillo repeat-containing protein 8	7542.09	8724.49	7881.83	8741.76	7776.71	8150.02	9590.92	9573.89	11151.5	8076.89	10207.5	8627.84	9978.53	9649.98	9605.9	10018.9	10031	10301.6	9938.8	10551	11003.5	9701.24	8973.69	10291.8	8093.75	8306.6	8632.94	8918.71	8010.73	7613.55	5914.87	6408.04	6460.49	6535.87	6408.88	6261.92
F1M974	F1M974	F1M974_RAT	Nsmaf	Neutral sphingomyelinase activation associated factor	374.382	440.056	366.726	498.672	339.296	477.715		592.838	232.166	532.07	390.266	535.223	239.111	448.6	637.908	408.082		299.298	637.145	367.418	363.801		314.318			389.461	471.467	489.176	363.984							
F1M990	F1M990	F1M990_RAT	Cks1l	Cyclin-dependent kinases regulatory subunit	38273.3	37283.1	38328.9	37715.2	37801.5	39252	61103.1	59469.7	62197.6	60504.8	58315.1	58273.2	63406.9	59232.9	58265.5	59305.3	61640.2	57813.8	45600.8	44951.3	41706.1	45272.9	45365.2	45795.5	29089.2	26868.5	30126.5	27182.4	32210.7	27175.6	19963.3	17693.9	16707.9	17920.4	18080.7	17790.4
F1M9C9	F1M9C9	F1M9C9_RAT	Hars2	histidine--tRNA ligase	3947.74	3866.21	3315.95	2737.13	3467.04	3182.23	3792.76	3241.36	3015.6	2979.74	2595.8	3067.87	3593.21	3439.07	3410.9	2828.49	2640.91	2869.63	4299.22	4306.41	4412.9	4134.87	4316.92	4130.08	4493.73	4221.78	3956.63	4433.48	3827.45	4223	4830.29	4779.35	4364.35	4883.48	4835.42	4193.48
F1M9D0	F1M9D0	F1M9D0_RAT	Map3k2	Mitogen activated protein kinase kinase kinase 2	2107.95	2119.31	2118.1	2036.73	1988.6	1965.3	1720.38	1743.44	1863.2	1812.23	1941.39	1926.27	1834.38	1527.95	1719.14	1762.35	1583.52	1490.97	1769.58	1572.15	1828.06	1593.34	1539.54	1248.54	1623.96	1939.99	1591.33	1287.76	1657.85	1370.95	1807.3	1876.11	1414.86	1911.54	1817.19	1565.45
F1M9D6	F1M9D6	F1M9D6_RAT	Stat1	Signal transducer and activator of transcription	18182.8	17958.4	17529.1	17466.4	18518.7	18237.3	16045	15751.1	15284.1	15528.7	15400.2	16250.3	15756.6	15977.3	16272.6	15860.8	15317.4	15830.1	13445.4	13590.8	13779.9	13851.5	12835	12127	13475.7	15356.7	15091.6	14248.5	14346.2	13408.8	5837.31	5610.27	5136.51	4773.72	6468.71	5699.16
F1M9P0	F1M9P0	F1M9P0_RAT	Ap1ar	Adaptor-related protein complex 1 associated regulatory protein	466.51	594.246	573.253	283.426	730.126	380.138	453.462			534.663	211.388	345.55	540.383	404.667	527.766	784.183	479.418	573.093		293.909			311.828	461.768												
F1M9Q3	F1M9Q3	F1M9Q3_RAT	Ltn1	E3 ubiquitin-protein ligase listerin	16563.9	16346.4	16424.5	16282.1	16132.9	15541.3	15109.2	13475.4	14822.3	14208.4	14789.3	13899.9	15686.2	15301.5	15992.7	15033.8	15601.1	15027.9	14820	14386.2	14897.7	14864.8	14733.9	15253.8	13499.8	14637.1	13725.9	13995.8	15025.8	14316.9	11488.2	11245.7	10726	10589	11903.3	11300.6
F1M9V7	F1M9V7	F1M9V7_RAT	Npepps	Aminopeptidase	24974.5	25045.3	24175.3	23145.5	24926.4	22948.2	23765.3	22503.9	22429.3	22401	22354	21810.2	22339.1	21845.9	22117.8	20717.4	21765.6	22322.5	23087.4	24285	22811.4	23043.5	22589.2	23045.7	23862.3	25054.1	24897.2	25756.2	26184.9	25178.5	16342.5	16515	17269.5	16916.1	17182.5	17770.3
F1M9W9	F1M9W9	F1M9W9_RAT	Trappc8	Trafficking protein particle complex subunit 8	14377.2	14022.2	15315.8	13993.7	14461.6	14158.7	12358.7	13938.6	12083	13171.3	12695.8	14413.1	13748.1	13513.7	14288	13541.2	13615.6	13398.3	13759.3	13439.1	13384.3	13006.9	13960	13016.3	12238.3	12961.1	12711.1	13220	13070	13641.8	11613.1	10637.4	11396	11975.3	12136.8	11604.8
F1MA04	F1MA04	F1MA04_RAT	Wdr36	WD repeat domain 36	13280.4	13364.7	13031.4	12606	14912.6	13532.4	13116.2	12170.9	12463.6	12512.8	13402.4	11552.7	10928	11743	11500.7	11157.1	10872.6	11170.8	12575.8	12342.8	11805.5	13064.3	12769.1	12708.4	12314.8	14858.1	14353.6	13326.6	13504.2	13626.2	15858.3	17371.7	16992.9	18162.6	16261.8	16690.4
F1MA87	F1MA87	F1MA87_RAT	Cdk6	Cyclin-dependent kinase 6	3689.73	3816.98	3777.32	3447.49	3772.49	3385.05	2474.25	2949.5	3242.5	2213.47	2289.26	2366.04	2579.99	2285.89	2925.14	2830.32	2527.37	2176.01	3115.34	3041.24	3453.05	2953.66	3479.49	2685.32	4396.72	3579.86	3515.28	3740.65	3723.63	4233.39	1835.75	1821.28	1873.16	2012.92	1255.38	1708.5
F1MA98	F1MA98	TPR_RAT	Tpr	Nucleoprotein TPR	23870.5	22858.9	22433.7	22493.7	22814.6	23560.2	23148.5	24157.2	24716.2	23914.7	25415	25339.3	22389.4	22441.3	22751.1	22515.8	22759.1	22731.3	19358.4	19938.2	19035.3	19686.6	18999	19363.5	22229.5	23726.9	22920.4	23334.3	22964.2	22352.4	30942.8	30246	31603.7	32104.3	30615.5	33462.1
F1MAA1	F1MAA1	F1MAA1_RAT	Usp47	Ubiquitin carboxyl-terminal hydrolase 47	16990.9	16548.6	16330.8	16219.9	16739.5	15560.7	15091.4	16258.6	16903.9	17338.7	15792.1	14742.5	14163.6	14046.5	14714.2	14327.6	13622.2	13471.9	14342.7	14019.5	14844.6	14185.9	14220.8	14023.4	12533.5	13424.9	14283.6	13615.6	13368.1	13435.2	11176.9	11187.4	11048.6	10744.9	10596.9	10808.4
F1MAA4	F1MAA4	F1MAA4_RAT	Atp13a2	ATPase cation transporting 13A2	79323	79576.4	82376.7	67501.3	90719.2	71503.7	28104.6	26390.9	42869.5	31447.3	40356.7	29123.5	73635.8	78277.7	70779.3	68042.2	73843.7	60114.8	50920.1	58194.3	56141	51912.7	55129.2	44891.6	49727.1	59259.4	53933.7	59100.6	56680.4	59259.8	45092.8	52656.5	39095.9	66881.4	53226.1	49328.3
F1MAA7	F1MAA7	F1MAA7_RAT	Lamc1	Laminin subunit gamma 1	1873.81	1345.92	2177.98	2162.38		2295.18	2765.59	2844.5	2566.32	3250.91	3465.6	3281.15	2588.02	2190.37	2262.24	1957.13	2465.15	3434.9	2414.99	2828.9	2560.88	2570.23	2163.79	2246.99	1799.89		1224.25		1601.85		4481.96	4689.38	4607.87	3951.54	4612.07	6050.11
F1MAB7	F1MAB7	DGKI_RAT	Dgki	Diacylglycerol kinase iota	1533.37	1407.21	1502.92	1388.45	1569.01	1679.26	1085.42	599.631	618.011	889.218	596.764	873.379	717.02	913.76		668.085	873.954	676.595	464.351	603.061	847.998	555.651	816.78	875.904	829.02	1217.58	1074.41	1063.5	906.504	840.089					436.851	
F1MAD2	F1MAD2	INADL_RAT	Patj	InaD-like protein	2354.73	2485.07	2743.56	2431.01	2670.11	2625.7	2743.33	2905.23	3190.84	2387.77	2863.48	2667.79	2823.61	3013.67	3084.71	2806.35	2457.07	2859.59	2035.17	2417.79	2075.58	2081.88	2464.46	2196.15	2338.32	2638.2	2267.46	2372.1	2409.95	2541.66	2751.31	2543.61	3073.18	2854.49	2827.13	3030.33
F1MAF1	F1MAF1	F1MAF1_RAT	Hsf1	Heat shock transcription factor 1	446.046	734.247	558.92	834.418	821.154	804.495	693.17	998.265	1045.27	668.988	916.199		781.742	603.13		854.171	489.601	670.807	636.273	706.986	432.55	521.822	670.053	362.935	219.587	639.635	690.547		410.954	549.015	303.709		159.118	679.756	535.344	567.918
F1MAF2	F1MAF2	F1MAF2_RAT	Akap17a	A-kinase anchoring protein 17A	4132.57	4571.32	4870.38	4672.94	3761.71	4200.15	4277.31	4071.26	4241.41	4861.02	4059.49	5274.96	3845.27	3780.28	3260.64	2980.25	3449.85	3378.65	3459.91	3712.5	3452.26	3138.41	3411.7	3725.27	3609.4	4681.8	3914.91	4340.8	4848.92	4067.44	5782.71	5601.87	6106.28	5993.93	5998.07	6261.86
F1MAF5	F1MAF5	F1MAF5_RAT	Pcid2	PCI domain-containing protein 2	3156.56	2566.03	3417.79	3164.45	2987.39	2925.76	2672.36	2690.52	2930.18	1896.92	2439.85	2396.43	2758.11	2552.29	2770.16	2809.24	2352.91	2883.46	2551.61	2262.55	2510.56	2962.03	2543.61	2534.87	3002.32	2716.16	2955.59	3090.3	2915.14	2752.96	2851.03	2472.17	2164.55	3119.67	2482.48	2235.69
F1MAF8	F1MAF8	F1MAF8_RAT	Atg2b	Autophagy related 2B	1660.02	1998.32	1712.33	1503.45	1474.48	1556.42	1658.28	1557.67	1490.22	2488.04	2173.95	2000.03	1793.21	1882.26	1861.35	2076.76	1549.3	1659.44	2024.46	2045.1	2011.18	1797.11	1736.72	2205.5	2300.46	1831.1	1603.86	1586.81	1978.66	1735.36	2749.18	3005.5	3175.03	3670.81	3095.03	3356.93
F1MAG0	F1MAG0	F1MAG0_RAT	Gsdme	Gasdermin E	1405.26	1914.3	1621.21	1542.5	1722.44	1513.1	1606.62	1215.94	1474.59	1208.12	1478.49	1336.47	1683.41	1507.04	1632.99	1704.85	1453.27	1808.64	1512.59	1675.21	1498.73	1321.83	1387.28	1479.56	1563.8	1296.37	2076.48	1246.99	1634.64	1965.87	932.292	548.337	691.285	617.142	738.718	470.89
F1MAG1	F1MAG1	F1MAG1_RAT	Agrp	Agouti related neuropeptide	30728	30728.3	29401.6	30372.2	28613.7	29855.4	20182.7	20127.3	19126.9	20401.1	17540.8	19240.3	20772.5	19471.7	19304.6	20092.6	20124.7	19589.9	20809.7	21500.1	21741	21008.5	21557	21599.2	25131.8	25964.9	25400.6	24930.5	25746.9	27028.6	19906.4	20872.2	19649.3	20055.1	19753.6	20917.2
F1MAG8	F1MAG8	F1MAG8_RAT	Sema3d	Semaphorin 3D	6863.53	6847.89	7102.27	6994.48	7027.62	8773.47	7295.24	7882.42	8167.99	7256.53	6680.81	7380.38	6561.61	6709.69	6451.52	7552.96	6804.13	8074.41	6209.87	6573.6	6298.98	6600.47	6793.05	5068.88	3460.91	3775.29	3055.99	3267.99	4062.47	4070.07	3207.94	1757.72	1743.45	2753.13	2666.15	1792.16
F1MAG9	F1MAG9	F1MAG9_RAT	Sec1	L-Fucosyltransferase	2854.02	3183.86	2919.82	3317.01	3129.28	3239.92	1866.52	2577.47	2690.06	2565.29	3252.67	2252.58	2905.49	2404.56	3276.94	2794.46	2872.13	2591.83	3051.12	3195.27	2928.82	3395.01	2825.4	3111.4	2658.55	3101.89	2686.56	2839.26	1949.43	3083.33	3249.2	3311.11	2848.25	2207.56	3376.13	2829.58
F1MAI3	F1MAI3	F1MAI3_RAT	Sos2	SOS Ras/Rho guanine nucleotide exchange factor 2		594.938		388.132	1312.85			458.307	463.64	473.123		629.817	931.851	715.476	793.932	719.213	1748.02	947.195	1131.81	771.286	913.839	1033.89	889.292	905.296			401.87	771.013	326.888	530.043	944.427	615.827	723.609	760.536	276.356	557.829
F1MAJ0	F1MAJ0	F1MAJ0_RAT	Ephb2	receptor protein-tyrosine kinase				381.521							378.432		261.842	135.858	377.691		299.993	407.546		393.031			230.124	72.2839			762.93	312.585						91.3792		
F1MAJ8	F1MAJ8	F1MAJ8_RAT	Zfp91	Zinc finger protein 91	3381.53	3033.57	3847.47	3193.72	3549.45	3491.6	2893.51	4228.74	3362.65	3750.2	3004.43	3126.26	2556.03	2633.96	2154	2701.26	2138.44	2221.59	2065.24	2645.31	2526.26	1709.71	2679.57	834.644	4568.56	5219.77	4890.6	5150.45	4557.66	4404.53	2006.17	2148.89	1455.24	2542.72	1634.6	2685.28
F1MAK1	F1MAK1	F1MAK1_RAT	Fnbp4	Formin binding protein 4	4695.79	4625.07	4620.19	4210.89	4336.34	4285.51	5751.38	6476.86	6285.81	6584.3	6386.2	6138.58	4837.07	4266.05	4660.35	4332.69	4496.42	4422.5	3827.62	4242.81	4385.24	4615.85	4110.25	3899.59	5684.64	5686.48	5677.53	5267.4	5305.4	5573.42	6417.92	6898.92	7179.97	6773.39	6449.11	7214.46
F1MAK3	F1MAK3	F1MAK3_RAT	Arhgap32	Rho GTPase activating protein 32	5261.02	6452.59	6937.94	7436.69	6152.87	6459.08	8365.8	7818.77	8818.47	6127.38	7995.59	7739.48	7594.37	7617.09	6682.88	6428.82	6947.65	7356.14	6140.93	5774.58	5223.09	5779.18	5993.58	6638.87	6388.73	8012.66	7418.83	6932.08	6207.68	9291.69	4241.49	5444.74	4769.1	5001.36	5104.53	5012.74
F1MAL0	F1MAL0	F1MAL0_RAT	Zfp266	Zinc finger protein 266	253.722	338.599	184.242	361.761	300.425	309.193				143.804				331.939			396.472	302.803		391.28	221.983	93.3962	336.47	510.48	284.068			462.628		340.763						
F1MAL5	F1MAL5	F1MAL5_RAT	Irs2	Insulin receptor substrate 2	13511.7	13536.5	14076.3	12050.9	12277.5	13516	11262.4	11428.9	10356.1	10394.1	10896.6	10489.4	9104.27	9807.58	10107.3	10268.1	9746.92	9321.61	9464.14	9200.58	8538.21	9126.21	8759.43	9213.62	13226.6	13417.3	14393.2	12816.5	13945.6	13964.4	5597.29	6050.03	6465.79	5704.92	6055.88	6360.89
F1MAM1	F1MAM1	F1MAM1_RAT	Fbxw9	F-box and WD repeat domain containing 9	1507.13	1488.74	1363.17	1367.61	3200.31	1686.53	1772.42	1661.13	1923.38	1978.97	2401.74	2016.31	2070.71	1719.02	2283.3	1703	2083.31	2401.66	2826.61	2993.27	2470.37	2760.8	3262.4	2672.02	2506.5	1942.44	2555.52	2623.9	2790.67	2645	2115.66	2597.25	2418.16	2245.69	3568.98	1955.58
F1MAM8	F1MAM8	F1MAM8_RAT	Ddx20	RNA helicase	2124.67	2815.39	2305.77	2580.17	2553.96	2281.2	3033.04	2742.63	2887.3	2336.97	2762.3	2514.83	2399.2	2411.12	2251.77	2404.97	2571.1	2346.32	2137.3	2113.95	2058.56	1792.48	2036.67	1956.87	2183.15	2302.57	1786.92	2083.19	1632.38	1987.47	1759.98	1936.25	1618.04	1867.86	1663.41	2327.31
F1MAN8	F1MAN8	F1MAN8_RAT	Lama5	Laminin subunit alpha 5	4330.8	5256.95	5175.61	4944.72	4595.65	4835.07	6448.77	5492.17	6259.84	4902.01	6127.23	5797.24	5363.34	5049.87	5703.95	6137.87	5025.26	6308.29	4904.06	5214.53	4733.95	5370.42	5315.33	5109	3811.77	3363.6	3991.92	5656.9	4841.33	3600.27	12501.5	12008.9	13443.2	12981.6	12231.1	12828.8
F1MAQ4	F1MAQ4	F1MAQ4_RAT	Trappc10	Trafficking protein particle complex subunit 10	4410.18	4654.13	4358.26	4632.99	4948.3	5001.64	4139.06	4617.06	4462.48	4390.52	3866.34	4648.5	4559.74	4480.68	4549.99	4986.46	4742.98	4793.87	4582.17	5153.1	4532.07	4020.71	3911.92	4903.63	3916.77	4910	4649.58	4639.64	4518.06	3924.09	5094.44	5290.32	4669.67	5355.67	5122.39	5671.16
F1MAQ7	F1MAQ7	F1MAQ7_RAT	Son	SON DNA and RNA binding protein	19649.7	18784.7	20855.7	21252.3	20794.4	19440.4	17303	17561.2	16471.7	16962.5	16979.1	14698.3	17800	16416.3	17454.9	16411.5	15624.8	16927.1	17672.5	18417.3	17252.4	16674.8	18007.3	18954.3	16478.5	16131.4	17093.2	16560.7	15264.7	16644.7	15237.9	13995.8	15244.5	16009.2	16066.2	16421.4
F1MAQ8	F1MAQ8	F1MAQ8_RAT	Pnisr	PNN interacting serine and arginine rich protein	728.731	718.468	1401.29	998.948	873.315	884.108	781.241	1769.91	1328.21	1791.8	2210.95	1278.14		461.828	699.152	470.32				557.286	333.173	669.826	838.049	638.464	2244.29	2133.1	2292.46	2059.54	1155.79	2702.15	694.279	654.837	878.553	727.309	717.899	958.386
F1MAR6	F1MAR6	F1MAR6_RAT	Prodh	Proline dehydrogenase	861.024		1206.6	1092.42	950.127	879.536	812.131	857.174	444.286	989.029	1336.89	719.196	774.466	633.214			985.254		993.848		843.726		1078.66	728.495	747.389	974.216	918.271			1197	1908.18	2404.11	2060.2	2091.58	2008.91	2140.52
