Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-221_3807.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-222_3808.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-223_3809.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-224_3810.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-226_3816.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-227_3817.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-228_3818.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-229_3819.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-230_3820.d
P51639	P51639	HMDH_RAT	Hmgcr	3-hydroxy-3-methylglutaryl-coenzyme A reductase																																							
P51646	P51646;G3V9B1;D3ZES1	ARL5A_RAT	Arl5a	ADP-ribosylation factor-like protein 5A																															1503.43	2104.98							
P51792	P51792	CLCN3_RAT	Clcn3	H(+)/Cl(-) exchange transporter 3																																				1294.56			
P51796	P51796	CLCN5_RAT	Clcn5	H(+)/Cl(-) exchange transporter 5																																							
P51799	P51799	CLCN7_RAT	Clcn7	H(+)/Cl(-) exchange transporter 7																																							
P51952	P51952	CDK7_RAT	Cdk7	Cyclin-dependent kinase 7 (Fragment)					331.103																						827.119									503.47	648.666		
P51965	P51965;F1M3L4;F7F5A1;A0A8I6A2G8	UB2E1_HUMAN	UBE2E1	Ubiquitin-conjugating enzyme E2 E1				2080.64																																914.594			
P52020	P52020	ERG1_RAT	Sqle	Squalene monooxygenase	3711.71	9179.83			12461.4	14922.4			9606.33	13842		5546.78	4143.52	15610.6	3725.27	3139.01							3864.46							1605.84			5192.34				2746.23	1931.67	
P52296	P52296	IMB1_RAT	Kpnb1	Importin subunit beta-1	10936.3	22437.6	15992.4	4577.51	7488.99		14930.9		10661.3	6528.58	20395.1	16504.3	15265.9	3637.33	20852.4	4372.83	13453.9	9219.2	9804.19	9122.86	15856.3	9005.65	13641.9	11505.7	16579.2	8960.22	14697.8	22587.4	7809.59	13079.6	16124.2	12938.9	12859.4	18953.6	10205.5	12047.3	11820.5	19572.2	10392.8
P52303	P52303	AP1B1_RAT	Ap1b1	AP-1 complex subunit beta-1	3728.15	4714.05	9128.36	11448.1	3502.61	3090.64	10162.3	16004.8			2491.97	10243.3	13246.4		2007.11			2486.86	23404	10877.6	4845.6		4093.46		7045.99		6440.24	10378.3	4750.37	6844.69	4166	8160.89	5852.02	6807.63		4854.78	4103.98	6339.2	21635.6
P52555	P52555	ERP29_RAT	Erp29	Endoplasmic reticulum resident protein 29	15565.9	17256.4	20346.5	8540.49	17353.1	45055.8	23177.4	20512.2	58008.8	29497.6	19240.2	13349.9	23792.4	59116.9	45054.6	63258	32307.8	16261.5	19428.7	16173.6	24065.3	25059.3	17774.7	13334.1	9474.75	13697.9	16304.8	26703.9	14878.9	23823.9	12708.7	12967.7	28923.6	12032.2	16088.8	10753	15030.6	8139.72	19315.5
P52590	P52590	NU107_RAT	Nup107	Nuclear pore complex protein Nup107	354.787		6787.78							6415.21			2475.82		4979.99	5828.03					3137.95				1811.49		5927.59			1510.76	4419.37		2648.49			3676.5	911.956	504.934	7662.93
P52591	P52591	PO121_RAT	Pom121	Nuclear envelope pore membrane protein POM 121																		1622.66				3096.95					1311.28				1139.91					1336.31		1518.41	
P52631	P52631	STAT3_RAT	Stat3	Signal transducer and activator of transcription 3	981.657	5326.34			1332.56		2547.05					5389.83			666.937										3037.54		843.852		2419.83	2790.7	2013.72		2411.79			760.371	838.651		
P52632	P52632;Q62771	STA5B_RAT	Stat5b	Signal transducer and activator of transcription 5B	1918.03	3939.49			1175.81		1653.37						3292.23		2228.03			3172.76														7234.48				2444.61	1033.06	2798.59	5685.47
P52759	P52759	RIDA_RAT	Rida	2-iminobutanoate/2-iminopropanoate deaminase																											3860.31												
P52796	P52796	EFNB1_RAT	Efnb1	Ephrin-B1																																							
P52909	P52909	JUND_RAT	Jund	Transcription factor JunD																									15415.9		8327.35									1620.03			
P52925	A0A8I6GBU6;P52925;A0A8I6GKR4;A0A8I6GJ73;D3ZC69;P63159;A0A8I6A2H1;A0A8I5Y7D7;D3ZS25	HMGB2_RAT	Hmgb2	High mobility group protein B2	2599.35	5593.51	14232.4	15095.2	3704.05		4136.52	12102.7	2625.33		16758.8	4776.93	15069.8		13158.2	5503.88	11643.2	39140.5	17660.5	23871.9	28309.7	21905.4	27279.8	10303.2	28057.1	21907.1	41557.2	12023.1	10403.6	23718.8	35407	27503.3	28768.3	17721.7	19532.2	18286.8	37720.2	45793.4	40558.2
P52944	P52944	PDLI1_RAT	Pdlim1	PDZ and LIM domain protein 1	2092.58										3762.9											4887.33		5584.85	4304.65		349.926		12667.9	1831.32			7185.37			5454.4	3987.8		
P53042	P53042	PPP5_RAT	Ppp5c	Serine/threonine-protein phosphatase 5	2295.07		2274.16	3186.52	2220.71							2121.51	427.248		1462.13		4580.27	541.291			4210.68	909.241	2350.02		2905.8		1183.24	4259.7		5985.29	792.635		1499.33	2483.51	4210.87	707.719		449.762	
P53369	P53369	8ODP_RAT	Nudt1	Oxidized purine nucleoside triphosphate hydrolase										4084.93																													
P53563	E9PU78;P53563	B2CL1_RAT	Bcl2l1	Bcl-2-like protein 1		518.455			386.41									1808.52		2932.74							1668.19								990.402							847.59	
P53565	P53565;F1M048	CUX1_RAT	Cux1	Homeobox protein cut-like 1																																							
P53610	P53610	PGTB1_RAT	Pggt1b	Geranylgeranyl transferase type-1 subunit beta	557.551				2152.22																				4080.09											2510.99		1862.73	
P53676	P53676	AP3M1_RAT	Ap3m1	AP-3 complex subunit mu-1	2198.88	4832.03			8000.29			5889.56					1247.71		2124.92			2137.72				10144.8	2806.95	1611.8	7599.01		1643.23	10916.3		2464.87	3127	5137.65	1509.47	6104.93		4202.31	1817.95	2168.57	
P53678	P53678	AP3M2_RAT	Ap3m2	AP-3 complex subunit mu-2																																							
P53812	P53812	PIPNB_RAT	Pitpnb	Phosphatidylinositol transfer protein beta isoform	12046	4829.82				4537.55									8067.16												2667.37			1970.31			6950.74			2034.83	1868.07		
P53813	P53813	PROS_RAT	Pros1	Vitamin K-dependent protein S																																							
P53987	P53987	MOT1_RAT	Slc16a1	Monocarboxylate transporter 1			1790.09					8574.77								614.162		7611.52					746.278									2424.73					340.699	635.364	
P54001	P54001	P4HA1_RAT	P4ha1	Prolyl 4-hydroxylase subunit alpha-1	1285.45		11258.2		4974.95	7748.87			14600.9									2582.02				7050.52	2187.69		10162.7		4245.89	4977.87		3193.62	3120.59	1190.07				1434.79	4191.64	3461.83	
P54256	P54256	HAP1_RAT	Hap1	Huntingtin-associated protein 1	2855.59				997.499																											3328.32				3880.85	2441.92		
P54258	P54258	ATN1_RAT	Atn1	Atrophin-1																																							
P54287	P54287	CACB3_RAT	Cacnb3	Voltage-dependent L-type calcium channel subunit beta-3																																							
P54290	P54290	CA2D1_RAT	Cacna2d1	Voltage-dependent calcium channel subunit alpha-2/delta-1	3065.53	2192.89	11649.8	4340.63	3225.63	6642.72	8551.81		6366.75	8758.61	9117.74	7070.97	3216.36	7800.02	6254.4	8455.59	6662.03	6231.65	8121.15	9290.99	4333.01	8549.75	8695.85	9000.61	6821.42	5107.33	5156.16	7199.84	7378.7	4727.04	8313.49	10158.7	8108.12	5205.49	2961.09	4839.12	7040.58	5701.91	5587.29
P54311	P54311	GBB1_RAT	Gnb1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1																																							
P54313	P54311;P54313;P52287	GBB2_RAT	Gnb2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	30143.8	55709.5	33369.4	23924.8	40723.8	51213.7	39351.1	12034.6	58124.9	38084	51007.9	67690.8	49151.3	17867.4	29323.9	26466	26595.2	24064.7		34560.5	13974.9	13316.5	25602.5	12154.4	7426.16		28014.6	12800.2	20705	14944.6	13504.3	25446.3	26359.2	21896.9	20908.3	27772.3	24985	32240	29909
P54319	P54319	PLAP_RAT	Plaa	Phospholipase A-2-activating protein	3018.24	2397.42			1527.3						2050.68		45492.1					3727.74	109632		2684.99		1641.77		4277.23		600.063			9097.38	3124.29							4738.88	
P54645	P54645	AAPK1_RAT	Prkaa1	5'-AMP-activated protein kinase catalytic subunit alpha-1	2073.76		2200.28									3584.14	672.626							1592.67	30400.3						4253.17			1818.57	6785.87	4154.7			1825.1		1452.59	1218.01	3511.48
P54777	P54777	PEX6_RAT	Pex6	Peroxisomal ATPase PEX6														11434	14893.7	1246.12		4557.03													1313.33								
P54921	P54921	SNAA_RAT	Napa	Alpha-soluble NSF attachment protein	3162.85	4615.67		1301.36	2211.6		3517.06	14295.2	6057.28	7991.22	3785.64	1613.11	1953.22	2675.5	2821.25	2610.34	14097.1	3849.16			5540.9		3423.97	2419.37	4414.4		3678.36			4495.13	2532.11	2599.79	2955.06	4436.11	6631.08	3072.81	3756.39	4700.69	
P55053	A0A8I5ZZV4;P55053	FABP5_RAT	Fabp5	Fatty acid-binding protein 5	273558	40026.1	79000.1	133926	229664	25556.1	60003.8	132484	55982	56010.6	124618	83022.6	99234.9	24900	138218	28029.5	126730	37079.8	123607	33346.6	31600.5	25146.7	40662.3	39646.7	21015.4	90444.8	24007.7	86479.2	25500.3	22491.1	24204.7	29357.2	35229	20818	32907	58477.8	27767.6	35468.8	33327.8
P55062	P55062	BI1_RAT	Tmbim6	Bax inhibitor 1																																							
P55094	P55094	NR2C2_RAT	Nr2c2	Nuclear receptor subfamily 2 group C member 2					10247.3													6243.12					9487.85				15922.6			9614.41	7850.65	7406.78				7051.63		9434.45	
P55161	P55161	NCKP1_RAT	Nckap1	Nck-associated protein 1	1586.26	6481.45	3626.88		2370.63				11079.8				3237.88	3864.47	3179.48	1849.75				4941.74			4194.91				4387.6		25396.2	2372.03	3920.34	4713.21				1339.66	3467.62	3356.06	
P55213	P55213	CASP3_RAT	Casp3	Caspase-3	4095.79			6822.95	2691.8			8894.06				2761.3	2063.25		5777.07			5748.62			4914.27						1713.65		614.765							496.965		1992.11	
P55215	P55215	CASP2_RAT	Casp2	Caspase-2																																							
P55260	P55260	ANXA4_RAT	Anxa4	Annexin A4	4854.3	682.49	6330.95	5511.34	4638.74		6555.95	9020.46	7530.66		20688.7	3549.94	3228.39		9935.59		14078.3	2809.95		2619.11	5742.66		5216.71	5145.32	6929.56		1921.45	8916.68		4850.7	3141.81	4942.59	4730.25	6074.98	8439.98	4577.62	3728.11	3767.72	
P55266	P55266	DSRAD_RAT	Adar	Double-stranded RNA-specific adenosine deaminase					779.291						1640.15																			928.611									
P55272	P55272	CDN2B_RAT	Cdkn2b	Cyclin-dependent kinase 4 inhibitor B	21800.4	34072.2	8478.17	23927.4	26512.6	10906.1	32358.3	10718.5	12359.4	11360.8	12416.6	36614.5	18096.5	8213.98	15674.3	7990.63	11385.2	15350.4	9850.71	20130.2	13548.1	23526.6	27103.7	17262.3	17251.4	10283.3	19147.8	15946.8	14411.5	21639.6	21637.1	19416.7	24417.9	16793.2	16949.1	22696.4	22855.2	23420.7	13298.4
P55770	P55770;A0A8I5ZY99	NH2L1_RAT	Snu13	NHP2-like protein 1	1248.63	3482.98		3956.36	1185.78			4465.34			1399.89				2203.4	6242.09		9693.25			7813.66	10011.1	6347.6		4618.26	2922.46	4155.08	2563.8	6022.64	4764.1	4182.47	8539.98	7143.63	3543.61	598.15	864.114	7350.71	3913.61	1192.09
P56536	P56536	KIF5C_RAT	Kif5c	Kinesin heavy chain isoform 5C	1756.57	6264.28																			2975.11										1098.61						688.247	1287.2	
P56558	P56558	OGT1_RAT	Ogt	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1715.27	1418.41	6082.65		1706.11		12479.4	13316.7				7381.89	2919.59		7228.56			3937.55		23650.6			4364.15		3140.26		1020.43			5006.52	3705.69		4457.05			2284.66	2705.75	4417.62	4416.3
P56603	P56603	SCAM1_RAT	Scamp1	Secretory carrier-associated membrane protein 1	3369.11	2837.73	3727.68		3057.22		3953.45	1078.61	6828.5	3445.75	1742.11	2287.5	1894.56	5928.28	2441.56	1835.76	5968.38	2673.62			1263.72	4910.32	1110.05		1701.32	2728.28	1893.4	6159.81	3805.57	3324.58	2095.45	6186.02	807.253	9690.59	3889.09	2813.62	2318.07	5250.68	
P56700	P56700	RGS16_RAT	Rgs16	Regulator of G-protein signaling 16	1480.18	6734.44	4918.96		4642.65	3912.8			7547.44	7513.64	9265.24	2213		8354.76	7850.3	2582.05		5855.56			5711.75	1941.26	2879.31		2252.07	12275	3486.51	11058.3	3133.07	3153.33	3273.03	4783.56	2555.87	3351.8	1347.83	2623.16	2106.94	3792.48	1758.91
P56819	P56819	BACE1_RAT	Bace1	Beta-secretase 1							1714.53																																
P56932	P56932	2ABD_RAT	Ppp2r2d	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform											1794.18																												
P57113	P57113	MAAI_RAT	Gstz1	Maleylacetoacetate isomerase	1417.12																														405.996					451.474			
P57760	P57760	STK16_RAT	Stk16	Serine/threonine-protein kinase 16																																							
P57769	P57769	SNX16_RAT	Snx16	Sorting nexin-16																																							
P57790	P57790	KEAP1_RAT	Keap1	Kelch-like ECH-associated protein 1	938.164				5111.08													6006.27					3823.36				1009.24				2075.96					2686.19			
P58200	P58200	VTI1B_RAT	Vti1b	Vesicle transport through interaction with t-SNAREs homolog 1B	524.634	5919.75		5102.4		1820.31			2104.9				4133.12			430.443		1410.62			1374.56	12927.5	2841.54	6880.93			754.661			1857.01	1097.43					405.342		2678.25	
P58366	P58366	ANKH_RAT	Ankh	Mineralization regulator ANKH																																							
P58405	P58405	STRN3_RAT	Strn3	Striatin-3	2101.64				3904.16	6373.82					1860.29	12573.4	2451.61		2067.38			20215.4	10910			3933.58					8407.38			598.471	3492.02					1830.66	4043.74	3024.83	
P59035	P59035	LRRC3_RAT	Lrrc3	Leucine-rich repeat-containing protein 3		22493.9																					15457.8							819.514									
P59215	P59215	GNAO_RAT	Gnao1	Guanine nucleotide-binding protein G(o) subunit alpha	25777.9	55604.4	26570.6	23666.8	32873.6	23513.7	41323.6	27881.5	63039.7	44845.4	28062.4	48553.8	42732.3	40600.4	24530.9	16685.3	64803.2	19867.4	28437.6	44254.5	24620.2	33644.7	27943.5	35392	24927.6	14873.3	28181.5	15666.6	24280.1	18050.5	17579.4	29974.4	35244.5	22593.1	23272.2	27054.2	26531.5	21361.3	32102.5
P59722	P59722	EGLN1_RAT	Egln1	Egl nine homolog 1 (Fragment)					1215.38																																		
P59798	P59798	SELK_RAT	Selenok	Selenoprotein K																		4792.25		10077.8			2312.79																
P59924	P59924	THOC1_RAT	Thoc1	THO complex subunit 1	1120.49			3276.24							2216.81																									1048.16			
P60123	P60123	RUVB1_RAT	Ruvbl1	RuvB-like 1	3046.98	5803.57	6238.13	4782.46	5170.2		10861.3		2855.92		3655.31	4936.52	2744.37	8238.37	4158.45	2340.2		3657.7	6255.28	5878.82	7621.17	10777	3760.38		6084.33	4231.78	5090.22	19514	10822.4	4500.54	5716.57	6486.48	9092.54	4230.01	8568.72	5680.56	6289.71	4118.33	6448.83
P60192	P60192	SNAPN_RAT	Snapin	SNARE-associated protein Snapin																				3627.31							721.181									884.904	822.334	993.594	
P60517	P60517	GBRAP_RAT	Gabarap	Gamma-aminobutyric acid receptor-associated protein																																							
P60522	P60517;Q0VGK0;P60522	GBRL2_RAT	Gabarapl2	Gamma-aminobutyric acid receptor-associated protein-like 2					3115.58		8568.68						1817.01									14360.8					3936.37		22781.8	4770.35	6208.56		7049.54			3440.68			
P60825	P60825	CIRBP_RAT	Cirbp	Cold-inducible RNA-binding protein																		1665.78		1538.4										2159.3				10076.3				2042.95	
P60841	P60841	ENSA_RAT	Ensa	Alpha-endosulfine																																							
P60868	D3ZZK1;A0A8I6AG52;M0R5V6;A0A0G2K6L6;P60868;M0R987;M0R566;M0RB28	RS20_RAT	Rps20	Small ribosomal subunit protein uS10	10202.3	18398.8	8597.7	7983.81	10750.1	13634.7	18714			4228.68	6852.93	9846.33	9181.9		6685.81		9416.2	13455.2		10910.7	8053.55	14318.7	13730.2	14604.7	12390.7	13782.1	15144.5	7272.51	13012.2	19693.6	17980.2	12240.1	16374.7	4848.06	10213.7	11689.3	16365.4	10999.1	10174.2
P60881	P60881	SNP25_RAT	Snap25	Synaptosomal-associated protein 25	20921.4	17214.4	4360.09	15406.6	56827.7	21079.4	11900.4	4673.14	42923.9	28081.8	10871.1	17635.8	19129.5	10448.5	20164.2	18873.2	24755.2	7947.19		6363.82	11209	7778.91	7171.89		9389.8	8498.78	13787.5	8153.56	18228.7	11395.7	8733.63	12703.2	16853.2	11820.2	11602.8	13620.3	10555.8	7252.73	
P60892	P09330;A0A0G2JSV3;P60892	PRPS1_RAT	Prps1	Ribose-phosphate pyrophosphokinase 1	5184.55	6177.59	4801.03	10428.4	3576.46		2777.93				4699.91	3908.91	5280.17		5275.52		6189	5275.5		5546.74	7250.31	5414.33	3847.51		2875.17		4439.42			4725.16	2498.76	5753.01	6471.94	4986.78	3319.44	3709.96	5975.83	6161.96	
P60901	P60901	PSA6_RAT	Psma6	Proteasome subunit alpha type-6	15112	12521.8	10578.4	9682.13	15630.6	7828.73	8522.16	14179.7	5758.89	6928.7	14365.5	8926.82	8886.29	2114.94	14115.8	4005.46	10511.6	27859.6		11177.8	16128.6	21134.9	17036.1	9846.45	15946.4	18348.5	13935.7	12206.4	10313.4	18278.1	17208.5	8997.96	21217.8	12155.8	11365	14989	18679.7	12058	9760.34
P60905	P60905	DNJC5_RAT	Dnajc5	DnaJ homolog subfamily C member 5	1648.37												14637.9		1048.21																					10648			
P61023	A0A8I6AT96;P61023;A0A8I6AI64	CHP1_RAT	Chp1	Calcineurin B homologous protein 1									15367					6235.56	2638.35												2561.09			3086.73				3629.4		12735.4		3048.1	
P61078	P62839;P61078;P70711	UB2D3_RAT	Ube2d3	Ubiquitin-conjugating enzyme E2 D3	1950.45											1815.68	4548.71		1739.2			3954.06					4844.89			9138.92	5436.01		3818.74		3133.2	927.605		2590.83		1652.64	4229.45	4584.07	
P61107	P61107	RAB14_RAT	Rab14	Ras-related protein Rab-14	8489.69	9617.18	10250.3	3913.11	5315.52	7502.07	7831.6	9203.93	7175.38	16350	3467.21	9745.68	6272.63	8626.22	6374.79	4339.41	1638.49	7578.31	7769.8	11402.9	9333.24	6081.7	8063.96	13526.7	7095.11	12991.6	7239.99	6195.52	10192	7165.51	8308.19	8224.9	4666.28	6388.55	6842.92	9396.36	8290.94	7166.35	6258.42
P61203	P61203	CSN2_RAT	Cops2	COP9 signalosome complex subunit 2	867.441	11009.3	3097.76		3833.12			4034.87			6809.02	1596.66			2792.17			9009.78			6950.32	1000.63	4003.93		8237.73		4518.68	8660.41		3689.2	4962.89	3877.45	4245.92	6704.16	22800.1	2170.72	4881.05	3898.45	
P61206;P84079	P61206;P84079	ARF1_RAT;ARF3_RAT	Arf1;Arf3	ADP-ribosylation factor 3	14058.1	34460.3	9954.79	19252.5	7590		15802.3	10641.5	1679.8	11935.8	10812.9	9285.75	9515.24		18345.1		12890.2	13760.8	6772.55	18722.9	17485.7	12440.4	18513.5	12779.1	13912.9	5897.37	8281.87	13241	38800.1	16378	10421	18421.7	12839.6	20064.6	13069.4	15978.1	21699.3	15667	10542.2
P61212	P61212	ARL1_RAT	Arl1	ADP-ribosylation factor-like protein 1	3066.28	7538.36	1925.82		7015.17		13368	3932.99			9654.39	1720.23	10094.6		1275.2			4293.3	1583.98	14456.1	6192.53	7692.43	7978.66		8692.86	12734.6	10843.8		12983.5	11768.5	9661.29	7485.88	9221.78	3924.99		6024.84	4263.04	5471.82	
P61265	P61265	STX1B_RAT	Stx1b	Syntaxin-1B		1056.54																																					
P61295	P61295	HAND2_RAT	Hand2	Heart- and neural crest derivatives-expressed protein 2																																							
P61312	P61312	ADM2_RAT	Adm2	Protein ADM2																																							
P61314	D3ZF52;P61314;A0A8I5ZY58	RL15_RAT	Rpl15	Large ribosomal subunit protein eL15	37298.1	31949.6	36521.7	38535.7	43059.3	18498.6	22595.2	15029.7	12050.7	6406.41	40224.7	40068.7	37855.6	10647.2	34880.4	3176.2	16577.5	48222.8	19715.3	35177.8	51780.1	28973.7	41751.8	17557.4	41124.9	24759.4	35617.9	37256.3	27102.9	34490.5	33433.4	27927.3	46365.9	44632.5	27858.3	48291.9	42201.4	45044	20897.9
P61354	D3ZTK5;A0A8I5ZSW2;A0A8I5ZVA1;M0R7P0;P61354	RL27_RAT	Rpl27	Large ribosomal subunit protein eL27	67408.9	49997	66472.4	58257.7	67377.1	32700.9	46070.7	35335	20457.7	11014.4	30847.3	75796.3	50166.5	17544.7	42917.4	24828.8	39062.8	67516.2	45348.6	42746.8	38332.6	62397.7	56909.2	29228.1	64184.7	41186.1	49759.7	55424	28892.2	45919.3	57204.7	54679	41687.7	80706.2	53615.7	47417.3	55717.6	63073.5	72511.7
P61374	P61374;P50480	ISL1_RAT	Isl1	Insulin gene enhancer protein ISL-1																																							
P61459	P61459	PHS_RAT	Pcbd1	Pterin-4-alpha-carbinolamine dehydratase	22032.5		7381.51	13056.8	15071	1827.48	15403.9	9845.49	15223.9	4668.21	13086.5	12596.7	10912.3	3055.42	6031.26	3488.1	16915.8	9777.17		8238.08	3940.46		9470.1		2971.34		6777.76			8939.61	9576.42	4809.63	4614.46	16751	16993.2	7849.22	6600.43	10510.3	
P61480	P61480	WDR12_RAT	Wdr12	Ribosome biogenesis protein WDR12			2193.46								5208.91	2311.68			2358.95	2076.9		2663.58	9256.68			2466.75	4137.79				2618.9	3863.46		1091.85	2657.38	3052.59			1056.13	3201.88	2187.96	1778.59	4404.78
P61515	A0A8I6ADZ2;D4A829;P61515;D4A7B1;A0A8I6A398;A0A8I6GLT4;A0A8I5ZL35	RL37A_RAT	Rpl37a	Large ribosomal subunit protein eL43	8275.81	7099.36	7695.01	9382.65	7132.05		7365.56	12571.1	2595.8		6446.65	10875.9	6086.85		8098.44			6921.92		7325.49	9933.62	8790.25	14362.4	11435.9	5603.49	14571.7	11210		9499.99	11316.2	12702.2	12623.1	5053.89	11337.1	9662.41	9281.35	7918.03	10461.4	6226.93
P61589	P62747;P61589;A6KF31;A0A8I6AN62	RHOA_RAT	Rhoa	Transforming protein RhoA	9911.55	21273.8	12864	6083.13	9369.36	9416.51	10130.3		8308.25	8748.66	9350.4	7177.69	11424.9		16449.9	12597.7	8065.16	6328.82		4358.99		3573.33	8830.41		8515.38	6379.97	8145.2		21868.8	8721.21	6603.2	8841.33	3304.35	8279.75	18375.9	10681	9344.47	10235.9	13453.6
P61621	A0A8I5ZUA2;A0A8I6ABF9;P61621	S61A1_RAT	Sec61a1	Protein transport protein Sec61 subunit alpha isoform 1	35378.4	25762	30725.4	34653.8	22668.3	34331.9	17214	15360.2	40014.7	36874.6	40359.9	31739.8	38715	54039.8	41219.9	65695.6	21510.3	42369.8	35471.9	35211.4	35989.9	46076.6	41899.1	29637.3	33077.3	24606.1	49440.2	40257.9	25409	57144.1	60217.7	43718.2	45129	42066.9	29828.6	53804.9	44452.3	55727.1	39355
