Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	PC12_day6_1_1 Spectral Count	PC12_day6_2_2 Spectral Count	PC12_day6_3_3 Spectral Count	PC12_undiff_1_1 Spectral Count	PC12_undiff_2_2 Spectral Count	PC12_undiff_3_3 Spectral Count	PC12_day6_1_1 Unique Spectral Count	PC12_day6_2_2 Unique Spectral Count	PC12_day6_3_3 Unique Spectral Count	PC12_undiff_1_1 Unique Spectral Count	PC12_undiff_2_2 Unique Spectral Count	PC12_undiff_3_3 Unique Spectral Count	PC12_day6_1_1 Total Spectral Count	PC12_day6_2_2 Total Spectral Count	PC12_day6_3_3 Total Spectral Count	PC12_undiff_1_1 Total Spectral Count	PC12_undiff_2_2 Total Spectral Count	PC12_undiff_3_3 Total Spectral Count	PC12_day6_1_1 Intensity	PC12_day6_2_2 Intensity	PC12_day6_3_3 Intensity	PC12_undiff_1_1 Intensity	PC12_undiff_2_2 Intensity	PC12_undiff_3_3 Intensity	PC12_day6_1_1 MaxLFQ Intensity	PC12_day6_2_2 MaxLFQ Intensity	PC12_day6_3_3 MaxLFQ Intensity	PC12_undiff_1_1 MaxLFQ Intensity	PC12_undiff_2_2 MaxLFQ Intensity	PC12_undiff_3_3 MaxLFQ Intensity	Indistinguishable Proteins
tr|A0A8I5ZKH1|A0A8I5ZKH1_RAT	A0A8I5ZKH1	A0A8I5ZKH1_RAT	Ythdc2	1434	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RNA helicase	1.0	0.999	6	21	21	21	1	4	3	6	3	4	1	4	3	6	3	4	1	4	3	6	3	4	38872.105	46765.54	32753.205	62869.36	49869.195	68811.234	28523.809	24155.06	24044.572	30682.508	30391.27	35657.277	
tr|A0A8I5ZKJ3|A0A8I5ZKJ3_RAT	A0A8I5ZKJ3	A0A8I5ZKJ3_RAT	Ndufa2	99	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1.0	0.999	4	19	19	19	4	5	3	1	2	4	4	5	3	1	2	4	4	5	3	1	2	4	144152.6	144876.66	123064.78	70080.17	55889.32	85411.69	90625.44	88906.22	92750.91	0.0	0.0	55161.52	
tr|A0A8I5ZKQ1|A0A8I5ZKQ1_RAT	A0A8I5ZKQ1	A0A8I5ZKQ1_RAT	Rab2b	225	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RAB2B, member RAS oncogene family	0.9986	0.999	4	6	6	28	1	0	2	1	1	1	1	0	2	1	1	1	5	4	6	5	4	4	13372.353	11722.692	14595.797	14633.096	18780.564	19427.146	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZKR8|A0A8I5ZKR8_RAT	A0A8I5ZKR8	A0A8I5ZKR8_RAT	Diras2	199	Rattus norvegicus OX=10116	4:Protein predicted	DIRAS family GTPase 2	0.9834	0.9968	1	3	3	3	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	4046.7727	3510.3394	4961.329	0.0	4747.5244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZKS4|A0A8I5ZKS4_RAT	A0A8I5ZKS4	A0A8I5ZKS4_RAT	Hycc1	521	Rattus norvegicus OX=10116	3:Protein inferred from homology	Family with sequence similarity 126, member A	0.9694	0.9988	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZKU9|A0A8I5ZKU9_RAT	A0A8I5ZKU9	A0A8I5ZKU9_RAT	Shmt1	478	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Serine hydroxymethyltransferase	1.0	0.999	15	71	71	79	8	8	10	11	16	18	8	8	10	11	16	18	9	9	11	12	17	21	189373.03	253163.98	242732.62	276192.84	330491.7	377766.88	47126.08	46271.45	48841.87	55499.414	62928.707	63924.574	
tr|A0A8I5ZKV9|A0A8I5ZKV9_RAT	A0A8I5ZKV9	A0A8I5ZKV9_RAT	Ddx5	617	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX5	1.0	0.999	40	361	256	361	48	46	56	68	72	71	34	32	41	46	53	50	48	46	56	68	72	71	1474505.5	1598808.5	1434421.0	2194041.0	1993888.2	2031536.5	145680.44	142151.86	149844.14	197384.67	187183.34	197088.44	
tr|A0A8I5ZKX7|A0A8I5ZKX7_RAT	A0A8I5ZKX7	A0A8I5ZKX7_RAT	Ddx47	454	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	ATP-dependent RNA helicase	1.0	0.999	4	15	15	15	3	1	1	3	3	4	3	1	1	3	3	4	3	1	1	3	3	4	17418.9	4222.59	4473.43	23209.996	11564.158	11219.41	6313.4688	0.0	0.0	8389.475	8528.571	8307.315	
tr|A0A8I5ZKY1|A0A8I5ZKY1_RAT	A0A8I5ZKY1	A0A8I5ZKY1_RAT	Rnf170	286	Rattus norvegicus OX=10116	4:Protein predicted	E3 ubiquitin-protein ligase RNF170	1.0	0.999	2	8	8	8	2	3	0	1	1	1	2	3	0	1	1	1	2	3	0	1	1	1	9091.603	15033.278	0.0	11334.238	8658.15	13712.634	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZL52|A0A8I5ZL52_RAT	A0A8I5ZL52	A0A8I5ZL52_RAT	RGD1309104	121	Rattus norvegicus OX=10116	4:Protein predicted	Similar to RIKEN cDNA 1700025G04 gene	0.9996	0.999	2	7	7	7	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	17340.086	22385.592	16456.99	24475.84	21971.646	30837.22	0.0	18954.379	0.0	0.0	0.0	23696.559	
tr|A0A8I5ZL63|A0A8I5ZL63_RAT	A0A8I5ZL63	A0A8I5ZL63_RAT	Ankrd13a	809	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Ankyrin repeat domain 13a	0.9982	0.999	2	5	5	5	0	0	0	1	3	1	0	0	0	1	3	1	0	0	0	1	3	1	10392.857	8321.51	0.0	8945.087	17333.162	9520.767	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZL79|A0A8I5ZL79_RAT	A0A8I5ZL79	A0A8I5ZL79_RAT	Coa6	79	Rattus norvegicus OX=10116	4:Protein predicted	Cytochrome c oxidase assembly factor 6	1.0	0.999	4	16	16	16	2	2	2	2	4	4	2	2	2	2	4	4	2	2	2	2	4	4	42560.195	66206.19	33477.605	33467.477	62540.586	70380.664	30649.754	49393.684	25494.656	31016.746	48219.77	53737.906	
tr|A0A8I5ZLD3|A0A8I5ZLD3_RAT	A0A8I5ZLD3	A0A8I5ZLD3_RAT	Abi2	513	Rattus norvegicus OX=10116	3:Protein inferred from homology	Abl-interactor 2	1.0	0.999	4	13	11	13	3	3	2	2	2	1	3	2	2	1	2	1	3	3	2	2	2	1	30746.422	26523.037	30300.164	20779.64	26301.416	27779.156	21581.488	18411.162	21911.729	0.0	17326.56	18124.52	
tr|A0A8I5ZLE0|A0A8I5ZLE0_RAT	A0A8I5ZLE0	A0A8I5ZLE0_RAT	AABR07053065.1	155	Rattus norvegicus OX=10116	4:Protein predicted	riboflavin kinase	0.9923	0.9953	2	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	11847.953	21251.457	14145.284	0.0	0.0	17933.682	0.0	15454.044	0.0	0.0	0.0	10921.943	
tr|A0A8I5ZLM3|A0A8I5ZLM3_RAT	A0A8I5ZLM3	A0A8I5ZLM3_RAT	Efcab14	523	Rattus norvegicus OX=10116	4:Protein predicted	EF-hand calcium binding domain 14	0.9747	0.999	1	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0.0	0.0	1850.8121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZLN6|A0A8I5ZLN6_RAT	A0A8I5ZLN6	A0A8I5ZLN6_RAT	Larp4	722	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	La ribonucleoprotein 4	1.0	0.999	5	20	19	20	2	4	3	4	2	5	1	4	3	4	2	5	2	4	3	4	2	5	60111.277	59954.79	63391.31	48729.055	15441.156	40426.71	40661.465	40554.074	42513.09	28480.832	0.0	27382.244	
tr|A0A8I5ZLR7|A0A8I5ZLR7_RAT	A0A8I5ZLR7	A0A8I5ZLR7_RAT	Tsr2	227	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Pre-rRNA-processing protein TSR2 homolog	1.0	0.999	2	9	9	9	0	1	1	2	2	3	0	1	1	2	2	3	0	1	1	2	2	3	19237.57	9465.385	8899.707	30883.508	22207.441	25748.934	11056.714	0.0	0.0	17808.148	13011.844	13393.924	
tr|A0A8I5ZLR9|A0A8I5ZLR9_RAT	A0A8I5ZLR9	A0A8I5ZLR9_RAT	Diaph2	1101	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Diaphanous-related formin 2	1.0	0.9984	3	4	4	4	2	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2	11751.7705	0.0	0.0	0.0	0.0	14060.896	4851.2236	0.0	0.0	0.0	0.0	5251.1626	
tr|A0A8I5ZLV4|A0A8I5ZLV4_RAT	A0A8I5ZLV4	A0A8I5ZLV4_RAT	Map4k4	1382	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Mitogen-activated protein kinase kinase kinase kinase 4	1.0	0.999	11	49	35	56	5	7	9	8	10	10	4	4	7	6	7	7	7	7	11	10	11	10	147068.58	131901.61	85978.97	137047.34	88385.945	85985.66	35257.89	38619.926	41567.906	35443.72	36517.03	39843.83	
tr|A0A8I5ZLW0|A0A8I5ZLW0_RAT	A0A8I5ZLW0	A0A8I5ZLW0_RAT	Xaf1	284	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	XIAP associated factor 1	0.9732	0.9989	1	2	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2686.2932	0.0	0.0	1995.0035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZLY4|A0A8I5ZLY4_RAT	A0A8I5ZLY4	A0A8I5ZLY4_RAT	Stk38	473	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Serine/threonine kinase 38	1.0	0.999	3	10	6	10	1	0	1	3	3	2	1	0	0	2	2	1	1	0	1	3	3	2	47226.96	18969.904	11278.235	49725.652	55417.57	34757.293	22363.293	18831.312	0.0	23645.18	24879.863	24728.582	
tr|A0A8I5ZLY7|A0A8I5ZLY7_RAT	A0A8I5ZLY7	A0A8I5ZLY7_RAT	Tapbp	479	Rattus norvegicus OX=10116	4:Protein predicted	TAP binding protein	1.0	0.999	7	43	43	43	6	11	10	6	4	6	6	11	10	6	4	6	6	11	10	6	4	6	215148.81	240055.44	220172.27	98801.0	64731.57	83817.75	56378.055	53935.44	54445.61	35599.066	30353.525	34119.094	
tr|A0A8I5ZM56|A0A8I5ZM56_RAT	A0A8I5ZM56	A0A8I5ZM56_RAT	Map7d1	849	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	MAP7 domain containing 1	1.0	0.999	3	15	15	15	2	4	3	3	1	2	2	4	3	3	1	2	2	4	3	3	1	2	33952.496	60662.273	35722.945	20108.883	6489.59	7526.089	20558.04	24488.303	21602.125	12449.269	0.0	0.0	
tr|A0A8I5ZM61|A0A8I5ZM61_RAT	A0A8I5ZM61	A0A8I5ZM61_RAT	RGD1308134	248	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Similar to RIKEN cDNA 1110020A23	0.9999	0.999	2	4	4	4	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	32533.082	30516.09	0.0	28876.4	31710.129	39962.555	0.0	17157.846	0.0	0.0	0.0	22444.03	
tr|A0A8I5ZM69|A0A8I5ZM69_RAT	A0A8I5ZM69	A0A8I5ZM69_RAT	Msl1	615	Rattus norvegicus OX=10116	4:Protein predicted	MSL complex subunit 1	0.9982	0.999	2	2	2	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0.0	0.0	0.0	13436.288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZM74|A0A8I5ZM74_RAT	A0A8I5ZM74	A0A8I5ZM74_RAT	Kdm6a	1400	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	[histone H3]-trimethyl-L-lysine(27) demethylase	0.9989	0.999	2	4	4	4	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0.0	0.0	0.0	5763.2256	2645.4546	6461.4897	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZM79|A0A8I5ZM79_RAT	A0A8I5ZM79	A0A8I5ZM79_RAT	Psmd7	326	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Proteasome 26S subunit, non-ATPase 7	1.0	0.999	12	81	81	81	12	16	15	13	13	12	12	16	15	13	13	12	12	16	15	13	13	12	434286.62	465947.0	359394.53	283512.97	248378.2	365046.16	98002.99	102310.87	94098.44	92124.77	85653.445	83566.19	
tr|A0A8I5ZM80|A0A8I5ZM80_RAT	A0A8I5ZM80	A0A8I5ZM80_RAT	Armh3	689	Rattus norvegicus OX=10116	4:Protein predicted	Armadillo-like helical domain containing 3	0.9512	0.998	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	26531.932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZM96|A0A8I5ZM96_RAT	A0A8I5ZM96	A0A8I5ZM96_RAT	Cbx1	193	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Chromobox 1	1.0	0.999	4	18	18	20	1	1	1	5	5	5	1	1	1	5	5	5	1	1	1	5	6	6	40960.223	48184.914	35211.184	117155.055	129986.84	144326.42	0.0	36776.297	0.0	55254.824	56016.277	62786.004	
tr|A0A8I5ZMG5|A0A8I5ZMG5_RAT	A0A8I5ZMG5	A0A8I5ZMG5_RAT	Cbx8	404	Rattus norvegicus OX=10116	4:Protein predicted	Chromobox 8	1.0	0.999	3	7	7	7	0	0	0	2	2	3	0	0	0	2	2	3	0	0	0	2	2	3	5867.2114	0.0	0.0	29844.658	22928.305	32737.898	0.0	0.0	0.0	17397.854	13264.086	16033.249	
tr|A0A8I5ZMG6|A0A8I5ZMG6_RAT	A0A8I5ZMG6	A0A8I5ZMG6_RAT	Ppp2r5e	467	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	1.0	0.999	11	37	35	37	7	6	6	5	6	7	6	6	6	4	6	7	7	6	6	5	6	7	151406.06	141999.17	111841.62	151844.92	99114.43	171966.22	38867.574	35176.555	44453.785	39671.05	41345.656	44776.76	
tr|A0A8I5ZMH4|A0A8I5ZMH4_RAT	A0A8I5ZMH4	A0A8I5ZMH4_RAT	Armcx4	2372	Rattus norvegicus OX=10116	3:Protein inferred from homology	Armadillo repeat containing, X-linked 4	0.9947	0.999	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZMK5|A0A8I5ZMK5_RAT	A0A8I5ZMK5	A0A8I5ZMK5_RAT	Arfgef3	2170	Rattus norvegicus OX=10116	4:Protein predicted	ARFGEF family member 3	1.0	0.999	8	29	29	29	7	8	3	3	4	4	7	8	3	3	4	4	7	8	3	3	4	4	64943.41	56725.97	40762.37	11400.376	23522.744	57507.11	17382.334	19435.129	20991.734	10714.688	12106.753	16129.3	
tr|A0A8I5ZMM2|A0A8I5ZMM2_RAT	A0A8I5ZMM2	A0A8I5ZMM2_RAT	Cad	2321	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	CAD protein	1.0	0.999	39	202	202	202	31	31	29	36	36	39	31	31	29	36	36	39	31	31	29	36	36	39	447748.94	528505.9	452004.6	655256.5	554246.5	672829.56	46930.316	45697.29	49142.59	56537.35	57609.766	58443.56	
tr|A0A8I5ZMN0|A0A8I5ZMN0_RAT	A0A8I5ZMN0	A0A8I5ZMN0_RAT	RGD1564148	438	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Similar to microfibrillar-associated protein 1	1.0	0.999	3	7	1	7	1	0	0	2	2	2	1	0	0	0	0	0	1	0	0	2	2	2	14263.5205	0.0	0.0	54586.906	9411.454	8429.21	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZMR4|A0A8I5ZMR4_RAT	A0A8I5ZMR4	A0A8I5ZMR4_RAT	Lsm7	141	Rattus norvegicus OX=10116	3:Protein inferred from homology	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	1.0	0.9973	3	12	12	12	3	2	1	2	2	2	3	2	1	2	2	2	3	2	1	2	2	2	46085.504	44451.977	8598.262	29220.592	26657.111	37524.75	20125.871	26501.586	0.0	0.0	0.0	31490.064	
tr|A0A8I5ZMR7|A0A8I5ZMR7_RAT	A0A8I5ZMR7	A0A8I5ZMR7_RAT	Vps13c	3718	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Vacuolar protein sorting 13 homolog C	1.0	0.999	35	134	134	134	16	20	16	27	28	27	16	20	16	27	28	27	16	20	16	27	28	27	297482.88	353777.22	200270.27	411592.06	339730.7	424176.22	28702.184	30584.035	30120.014	39733.797	35444.98	37513.535	
tr|A0A8I5ZMT2|A0A8I5ZMT2_RAT	A0A8I5ZMT2	A0A8I5ZMT2_RAT	Tead1	451	Rattus norvegicus OX=10116	4:Protein predicted	TEA domain transcription factor 1	1.0	0.999	5	11	6	11	0	0	1	1	3	6	0	0	1	0	2	3	0	0	1	1	3	6	0.0	5521.5474	13393.687	11886.332	40136.57	71442.06	0.0	0.0	0.0	0.0	18689.08	23655.729	
tr|A0A8I5ZMT9|A0A8I5ZMT9_RAT	A0A8I5ZMT9	A0A8I5ZMT9_RAT	Ppih	177	Rattus norvegicus OX=10116	3:Protein inferred from homology	Peptidyl-prolyl cis-trans isomerase	1.0	0.999	5	19	19	19	4	2	1	4	3	5	4	2	1	4	3	5	4	2	1	4	3	5	57747.598	51275.535	21696.178	72886.74	51392.555	77038.46	19386.506	20042.213	0.0	26692.73	24678.729	28038.97	
tr|A0A8I5ZMV1|A0A8I5ZMV1_RAT	A0A8I5ZMV1	A0A8I5ZMV1_RAT	RGD1561582	110	Rattus norvegicus OX=10116	4:Protein predicted	Similar to Fus1 protein	0.9555	0.9982	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	20008.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|D3Z8Q5|D3Z8Q5_RAT
tr|A0A8I5ZMW1|A0A8I5ZMW1_RAT	A0A8I5ZMW1	A0A8I5ZMW1_RAT	Dmxl2	3035	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Dmx-like 2	1.0	0.999	15	44	44	44	9	7	7	6	7	8	9	7	7	6	7	8	9	7	7	6	7	8	166714.58	141807.53	88163.94	115214.99	68568.87	83417.22	39067.297	37694.62	41362.605	34799.293	43244.027	39696.125	
tr|A0A8I5ZN24|A0A8I5ZN24_RAT	A0A8I5ZN24	A0A8I5ZN24_RAT	Dhrs7	338	Rattus norvegicus OX=10116	3:Protein inferred from homology	Dehydrogenase/reductase 7	1.0	0.999	6	35	32	35	9	7	7	3	4	5	8	6	6	3	4	5	9	7	7	3	4	5	129897.234	121213.445	110308.19	68197.9	68234.984	68328.62	44829.074	42807.785	42710.066	27846.822	30107.932	29999.99	
tr|A0A8I5ZN47|A0A8I5ZN47_RAT	A0A8I5ZN47	A0A8I5ZN47_RAT	Mtrex	1042	Rattus norvegicus OX=10116	4:Protein predicted	Mtr4 exosome RNA helicase	1.0	0.999	10	31	31	31	2	3	5	6	7	8	2	3	5	6	7	8	2	3	5	6	7	8	63785.676	44852.438	46651.82	147402.52	90191.86	142448.77	21404.01	18598.094	20258.375	29691.18	24273.184	25966.936	
tr|A0A8I5ZN85|A0A8I5ZN85_RAT	A0A8I5ZN85	A0A8I5ZN85_RAT	Jmjd1c	2526	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Jumonji domain containing 1C	0.9974	0.9989	2	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	8795.315	14773.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZN89|A0A8I5ZN89_RAT	A0A8I5ZN89	A0A8I5ZN89_RAT	Gcdh	438	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Glutaryl-CoA dehydrogenase	1.0	0.999	3	8	8	8	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	21412.967	25582.25	19166.842	19921.414	14922.164	14396.651	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZNC2|A0A8I5ZNC2_RAT	A0A8I5ZNC2	A0A8I5ZNC2_RAT	Tmed8	326	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Transmembrane p24 trafficking protein family member 8	0.9436	0.9977	1	4	4	4	0	0	0	3	0	1	0	0	0	3	0	1	0	0	0	3	0	1	0.0	0.0	0.0	5721.8394	0.0	10526.101	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZNE7|A0A8I5ZNE7_RAT	A0A8I5ZNE7	A0A8I5ZNE7_RAT	Psmd3	565	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Proteasome 26S subunit, non-ATPase 3	1.0	0.999	16	136	136	136	22	30	20	18	21	25	22	30	20	18	21	25	22	30	20	18	21	25	447925.84	483546.84	463456.28	367157.97	404062.88	460320.75	71458.73	68183.03	70348.98	60609.855	63555.6	66334.67	
tr|A0A8I5ZNF1|A0A8I5ZNF1_RAT	A0A8I5ZNF1	A0A8I5ZNF1_RAT	Copa	1227	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Coatomer subunit alpha	1.0	0.999	45	278	278	278	45	45	44	50	52	42	45	45	44	50	52	42	45	45	44	50	52	42	993627.75	996619.75	959094.4	1081158.4	982610.56	995429.56	84170.29	83834.25	84954.35	94204.51	92349.52	87966.78	
tr|A0A8I5ZNG4|A0A8I5ZNG4_RAT	A0A8I5ZNG4	A0A8I5ZNG4_RAT	Rictor	1733	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RPTOR independent companion of MTOR, complex 2	1.0	0.9989	3	6	6	6	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	20289.809	18929.203	7770.9224	6476.78	0.0	8839.136	10006.261	10613.443	0.0	6562.8745	0.0	0.0	
tr|A0A8I5ZNN3|A0A8I5ZNN3_RAT	A0A8I5ZNN3	A0A8I5ZNN3_RAT	Ruvbl2	456	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RuvB-like helicase	1.0	0.999	16	95	95	95	16	13	16	17	18	15	16	13	16	17	18	15	16	13	16	17	18	15	395523.47	359242.22	320221.75	440917.3	447129.9	421603.4	122446.44	112686.88	120274.87	155179.66	150492.83	159039.44	
tr|A0A8I5ZNR8|A0A8I5ZNR8_RAT	A0A8I5ZNR8	A0A8I5ZNR8_RAT	Dock4	1978	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Dedicator of cytokinesis 4	1.0	0.999	13	55	55	55	9	9	10	9	10	8	9	9	10	9	10	8	9	9	10	9	10	8	137048.67	187907.23	132035.25	180028.77	160116.89	161676.02	34968.992	35084.098	37144.57	36988.152	43929.55	39292.902	
tr|A0A8I5ZNS1|A0A8I5ZNS1_RAT	A0A8I5ZNS1	A0A8I5ZNS1_RAT	Atad2	1373	Rattus norvegicus OX=10116	3:Protein inferred from homology	ATPase family, AAA domain containing 2	1.0	0.999	6	12	11	12	0	0	0	3	4	5	0	0	0	2	4	5	0	0	0	3	4	5	24594.965	0.0	0.0	32754.795	18061.564	59270.535	10566.19	0.0	0.0	16753.541	20206.412	21600.393	
tr|A0A8I5ZNW6|A0A8I5ZNW6_RAT	A0A8I5ZNW6	A0A8I5ZNW6_RAT	Syne2	6900	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Spectrin repeat containing nuclear envelope protein 2	1.0	0.999	20	52	50	52	8	8	4	14	8	10	8	8	4	13	8	9	8	8	4	14	8	10	102460.84	146984.2	48571.293	199064.84	88775.59	222186.19	36572.17	32611.111	30232.318	29375.527	29534.492	31887.1	
tr|A0A8I5ZNY0|A0A8I5ZNY0_RAT	A0A8I5ZNY0	A0A8I5ZNY0_RAT	Avl9	649	Rattus norvegicus OX=10116	4:Protein predicted	AVL9 cell migration associated	0.9744	0.999	1	3	3	3	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	13523.882	9502.854	0.0	0.0	11627.204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZP60|A0A8I5ZP60_RAT	A0A8I5ZP60	A0A8I5ZP60_RAT	Snw1	536	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	SNW domain-containing protein 1	1.0	0.999	11	78	78	78	15	11	8	14	15	15	15	11	8	14	15	15	15	11	8	14	15	15	220732.33	255737.66	193074.02	283667.38	244589.0	306840.88	43010.992	45088.61	49754.38	58238.074	56841.734	55270.56	
tr|A0A8I5ZP70|A0A8I5ZP70_RAT	A0A8I5ZP70	A0A8I5ZP70_RAT	Tom1l2	528	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Target of myb1 like 2 membrane trafficking protein	1.0	0.999	3	9	9	9	2	1	1	0	3	2	2	1	1	0	3	2	2	1	1	0	3	2	24481.658	25585.594	34026.47	39427.883	32298.28	31734.947	0.0	17088.178	0.0	0.0	19973.521	29181.887	
tr|A0A8I5ZP83|A0A8I5ZP83_RAT	A0A8I5ZP83	A0A8I5ZP83_RAT	Chmp4b	224	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Charged multivesicular body protein 4B	1.0	0.999	11	92	8	92	18	19	15	13	14	13	1	2	2	1	1	1	18	19	15	13	14	13	554293.44	524472.3	552826.9	363555.06	321133.25	324297.06	119639.73	117913.984	120871.33	85117.69	81052.305	80213.48	
tr|A0A8I5ZP85|A0A8I5ZP85_RAT	A0A8I5ZP85	A0A8I5ZP85_RAT	Baz2a	1907	Rattus norvegicus OX=10116	3:Protein inferred from homology	Bromodomain adjacent to zinc finger domain, 2A	0.9978	0.999	2	4	4	4	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0.0	0.0	21104.531	10251.53	8122.789	6788.8984	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I5ZPB4|A0A8I5ZPB4_RAT	A0A8I5ZPB4	A0A8I5ZPB4_RAT	Fam98b-ps1	430	Rattus norvegicus OX=10116	3:Protein inferred from homology	Protein FAM98B	1.0	0.999	6	30	0	30	4	5	4	7	6	4	0	0	0	0	0	0	4	5	4	7	6	4	42749.516	94392.98	41378.816	114941.25	108814.35	134650.2	22233.66	22959.043	20273.658	48837.95	43414.824	42097.168	tr|D4AE02|D4AE02_RAT
tr|A0A8I5ZPF8|A0A8I5ZPF8_RAT	A0A8I5ZPF8	A0A8I5ZPF8_RAT	Usp25	1125	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	ubiquitinyl hydrolase 1	0.9747	0.999	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	7016.577	0.0	6896.542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
