Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
sp|Q13685|AAMP_HUMAN	Q13685	AAMP_HUMAN	AAMP	434	Homo sapiens OX=9606	1:Experimental evidence at protein level	Angio-associated migratory cell protein	3.21E+07	5.70E+07	4.72E+07	0	0	0	0	0	0	4.37E+07	4.92E+07	4.63E+07	2.50E+07	0	0	0	0	0	5.37E+07	0	3.48E+07	0	5.20E+07	4.38E+07	0	7.88E+07	0	4.63E+07	0	0	0	0	0	2.15E+07	0	0	
sp|Q13724|MOGS_HUMAN	Q13724	MOGS_HUMAN	MOGS	837	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mannosyl-oligosaccharide glucosidase	0	4.08E+07	6.52E+07	7.69E+07	8.61E+07	6.61E+07	9.29E+07	3.21E+07	9.23E+07	4.56E+07	4.91E+07	4.66E+07	1.21E+08	1.01E+08	1.25E+08	1.11E+08	3.61E+07	9.30E+07	3.93E+07	0	6.33E+07	4.98E+07	4.58E+07	5.52E+07	6.45E+07	1.29E+08	6.58E+07	4.48E+07	7.82E+07	5.78E+07	9.25E+07	9.40E+07	9.60E+07	8.33E+07	6.59E+07	3.49E+07	
sp|Q13740|CD166_HUMAN	Q13740	CD166_HUMAN	ALCAM	583	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD166 antigen	3.64E+08	3.41E+08	1.99E+08	3.38E+08	2.97E+08	3.74E+08	4.57E+08	7.19E+08	4.25E+08	3.68E+08	3.43E+08	3.12E+08	4.29E+08	4.27E+08	4.69E+08	6.01E+08	6.40E+08	5.40E+08	2.15E+08	2.30E+08	1.79E+08	2.18E+08	2.11E+08	1.99E+08	1.93E+08	1.03E+08	3.43E+08	3.16E+08	2.80E+08	1.80E+08	2.10E+08	2.46E+08	2.69E+08	2.31E+08	3.20E+08	3.97E+08	
sp|Q13751|LAMB3_HUMAN	Q13751	LAMB3_HUMAN	LAMB3	1172	Homo sapiens OX=9606	1:Experimental evidence at protein level	Laminin subunit beta-3	5.89E+07	5.65E+07	3.96E+07	0	0	0	0	0	0	3.90E+07	3.58E+07	4.68E+07	0	0	0	0	0	0	7.08E+07	7.87E+07	6.76E+07	6.95E+07	6.90E+07	0	0	0	0	0	0	7.93E+07	0	0	0	0	0	0	
sp|Q13753|LAMC2_HUMAN	Q13753	LAMC2_HUMAN	LAMC2	1193	Homo sapiens OX=9606	1:Experimental evidence at protein level	Laminin subunit gamma-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13761|RUNX3_HUMAN	Q13761	RUNX3_HUMAN	RUNX3	415	Homo sapiens OX=9606	1:Experimental evidence at protein level	Runt-related transcription factor 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13769|THOC5_HUMAN	Q13769	THOC5_HUMAN	THOC5	683	Homo sapiens OX=9606	1:Experimental evidence at protein level	THO complex subunit 5 homolog	0	0	3.59E+07	4.23E+07	4.18E+07	3.79E+07	4.42E+07	0	8.71E+07	0	0	0	4.36E+07	4.94E+07	5.19E+07	3.02E+07	0	0	0	0	0	0	0	2.70E+07	1.20E+07	0	0	0	0	0	6.65E+07	0	3.98E+07	0	3.73E+07	0	
sp|Q13772|NCOA4_HUMAN	Q13772	NCOA4_HUMAN	NCOA4	614	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear receptor coactivator 4	0	0	0	0	0	0	0	0	0	3.82E+07	3.65E+07	4.21E+07	0	0	0	0	0	0	2.81E+07	3.53E+07	4.55E+07	5.08E+07	3.21E+07	0	0	0	0	0	0	4.74E+07	0	0	0	0	0	0	
sp|Q13795|ARFRP_HUMAN	Q13795	ARFRP_HUMAN	ARFRP1	201	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor-related protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13796|SHRM2_HUMAN	Q13796	SHRM2_HUMAN	SHROOM2	1616	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein Shroom2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13813|SPTN1_HUMAN	Q13813	SPTN1_HUMAN	SPTAN1	2472	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Spectrin alpha chain, non-erythrocytic 1"	2.83E+08	3.71E+08	4.92E+08	3.55E+08	3.57E+08	3.46E+08	4.51E+08	3.82E+08	3.68E+08	3.48E+08	3.87E+08	3.08E+08	5.58E+08	4.87E+08	5.13E+08	5.61E+08	4.44E+08	5.68E+08	5.33E+08	3.82E+08	3.85E+08	4.88E+08	5.23E+08	2.57E+08	2.51E+08	2.54E+08	3.04E+08	2.93E+08	2.77E+08	5.17E+08	3.41E+08	3.51E+08	3.65E+08	3.55E+08	3.15E+08	3.42E+08	
sp|Q13823|NOG2_HUMAN	Q13823	NOG2_HUMAN	GNL2	731	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar GTP-binding protein 2	0	0	6.23E+07	1.16E+08	1.26E+08	0	9.88E+07	0	1.05E+08	0	0	4.84E+07	2.71E+07	0	5.91E+07	5.09E+07	0	4.00E+07	0	4.32E+07	4.00E+07	5.06E+07	0	0	0	1.60E+08	4.73E+07	3.98E+07	9.79E+07	4.12E+07	1.21E+08	9.59E+07	5.10E+07	9.45E+07	9.66E+07	1.50E+07	
sp|Q13825|AUHM_HUMAN	Q13825	AUHM_HUMAN	AUH	339	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Methylglutaconyl-CoA hydratase, mitochondrial"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13838|DX39B_HUMAN	Q13838	DX39B_HUMAN	DDX39B	428	Homo sapiens OX=9606	1:Experimental evidence at protein level	Spliceosome RNA helicase DDX39B	2.28E+08	5.06E+08	8.50E+08	6.18E+08	6.18E+08	6.72E+08	6.60E+08	4.34E+08	6.21E+08	4.05E+08	6.10E+08	3.26E+08	1.02E+09	9.54E+08	1.01E+09	6.26E+08	2.18E+08	7.84E+08	5.42E+08	3.12E+08	6.02E+08	5.40E+08	5.48E+08	7.68E+08	8.41E+08	7.36E+08	6.37E+08	5.64E+08	4.70E+08	6.32E+08	6.86E+08	8.26E+08	8.55E+08	7.65E+08	5.90E+08	3.85E+08	
sp|Q13867|BLMH_HUMAN	Q13867	BLMH_HUMAN	BLMH	455	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bleomycin hydrolase	1.48E+08	2.23E+08	2.91E+08	8.84E+07	6.93E+07	0	0	8.45E+07	0	1.98E+08	2.32E+08	1.85E+08	6.94E+07	0	6.41E+07	6.20E+07	4.15E+07	7.91E+07	1.93E+08	1.31E+08	2.29E+08	2.53E+08	2.10E+08	0	6.71E+07	6.77E+07	7.02E+07	0	1.02E+08	2.13E+08	0	0	7.04E+07	7.31E+07	7.59E+07	0	
sp|Q13868|EXOS2_HUMAN	Q13868	EXOS2_HUMAN	EXOSC2	293	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome complex component RRP4	0	0	4.48E+07	5.31E+07	0	0	0	0	0	2.34E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32E+07	4.58E+07	4.24E+07	0	0	0	0	0	0	0	4.13E+07	0	0	
sp|Q13873|BMPR2_HUMAN	Q13873	BMPR2_HUMAN	BMPR2	1038	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bone morphogenetic protein receptor type-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13884|SNTB1_HUMAN	Q13884	SNTB1_HUMAN	SNTB1	538	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-1-syntrophin	0	0	0	0	3.31E+07	2.90E+07	3.13E+07	0	0	0	0	0	2.36E+07	0	0	3.00E+07	0	0	0	0	0	0	0	0	3.79E+07	3.58E+07	0	0	3.85E+07	0	6.03E+07	0	0	3.50E+07	4.27E+07	0	
sp|Q13885|TBB2A_HUMAN	Q13885	TBB2A_HUMAN	TUBB2A	445	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin beta-2A chain	2.39E+08	2.00E+08	1.47E+08	5.30E+07	3.68E+07	4.90E+07	0	6.00E+07	0	2.08E+08	2.29E+08	2.20E+08	0	5.70E+07	5.10E+07	6.12E+07	6.39E+07	4.40E+07	2.37E+08	2.51E+08	2.28E+08	2.62E+08	2.21E+08	4.09E+07	4.52E+07	0	3.58E+07	0	0	1.79E+08	0	0	0	0	0	0	
sp|Q13887|KLF5_HUMAN	Q13887	KLF5_HUMAN	KLF5	457	Homo sapiens OX=9606	1:Experimental evidence at protein level	Krueppel-like factor 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13888|TF2H2_HUMAN	Q13888	TF2H2_HUMAN	GTF2H2	395	Homo sapiens OX=9606	1:Experimental evidence at protein level	General transcription factor IIH subunit 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|Q6P1K8|T2H2L_HUMAN
sp|Q13895|BYST_HUMAN	Q13895	BYST_HUMAN	BYSL	437	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bystin	5.71E+07	3.46E+07	1.18E+08	1.24E+08	1.08E+08	1.09E+08	1.42E+08	3.32E+07	1.05E+08	5.18E+07	4.95E+07	6.56E+07	9.99E+07	1.24E+08	8.42E+07	5.76E+07	0	5.34E+07	5.95E+07	7.69E+07	9.08E+07	5.95E+07	6.01E+07	1.12E+08	1.12E+08	7.57E+07	5.80E+07	6.00E+07	8.95E+07	6.06E+07	7.94E+07	9.15E+07	1.03E+08	9.45E+07	1.23E+08	0	
sp|Q13901|C1D_HUMAN	Q13901	C1D_HUMAN	C1D	141	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear nucleic acid-binding protein C1D	0	3.94E+07	0	0	0	0	0	0	0	5.31E+07	0	6.15E+07	0	0	0	0	0	0	0	0	0	0	4.82E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q13907|IDI1_HUMAN	Q13907	IDI1_HUMAN	IDI1	227	Homo sapiens OX=9606	1:Experimental evidence at protein level	Isopentenyl-diphosphate Delta-isomerase 1	1.57E+08	1.68E+08	1.23E+08	1.57E+08	1.24E+08	1.22E+08	1.39E+08	1.89E+08	8.98E+07	3.27E+08	3.69E+08	2.60E+08	2.00E+08	2.30E+08	1.72E+08	2.25E+08	2.74E+08	2.23E+08	1.27E+08	8.74E+07	1.30E+08	1.90E+08	1.19E+08	1.02E+08	1.02E+08	0	1.43E+08	1.58E+08	1.16E+08	2.51E+08	1.07E+08	1.88E+08	1.89E+08	1.84E+08	1.55E+08	3.16E+08	
sp|Q13938|CAYP1_HUMAN	Q13938	CAYP1_HUMAN	CAPS	275	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcyphosin	0	0	0	4.82E+07	4.52E+07	6.63E+07	0	1.07E+08	0	0	0	0	4.40E+07	4.38E+07	4.57E+07	8.43E+07	1.05E+08	6.48E+07	0	0	0	0	0	0	2.22E+07	0	0	0	0	0	0	0	0	0	0	4.50E+07	
sp|Q13948|CASP_HUMAN	Q13948	CASP_HUMAN	CUX1	678	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein CASP	0	2.43E+07	2.39E+07	2.63E+07	0	3.14E+07	0	5.58E+07	4.72E+07	2.51E+07	2.29E+07	0	2.90E+07	3.76E+07	0	5.39E+07	6.41E+07	3.64E+07	5.08E+07	5.41E+07	5.82E+07	4.51E+07	4.27E+07	4.15E+07	0	0	6.12E+07	4.49E+07	4.73E+07	3.84E+07	4.25E+07	3.32E+07	3.94E+07	3.39E+07	0	6.04E+07	
sp|Q13950|RUNX2_HUMAN	Q13950	RUNX2_HUMAN	RUNX2	521	Homo sapiens OX=9606	1:Experimental evidence at protein level	Runt-related transcription factor 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86E+07	3.53E+07	0	0	2.92E+07	0	0	0	0	0	0	3.54E+07	0	0	0	0	0	0	
sp|Q13951|PEBB_HUMAN	Q13951	PEBB_HUMAN	CBFB	182	Homo sapiens OX=9606	1:Experimental evidence at protein level	Core-binding factor subunit beta	1.74E+08	1.46E+08	1.13E+08	1.05E+08	1.08E+08	1.43E+08	1.10E+08	1.96E+08	1.29E+08	1.46E+08	1.61E+08	1.42E+08	1.17E+08	1.08E+08	9.50E+07	1.20E+08	1.50E+08	9.85E+07	1.83E+08	1.67E+08	9.81E+07	1.44E+08	1.65E+08	1.03E+08	1.11E+08	8.33E+07	1.53E+08	1.48E+08	1.58E+08	1.33E+08	9.52E+07	1.03E+08	1.13E+08	1.12E+08	1.21E+08	1.71E+08	
sp|Q13952|NFYC_HUMAN	Q13952	NFYC_HUMAN	NFYC	458	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear transcription factor Y subunit gamma	0	0	0	0	4.44E+07	0	0	1.11E+08	0	7.03E+07	7.18E+07	8.20E+07	0	3.99E+07	0	7.43E+07	9.22E+07	6.08E+07	0	0	0	0	0	9.00E+07	8.42E+07	0	0	1.31E+08	1.04E+08	0	8.00E+07	0	7.76E+07	0	1.18E+08	1.37E+08	
sp|Q14004|CDK13_HUMAN	Q14004	CDK13_HUMAN	CDK13	1512	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclin-dependent kinase 13	0	0	0	2.67E+07	2.47E+07	0	0	0	4.15E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18E+07	0	0	0	0	0	
sp|Q14008|CKAP5_HUMAN	Q14008	CKAP5_HUMAN	CKAP5	2032	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytoskeleton-associated protein 5	5.91E+07	4.90E+07	1.31E+08	1.59E+08	1.47E+08	1.51E+08	1.66E+08	5.39E+07	1.70E+08	7.38E+07	8.12E+07	9.70E+07	1.45E+08	1.51E+08	1.55E+08	1.17E+08	4.78E+07	9.47E+07	9.73E+07	1.16E+08	1.56E+08	1.27E+08	9.04E+07	1.19E+08	1.35E+08	1.40E+08	8.18E+07	7.21E+07	1.30E+08	1.37E+08	1.40E+08	1.32E+08	1.34E+08	1.30E+08	1.26E+08	3.73E+07	
sp|Q14011|CIRBP_HUMAN	Q14011	CIRBP_HUMAN	CIRBP	172	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cold-inducible RNA-binding protein	2.43E+08	9.42E+07	6.68E+07	1.10E+08	1.12E+08	2.69E+08	3.19E+08	2.68E+08	4.34E+08	6.68E+07	7.22E+07	1.59E+08	1.02E+08	2.14E+08	1.17E+08	2.25E+08	1.53E+08	1.98E+08	1.10E+08	2.54E+08	1.57E+08	1.52E+08	1.06E+08	2.29E+08	1.74E+08	2.43E+08	2.88E+08	3.24E+08	4.56E+08	1.18E+08	5.05E+08	2.02E+08	2.10E+08	1.66E+08	5.05E+08	1.88E+08	
sp|Q14012|KCC1A_HUMAN	Q14012	KCC1A_HUMAN	CAMK1	370	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium/calmodulin-dependent protein kinase type 1	0	2.09E+07	0	0	0	0	0	0	0	0	2.11E+07	3.55E+07	0	0	0	0	0	0	2.47E+07	0	0	2.33E+07	2.69E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q14019|COTL1_HUMAN	Q14019	COTL1_HUMAN	COTL1	142	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coactosin-like protein	5.81E+08	5.87E+08	6.76E+08	4.02E+08	4.61E+08	4.52E+08	3.42E+08	5.11E+08	3.21E+08	7.07E+08	7.94E+08	5.73E+08	4.59E+08	5.58E+08	5.03E+08	5.22E+08	6.21E+08	5.56E+08	9.24E+08	7.54E+08	4.54E+08	6.14E+08	8.89E+08	4.96E+08	4.46E+08	4.58E+08	5.49E+08	5.71E+08	5.22E+08	9.58E+08	4.48E+08	5.12E+08	6.10E+08	5.96E+08	4.88E+08	8.40E+08	
sp|Q14061|COX17_HUMAN	Q14061	COX17_HUMAN	COX17	63	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase copper chaperone	0	0	0	0	0	0	0	0	0	1.14E+08	1.03E+08	0	1.29E+08	1.26E+08	1.31E+08	0	1.90E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08E+08	
sp|Q14103|HNRPD_HUMAN	Q14103	HNRPD_HUMAN	HNRNPD	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D0	2.29E+09	2.51E+09	2.51E+09	1.85E+09	1.70E+09	2.10E+09	1.75E+09	2.03E+09	1.75E+09	2.82E+09	2.91E+09	2.90E+09	2.02E+09	2.24E+09	2.32E+09	2.04E+09	1.73E+09	1.96E+09	2.68E+09	2.84E+09	2.23E+09	2.02E+09	2.73E+09	1.68E+09	1.51E+09	1.20E+09	1.83E+09	1.81E+09	1.86E+09	2.23E+09	1.70E+09	1.89E+09	2.18E+09	1.83E+09	1.90E+09	1.97E+09	
sp|Q14108|SCRB2_HUMAN	Q14108	SCRB2_HUMAN	SCARB2	478	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosome membrane protein 2	1.03E+08	1.19E+08	1.08E+08	5.69E+07	0	5.25E+07	5.39E+07	8.12E+07	6.02E+07	1.46E+08	1.31E+08	1.43E+08	9.55E+07	9.76E+07	9.03E+07	1.33E+08	1.42E+08	8.18E+07	1.86E+08	1.33E+08	1.43E+08	1.81E+08	1.87E+08	0	0	0	7.45E+07	7.64E+07	4.92E+07	1.95E+08	6.38E+07	6.59E+07	6.71E+07	6.58E+07	7.01E+07	1.69E+08	
sp|Q14114|LRP8_HUMAN	Q14114	LRP8_HUMAN	LRP8	963	Homo sapiens OX=9606	1:Experimental evidence at protein level	Low-density lipoprotein receptor-related protein 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q14116|IL18_HUMAN	Q14116	IL18_HUMAN	IL18	193	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interleukin-18	0	0	0	1.30E+08	1.39E+08	1.39E+08	1.16E+08	1.48E+08	8.94E+07	0	0	4.19E+07	1.71E+08	1.42E+08	1.22E+08	1.68E+08	2.11E+08	1.54E+08	3.76E+07	5.99E+07	0	0	0	1.53E+08	1.64E+08	1.08E+08	1.65E+08	1.83E+08	1.38E+08	3.88E+07	1.46E+08	1.55E+08	1.57E+08	1.38E+08	1.37E+08	2.18E+08	
sp|Q14118|DAG1_HUMAN	Q14118	DAG1_HUMAN	DAG1	895	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dystroglycan 1	1.47E+08	1.52E+08	1.08E+08	6.46E+07	9.97E+07	8.59E+07	8.98E+07	1.32E+08	8.29E+07	2.25E+08	1.74E+08	1.66E+08	1.25E+08	1.16E+08	1.12E+08	1.26E+08	1.43E+08	9.66E+07	2.37E+08	1.84E+08	1.69E+08	1.98E+08	2.18E+08	7.99E+07	8.80E+07	3.98E+07	1.07E+08	1.06E+08	9.38E+07	2.31E+08	8.45E+07	1.03E+08	9.59E+07	8.19E+07	1.09E+08	1.74E+08	
sp|Q14119|VEZF1_HUMAN	Q14119	VEZF1_HUMAN	VEZF1	521	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vascular endothelial zinc finger 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q14126|DSG2_HUMAN	Q14126	DSG2_HUMAN	DSG2	1118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Desmoglein-2	2.42E+08	1.96E+08	1.46E+08	1.06E+08	1.09E+08	1.37E+08	1.70E+08	1.61E+08	1.52E+08	1.81E+08	1.73E+08	1.98E+08	1.51E+08	1.40E+08	1.56E+08	1.64E+08	1.49E+08	1.45E+08	2.79E+08	3.08E+08	2.68E+08	2.97E+08	2.63E+08	1.06E+08	1.16E+08	1.08E+08	1.42E+08	1.27E+08	1.52E+08	2.19E+08	1.72E+08	1.29E+08	1.08E+08	9.98E+07	1.85E+08	1.47E+08	
sp|Q14134|TRI29_HUMAN	Q14134	TRI29_HUMAN	TRIM29	588	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tripartite motif-containing protein 29	0	0	0	2.34E+08	2.56E+08	3.24E+08	3.29E+08	5.05E+08	3.50E+08	0	0	0	2.53E+08	2.43E+08	2.35E+08	3.20E+08	3.62E+08	3.14E+08	0	0	0	0	0	2.35E+08	2.18E+08	1.43E+08	3.15E+08	3.25E+08	3.12E+08	0	1.82E+08	1.76E+08	1.87E+08	1.80E+08	2.28E+08	2.49E+08	
sp|Q14135|VGLL4_HUMAN	Q14135	VGLL4_HUMAN	VGLL4	290	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription cofactor vestigial-like protein 4	0	0	0	0	0	0	0	3.05E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49E+07	
sp|Q14137|BOP1_HUMAN	Q14137	BOP1_HUMAN	BOP1	746	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosome biogenesis protein BOP1	6.97E+07	6.35E+07	1.26E+08	6.96E+07	6.23E+07	5.75E+07	6.95E+07	3.67E+07	7.79E+07	7.71E+07	6.65E+07	8.94E+07	4.53E+07	3.15E+07	5.25E+07	4.77E+07	0	3.77E+07	7.61E+07	6.70E+07	1.04E+08	5.88E+07	6.62E+07	4.82E+07	4.26E+07	7.12E+07	3.87E+07	5.40E+07	6.60E+07	9.95E+07	7.03E+07	5.82E+07	5.05E+07	0	7.25E+07	0	
sp|Q14139|UBE4A_HUMAN	Q14139	UBE4A_HUMAN	UBE4A	1066	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin conjugation factor E4 A	0	0	2.76E+07	5.36E+07	5.78E+07	5.98E+07	6.79E+07	5.36E+07	7.48E+07	0	0	0	4.42E+07	3.46E+07	5.69E+07	6.98E+07	4.26E+07	7.33E+07	0	0	0	0	0	0	0	9.79E+07	7.00E+07	0	7.12E+07	2.52E+07	9.04E+07	7.03E+07	6.15E+07	6.81E+07	8.03E+07	5.27E+07	
sp|Q14141|SEPT6_HUMAN	Q14141	SEPT6_HUMAN	SEPTIN6	434	Homo sapiens OX=9606	1:Experimental evidence at protein level	Septin-6	1.55E+08	1.82E+08	1.45E+08	2.67E+08	2.44E+08	3.10E+08	2.53E+08	4.35E+08	2.83E+08	0	1.96E+08	1.44E+08	2.56E+08	2.51E+08	2.51E+08	2.86E+08	2.68E+08	3.04E+08	0	9.88E+07	1.61E+08	1.20E+08	1.65E+08	1.59E+08	1.42E+08	1.01E+08	1.62E+08	1.61E+08	1.74E+08	2.32E+08	2.13E+08	1.25E+08	1.33E+08	1.29E+08	1.21E+08	1.89E+08	
sp|Q14142|TRI14_HUMAN	Q14142	TRI14_HUMAN	TRIM14	442	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tripartite motif-containing protein 14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q14145|KEAP1_HUMAN	Q14145	KEAP1_HUMAN	KEAP1	624	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kelch-like ECH-associated protein 1	0	0	2.98E+07	8.68E+07	6.95E+07	0	0	0	5.81E+07	0	0	0	7.32E+07	6.51E+07	9.72E+07	4.19E+07	0	5.00E+07	3.68E+07	0	4.08E+07	5.67E+07	3.84E+07	6.14E+07	6.30E+07	8.63E+07	0	0	0	7.12E+07	0	6.47E+07	6.45E+07	7.90E+07	0	0	
sp|Q14146|URB2_HUMAN	Q14146	URB2_HUMAN	URB2	1524	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unhealthy ribosome biogenesis protein 2 homolog	0	0	0	0	2.51E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17E+07	0	0	0	0	0	0	0	0	0	0	
sp|Q14149|MORC3_HUMAN	Q14149	MORC3_HUMAN	MORC3	939	Homo sapiens OX=9606	1:Experimental evidence at protein level	MORC family CW-type zinc finger protein 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q14151|SAFB2_HUMAN	Q14151	SAFB2_HUMAN	SAFB2	953	Homo sapiens OX=9606	1:Experimental evidence at protein level	Scaffold attachment factor B2	4.17E+07	0	1.04E+08	6.40E+07	7.91E+07	1.02E+08	1.10E+08	0	7.94E+07	0	3.06E+07	8.27E+07	6.29E+07	7.38E+07	5.61E+07	5.58E+07	0	6.50E+07	3.42E+07	9.50E+07	1.07E+08	6.21E+07	0	7.46E+07	6.34E+07	7.49E+07	3.89E+07	5.03E+07	9.79E+07	5.23E+07	1.17E+08	6.77E+07	7.65E+07	6.87E+07	1.03E+08	0	
sp|Q14152|EIF3A_HUMAN	Q14152	EIF3A_HUMAN	EIF3A	1382	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit A	1.70E+08	2.27E+08	5.50E+08	4.15E+08	4.74E+08	4.25E+08	4.54E+08	1.59E+08	4.52E+08	3.03E+08	3.32E+08	4.07E+08	4.27E+08	4.24E+08	4.12E+08	3.07E+08	8.22E+07	3.36E+08	3.14E+08	4.20E+08	4.26E+08	3.32E+08	2.94E+08	3.51E+08	3.48E+08	4.28E+08	2.13E+08	2.06E+08	3.73E+08	4.18E+08	5.49E+08	4.26E+08	4.46E+08	4.27E+08	5.26E+08	1.41E+08	
