Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
P17074	F1LYF3;P17074;D3ZGN8	RS19_RAT	Rps19	Small ribosomal subunit protein eS19	2152.43		2292.68	2829.14	2045.8	3204.37	4290.46
P17077	A0A0G2JXD0;P17077	RL9_RAT	Rpl9	Large ribosomal subunit protein uL6	1781.18		1304.06	1976.29		1549.56	1062.31
P17078	F1M6G3;P17078;A0A0G2K9Q4;D3ZN79	RL35_RAT	Rpl35	Large ribosomal subunit protein uL29							724.646
P17136;P63164	P63164;P17136;A0A8I6A9Y5;A0A8I5XW32;A0A8I5ZU06	RSMB_RAT;RSMN_RAT	Snrpb;Snrpn	Small nuclear ribonucleoprotein-associated protein B			880.363			350.209	1405.18
P17164	P17164	FUCO_RAT	Fuca1	Tissue alpha-L-fucosidase	12199.1	2544.83	6548.67	3259.02	5413.07	6133.04	6387.03
P17220	P17220	PSA2_RAT	Psma2	Proteasome subunit alpha type-2	1001.49		869.983	671.964	600.604	1345.7	673.401
P17246	P17246	TGFB1_RAT	Tgfb1	Transforming growth factor beta-1 proprotein	843.745				827.736		498.299
P17702	P17702;D3ZEI0	RL28_RAT	Rpl28	Large ribosomal subunit protein eL28	1603.23		654.251			2118.21	3320.29
P18163	P18163	ACSL1_RAT	Acsl1	Long-chain-fatty-acid--CoA ligase 1			334.129				71.0069
P18266	P18266	GSK3B_RAT	Gsk3b	Glycogen synthase kinase-3 beta	564.055			175.708		611.61	549.469
P18297	P18297	SPRE_RAT	Spr	Sepiapterin reductase	2254.58		1870.66	1369.86		1727.05	787.865
P18298	P18298;A0A8I6G8F2	METK2_RAT	Mat2a	S-adenosylmethionine synthase isoform type-2	488.098		917.908	1392.19		1151.32	543.861
P18395	P18395	CSDE1_RAT	Csde1	Cold shock domain-containing protein E1	740.841					373.017	417.363
P18418	P18418	CALR_RAT	Calr	Calreticulin	1685.19		2980.15		2058.16	2381.93	3233.57
P18420	P18420	PSA1_RAT	Psma1	Proteasome subunit alpha type-1	1564.18		1795.63	1200.35	1334.58	2034.76	1918.67
P18421	P18421	PSB1_RAT	Psmb1	Proteasome subunit beta type-1	579.551		678.546			544.796	377.338
P18422	P18422	PSA3_RAT	Psma3	Proteasome subunit alpha type-3	519.479		768.523	668.251		1003.64	602.8
P18445	D3ZF07;F1LVX4;D4AAY6;P18445	RL27A_RAT	Rpl27a	Large ribosomal subunit protein uL15	996		245.169	515.965		424.185	559.402
P18484	A0A8I6A4J2;P18484	AP2A2_RAT	Ap2a2	AP-2 complex subunit alpha-2							126.18
P18614	P18614	ITA1_RAT	Itga1	Integrin alpha-1						355.102	260.639
P18645	P18645	GALE_RAT	Gale	UDP-glucose 4-epimerase	950.918		674.173			950.319	537.35
P19024	P19024	KCNA5_RAT	Kcna5	Potassium voltage-gated channel subfamily A member 5				301.759	1189.68	871.917	1106.85
P19132	P19132	FRIH_RAT	Fth1	Ferritin heavy chain							148.915
P19332	P19332	TAU_RAT	Mapt	Microtubule-associated protein tau	1139.03		531.765	761.897		582.809	1101.6
P19527	P19527	NFL_RAT	Nefl	Neurofilament light polypeptide	12247.5	3122.3	2534.43		25155.1	889.797	17544.7
P19629	P19629	LDHC_RAT	Ldhc	L-lactate dehydrogenase C chain			416.092				362.872
P19804	P19804	NDKB_RAT	Nme2	Nucleoside diphosphate kinase B							164.416
P19836	P19836	PCY1A_RAT	Pcyt1a	Choline-phosphate cytidylyltransferase A							83.5938
P19944	P19944	RLA1_RAT	Rplp1	Large ribosomal subunit protein P1						405.532	501.127
P19945	D3ZJT4;P19945	RLA0_RAT	Rplp0	Large ribosomal subunit protein uL10	1164.77		1004.57	398.907		408.613	282.914
P20070	P20070	NB5R3_RAT	Cyb5r3	NADH-cytochrome b5 reductase 3			351.463		331.521		108.148
P20156	P20156	VGF_RAT	Vgf	Neurosecretory protein VGF	30109.5	2479.29	3339.57	24633	31591.9	3464.35	42878.5
P20280	D3ZZH9;P20280;D3ZQ96;A0A8I6AWN1;D3ZPN7;A0A8I5ZVN3;F1LWH4;M0R5R7;D4A870;D3ZLH3;D3ZPH0;A0A8I5Y0P1;D4A7B4;D3Z9G3	RL21_RAT	Rpl21	Large ribosomal subunit protein eL21	1973.76		1236.4	1122.55		1240.88	2808.11
P20611	P20611	PPAL_RAT	Acp2	Lysosomal acid phosphatase			461.403				1259.04
P20650	P20650;P35815	PPM1A_RAT	Ppm1a	Protein phosphatase 1A	998.406		373.711	830.188		682.447	539.099
P20673	P20673	ARLY_RAT	Asl	Argininosuccinate lyase			474.188				277.651
P20812	P20812	CP2A3_RAT	Cyp2a3	Cytochrome P450 2A3							227.879
P20930	P20930	FILA_HUMAN	FLG	Filaggrin	3006.05	6442.08	2828.39	4421.14	3756.16	2193.62	388.031
P21263	P21263	NEST_RAT	Nes	Nestin	904.691						356.178
P21272	P21272	CEBPB_RAT	Cebpb	CCAAT/enhancer-binding protein beta	1228.9		1061.97		1430.08	492.584	1089.68
P21396	P21396	AOFA_RAT	Maoa	Amine oxidase [flavin-containing] A				489.879			153.44
P21531	P21531	RL3_RAT	Rpl3	Large ribosomal subunit protein uL3	1771.83		596.628	1968.01	431.735	1292.07	1986.32
P21533	A0A0G2KBA1;P21533	RL6_RAT	Rpl6	Large ribosomal subunit protein eL6	3562.14	719.226	3360.88	3300.02	613.524	4514.81	5310.08
P21575;P39052	P39052;P21575;Q08877	DYN1_RAT;DYN2_RAT	Dnm1;Dnm2	Dynamin-1			1094.57	119.89		1341.84	579.948
P21670	P21670	PSA4_RAT	Psma4	Proteasome subunit alpha type-4	3026.85		1622.14	971.944		2230.93	1265.7
P21708	P21708	MK03_RAT	Mapk3	Mitogen-activated protein kinase 3	1107.26		1048.4	1082.21		900.119	1049.69
P21807	P21807	PERI_RAT	Prph	Peripherin	78475.5	6861.73	18087.8	4671.97	83585.8	22403.5	75415
P21818	P21818	STMN2_RAT	Stmn2	Stathmin-2	432.868				255.04		1147.11
P22062	P22062	PIMT_RAT	Pcmt1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	1267.22					1780.56	823.373
P22288	P22288	GCH1_RAT	Gch1	GTP cyclohydrolase 1						665.718	82.7424
P22509	P22509	FBRL_RAT	Fbl	rRNA 2'-O-methyltransferase fibrillarin							178.672
P22734	P22734	COMT_RAT	Comt	Catechol O-methyltransferase			1282.7			2584.34	839.094
P23358	A0A8I6A1H0;P23358;D3ZJE2;D4A8N3	RL12_RAT	Rpl12	Large ribosomal subunit protein uL11	2140.48		2683.78	2954.75		2669.34	8846.13
P23514	P23514	COPB_RAT	Copb1	Coatomer subunit beta						941.609	
P23565	P23565	AINX_RAT	Ina	Alpha-internexin	7535.12		2046.76		6236.16	2275.74	6202.56
P23640;Q99P74	P23640;Q99P74	RB27A_RAT;RB27B_RAT	Rab27a;Rab27b	Ras-related protein Rab-27A							254.159
P24049	D3Z9G9;P24049	RL17_RAT	Rpl17	Large ribosomal subunit protein uL22	1271.3		288.037	332.951		1033.34	1199.7
P24050	P24050	RS5_RAT	Rps5	Small ribosomal subunit protein uS7	1741.31		1287.41	1712.49		475.693	2138.11
P24051;Q71TY3	M0RA26;P24051;Q71TY3	RS27L_RAT;RS27_RAT	Rps27;Rps27l	Small ribosomal subunit protein eS27-like	663.632		229.084	1013.73		313.471	1002.62
P24155	P24155	THOP1_RAT	Thop1	Thimet oligopeptidase	614.839		332.024			84.1597	109.976
P24268	P24268	CATD_RAT	Ctsd	Cathepsin D	1763.5		249.663		1850.71		1649.75
P24329	P24329	THTR_RAT	Tst	Thiosulfate sulfurtransferase	443.264		701.798		136.328	501.482	217.639
P24338	D4A5G8;P24338	AREG_RAT	Areg	Amphiregulin	3602.15		2122.65	987.122	1628.01	1220.33	1430.65
P24368	P24368	PPIB_RAT	Ppib	Peptidyl-prolyl cis-trans isomerase B	215.533					270.292	384.615
P24528	B2GUZ3;P24528	MGMT_RAT	Mgmt	Methylated-DNA--protein-cysteine methyltransferase	1779.38		529.116	854.351		382.089	776.659
P25113	P16290;P25113	PGAM1_RAT	Pgam1	Phosphoglycerate mutase 1	1666.85	793.544	4011.42	1429.53		2815.95	2655.58
P25235	P25235	RPN2_RAT	Rpn2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	4557.65	2294.97	14127.2	3199.94	13591.7	16135.3	16849.2
P25286	P25286;D4A1H0	VPP1_RAT	Atp6v0a1	V-type proton ATPase 116 kDa subunit a 1			381.192		674.096	908.417	696.204
P25427	P25427	NGF_RAT	Ngf	Beta-nerve growth factor							200.696
P25886	A0A8I6ALT8;F1LYI5;A0A8I5ZNX1;D4A883;P25886;M0R6U8;M0RCI7	RL29_RAT	Rpl29	Large ribosomal subunit protein eL29	833.404		1148.02			1268.15	1261.37
P26051	P26051	CD44_RAT	Cd44	CD44 antigen	463.597		273.121	13605.1			392.677
P26453	P26453	BASI_RAT	Bsg	Basigin						534.59	319.463
P26896	P26896	IL2RB_RAT	Il2rb	Interleukin-2 receptor subunit beta				744.237		802.257	277.655
P27008	P27008	PARP1_RAT	Parp1	Poly [ADP-ribose] polymerase 1						450.39	135.48
P27274	P27274	CD59_RAT	Cd59	CD59 glycoprotein	332.666		1242.02	1491.21	451.857	219	1686.86
P27321	P27321	ICAL_RAT	Cast	Calpastatin	1738.72		1131.06	1256.26		726.961	1150.24
P27364	P27364	3BHS5_RAT	Hsd3b5	NADPH-dependent 3-keto-steroid reductase Hsd3b5			461.139			429.078	329.071
P27605	A0A8I6GKT2;P27605	HPRT_RAT	Hprt1	Hypoxanthine-guanine phosphoribosyltransferase	225.473		285.337	358.482		427.515	379.021
P27682	P27682	7B2_RAT	Scg5	Neuroendocrine protein 7B2					391.129		269.772
P27867	P27867	DHSO_RAT	Sord	Sorbitol dehydrogenase	2072.94		1430.66		682.027	1623.13	982.879
P27952	A0A0U1RVI9;A0A0G2K8H4;D3ZT78;D3ZAS1;P27952;A0A8I6ADQ7;D3ZQW7	RS2_RAT	Rps2	Small ribosomal subunit protein uS5	3098.48		832.187	749.939		498.331	676.995
P28023	P28023	DCTN1_RAT	Dctn1	Dynactin subunit 1						328.745	120.59
P28073	A0A0G2JSL0;P28073	PSB6_RAT	Psmb6	Proteasome subunit beta type-6			288.089	402.83		228.9	150.3
P28075	P28075	PSB5_RAT	Psmb5	Proteasome subunit beta type-5	399.107					173.337	185.207
P28480	P28480	TCPA_RAT	Tcp1	T-complex protein 1 subunit alpha			571.882	945.101		333.081	607.398
P28494	P28494	MA2A1_RAT	Man2a1	Alpha-mannosidase 2			605.868			453.393	321.478
P28800;P52500;P56261	P28800;P56261;P52500;A0A8I5Y6V4	A2AP_BOVIN;CEBPE_RAT;GRPR_RAT	Cebpe;Grpr;SERPINF2	Alpha-2-antiplasmin	6140.69	983.645	4839.05	7146.01	5167.75	4497.03	6287.51
P28826	P28826	MEP1B_RAT	Mep1b	Meprin A subunit beta	4322.21	601.054	3470.22	1688.87	1497.25	1899.89	4083.1
P29288	P29288	PPA5_RAT	Acp5	Tartrate-resistant acid phosphatase type 5							69.896
P29314	M0RB65;P29314	RS9_RAT	Rps9	Small ribosomal subunit protein uS4	705.526		524.685	297.879		642.2	642.092
P29315	P29315	RINI_RAT	Rnh1	Ribonuclease inhibitor	183.858		461.247			371.634	492.436
P29321	P29321	EPHA8_RAT	Epha8	Ephrin type-A receptor 8 (Fragment)			376.925				159.534
P30427	P30427	PLEC_RAT	Plec	Plectin	803.884		985.407	1125.56	799.849	682.98	764.42
P30713	P30713	GSTT2_RAT	Gstt2	Glutathione S-transferase theta-2	2787.46		2265.8	880.449	1636.13	1407.33	2723.67
P30904	D3ZE63;P30904	MIF_RAT	Mif	Macrophage migration inhibitory factor	9965	342.198	12305	4791.63	1855.48	10284.4	5319.13
P30938	P30938	SSR5_RAT	Sstr5	Somatostatin receptor type 5	1975.02		2024.26	1978.33	1252.48	1277.59	1099.13
P30951	P30951	GPR12_RAT	Gpr12	G-protein coupled receptor 12	3026.04		2910.07	701.634	5463.69	2667.59	2399.55
P31016	P31016	DLG4_RAT	Dlg4	Disks large homolog 4			442.185				
P31044	P31044	PEBP1_RAT	Pebp1	Phosphatidylethanolamine-binding protein 1						876.919	448.894
P31423	P31423	GRM4_RAT	Grm4	Metabotropic glutamate receptor 4	668.618	478.97	702.586		1069.28	736.954	729.693
P31977	P31977	EZRI_RAT	Ezr	Ezrin	791.93		1133.39	863.583		948.291	1554.07
P34058	P82995;P34058;A0A8I5ZQG6;A0A8I5ZRY7	HS90B_RAT	Hsp90ab1	Heat shock protein HSP 90-beta	3616.53	245.612	3922.51	3980.55	820.855	4970.97	3820.8
P34064	P34064	PSA5_RAT	Psma5	Proteasome subunit alpha type-5	606.395		2325.67	1168.08		2146.5	2082.56
P34067	P34067	PSB4_RAT	Psmb4	Proteasome subunit beta type-4							235.55
P34131	B4F7A3;P34131	NTF4_RAT	Ntf4	Neurotrophin-4	877.012		493.644			1378.4	343.256
P34926	P34926	MAP1A_RAT	Map1a	Microtubule-associated protein 1A	474.918		805.78			1367.62	841.552
P34955	P34955	A1AT_BOVIN	SERPINA1	Alpha-1-antiproteinase	662.267	1104.02	567.7	1567.32	1382.83	771.345	138.678
P35000	P35000	VIPR2_RAT	Vipr2	Vasoactive intestinal polypeptide receptor 2		234.665	725.086		538.005	304.962	253.1
P35053	P35053	GPC1_RAT	Gpc1	Glypican-1							791.718
P35213	P35213;P61983	1433B_RAT	Ywhab	14-3-3 protein beta/alpha	1743.23		1185.1	1501.31	414.409	2717.03	3428.38
P35427	P35427;A0A8I5ZNZ4	RL13A_RAT	Rpl13a	Large ribosomal subunit protein uL13	628.919			607.558		372.774	383.507
P35560	P35560	KCNJ1_RAT	Kcnj1	ATP-sensitive inward rectifier potassium channel 1	6221.62	2402.25	17682.7	3129.01	6248.62	12775.9	3847.42
P35565	P35565	CALX_RAT	Canx	Calnexin	1508.08		1819.82	1712.43	1759.87	1281.68	1085.28
P35572	P35572	IBP6_RAT	Igfbp6	Insulin-like growth factor-binding protein 6	8167.56				3787.82		6100.86
P35704	P35704	PRDX2_RAT	Prdx2	Peroxiredoxin-2			285.99			972.009	679.685
P35815	P35815	PPM1B_RAT	Ppm1b	Protein phosphatase 1B							175.515
P35952	P35952	LDLR_RAT	Ldlr	Low-density lipoprotein receptor	2810.54	464.958	3698.46	1439.1	1417.23	7139.76	3375.89
P36370	P36370	TAP1_RAT	Tap1	Antigen peptide transporter 1	754.985		256.047			407.354	360.216
P36372	P36372	TAP2_RAT	Tap2	Antigen peptide transporter 2	769.331		583.045	645.403		1331.99	541.968
P36860;P63322	P63322;P36860	RALA_RAT;RALB_RAT	Rala;Ralb	Ras-related protein Ral-B							339.773
P37285	P37285	KLC1_RAT	Klc1	Kinesin light chain 1							250.838
P37377;Q63754	Q63754;P37377	SYUA_RAT;SYUB_RAT	Snca;Sncb	Alpha-synuclein							259.469
P37397	P37397	CNN3_RAT	Cnn3	Calponin-3	1753.6		637.704	2432.51		1734.41	1524.15
P37727	P37727	RAE1_RAT	Chm	Rab proteins geranylgeranyltransferase component A 1	5991.69	3846.25	13163.4	13411.6	5241.27	13925.4	8423.93
P37805	P37805	TAGL3_RAT	Tagln3	Transgelin-3			236.843				852.664
P37996	P37996	ARL3_RAT	Arl3	ADP-ribosylation factor-like protein 3			606.802			207.028	419.641
P38650	P38650	DYHC1_RAT	Dync1h1	Cytoplasmic dynein 1 heavy chain 1	2311.06		489.047	971.734		741.583	923.492
P38652	P38652	PGM1_RAT	Pgm1	Phosphoglucomutase-1				503.071		1186.02	233.109
P38656	P38656;D3ZLH9	LA_RAT	Ssb	Lupus La protein homolog						142.915	63.0907
P38983	A0A8I5ZZE2;P38983	RSSA_RAT	Rpsa	Small ribosomal subunit protein uS2	2885.94	950.706	4563.5	5914.87		6326.23	4591.2
P39032	D4A1Q0;F1M706;P39032;A0A8I6AG76;A0A0G2K6X1;A0A0G2JUV9;D3ZZ95	RL36_RAT	Rpl36	Large ribosomal subunit protein eL36	979.101		1222.81	893.717		1236	291.745
P39069	P39069	KAD1_RAT	Ak1	Adenylate kinase isoenzyme 1							97.4074
P39951	P39951	CDK1_RAT	Cdk1	Cyclin-dependent kinase 1							111.522
P40112	P40112	PSB3_RAT	Psmb3	Proteasome subunit beta type-3	479.061					580.541	114.05
P40307	P40307	PSB2_RAT	Psmb2	Proteasome subunit beta type-2	1244.21		754.002	1450.29		784.358	826.799
P40615	P40615	DKC1_RAT	Dkc1	H/ACA ribonucleoprotein complex subunit DKC1							44.4173
P41123	A0A0G2JYG9;A0A8I5ZNK4;P41123	RL13_RAT	Rpl13	Large ribosomal subunit protein eL13	1983.55		2453.11	2463.92		2454.49	4276.5
P41237	P41237	CTXN1_RAT	Ctxn1	Cortexin-1				141.228		307.701	280.282
P41498	A0A8I6G7Q4;P41498	PPAC_RAT	Acp1	Low molecular weight phosphotyrosine protein phosphatase	1574.82		1513.91		509.775	1097.21	698.835
P41499	P41499	PTN11_RAT	Ptpn11	Tyrosine-protein phosphatase non-receptor type 11	359.275					653.63	231.433
P41516	P41516	TOP2A_RAT	Top2a	DNA topoisomerase 2-alpha			356.747				73.4816
P41542	P41542	USO1_RAT	Uso1	General vesicular transport factor p115				538.929		1179.81	457.33
P41562	P41562	IDHC_RAT	Idh1	Isocitrate dehydrogenase [NADP] cytoplasmic	1199.83	368.251	1005.18	2371.61		1085.65	1294.86
P41777	P41777	NOLC1_RAT	Nolc1	Nucleolar and coiled-body phosphoprotein 1	304.184		804.3			711.544	364.718
P42930	P42930	HSPB1_RAT	Hspb1	Heat shock protein beta-1	18052.7	1434.5	21760.8	12763	2142.05	3469.73	29222.6
P43138	P43138	APEX1_RAT	Apex1	DNA-(apurinic or apyrimidinic site) endonuclease			176.134			809.595	212.278
P43244	P43244	MATR3_RAT	Matr3	Matrin-3	2953.78		2156.32		686.03	744.159	1875.49
P43278	P43278	H10_RAT	H1-0	Histone H1.0	1119.05	777.151	875.367	1262.33	856.759	1499.88	2022.2
P45592	M0RC65;P45592	COF1_RAT	Cfl1	Cofilin-1	1725.64		1503.31	1558.12	1116.32	1540.22	1096.57
P46153	P46153	GATA6_RAT	Gata6	Transcription factor GATA-6	1450.58		1285.7	1564.25	1151.39	1858.59	1194.96
P46413	P46413	GSHB_RAT	Gss	Glutathione synthetase				569.843		1265.78	173.378
P46462	P46462	TERA_RAT	Vcp	Transitional endoplasmic reticulum ATPase	1029.42		1315.21	1176.35	704.737	919.016	770.724
P47198	A0A8I6A3R9;P47198	RL22_RAT	Rpl22	Large ribosomal subunit protein eL22				248.612		49.5255	208.958
P47727	P47727	CBR1_RAT	Cbr1	Carbonyl reductase [NADPH] 1	3087.78		2414.16	3504.36		3351.8	1612.74
P47875	P47875	CSRP1_RAT	Csrp1	Cysteine and glycine-rich protein 1	1548.78	180.096	546.329	595.878		4584.12	4070.91
P47942	P47942	DPYL2_RAT	Dpysl2	Dihydropyrimidinase-related protein 2	11437.2	1754.07	11161	6680.03	3011.51	16350.5	12646
P48004	P48004	PSA7_RAT	Psma7	Proteasome subunit alpha type-7			1508.49	2236.07		704.354	728.276
P48037	P48037	ANXA6_RAT	Anxa6	Annexin A6	915.541		1130.41	626.188	221.288	634.684	1076.1
P48450	P48450	LSS_RAT	Lss	Lanosterol synthase						499.862	165.691
P48500	A0A0G2JWU1;A0A8I5ZVI4;P48500	TPIS_RAT	Tpi1	Triosephosphate isomerase	6518.25		8882.49	7454.1	894.148	8609.65	10224.6
P48508	P48508	GSH0_RAT	Gclm	Glutamate--cysteine ligase regulatory subunit	718.991		954.734	650.018		662.96	670.703
P48679	P48679	LMNA_RAT	Lmna	Prelamin-A/C	5242.75	3250.28	5758.21	5271.06	6580.4	3388.03	6157.75
P49001	P49001	BMP2_RAT	Bmp2	Bone morphogenetic protein 2							173.436
P49088	P49088	ASNS_RAT	Asns	Asparagine synthetase [glutamine-hydrolyzing]	104.502			1009.93			116.927
P49134	P49134	ITB1_RAT	Itgb1	Integrin beta-1	1444.7		419.481	1341.65	1530.28		1588.53
P49242	P49242;M0R6L4	RS3A_RAT	Rps3a	Small ribosomal subunit protein eS1	2186.28		1106.66	1663.65	1076.83	1133.53	1379.16
P49616	P49616	UPAR_RAT	Plaur	Urokinase plasminogen activator surface receptor							114.962
P49621	P49621	DGKB_RAT	Dgkb	Diacylglycerol kinase beta							248.767
P49791	P49791	NU153_RAT	Nup153	Nuclear pore complex protein Nup153			180.988				164.366
P49793	P49793	NUP98_RAT	Nup98	Nuclear pore complex protein Nup98-Nup96	719.819		228.514	482.706		441.399	395.602
P50137	P50137	TKT_RAT	Tkt	Transketolase	16655.2	1703.01	14118.8	14963.1	3851.55	20587	13166.1
P50398	P50398	GDIA_RAT	Gdi1	Rab GDP dissociation inhibitor alpha	1665.38		2009.5	2771.14	570.665	2855.89	2105.35
P50399	P50399	GDIB_RAT	Gdi2	Rab GDP dissociation inhibitor beta	847.184		502.183	722.272		751.245	530.182
P50408	P50408;A0A8I6GI88	VATF_RAT	Atp6v1f	V-type proton ATPase subunit F	2059.82		814.926	890.201		1897.86	1517.14
P50411	P50411	IPP2_RAT	Ppp1r2	Protein phosphatase inhibitor 2							148.927
P50430	P50430	ARSB_RAT	Arsb	Arylsulfatase B							374.008
P50503	P50503;A0A8I6GLD3	F10A1_RAT	St13	Hsc70-interacting protein	662.178						395.106
P50545	P50545	HCK_RAT	Hck	Tyrosine-protein kinase HCK							82.742
P50878	A0A8I6ASF5;P50878	RL4_RAT	Rpl4	Large ribosomal subunit protein uL4	1385.18		1721.19	1486.56	839.739	2097.71	3159.08
P51583	P51583	PUR6_RAT	Paics	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase						289.5	148.862
P51593	P51593	HUWE1_RAT	Huwe1	E3 ubiquitin-protein ligase HUWE1							237.636
P51635	P51635	AK1A1_RAT	Akr1a1	Aldo-keto reductase family 1 member A1	522.155		1177.22	1456.48		677.452	338.188
P52296	P52296	IMB1_RAT	Kpnb1	Importin subunit beta-1	871.684		636.082	2165.45		1074.58	1123.53
P52555	P52555	ERP29_RAT	Erp29	Endoplasmic reticulum resident protein 29			587.902	653.945	446.926	832.69	650.091
P52590	P52590	NU107_RAT	Nup107	Nuclear pore complex protein Nup107							56.5017
P52591	P52591	PO121_RAT	Pom121	Nuclear envelope pore membrane protein POM 121			683.729			360.295	109.405
P52944	P52944	PDLI1_RAT	Pdlim1	PDZ and LIM domain protein 1						3116.9	440.913
P53042	P53042	PPP5_RAT	Ppp5c	Serine/threonine-protein phosphatase 5				368.847			80.6027
P53812	P53812	PIPNB_RAT	Pitpnb	Phosphatidylinositol transfer protein beta isoform						297.402	205.842
P54001	P54001	P4HA1_RAT	P4ha1	Prolyl 4-hydroxylase subunit alpha-1			594.477			415.939	111.248
P54256	P54256	HAP1_RAT	Hap1	Huntingtin-associated protein 1			708.208				241.139
P54290	P54290;P41562	CA2D1_RAT	Cacna2d1	Voltage-dependent calcium channel subunit alpha-2/delta-1	1512.85		1775.04	1316.48	1179.02	1542.47	1646.91
P54777	P54777	PEX6_RAT	Pex6	Peroxisomal ATPase PEX6						174.097	155.402
P55053	P55053	FABP5_RAT	Fabp5	Fatty acid-binding protein 5	2122.37	942.548	592.082	918.67	517.252	496.229	320.736
P55161	P55161	NCKP1_RAT	Nckap1	Nck-associated protein 1							174.684
P55260	P55260	ANXA4_RAT	Anxa4	Annexin A4			480.642	375.298			264.946
P55266	P55266	DSRAD_RAT	Adar	Double-stranded RNA-specific adenosine deaminase							187.354
P55272	P55272	CDN2B_RAT	Cdkn2b	Cyclin-dependent kinase 4 inhibitor B	4031.28		5428.88	3732.45	1866.15	7709.19	5183.93
P55770	P55770;A0A8I5ZY99	NH2L1_RAT	Snu13	NHP2-like protein 1			401.631			100.201	114.987
P56536	P56536	KIF5C_RAT	Kif5c	Kinesin heavy chain isoform 5C							292.916
P56603	P56603	SCAM1_RAT	Scamp1	Secretory carrier-associated membrane protein 1					349.167	226.951	458.138
P58200	P58200	VTI1B_RAT	Vti1b	Vesicle transport through interaction with t-SNAREs homolog 1B	226.57						325.511
P58405	P58405	STRN3_RAT	Strn3	Striatin-3							121.902
P59035	P59035	LRRC3_RAT	Lrrc3	Leucine-rich repeat-containing protein 3	423.401						89.8166
P59215	P59215	GNAO_RAT	Gnao1	Guanine nucleotide-binding protein G(o) subunit alpha	390.998						148.285
P59924	P59924	THOC1_RAT	Thoc1	THO complex subunit 1							141.648
P60123	P60123	RUVB1_RAT	Ruvbl1	RuvB-like 1	878.241		759.307	638.136		450.657	524.342
P60192	P60192	SNAPN_RAT	Snapin	SNARE-associated protein Snapin						278.724	125.165
P60825	P60825	CIRBP_RAT	Cirbp	Cold-inducible RNA-binding protein					447.466	419.304	671.211
P60841	P60841;Q712U5	ENSA_RAT	Ensa	Alpha-endosulfine	401.381		307.402			1195.14	769.795
P60868	D3ZZK1;P60868;M0R987;M0RB28	RS20_RAT	Rps20	Small ribosomal subunit protein uS10	967.959		764.861	1178.64		736.744	1268.07
P60881	P60881	SNP25_RAT	Snap25	Synaptosomal-associated protein 25	2965.25	1898.04	2953.81	1533.05	3099.61	2263.95	4282.81
P60901	P60901	PSA6_RAT	Psma6	Proteasome subunit alpha type-6	1591.05	296.962	1958.77	1491.54	1045.86	1502.95	1646.4
P61107	P61107	RAB14_RAT	Rab14	Ras-related protein Rab-14			348.549				134.796
P61203	P61203	CSN2_RAT	Cops2	COP9 signalosome complex subunit 2				314.966			172.512
P61314	P61314;A0A8I5ZY58;A0A8I6A471	RL15_RAT	Rpl15	Large ribosomal subunit protein eL15	1395.49		548.96	1283.71		936.773	1688.89
P61354	D3ZTK5;A0A8I5ZSW2;M0R7P0;P61354	RL27_RAT	Rpl27	Large ribosomal subunit protein eL27	517.58					889.455	745.911
P61459	P61459	PHS_RAT	Pcbd1	Pterin-4-alpha-carbinolamine dehydratase			1377.13			388.92	1976.24
P61515	A0A8I6ANA8;P61515;A0A8I5ZL35	RL37A_RAT	Rpl37a	Large ribosomal subunit protein eL43	154.032					430.03	189.944
P61589	P61589	RHOA_RAT	Rhoa	Transforming protein RhoA	512.026					987.366	1017.46
P61621	A0A8I5ZUA2;A0A8I6ABF9;P61621	S61A1_RAT	Sec61a1	Protein transport protein Sec61 subunit alpha isoform 1	5767.34	1475.1	6842.6	3461.69	2927.37	5084.38	5751.42
P61626	P61626	LYSC_HUMAN	LYZ	Lysozyme C	1121.44	420.34	409.087	985.08	1240.84	562.194	100
