Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	71_Hela_200pg_1 Spectral Count	72_Hela_200pg_2 Spectral Count	73_Hela_200pg_3 Spectral Count	71_Hela_200pg_1 Unique Spectral Count	72_Hela_200pg_2 Unique Spectral Count	73_Hela_200pg_3 Unique Spectral Count	71_Hela_200pg_1 Total Spectral Count	72_Hela_200pg_2 Total Spectral Count	73_Hela_200pg_3 Total Spectral Count	71_Hela_200pg_1 Intensity	72_Hela_200pg_2 Intensity	73_Hela_200pg_3 Intensity	71_Hela_200pg_1 MaxLFQ Intensity	72_Hela_200pg_2 MaxLFQ Intensity	73_Hela_200pg_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P26583|HMGB2_HUMAN	P26583	HMGB2_HUMAN	HMGB2	209	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group protein B2	0.8094	0.9825	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P26639|SYTC_HUMAN	P26639	SYTC_HUMAN	TARS1	723	Homo sapiens OX=9606	1:Experimental evidence at protein level	Threonine--tRNA ligase 1, cytoplasmic	1.0	0.9964	5	9	7	9	4	3	2	3	2	2	4	3	2	700001.5	452336.47	505536.3	276835.9	281839.7	210813.4	
sp|P26641|EF1G_HUMAN	P26641	EF1G_HUMAN	EEF1G	437	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-gamma	1.0	0.9988	7	12	12	12	4	4	4	4	4	4	4	4	4	1446958.1	1144255.2	1072013.1	409770.22	464384.3	465515.2	
sp|P27348|1433T_HUMAN	P27348	1433T_HUMAN	YWHAQ	245	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein theta	1.0	0.999	8	4	4	30	2	1	1	2	1	1	11	10	9	163172.22	89789.625	0.0	0.0	0.0	0.0	
sp|P27635|RL10_HUMAN	P27635	RL10_HUMAN	RPL10	214	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L10	1.0	0.9966	3	10	4	10	4	3	3	2	1	1	4	3	3	962435.06	814678.25	791111.0	554475.56	454840.78	405094.4	
sp|P27695|APEX1_HUMAN	P27695	APEX1_HUMAN	APEX1	318	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-(apurinic or apyrimidinic site) endonuclease	0.95	0.996	1	3	3	3	1	1	1	1	1	1	1	1	1	0.0	87801.12	89428.19	0.0	0.0	0.0	
sp|P27797|CALR_HUMAN	P27797	CALR_HUMAN	CALR	417	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calreticulin	1.0	0.9984	7	14	14	14	7	3	4	7	3	4	7	3	4	3172548.8	2066626.1	1712842.5	700545.06	647634.2	544463.9	
sp|P27816|MAP4_HUMAN	P27816	MAP4_HUMAN	MAP4	1152	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated protein 4	1.0	0.9933	5	9	9	9	0	4	5	0	4	5	0	4	5	206151.5	221456.47	270511.3	133652.28	120784.695	119441.375	
sp|P27824|CALX_HUMAN	P27824	CALX_HUMAN	CANX	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calnexin	1.0	0.9982	5	8	8	8	7	0	1	7	0	1	7	0	1	1314692.5	291524.44	337753.94	0.0	0.0	0.0	
sp|P28066|PSA5_HUMAN	P28066	PSA5_HUMAN	PSMA5	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-5	1.0	0.9972	3	4	4	4	3	0	1	3	0	1	3	0	1	250920.03	0.0	163425.95	0.0	0.0	0.0	
sp|P28070|PSB4_HUMAN	P28070	PSB4_HUMAN	PSMB4	264	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-4	0.8712	0.9889	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P28072|PSB6_HUMAN	P28072	PSB6_HUMAN	PSMB6	239	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-6	0.9622	0.997	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	45452.625	0.0	0.0	0.0	0.0	
sp|P28074|PSB5_HUMAN	P28074	PSB5_HUMAN	PSMB5	263	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-5	0.9192	0.9934	1	2	2	2	1	1	0	1	1	0	1	1	0	80928.336	109239.59	121013.03	0.0	0.0	0.0	
sp|P29401|TKT_HUMAN	P29401	TKT_HUMAN	TKT	623	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transketolase	1.0	0.999	13	35	35	35	12	13	10	12	13	10	12	13	10	1.4610067E7	1.1864939E7	1.1715391E7	2539169.5	2620195.5	2720312.8	
sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-delta	1.0	0.9969	4	8	8	8	3	2	3	3	2	3	3	2	3	384982.47	261363.33	392395.2	187930.86	152266.84	186880.73	
sp|P30040|ERP29_HUMAN	P30040	ERP29_HUMAN	ERP29	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum resident protein 29	0.9243	0.9938	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	92113.6	0.0	0.0	0.0	
sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-6	1.0	0.9989	5	9	9	9	5	2	2	5	2	2	5	2	2	991739.25	769257.75	771229.25	804066.6	530462.75	548808.5	
sp|P30044|PRDX5_HUMAN	P30044	PRDX5_HUMAN	PRDX5	214	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-5, mitochondrial	0.9825	0.9987	1	1	1	1	1	0	0	1	0	0	1	0	0	307776.47	0.0	0.0	0.0	0.0	0.0	
sp|P30048|PRDX3_HUMAN	P30048	PRDX3_HUMAN	PRDX3	256	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin-dependent peroxide reductase, mitochondrial	1.0	0.9965	2	4	4	4	1	2	1	1	2	1	1	2	1	206715.34	287219.25	173662.19	156144.38	215689.42	0.0	
sp|P30049|ATPD_HUMAN	P30049	ATPD_HUMAN	ATP5F1D	168	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit delta, mitochondrial	0.9528	0.9963	1	3	3	3	1	1	1	1	1	1	1	1	1	109881.92	104658.44	109912.695	0.0	0.0	0.0	
sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L12	1.0	0.9952	2	4	4	4	2	1	1	2	1	1	2	1	1	668466.9	372370.5	327590.94	0.0	0.0	0.0	
sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	Homo sapiens OX=9606	1:Experimental evidence at protein level	Enoyl-CoA hydratase, mitochondrial	0.9999	0.9886	1	3	3	3	1	1	1	1	1	1	1	1	1	78735.7	82866.31	86607.984	0.0	0.0	0.0	
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0	0.9965	3	7	7	7	3	2	2	3	2	2	3	2	2	547818.94	643124.7	686596.06	302949.38	360774.2	385560.47	
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	1.0	0.9989	9	14	14	14	6	3	5	6	3	5	6	3	5	1111707.2	430395.25	827787.4	334852.38	303889.72	293729.03	
sp|P30153|2AAA_HUMAN	P30153	2AAA_HUMAN	PPP2R1A	589	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1.0	0.998	3	5	5	5	1	3	1	1	3	1	1	3	1	231931.97	293809.1	165121.42	144684.05	132911.11	95360.32	
sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	Homo sapiens OX=9606	1:Experimental evidence at protein level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.0	0.997	4	7	7	7	2	1	4	2	1	4	2	1	4	149553.58	236897.19	216974.66	101120.13	119807.16	113803.77	
sp|P31327|CPSM_HUMAN	P31327	CPSM_HUMAN	CPS1	1500	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1.0	0.9931	12	19	16	19	4	7	8	4	5	7	4	7	8	520114.28	1214571.6	1069901.0	179999.28	234959.44	250611.2	
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 1, mitochondrial	1.0	0.9907	3	6	3	6	3	1	2	2	0	1	3	1	2	157292.22	226866.69	243803.77	106012.66	151080.81	147469.78	
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional purine biosynthesis protein ATIC	1.0	0.998	2	4	4	4	3	0	1	3	0	1	3	0	1	0.0	52884.42	73671.375	0.0	0.0	0.0	
sp|P31942|HNRH3_HUMAN	P31942	HNRH3_HUMAN	HNRNPH3	346	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H3	1.0	0.9989	3	10	10	12	2	5	3	2	5	3	3	5	4	1484898.6	828692.06	905247.7	748425.25	505313.47	513331.16	
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1.0	0.999	6	14	11	14	6	4	4	4	4	3	6	4	4	2554599.5	1128649.0	966154.7	570904.2	421271.66	376705.94	
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein beta/alpha	1.0	0.9989	9	8	8	38	2	4	2	2	4	2	13	14	11	421389.62	337781.9	344788.8	269751.22	210968.84	212666.78	
sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein sigma	0.9995	0.9971	5	2	2	21	1	0	1	1	0	1	8	6	7	112092.8	0.0	93475.1	0.0	0.0	0.0	
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stress-induced-phosphoprotein 1	1.0	0.998	7	14	14	14	5	5	4	5	5	4	5	5	4	625976.75	551356.4	512780.62	153741.11	147892.14	159061.27	
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A11	1.0	0.9976	5	11	11	11	4	4	3	4	4	3	4	4	3	2052699.2	1690628.2	1979343.5	607372.5	567867.94	653905.3	
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-2	1.0	0.9989	7	12	12	14	5	3	4	5	3	4	6	3	5	1386248.0	1037693.4	1089611.0	426351.25	390475.72	402328.56	
sp|P33316|DUT_HUMAN	P33316	DUT_HUMAN	DUT	252	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.0	0.9986	2	4	4	4	2	1	1	2	1	1	2	1	1	205717.9	146714.75	148041.14	0.0	0.0	0.0	
sp|P34897|GLYM_HUMAN	P34897	GLYM_HUMAN	SHMT2	504	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine hydroxymethyltransferase, mitochondrial	1.0	0.9965	2	6	6	6	2	2	2	2	2	2	2	2	2	176514.36	180548.38	174571.98	100028.59	102188.5	94347.13	
sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	HSPA4	840	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock 70 kDa protein 4	0.8299	0.9847	1	2	2	2	0	1	1	0	1	1	0	1	1	0.0	195565.77	121307.14	0.0	0.0	0.0	
sp|P35232|PHB1_HUMAN	P35232	PHB1_HUMAN	PHB1	272	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prohibitin 1	1.0	0.999	5	9	9	9	3	2	4	3	2	4	3	2	4	283719.56	371625.8	352720.66	137409.53	156362.95	146579.12	
sp|P35241|RADI_HUMAN	P35241	RADI_HUMAN	RDX	583	Homo sapiens OX=9606	1:Experimental evidence at protein level	Radixin	1.0	0.9905	9	6	6	15	2	1	3	2	1	3	5	5	5	228610.38	262636.5	288812.88	155657.03	156713.9	144386.53	
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L22	0.7803	0.9791	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	MYH9	1960	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myosin-9	1.0	0.999	28	49	41	49	28	9	12	23	8	10	28	9	12	8181169.0	2912189.8	2889794.0	599839.4	584056.25	480259.66	
sp|P35613|BASI_HUMAN	P35613	BASI_HUMAN	BSG	385	Homo sapiens OX=9606	1:Experimental evidence at protein level	Basigin	0.9842	0.9988	1	3	3	3	1	1	1	1	1	1	1	1	1	194391.22	179737.62	220591.06	0.0	0.0	0.0	
sp|P36578|RL4_HUMAN	P36578	RL4_HUMAN	RPL4	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L4	1.0	0.9989	7	22	22	22	8	8	6	8	8	6	8	8	6	1939641.5	1575996.5	1545319.8	702067.5	577737.94	522514.72	
sp|P36957|ODO2_HUMAN	P36957	ODO2_HUMAN	DLST	453	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	0.9505	0.9961	1	2	2	2	1	1	0	1	1	0	1	1	0	119341.125	154307.27	0.0	0.0	0.0	0.0	
sp|P37108|SRP14_HUMAN	P37108	SRP14_HUMAN	SRP14	136	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal recognition particle 14 kDa protein	1.0	0.999	2	3	3	3	1	1	1	1	1	1	1	1	1	345454.34	241192.03	281921.75	0.0	0.0	0.0	
sp|P37802|TAGL2_HUMAN	P37802	TAGL2_HUMAN	TAGLN2	199	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transgelin-2	1.0	0.9983	7	17	17	17	8	4	5	8	4	5	8	4	5	4706192.0	2796346.2	2723581.8	1087624.0	1204351.8	1227506.2	
sp|P37837|TALDO_HUMAN	P37837	TALDO_HUMAN	TALDO1	337	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transaldolase	1.0	0.9989	3	7	7	7	1	3	3	1	3	3	1	3	3	347499.2	526850.0	404866.3	185466.88	196422.22	216136.44	
sp|P38117|ETFB_HUMAN	P38117	ETFB_HUMAN	ETFB	255	Homo sapiens OX=9606	1:Experimental evidence at protein level	Electron transfer flavoprotein subunit beta	0.9999	0.9764	2	2	2	2	0	1	1	0	1	1	0	1	1	66762.58	93264.03	87065.81	0.0	0.0	0.0	
sp|P38159|RBMX_HUMAN	P38159	RBMX_HUMAN	RBMX	391	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding motif protein, X chromosome	1.0	0.9956	7	16	6	16	4	5	7	1	2	3	4	5	7	731662.6	974104.25	1023719.5	192849.8	177730.16	177327.98	
sp|P38646|GRP75_HUMAN	P38646	GRP75_HUMAN	HSPA9	679	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stress-70 protein, mitochondrial	1.0	0.999	12	22	22	24	7	7	8	7	7	8	7	8	9	1365048.4	1447343.0	1506503.6	392269.8	486568.78	434630.56	
sp|P39019|RS19_HUMAN	P39019	RS19_HUMAN	RPS19	145	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S19	1.0	0.9982	6	17	17	17	5	5	7	5	5	7	5	5	7	702256.94	1242736.1	1256196.2	367817.25	460699.53	449173.66	
sp|P39023|RL3_HUMAN	P39023	RL3_HUMAN	RPL3	403	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L3	1.0	0.9989	7	19	16	19	5	6	8	4	5	7	5	6	8	1800360.6	1980940.6	2056839.2	458762.34	509891.12	509979.84	
sp|P39687|AN32A_HUMAN	P39687	AN32A_HUMAN	ANP32A	249	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.0	0.9971	3	7	6	7	3	2	2	2	2	2	3	2	2	618128.25	469387.62	480873.03	253593.39	256779.8	223782.4	
sp|P40227|TCPZ_HUMAN	P40227	TCPZ_HUMAN	CCT6A	531	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit zeta	1.0	0.9975	7	16	7	16	6	5	5	3	2	2	6	5	5	858205.4	770742.5	484703.62	179782.81	203903.02	176323.7	
sp|P40429|RL13A_HUMAN	P40429	RL13A_HUMAN	RPL13A	203	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L13a	1.0	0.9948	4	6	2	6	3	2	1	1	1	0	3	2	1	475485.3	565555.75	469464.62	360057.53	420832.56	0.0	
sp|P40925|MDHC_HUMAN	P40925	MDHC_HUMAN	MDH1	334	Homo sapiens OX=9606	1:Experimental evidence at protein level	Malate dehydrogenase, cytoplasmic	0.9576	0.9967	1	3	3	3	1	1	1	1	1	1	1	1	1	177312.1	126840.805	188433.05	0.0	0.0	0.0	
sp|P40926|MDHM_HUMAN	P40926	MDHM_HUMAN	MDH2	338	Homo sapiens OX=9606	1:Experimental evidence at protein level	Malate dehydrogenase, mitochondrial	1.0	0.9988	6	10	10	10	4	2	4	4	2	4	4	2	4	495959.84	367046.7	503398.25	197526.4	238798.83	258140.27	
sp|P41250|GARS_HUMAN	P41250	GARS_HUMAN	GARS1	739	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycine--tRNA ligase	0.9999	0.9721	2	2	2	2	1	1	0	1	1	0	1	1	0	64614.156	52651.184	0.0	0.0	0.0	0.0	
sp|P41252|SYIC_HUMAN	P41252	SYIC_HUMAN	IARS1	1262	Homo sapiens OX=9606	1:Experimental evidence at protein level	Isoleucine--tRNA ligase, cytoplasmic	0.8122	0.9828	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	58648.55	77225.09	0.0	0.0	0.0	
sp|P42330|AK1C3_HUMAN	P42330	AK1C3_HUMAN	AKR1C3	323	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aldo-keto reductase family 1 member C3	1.0	0.9913	6	12	4	12	4	3	5	1	1	2	4	3	5	996773.06	741462.4	903620.9	495749.16	325799.28	356091.56	
sp|P42677|RS27_HUMAN	P42677	RS27_HUMAN	RPS27	84	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S27	0.9692	0.9976	1	3	0	3	1	1	1	0	0	0	1	1	1	328012.25	385093.03	356358.34	0.0	0.0	0.0	sp|Q71UM5|RS27L_HUMAN
sp|P42766|RL35_HUMAN	P42766	RL35_HUMAN	RPL35	123	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L35	1.0	0.9988	2	7	7	7	2	3	2	2	3	2	2	3	2	896957.9	792133.44	913240.25	550406.44	489721.16	538729.94	
sp|P43243|MATR3_HUMAN	P43243	MATR3_HUMAN	MATR3	847	Homo sapiens OX=9606	1:Experimental evidence at protein level	Matrin-3	1.0	0.9944	4	8	8	8	2	2	4	2	2	4	2	2	4	113975.234	437529.53	340310.8	0.0	187472.81	150428.75	
sp|P43307|SSRA_HUMAN	P43307	SSRA_HUMAN	SSR1	286	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translocon-associated protein subunit alpha	0.8847	0.9902	1	1	1	1	1	0	0	1	0	0	1	0	0	97571.22	49652.492	0.0	0.0	0.0	0.0	
sp|P43487|RANG_HUMAN	P43487	RANG_HUMAN	RANBP1	201	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ran-specific GTPase-activating protein	0.9577	0.9967	1	3	3	3	1	1	1	1	1	1	1	1	1	187481.05	166498.31	206074.14	0.0	0.0	0.0	
sp|P45880|VDAC2_HUMAN	P45880	VDAC2_HUMAN	VDAC2	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	Voltage-dependent anion-selective channel protein 2	1.0	0.9986	2	5	5	5	2	2	1	2	2	1	2	2	1	603748.1	206870.72	90008.14	367377.94	160433.19	0.0	
sp|P46776|RL27A_HUMAN	P46776	RL27A_HUMAN	RPL27A	148	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L27a	0.985	0.9988	1	3	3	3	1	1	1	1	1	1	1	1	1	116401.36	71062.8	68809.12	0.0	0.0	0.0	
sp|P46778|RL21_HUMAN	P46778	RL21_HUMAN	RPL21	160	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L21	0.9999	0.9834	2	4	4	4	1	2	1	1	2	1	1	2	1	259294.5	341430.8	198014.1	0.0	0.0	0.0	
sp|P46779|RL28_HUMAN	P46779	RL28_HUMAN	RPL28	137	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L28	1.0	0.9988	2	6	6	6	2	2	2	2	2	2	2	2	2	507298.3	485349.5	548696.94	346991.22	321333.44	352925.12	
sp|P46781|RS9_HUMAN	P46781	RS9_HUMAN	RPS9	194	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S9	1.0	0.992	6	12	12	12	4	4	4	4	4	4	4	4	4	1544634.5	1231803.1	1013602.56	599582.1	472486.3	426805.9	
sp|P46782|RS5_HUMAN	P46782	RS5_HUMAN	RPS5	204	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S5	1.0	0.9952	3	7	7	7	2	2	3	2	2	3	2	2	3	537765.06	626520.5	607596.3	330284.75	304162.62	286604.97	
sp|P46783|RS10_HUMAN	P46783	RS10_HUMAN	RPS10	165	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S10	1.0	0.9986	3	3	1	3	2	1	0	1	0	0	2	1	0	548303.94	353403.47	0.0	0.0	0.0	0.0	
sp|P46940|IQGA1_HUMAN	P46940	IQGA1_HUMAN	IQGAP1	1657	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras GTPase-activating-like protein IQGAP1	1.0	0.9983	11	22	16	22	9	7	6	7	5	4	9	7	6	804065.4	666272.94	583933.2	170108.47	159990.64	156105.14	
sp|P47755|CAZA2_HUMAN	P47755	CAZA2_HUMAN	CAPZA2	286	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-actin-capping protein subunit alpha-2	0.8075	0.9822	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	65269.246	48251.92	0.0	0.0	0.0	
sp|P47756|CAPZB_HUMAN	P47756	CAPZB_HUMAN	CAPZB	272	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-actin-capping protein subunit beta	1.0	0.995	3	8	8	8	3	2	3	3	2	3	3	2	3	414977.06	425187.97	423390.25	222350.6	209365.83	221481.67	
sp|P47897|SYQ_HUMAN	P47897	SYQ_HUMAN	QARS1	775	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamine--tRNA ligase	0.9156	0.9931	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	32482.053	0.0	0.0	0.0	
sp|P47914|RL29_HUMAN	P47914	RL29_HUMAN	RPL29	159	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L29	0.8181	0.9834	1	2	2	2	1	1	0	1	1	0	1	1	0	222416.4	53843.445	0.0	0.0	0.0	0.0	
sp|P48643|TCPE_HUMAN	P48643	TCPE_HUMAN	CCT5	541	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit epsilon	1.0	0.9987	4	8	8	8	2	3	3	2	3	3	2	3	3	217372.31	462020.84	339653.12	142855.17	180789.64	166831.02	
sp|P49207|RL34_HUMAN	P49207	RL34_HUMAN	RPL34	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L34	1.0	0.9969	5	13	13	13	3	4	6	3	4	6	3	4	6	1034568.25	1221123.4	992672.25	533466.1	452494.0	438873.75	
sp|P49321|NASP_HUMAN	P49321	NASP_HUMAN	NASP	788	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear autoantigenic sperm protein	1.0	0.998	3	8	8	8	3	3	2	3	3	2	3	3	2	264797.8	289273.75	228207.28	97201.95	113631.43	118795.98	
sp|P49327|FAS_HUMAN	P49327	FAS_HUMAN	FASN	2511	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fatty acid synthase	1.0	0.9985	15	34	32	34	14	11	9	13	11	8	14	11	9	1495673.1	1334705.2	1204441.1	279601.0	238890.19	259410.67	
sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1.0	0.9771	5	11	9	11	2	4	5	2	3	4	2	4	5	586035.25	583034.7	609128.6	248230.6	245947.17	218841.4	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	452	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	1.0	0.9988	6	10	10	10	4	3	3	4	3	3	4	3	3	1112543.2	652984.6	621620.9	290241.34	286426.88	268006.72	
sp|P49588|SYAC_HUMAN	P49588	SYAC_HUMAN	AARS1	968	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alanine--tRNA ligase, cytoplasmic	0.7996	0.9813	1	3	3	3	1	1	1	1	1	1	1	1	1	57814.734	99806.84	78421.914	0.0	0.0	0.0	
sp|P49721|PSB2_HUMAN	P49721	PSB2_HUMAN	PSMB2	201	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-2	0.9334	0.9946	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49736|MCM2_HUMAN	P49736	MCM2_HUMAN	MCM2	904	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA replication licensing factor MCM2	0.8401	0.9858	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49773|HINT1_HUMAN	P49773	HINT1_HUMAN	HINT1	126	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenosine 5'-monophosphoramidase HINT1	1.0	0.9989	3	7	7	7	3	2	2	3	2	2	3	2	2	1082384.6	511273.12	481016.88	370303.84	392912.06	368165.62	
sp|P50395|GDIB_HUMAN	P50395	GDIB_HUMAN	GDI2	445	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab GDP dissociation inhibitor beta	1.0	0.9973	2	5	2	5	2	2	1	1	1	0	2	2	1	338140.9	235620.78	258667.25	221997.48	148136.31	153451.69	
sp|P50402|EMD_HUMAN	P50402	EMD_HUMAN	EMD	254	Homo sapiens OX=9606	1:Experimental evidence at protein level	Emerin	0.8705	0.9888	1	1	1	1	0	0	1	0	0	1	0	0	1	64999.684	93768.58	101706.71	0.0	0.0	0.0	
